Date,Open,High,Low,Close,Adj Close,Volume
2005-09-27,21.05,21.4,19.1,19.3,18.39,961200
2005-09-28,19.3,20.53,19.2,20.5,19.53,5747900
2005-09-29,20.4,20.58,20.1,20.21,19.25,1078200
2005-09-30,20.26,21.05,20.18,21.01,20.01,3123300
2005-10-03,20.9,21.75,20.9,21.5,20.48,1057900
2005-10-04,21.44,22.5,21.44,22.16,21.11,1768800
2005-10-05,22.1,22.31,21.75,22.2,21.15,904300
2005-10-06,22.6,23.0,22.4,22.58,21.51,1614200
2005-10-07,22.25,22.6,21.8,22.15,21.1,753400
2005-10-10,22.28,22.29,22.1,22.21,21.16,538700
2005-10-11,22.26,22.3,21.8,21.98,20.94,764600
2005-10-12,21.9,22.05,21.64,21.76,20.73,912900
2005-10-13,21.7,21.8,21.4,21.71,20.68,531300
2005-10-14,21.85,22.4,21.85,22.27,21.22,887800
2005-10-17,22.15,22.22,21.85,22.08,21.03,464000
2005-10-18,22.06,22.3,21.35,21.49,20.47,1815500
2005-10-19,21.37,21.6,20.85,21.38,20.37,1466000
2005-10-20,21.35,21.48,20.85,21.02,20.02,640900
2005-10-21,21.02,22.42,21.01,21.96,20.92,917000
2005-10-24,22.01,22.36,21.95,22.31,21.25,508800
2005-10-25,22.25,22.54,21.7,22.0,20.96,437300
2005-10-26,22.0,22.45,21.99,22.32,21.26,543200
2005-10-27,22.26,22.56,22.2,22.56,21.49,351200
2005-10-28,22.55,23.9,22.37,23.9,22.77,1614900
2005-10-31,24.0,25.35,24.0,24.68,23.51,706400
2005-11-01,24.7,25.08,24.69,25.02,23.83,866800
2005-11-02,25.23,28.1,25.2,27.55,26.25,2870200
2005-11-03,27.6,28.1,27.6,27.87,26.55,906100
2005-11-04,27.8,29.0,27.77,28.8,27.44,912600
2005-11-07,29.0,29.43,28.38,28.93,27.56,486900
2005-11-08,29.1,29.7,29.0,29.43,28.04,1395000
2005-11-09,29.43,31.3,29.43,31.3,29.82,1312300
2005-11-10,31.15,33.96,31.15,32.8,31.25,1948900
2005-11-11,33.05,33.95,33.0,33.35,31.77,1183900
2005-11-14,33.5,34.5,33.45,33.75,32.15,1059200
2005-11-15,33.75,33.88,32.84,33.88,32.28,759200
2005-11-16,33.51,33.85,33.4,33.6,32.01,542600
2005-11-17,33.4,34.55,33.23,34.32,32.69,1011900
2005-11-18,34.35,34.35,32.86,33.05,31.48,529800
2005-11-21,32.75,32.75,31.26,31.99,30.47,636300
2005-11-22,31.99,32.74,31.6,32.5,30.96,421900
2005-11-23,32.2,33.68,32.16,33.04,31.47,671300
2005-11-25,33.01,33.2,32.72,32.85,31.29,138500
2005-11-28,33.05,33.85,33.0,33.41,31.83,630400
2005-11-29,33.3,33.5,32.63,32.9,31.34,428600
2005-11-30,32.9,33.8,32.9,33.59,32.0,690100
2005-12-01,34.0,34.94,34.0,34.28,32.66,371800
2005-12-02,34.4,34.65,34.25,34.28,32.66,428600
2005-12-05,32.08,32.64,31.38,32.35,30.82,1124400
2005-12-06,32.04,33.75,32.04,33.62,32.03,790600
2005-12-07,33.4,34.18,33.3,33.95,32.34,783900
2005-12-08,33.95,33.98,33.53,33.66,32.07,383700
2005-12-09,33.41,34.07,33.35,33.88,32.28,409700
2005-12-12,33.8,33.91,33.71,33.76,32.16,421500
2005-12-13,33.76,33.8,33.05,33.25,31.67,226700
2005-12-14,33.4,33.69,33.25,33.54,31.95,158400
2005-12-15,33.64,33.88,33.35,33.63,32.04,313900
2005-12-16,33.68,35.5,33.68,35.15,33.48,1646900
2005-12-19,35.18,35.45,34.89,35.25,33.58,377400
2005-12-20,35.25,35.46,34.02,35.32,33.65,564500
2005-12-21,35.38,37.0,35.33,36.51,34.78,701200
2005-12-22,36.6,37.05,36.35,36.83,35.09,247800
2005-12-23,36.73,38.0,36.73,37.73,35.94,493000
2005-12-27,37.99,38.8,37.2,37.46,35.69,476400
2005-12-28,38.0,38.15,36.35,37.45,35.68,327800
2005-12-29,37.45,37.95,37.19,37.38,35.61,189800
2005-12-30,37.55,37.58,36.92,37.14,35.38,172800
2006-01-03,37.2,38.28,36.85,37.45,35.68,1013200
2006-01-04,37.7,40.6,37.7,39.2,37.34,1928400
2006-01-05,39.18,39.71,38.91,39.71,37.83,317900
2006-01-06,39.71,39.71,38.14,39.0,37.15,349200
2006-01-09,38.8,38.88,38.5,38.61,36.78,220800
2006-01-10,38.61,38.71,37.4,37.8,36.01,191300
2006-01-11,37.8,37.8,34.65,34.8,33.15,974300
2006-01-12,33.0,35.35,32.96,34.99,33.33,2008900
2006-01-13,35.0,35.42,33.31,34.05,32.44,734200
2006-01-17,33.55,33.55,29.62,30.0,28.58,2351200
2006-01-18,29.1,31.16,28.88,31.0,29.53,1773700
2006-01-19,30.8,31.24,29.34,30.39,28.95,857200
2006-01-20,30.28,30.28,28.6,29.24,27.85,788700
2006-01-23,29.49,30.05,29.15,29.42,28.03,530800
2006-01-24,29.9,31.47,29.75,31.02,29.55,648900
2006-01-25,31.15,31.51,30.75,31.0,29.53,836300
2006-01-26,31.05,31.25,30.0,30.25,28.82,313700
2006-01-27,30.2,30.2,28.3,28.89,27.52,518600
2006-01-30,28.73,29.58,28.73,29.0,27.63,917300
2006-01-31,29.17,30.41,29.01,29.34,27.95,490600
2006-02-01,29.1,29.62,28.35,29.38,27.99,816800
2006-02-02,29.38,30.2,29.0,30.01,28.59,767200
2006-02-03,30.01,30.01,29.2,29.55,28.15,397600
2006-02-06,29.2,29.7,28.66,29.27,27.88,550900
2006-02-07,29.35,29.45,28.62,29.0,27.63,489800
2006-02-08,29.1,30.76,29.01,29.99,28.57,869700
2006-02-09,29.95,30.48,29.55,30.35,28.91,443400
2006-02-10,30.5,30.5,29.74,30.0,28.58,403700
2006-02-13,31.05,32.1,30.55,31.17,29.69,826000
2006-02-14,31.5,32.9,31.41,32.8,31.25,668600
2006-02-15,32.55,34.2,32.35,33.75,32.15,807800
2006-02-16,33.66,33.9,33.2,33.38,31.8,244400
2006-02-17,32.8,33.39,32.33,33.15,31.58,316000
2006-02-21,32.5,33.65,31.3,32.5,30.96,772700
2006-02-22,33.53,34.3,33.3,33.64,32.05,637200
2006-02-23,34.2,35.02,34.07,34.65,33.01,926300
2006-02-24,33.97,33.98,33.18,33.52,31.93,654000
2006-02-27,33.9,34.07,33.1,33.35,31.77,538500
2006-02-28,33.3,33.45,32.6,33.09,31.52,408200
2006-03-01,33.09,34.06,32.6,32.8,31.25,1149500
2006-03-02,32.8,33.2,32.6,32.9,31.34,388600
2006-03-03,32.65,32.67,31.32,31.87,30.36,895800
2006-03-06,31.9,32.0,31.38,31.81,30.3,681300
