Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.8,3.81,3.75,3.8,3.09,266400
2000-01-03,3.88,3.94,3.81,3.89,3.17,2784800
2000-01-04,3.69,3.7,3.5,3.62,2.95,944000
2000-01-05,3.66,4.05,3.62,3.91,3.18,810400
2000-01-06,4.0,4.28,3.83,4.2,3.42,2695200
2000-01-07,4.2,4.75,4.16,4.75,3.87,2543600
2000-01-10,4.75,5.16,4.75,4.88,3.97,2534400
2000-01-11,4.97,5.12,4.89,5.03,4.09,2545200
2000-01-12,5.03,5.03,4.91,5.03,4.09,1085600
2000-01-13,5.03,5.95,5.03,5.92,4.82,2248000
2000-01-14,5.75,5.83,5.44,5.55,4.51,2403200
2000-01-18,5.31,5.48,5.25,5.31,4.32,3676400
2000-01-19,5.31,5.38,5.27,5.33,4.34,1015200
2000-01-20,5.23,5.25,5.0,5.05,4.11,1674000
2000-01-21,4.91,4.94,4.69,4.81,3.92,1384000
2000-01-24,4.88,4.97,4.78,4.86,3.95,857600
2000-01-25,4.86,4.86,4.56,4.69,3.81,672400
2000-01-26,4.69,4.69,4.47,4.53,3.69,621200
2000-01-27,4.56,4.88,4.53,4.69,3.81,3402800
2000-01-28,4.75,4.78,4.64,4.69,3.81,1545200
2000-01-31,4.69,4.7,4.52,4.53,3.69,588400
2000-02-01,4.94,5.05,4.59,4.67,3.8,1546800
2000-02-02,4.61,4.78,4.61,4.72,3.84,1564400
2000-02-03,4.69,4.72,4.62,4.69,3.81,1324800
2000-02-04,4.69,4.69,4.53,4.61,3.75,707200
2000-02-07,4.55,4.59,4.53,4.58,3.73,528000
2000-02-08,4.59,4.59,4.44,4.47,3.64,696800
2000-02-09,4.41,4.41,4.12,4.31,3.51,1449600
2000-02-10,4.28,4.31,4.19,4.27,3.47,602400
2000-02-11,4.27,4.27,4.08,4.12,3.36,580800
2000-02-14,4.22,4.22,4.0,4.09,3.33,891600
2000-02-15,4.09,4.09,3.92,3.97,3.23,2719600
2000-02-16,3.95,4.0,3.94,3.98,3.24,2016400
2000-02-17,3.98,4.19,3.95,4.19,3.41,1334800
2000-02-18,4.19,4.19,3.86,3.92,3.19,10545600
2000-02-22,3.94,4.0,3.89,3.94,3.2,1415600
2000-02-23,3.94,3.94,3.84,3.88,3.15,662000
2000-02-24,3.86,3.86,3.73,3.75,3.05,1079200
2000-02-25,3.67,3.7,3.44,3.5,2.85,1997600
2000-02-28,3.5,3.62,3.44,3.62,2.95,2859200
2000-02-29,3.62,3.66,3.61,3.64,2.96,3308000
2000-03-01,3.66,3.78,3.64,3.72,3.03,1371600
2000-03-02,3.73,3.77,3.72,3.73,3.04,1092800
2000-03-03,3.72,3.73,3.5,3.58,2.91,1521200
2000-03-06,3.64,3.69,3.47,3.47,2.82,872400
2000-03-07,3.5,3.5,3.2,3.27,2.66,1344000
2000-03-08,3.27,3.28,3.12,3.23,2.63,1396400
2000-03-09,3.23,3.27,3.19,3.25,2.65,1566800
2000-03-10,3.23,3.31,3.23,3.25,2.65,1954400
2000-03-13,3.25,3.3,3.2,3.22,2.62,967600
2000-03-14,3.22,3.22,3.0,3.0,2.44,1350000
2000-03-15,3.08,3.48,3.06,3.42,2.78,2160400
2000-03-16,3.44,4.08,3.44,4.08,3.32,1900400
2000-03-17,4.03,4.08,3.88,3.95,3.22,844800
2000-03-20,3.94,4.09,3.91,3.98,3.24,473200
2000-03-21,3.89,4.0,3.72,4.0,3.26,2070000
2000-03-22,4.23,4.23,4.0,4.0,3.26,855200
2000-03-23,3.95,3.97,3.77,3.77,3.06,1984800
2000-03-24,3.77,3.88,3.66,3.75,3.05,2371600
2000-03-27,3.75,3.77,3.69,3.73,3.04,291600
2000-03-28,3.7,3.81,3.66,3.73,3.04,1429600
2000-03-29,3.77,3.84,3.7,3.75,3.05,493600
2000-03-30,3.7,3.72,3.55,3.62,2.95,563200
2000-03-31,3.62,3.91,3.61,3.75,3.05,1780400
2000-04-03,3.73,3.78,3.66,3.66,2.98,908400
2000-04-04,3.72,3.97,3.56,3.89,3.17,2342800
2000-04-05,3.86,4.11,3.83,4.02,3.27,1107600
2000-04-06,4.03,4.5,4.03,4.2,3.42,737200
2000-04-07,4.2,4.44,4.11,4.19,3.41,731200
2000-04-10,4.17,4.22,3.89,3.89,3.17,379200
2000-04-11,4.06,4.31,4.06,4.27,3.47,638400
2000-04-12,4.25,4.41,4.19,4.36,3.55,551600
2000-04-13,4.34,4.5,4.31,4.45,3.62,645200
2000-04-14,4.36,4.38,4.27,4.28,3.48,1051600
2000-04-17,4.05,4.34,4.0,4.34,3.54,664800
2000-04-18,4.3,4.56,4.27,4.48,3.65,484000
2000-04-19,4.52,4.62,4.45,4.52,3.68,790800
2000-04-20,4.52,4.61,4.52,4.52,3.68,406000
2000-04-24,4.5,4.52,4.38,4.47,3.64,1112400
2000-04-25,4.56,4.69,4.55,4.67,3.8,862800
2000-04-26,4.64,4.88,4.64,4.77,3.88,1542800
2000-04-27,4.77,4.88,4.67,4.88,3.97,491200
2000-04-28,4.91,5.0,4.86,5.0,4.07,758800
2000-05-01,5.0,5.0,4.78,4.88,3.97,856000
2000-05-02,4.88,4.88,4.52,4.52,3.68,808000
2000-05-03,4.58,4.59,4.45,4.52,3.68,734000
2000-05-04,4.55,4.56,4.5,4.56,3.71,639600
2000-05-05,4.56,4.75,4.5,4.75,3.87,628800
2000-05-08,4.69,4.69,4.56,4.66,3.79,158400
2000-05-09,4.69,4.7,4.61,4.66,3.79,348400
2000-05-10,4.53,4.61,4.41,4.55,3.7,633200
2000-05-11,4.55,4.62,4.52,4.55,3.7,548400
2000-05-12,4.55,4.55,4.42,4.42,3.6,957200
2000-05-15,4.42,4.62,4.42,4.5,3.66,744000
2000-05-16,4.48,5.0,4.48,5.0,4.07,2011600
2000-05-17,4.97,5.0,4.94,4.95,4.03,623600
2000-05-18,4.88,5.06,4.88,5.02,4.08,2219600
2000-05-19,4.98,5.59,4.98,5.5,4.48,2964800
2000-05-22,5.5,5.61,5.31,5.47,4.45,2068800
2000-05-23,5.47,5.72,5.47,5.72,4.65,1631200
