Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,26.13,26.22,25.88,25.9,20.38,6238800
2010-01-04,26.0,26.18,25.87,26.13,20.56,10829000
2010-01-05,26.13,26.13,25.79,25.92,20.39,10562100
2010-01-06,25.88,26.1,25.84,26.06,20.5,11401400
2010-01-07,26.06,26.28,25.94,26.28,20.67,12857200
2010-01-08,26.27,26.51,26.24,26.41,20.78,12148600
2010-01-11,26.53,26.62,26.42,26.55,20.88,10947200
2010-01-12,26.48,26.65,26.4,26.47,20.82,10939300
2010-01-13,26.32,26.65,26.32,26.53,21.02,10538900
2010-01-14,26.49,26.69,26.39,26.56,21.04,8982400
2010-01-15,26.56,26.66,26.47,26.62,21.1,16132500
2010-01-19,26.65,27.11,26.63,26.96,21.37,16663600
2010-01-20,26.98,27.25,26.68,26.98,21.38,14080600
2010-01-21,26.97,27.11,26.39,26.66,21.12,17317200
2010-01-22,26.55,26.71,26.1,26.15,20.72,14599200
2010-01-25,26.27,26.63,26.16,26.25,20.8,10109400
2010-01-26,26.18,26.23,26.03,26.14,20.71,13814500
2010-01-27,25.96,25.98,25.5,25.86,20.49,24107700
2010-01-28,25.96,26.13,25.74,25.89,20.51,13856300
2010-01-29,25.95,25.95,25.38,25.4,20.13,19832000
2010-02-01,25.48,25.76,25.47,25.59,20.28,18361100
2010-02-02,25.57,26.2,25.53,26.12,20.7,17214200
2010-02-03,26.09,26.28,25.96,26.22,20.78,14158800
2010-02-04,26.27,26.27,25.81,25.82,20.46,19169400
2010-02-05,25.73,25.97,25.57,25.89,20.52,22546000
2010-02-08,25.84,25.89,25.58,25.6,20.28,14861100
2010-02-09,25.74,25.9,25.59,25.6,20.28,23229400
2010-02-10,25.55,25.66,25.27,25.55,20.25,15479300
2010-02-11,25.56,25.77,25.4,25.69,20.36,13413200
2010-02-12,25.53,25.91,25.48,25.88,20.5,17566000
2010-02-16,26.02,26.24,25.8,26.19,20.75,15742100
2010-02-17,26.29,26.38,26.18,26.27,20.82,13285700
2010-02-18,26.24,26.39,26.23,26.37,20.9,11171100
2010-02-19,26.33,26.34,25.95,26.09,20.67,20116900
2010-02-22,26.14,26.16,25.89,26.1,20.68,11966200
2010-02-23,26.02,26.13,25.79,25.89,20.52,13961200
2010-02-24,26.0,26.17,25.87,26.07,20.66,14141300
2010-02-25,25.89,26.0,25.72,25.97,20.58,12305700
2010-02-26,26.0,26.16,25.84,26.04,20.64,14675200
2010-03-01,26.09,26.22,25.98,26.05,20.64,9501600
2010-03-02,26.01,26.25,25.97,26.19,20.75,10419300
2010-03-03,26.2,26.31,25.87,25.95,20.56,13975800
2010-03-04,26.14,26.15,25.87,25.95,20.56,13258800
2010-03-05,25.98,26.1,25.97,26.06,20.65,15291700
2010-03-08,26.09,26.17,25.97,26.11,20.69,8986400
2010-03-09,26.0,26.37,25.97,26.29,20.83,12287800
2010-03-10,26.3,26.65,26.25,26.4,20.92,17001000
2010-03-11,26.41,26.65,26.32,26.65,21.12,11900500
2010-03-12,26.41,26.41,25.77,26.16,20.73,33828600
2010-03-15,26.11,26.29,25.97,26.29,20.83,15406400
2010-03-16,26.31,26.38,26.13,26.24,20.79,12421400
2010-03-17,26.31,26.33,26.05,26.15,20.72,15366100
2010-03-18,26.12,26.17,25.72,25.8,20.44,32043300
2010-03-19,25.65,25.86,25.52,25.65,20.33,34032000
2010-03-22,25.62,26.02,25.57,25.85,20.48,15663600
2010-03-23,25.96,26.1,25.82,26.07,20.66,9704400
2010-03-24,26.03,26.07,25.79,25.85,20.48,13205700
2010-03-25,26.04,26.06,25.67,25.68,20.35,17738200
2010-03-26,25.77,25.8,25.16,25.38,20.11,25017700
2010-03-29,25.47,25.5,25.3,25.49,20.2,22003700
2010-03-30,25.44,25.55,25.18,25.19,19.96,27988900
2010-03-31,25.22,25.42,25.05,25.28,20.03,15870300
2010-04-01,25.33,25.42,25.23,25.41,20.14,12903500
2010-04-05,25.42,25.55,25.29,25.4,20.12,11130400
2010-04-06,25.37,25.49,25.23,25.35,20.09,15102300
2010-04-07,25.29,25.4,25.13,25.19,19.96,20577100
2010-04-08,25.23,25.28,25.05,25.08,19.88,15111200
2010-04-09,25.12,25.36,25.08,25.3,20.05,11637500
2010-04-12,25.43,25.43,25.14,25.27,20.02,13458100
2010-04-13,25.03,25.18,25.03,25.08,20.04,14442000
2010-04-14,25.15,25.17,24.92,25.1,20.06,19029100
2010-04-15,25.1,25.17,24.98,25.12,20.07,15013700
2010-04-16,25.06,25.17,24.96,25.07,20.04,16562700
2010-04-19,25.07,25.49,24.98,25.39,20.29,18932400
2010-04-20,25.44,25.55,25.39,25.46,20.34,13302000
2010-04-21,25.33,25.41,24.7,24.84,19.85,26172500
2010-04-22,24.75,24.76,24.39,24.53,19.6,16797800
2010-04-23,24.48,24.57,24.12,24.57,19.63,19164400
2010-04-26,24.51,24.84,24.02,24.17,19.31,19657700
2010-04-27,24.12,24.26,23.84,23.88,19.08,21777100
2010-04-28,23.96,24.19,23.71,24.12,19.27,19404500
2010-04-29,24.23,24.53,24.15,24.35,19.46,19325100
2010-04-30,24.4,24.71,24.29,24.55,19.61,22310700
2010-05-03,24.69,24.75,24.25,24.41,19.5,18336100
2010-05-04,24.31,24.4,23.86,24.08,19.24,21711900
2010-05-05,24.1,24.5,23.87,24.06,19.23,22362800
2010-05-06,24.06,24.17,21.88,23.51,18.79,26043300
2010-05-07,23.52,23.59,23.03,23.38,18.68,25126900
2010-05-10,23.89,24.1,23.63,23.84,19.05,21408000
2010-05-11,23.69,23.86,23.63,23.7,18.94,17852600
2010-05-12,23.78,23.79,23.46,23.58,18.84,18435100
2010-05-13,23.56,23.56,23.13,23.32,18.64,19139600
2010-05-14,23.24,23.32,22.92,23.27,18.59,20860500
2010-05-17,23.31,23.4,22.97,23.24,18.57,15486400
2010-05-18,23.37,23.48,23.03,23.05,18.42,14520400
2010-05-19,22.97,23.2,22.94,23.0,18.38,19149800
2010-05-20,22.78,22.78,22.3,22.3,17.82,22637500
2010-05-21,21.82,22.54,21.72,22.52,18.0,34482700
2010-05-24,22.57,23.05,22.49,22.82,18.23,26966000
2010-05-25,22.56,22.67,22.22,22.66,18.11,26404900
2010-05-26,22.82,23.03,22.52,22.63,18.08,25537900
2010-05-27,22.96,23.09,22.68,22.97,18.35,16778000
2010-05-28,22.92,23.31,22.79,22.82,18.23,23084400
