Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.88,11.11,10.88,11.0,7.35,693200
2000-01-03,10.88,10.94,10.77,10.88,7.27,984600
2000-01-04,10.71,11.05,10.71,10.77,7.2,1088000
2000-01-05,10.77,10.77,10.54,10.6,7.08,1087900
2000-01-06,10.54,10.77,10.49,10.66,7.12,899900
2000-01-07,10.77,10.88,10.71,10.83,7.24,1186200
2000-01-10,10.88,11.05,10.83,10.83,7.24,1484400
2000-01-11,10.83,10.83,10.66,10.66,7.12,1092900
2000-01-12,10.71,11.0,10.66,10.94,7.31,1357300
2000-01-13,10.88,11.17,10.83,10.88,7.27,2940000
2000-01-14,11.0,11.39,10.83,11.34,7.58,2805400
2000-01-18,11.39,12.02,11.39,11.85,7.92,2991200
2000-01-19,11.85,12.19,11.79,12.13,8.11,2480600
2000-01-20,12.13,12.19,11.56,11.85,7.92,1527000
2000-01-21,12.19,12.19,11.62,11.79,7.88,1124300
2000-01-24,11.79,11.85,11.11,11.22,7.5,1049500
2000-01-25,11.11,11.17,11.0,11.11,7.42,1152600
2000-01-26,10.94,11.11,10.94,11.05,7.39,1253300
2000-01-27,11.0,11.05,10.77,10.88,7.27,1256200
2000-01-28,10.94,11.05,10.66,10.71,7.16,1231400
2000-01-31,10.77,10.88,10.54,10.66,7.12,1482000
2000-02-01,10.66,11.05,10.54,10.88,7.27,1291600
2000-02-02,10.77,10.83,10.6,10.66,7.15,812800
2000-02-03,10.71,10.77,10.6,10.66,7.15,729800
2000-02-04,10.77,11.0,10.66,10.66,7.15,970500
2000-02-07,10.66,10.83,10.6,10.66,7.15,618600
2000-02-08,10.66,10.77,10.6,10.6,7.11,640100
2000-02-09,10.6,10.6,10.03,10.2,6.85,2424100
2000-02-10,10.26,10.49,9.86,9.92,6.66,1891900
2000-02-11,10.03,10.37,9.92,9.92,6.66,1266800
2000-02-14,10.09,10.32,9.98,10.09,6.77,1215900
2000-02-15,10.09,10.32,10.03,10.15,6.81,1021700
2000-02-16,10.09,10.32,10.03,10.26,6.89,719200
2000-02-17,10.32,10.43,10.2,10.37,6.96,958600
2000-02-18,10.32,10.43,10.32,10.37,6.96,1192100
2000-02-22,10.32,10.49,10.2,10.37,6.96,1123800
2000-02-23,10.32,10.37,10.03,10.03,6.73,959300
2000-02-24,10.03,10.03,9.75,9.98,6.7,1144700
2000-02-25,9.98,10.15,9.69,9.69,6.5,2071100
2000-02-28,9.69,10.26,9.52,9.58,6.43,2032200
2000-02-29,9.58,9.75,9.13,9.13,6.12,2621400
2000-03-01,9.01,9.41,9.01,9.35,6.28,2075700
2000-03-02,9.24,9.3,8.96,9.01,6.05,1665000
2000-03-03,9.01,9.52,8.96,9.41,6.31,2056300
2000-03-06,9.13,9.35,8.96,8.96,6.01,1478800
2000-03-07,8.96,8.96,8.67,8.67,5.82,1299300
2000-03-08,8.73,8.96,8.62,8.73,5.86,952700
2000-03-09,8.73,8.84,8.56,8.62,5.78,1364200
2000-03-10,8.84,9.01,8.62,8.73,5.86,1312800
2000-03-13,8.67,8.73,8.5,8.62,5.78,1366700
2000-03-14,8.56,8.62,8.22,8.22,5.52,2663200
2000-03-15,8.16,8.67,7.99,8.39,5.63,5254200
2000-03-16,8.67,9.52,8.56,9.3,6.24,3064000
2000-03-17,9.41,9.58,9.24,9.58,6.43,2553600
2000-03-20,9.47,9.64,9.18,9.3,6.24,1090100
2000-03-21,9.3,9.69,9.18,9.3,6.24,1886800
2000-03-22,9.47,9.52,9.18,9.52,6.39,1825200
2000-03-23,9.52,9.75,9.35,9.58,6.43,2009400
2000-03-24,9.58,9.69,9.13,9.3,6.24,1318600
2000-03-27,9.18,9.3,9.07,9.3,6.24,848500
2000-03-28,9.24,9.35,9.07,9.07,6.09,1211800
2000-03-29,9.3,9.3,9.01,9.13,6.12,1118400
2000-03-30,9.18,9.47,9.13,9.41,6.31,1761200
2000-03-31,9.41,9.86,9.3,9.35,6.28,1365700
2000-04-03,9.58,9.75,9.13,9.52,6.39,1151200
2000-04-04,9.18,9.64,9.18,9.58,6.43,1338600
2000-04-05,9.35,9.69,9.3,9.64,6.47,1436500
2000-04-06,9.69,9.86,9.58,9.75,6.54,1492300
2000-04-07,9.64,9.86,9.47,9.52,6.39,1028600
2000-04-10,9.64,10.2,9.58,10.09,6.77,2168400
2000-04-11,9.92,10.26,9.81,9.98,6.7,1736000
2000-04-12,10.03,10.26,9.86,9.86,6.62,1262300
2000-04-13,9.86,10.2,9.75,10.03,6.73,1485000
2000-04-14,9.58,10.03,9.35,9.41,6.31,1355700
2000-04-17,9.47,9.92,9.18,9.58,6.43,1388800
2000-04-18,9.47,9.52,9.01,9.13,6.12,1921300
2000-04-19,9.13,9.52,8.84,9.07,6.09,1658700
2000-04-20,8.96,9.24,8.79,8.84,5.93,2938200
2000-04-24,8.84,9.18,8.62,9.01,6.05,1995300
2000-04-25,8.79,9.01,8.79,8.9,5.97,1062000
2000-04-26,8.96,9.07,8.84,8.96,6.01,1377700
2000-04-27,8.96,9.24,8.9,9.01,6.05,1830100
2000-04-28,8.96,9.18,8.9,9.01,6.05,1329800
2000-05-01,9.18,9.41,9.07,9.3,6.24,1115100
2000-05-02,9.18,9.47,9.07,9.35,6.28,1460200
2000-05-03,9.35,9.64,9.18,9.24,6.23,1564800
2000-05-04,9.18,9.41,9.01,9.01,6.08,1387500
2000-05-05,9.01,9.24,8.96,9.13,6.15,796200
2000-05-08,9.07,9.24,9.07,9.24,6.23,451800
2000-05-09,9.24,9.24,9.01,9.18,6.19,974100
2000-05-10,9.3,9.47,9.18,9.35,6.31,1347200
2000-05-11,9.41,9.58,9.35,9.52,6.42,964700
2000-05-12,9.58,9.64,9.35,9.47,6.38,1244500
2000-05-15,9.52,9.69,9.47,9.52,6.42,1277600
2000-05-16,9.52,9.58,9.35,9.47,6.38,1403500
2000-05-17,9.47,9.69,9.41,9.64,6.5,981900
2000-05-18,9.58,9.81,9.52,9.64,6.5,1372200
2000-05-19,9.58,9.75,9.41,9.52,6.42,1287800
2000-05-22,9.58,10.2,9.47,10.09,6.8,2047000
2000-05-23,10.03,10.03,9.58,9.86,6.65,2144400
2000-05-24,9.92,10.66,9.86,10.66,7.19,3911800
2000-05-25,10.88,11.05,10.71,10.88,7.34,3551900
2000-05-26,10.83,10.94,10.77,10.83,7.3,2181100
2000-05-30,10.88,11.05,10.83,11.0,7.42,2199200
2000-05-31,11.0,11.05,10.6,10.83,7.3,1582300
2000-06-01,10.88,11.34,10.83,11.11,7.49,1230600
2000-06-02,11.11,11.11,10.77,10.88,7.34,1084400
2000-06-05,10.88,10.88,10.66,10.77,7.26,954900
2000-06-06,10.54,10.66,10.15,10.37,7.0,1563500
2000-06-07,10.83,10.94,10.77,10.83,7.3,2671300
2000-06-08,10.83,10.88,10.6,10.83,7.3,1213800
2000-06-09,10.77,10.83,10.32,10.43,7.03,1037100
2000-06-12,10.54,10.54,10.09,10.09,6.8,2114300
2000-06-13,10.09,10.15,9.69,9.98,6.73,2202400
2000-06-14,9.86,9.86,9.64,9.69,6.54,1557800
2000-06-15,9.92,9.92,9.58,9.58,6.46,1279700
2000-06-16,9.64,9.69,9.41,9.47,6.38,1750000
2000-06-19,9.47,9.47,9.13,9.18,6.19,1898500
2000-06-20,9.18,9.35,9.07,9.13,6.15,2853000
2000-06-21,9.07,9.13,8.96,9.07,6.12,1478200
2000-06-22,9.07,9.07,8.96,8.96,6.04,1176000
2000-06-23,9.01,9.13,8.96,8.96,6.04,880300
2000-06-26,9.07,9.47,9.01,9.24,6.23,1312900
2000-06-27,9.24,9.24,9.07,9.13,6.15,1046800
2000-06-28,9.07,9.24,8.96,9.08,6.13,1042400
2000-06-29,9.07,9.13,8.96,9.07,6.12,1886300
2000-06-30,8.96,9.07,8.84,8.9,6.0,1900200
