Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,32.38,32.69,32.06,32.12,13.15,98700
2000-01-03,32.0,32.0,31.12,31.44,12.86,396900
2000-01-04,31.38,31.94,31.38,31.81,13.02,325500
2000-01-05,31.81,33.12,31.81,33.0,13.5,392200
2000-01-06,32.75,33.69,32.75,33.19,13.58,433000
2000-01-07,33.38,33.75,33.06,33.62,13.76,250500
2000-01-10,33.62,33.81,33.44,33.5,13.71,307700
2000-01-11,33.5,33.69,33.5,33.62,13.76,223000
2000-01-12,33.56,33.94,33.5,33.88,13.86,252500
2000-01-13,33.88,34.0,33.62,33.81,13.84,222400
2000-01-14,33.88,33.88,33.5,33.81,13.84,529900
2000-01-18,33.69,33.75,33.0,33.0,13.5,363800
2000-01-19,33.0,33.62,33.0,33.44,13.68,215500
2000-01-20,33.38,33.38,33.06,33.06,13.53,278800
2000-01-21,33.31,34.0,33.19,34.0,13.91,345000
2000-01-24,34.0,34.44,33.88,33.88,13.86,855500
2000-01-25,33.88,34.12,32.62,32.88,13.45,964400
2000-01-26,33.12,33.69,32.88,33.69,13.79,508500
2000-01-27,33.69,34.12,33.31,33.56,13.73,923900
2000-01-28,33.56,33.62,32.88,33.0,13.5,357300
2000-01-31,33.19,33.56,33.0,33.5,13.71,209900
2000-02-01,33.5,33.75,33.06,33.69,13.79,318200
2000-02-02,33.62,34.06,33.56,33.62,13.76,765300
2000-02-03,33.69,34.81,33.69,34.75,14.22,536200
2000-02-04,34.94,34.94,33.88,34.06,13.94,1106200
2000-02-07,34.0,34.0,33.56,33.69,13.79,2040500
2000-02-08,33.12,33.5,33.06,33.31,13.88,461400
2000-02-09,33.25,33.25,32.5,32.56,13.57,307500
2000-02-10,32.56,32.56,31.44,31.62,13.18,399000
2000-02-11,31.62,31.94,31.31,31.81,13.25,339400
2000-02-14,31.81,32.31,31.69,31.75,13.23,317600
2000-02-15,31.75,31.81,31.31,31.31,13.05,234600
2000-02-16,31.12,31.31,30.69,30.69,12.79,367900
2000-02-17,30.75,30.75,30.31,30.44,12.68,287100
2000-02-18,30.12,30.19,29.81,29.94,12.47,510500
2000-02-22,30.0,30.56,29.94,30.44,12.68,410600
2000-02-23,30.38,30.38,29.62,30.0,12.5,356400
2000-02-24,29.75,29.81,28.38,28.94,12.06,653000
2000-02-25,28.88,28.88,28.0,28.19,11.74,798200
2000-02-28,28.38,29.12,28.12,28.75,11.98,335700
2000-02-29,28.75,28.75,28.06,28.12,11.72,365600
2000-03-01,28.12,28.19,27.5,27.56,11.48,324200
2000-03-02,27.56,27.81,27.56,27.56,11.48,455900
2000-03-03,27.56,27.81,27.06,27.31,11.38,595000
2000-03-06,27.31,27.31,25.94,26.19,10.91,386100
2000-03-07,26.69,27.94,26.56,27.0,11.25,828200
2000-03-08,26.75,26.94,26.62,26.75,11.15,442100
2000-03-09,26.81,27.0,26.38,26.62,11.09,430200
2000-03-10,26.69,26.75,26.0,26.06,10.86,687100
2000-03-13,26.62,28.38,26.12,26.5,11.04,555600
2000-03-14,26.5,26.94,26.19,26.88,11.2,458400
2000-03-15,27.12,29.12,27.0,28.75,11.98,744900
2000-03-16,29.0,31.12,28.88,30.94,12.89,908000
2000-03-17,30.94,31.0,30.38,30.38,12.66,813300
2000-03-20,30.44,30.44,29.88,30.06,12.53,293400
2000-03-21,30.19,30.38,29.62,29.81,12.42,591800
2000-03-22,29.94,29.94,28.5,29.19,12.16,375900
2000-03-23,29.19,30.0,29.19,29.5,12.29,340500
2000-03-24,29.25,30.06,29.12,29.94,12.47,257800
2000-03-27,29.94,30.44,29.81,30.0,12.5,420500
2000-03-28,30.12,30.31,29.31,29.31,12.21,240800
2000-03-29,29.44,30.25,29.38,29.88,12.45,357400
2000-03-30,29.94,30.31,29.88,29.94,12.47,491600
2000-03-31,29.69,29.81,29.25,29.81,12.42,315800
2000-04-03,29.81,30.19,29.5,29.81,12.42,441000
2000-04-04,30.0,31.06,29.75,30.81,12.84,561800
2000-04-05,31.0,32.31,30.88,31.62,13.18,527000
2000-04-06,31.62,31.81,30.25,30.56,12.73,350200
2000-04-07,30.56,30.81,30.25,30.5,12.71,450900
2000-04-10,30.56,31.31,30.5,31.0,12.92,457300
2000-04-11,31.12,31.88,31.0,31.62,13.18,523200
2000-04-12,32.12,33.0,32.0,32.69,13.62,737500
2000-04-13,32.69,33.94,32.62,33.88,14.11,559900
2000-04-14,33.88,34.38,33.0,33.25,13.85,898000
2000-04-17,33.25,33.94,32.31,33.81,14.09,734000
2000-04-18,33.69,34.0,33.31,33.88,14.11,863500
2000-04-19,33.44,33.81,32.88,33.69,14.04,338400
2000-04-20,33.5,33.81,33.44,33.81,14.09,261300
2000-04-24,33.81,35.12,33.81,35.0,14.58,421500
2000-04-25,35.0,36.25,34.81,36.12,15.05,368000
2000-04-26,36.12,37.81,36.12,37.75,15.73,715100
2000-04-27,37.75,38.5,37.62,38.12,15.88,1064900
2000-04-28,37.94,38.0,36.5,36.62,15.26,537900
2000-05-01,37.38,37.38,36.5,36.5,15.21,396100
2000-05-02,36.31,36.69,35.25,35.56,14.82,521000
2000-05-03,35.06,35.19,34.19,34.62,14.43,747700
2000-05-04,34.81,35.88,34.0,35.38,14.74,585700
2000-05-05,35.38,35.44,34.25,34.62,14.43,1953200
2000-05-08,34.0,35.81,34.0,35.19,14.92,506500
2000-05-09,35.19,35.25,34.94,35.12,14.89,327200
2000-05-10,35.0,36.19,35.0,36.19,15.34,773600
2000-05-11,36.06,36.38,35.81,36.31,15.4,450400
2000-05-12,36.44,36.44,35.62,36.06,15.29,385200
2000-05-15,36.12,36.81,35.81,36.56,15.5,368400
2000-05-16,36.31,36.31,35.12,36.25,15.37,279800
2000-05-17,35.75,35.75,34.88,35.06,14.87,386300
2000-05-18,35.06,36.38,35.06,35.94,15.24,334800
2000-05-19,35.62,36.19,35.5,36.06,15.29,373900
2000-05-22,36.06,37.25,36.06,36.56,15.5,250200
2000-05-23,36.81,36.81,35.25,35.5,15.05,812900
2000-05-24,35.94,36.81,35.62,35.75,15.16,544500
2000-05-25,35.75,35.81,35.0,35.38,15.0,511900
2000-05-26,35.5,35.88,35.38,35.62,15.1,382500
2000-05-30,35.81,35.81,34.69,35.25,14.95,247500
2000-05-31,35.25,35.75,35.25,35.56,15.08,322100
2000-06-01,35.75,35.75,34.75,35.56,15.08,379000
2000-06-02,35.56,35.56,34.56,34.62,14.68,774800
2000-06-05,34.62,34.69,33.5,33.5,14.2,410100
2000-06-06,34.12,34.44,33.88,34.19,14.5,812900
2000-06-07,34.25,34.62,34.25,34.38,14.57,342400
2000-06-08,34.56,34.56,33.56,34.06,14.44,378300
2000-06-09,34.38,34.88,34.25,34.62,14.68,366800
2000-06-12,35.25,35.62,35.0,35.38,15.0,471700
2000-06-13,35.25,35.94,35.19,35.38,15.0,363500
2000-06-14,35.25,35.31,34.19,34.25,14.52,350800
2000-06-15,34.12,35.19,34.12,35.0,14.84,570700
2000-06-16,34.12,35.06,34.12,34.88,14.79,839400
2000-06-19,34.81,34.81,33.62,33.94,14.39,610700
2000-06-20,34.0,34.0,32.94,33.5,14.2,843800
2000-06-21,33.44,33.81,33.19,33.31,14.12,520600
2000-06-22,33.25,33.25,32.0,32.69,13.86,1299600
2000-06-23,32.56,32.94,32.0,32.19,13.65,1041400
2000-06-26,32.19,32.5,31.75,32.44,13.75,942800
2000-06-27,32.06,32.19,30.94,31.0,13.14,1118200
2000-06-28,30.5,31.88,30.0,31.72,13.45,1389800
2000-06-29,31.31,32.06,30.75,30.75,13.04,568300
2000-06-30,30.69,31.75,29.44,29.62,12.56,1542200
2000-07-03,30.0,30.75,29.94,30.75,13.04,446300
2000-07-05,30.12,31.56,30.12,30.62,12.98,594400
2000-07-06,30.75,31.19,30.5,30.75,13.04,676900
2000-07-07,30.81,31.31,30.81,31.12,13.2,500800
2000-07-10,31.19,32.25,31.19,32.12,13.62,690500
2000-07-11,32.06,32.81,31.88,32.81,13.91,1019100
2000-07-12,33.06,33.06,32.44,32.75,13.89,1238000
2000-07-13,32.5,33.06,32.38,32.94,13.97,705800
2000-07-14,33.0,33.31,32.06,32.31,13.7,894300
2000-07-17,32.06,33.12,32.06,33.06,14.02,681800
2000-07-18,33.12,33.5,32.88,33.25,14.1,503000
2000-07-19,33.25,33.69,33.12,33.5,14.2,550700
2000-07-20,33.5,34.0,33.25,33.81,14.34,880900
2000-07-21,33.81,34.0,33.19,33.19,14.07,307800
2000-07-24,33.25,33.81,32.81,33.75,14.31,674000
2000-07-25,33.75,34.5,33.31,33.69,14.28,456500
2000-07-26,33.44,33.56,32.5,32.64,13.84,876100
2000-07-27,32.94,33.75,32.88,33.12,14.04,710600
2000-07-28,33.19,34.0,32.69,33.06,14.02,767600
2000-07-31,32.75,33.5,32.69,32.81,13.91,943400
2000-08-01,32.81,34.19,32.81,34.12,14.47,967100
2000-08-02,34.38,34.75,34.19,34.5,14.63,756500
2000-08-03,34.75,35.31,34.38,34.52,14.63,740800
2000-08-04,34.44,34.94,33.62,34.88,14.79,799700
2000-08-07,34.81,35.08,34.38,35.06,14.87,2937000
2000-08-08,35.5,35.81,34.62,35.38,15.26,841800
2000-08-09,35.12,35.19,34.69,35.05,15.12,987300
2000-08-10,35.06,35.12,34.69,35.08,15.13,309300
2000-08-11,35.12,35.38,34.94,35.33,15.24,771500
2000-08-14,35.31,35.5,34.81,35.0,15.1,351500
2000-08-15,35.0,35.75,35.0,35.31,15.23,627700
2000-08-16,35.38,35.62,35.19,35.39,15.27,250100
2000-08-17,35.88,36.06,35.62,35.94,15.5,762700
2000-08-18,35.94,36.19,35.75,35.94,15.5,550700
2000-08-21,35.75,35.81,35.38,35.69,15.39,765100
2000-08-22,35.69,35.94,35.5,35.81,15.45,359600
2000-08-23,35.62,35.94,35.44,35.88,15.48,617100
2000-08-24,35.88,35.88,35.12,35.19,15.18,290300
2000-08-25,35.19,35.5,35.06,35.12,15.15,550300
2000-08-28,35.0,35.5,34.94,35.12,15.15,557900
2000-08-29,34.94,35.0,34.5,34.5,14.88,499000
2000-08-30,34.44,35.0,34.31,34.62,14.94,499100
2000-08-31,34.81,35.44,34.75,35.14,15.16,820900
2000-09-01,35.38,35.56,35.19,35.2,15.19,479300
2000-09-05,35.25,36.56,35.25,36.25,15.64,1273000
2000-09-06,36.88,37.88,36.81,37.5,16.18,1504500
2000-09-07,38.0,38.0,37.25,37.69,16.26,776800
2000-09-08,37.94,38.91,37.75,38.91,16.78,884100
2000-09-11,38.88,40.0,38.88,39.33,16.97,1166700
2000-09-12,39.38,39.5,38.06,38.69,16.69,962800
2000-09-13,38.44,38.75,37.62,37.75,16.28,1184500
2000-09-14,37.75,37.75,36.56,37.25,16.07,915400
2000-09-15,37.38,38.38,37.31,38.28,16.51,1508900
2000-09-18,38.0,38.06,37.38,37.67,16.25,757800
2000-09-19,38.38,38.44,36.38,36.38,15.69,1440200
2000-09-20,36.38,36.56,35.38,35.62,15.37,881300
2000-09-21,35.62,36.25,35.0,35.19,15.18,772000
2000-09-22,35.19,36.25,35.12,35.5,15.31,615700
2000-09-25,35.81,36.0,35.19,35.5,15.31,788600
2000-09-26,35.5,36.56,35.5,36.44,15.72,1205400
2000-09-27,36.12,36.94,35.69,36.89,15.91,675200
2000-09-28,37.38,39.81,37.12,39.44,17.01,2671200
2000-09-29,39.0,39.88,39.0,39.14,16.88,1188100
2000-10-02,39.12,39.25,38.06,39.06,16.85,935000
2000-10-03,38.81,39.94,38.5,38.56,16.63,971800
2000-10-04,38.56,38.88,36.62,38.0,16.39,1650100
2000-10-05,37.94,38.62,36.38,36.5,15.75,1062200
2000-10-06,36.88,37.31,36.5,36.69,15.83,682000
2000-10-09,36.81,37.25,36.19,36.5,15.75,425500
2000-10-10,36.5,37.94,36.5,37.25,16.07,961300
2000-10-11,37.25,37.94,37.06,37.94,16.37,1331900
2000-10-12,37.69,38.94,37.38,38.12,16.45,1088300
2000-10-13,38.19,38.81,38.19,38.81,16.74,879000
2000-10-16,38.56,39.75,38.56,39.31,16.96,1074700
2000-10-17,39.31,39.75,39.0,39.19,16.9,519400
2000-10-18,39.0,39.38,37.75,38.25,16.5,798400
2000-10-19,37.62,38.44,37.25,37.94,16.37,498600
2000-10-20,37.62,38.31,37.38,37.69,16.26,670100
2000-10-23,38.0,39.0,37.88,38.19,16.47,702300
2000-10-24,38.88,39.0,37.62,38.19,16.47,660800
2000-10-25,38.38,39.0,37.75,38.44,16.58,759700
2000-10-26,38.19,38.56,37.75,38.38,16.55,965400
2000-10-27,38.19,39.94,38.0,39.94,17.23,1470300
2000-10-30,39.94,42.38,39.81,41.81,18.04,1789400
2000-10-31,41.56,41.75,40.88,41.5,17.9,698400
2000-11-01,41.38,42.31,41.19,42.31,18.25,966200
2000-11-02,42.31,42.31,41.62,41.81,18.04,697800
2000-11-03,41.5,41.75,41.12,41.38,17.85,417800
2000-11-06,41.12,41.94,41.06,41.38,17.85,879800
2000-11-07,41.25,41.5,40.31,40.94,17.66,2659400
2000-11-08,40.31,40.88,40.25,40.62,17.79,2234700
2000-11-09,40.62,41.25,40.56,41.25,18.06,876800
2000-11-10,41.25,42.19,41.06,42.0,18.39,1197500
2000-11-13,42.0,43.25,41.62,41.94,18.36,1300600
2000-11-14,41.31,41.5,40.62,40.81,17.87,715600
2000-11-15,41.06,41.62,40.81,41.44,18.14,1010100
2000-11-16,41.31,42.44,41.31,42.25,18.5,836500
2000-11-17,42.25,43.06,42.0,43.0,18.82,626000
2000-11-20,43.25,43.88,43.0,43.19,18.91,844600
2000-11-21,42.88,43.88,42.62,43.81,19.18,1340300
2000-11-22,43.56,44.25,43.38,43.62,19.1,1052100
2000-11-24,43.38,43.38,42.88,42.88,18.77,261100
2000-11-27,42.94,43.25,42.5,43.12,18.88,1075600
2000-11-28,43.12,44.19,42.88,43.94,19.24,2044700
2000-11-29,44.0,45.56,44.0,45.56,19.95,1042400
2000-11-30,45.81,46.25,45.62,46.0,20.14,2038300
2000-12-01,45.69,45.88,45.0,45.5,19.92,1646300
2000-12-04,45.12,46.75,45.12,46.38,20.3,1632100
2000-12-05,46.38,46.44,45.62,46.38,20.3,1944300
2000-12-06,46.38,46.94,45.31,45.56,19.95,2245100
2000-12-07,45.69,45.94,44.81,45.06,19.73,1465600
2000-12-08,45.0,45.38,43.88,45.19,19.78,1099400
2000-12-11,45.31,45.31,44.06,44.75,19.59,1039500
2000-12-12,44.75,45.38,44.69,45.25,19.81,960700
2000-12-13,45.31,45.88,45.06,45.31,19.84,1110400
2000-12-14,45.19,45.44,43.81,43.94,19.24,1427400
2000-12-15,43.06,44.31,43.06,43.75,19.15,1640500
2000-12-18,43.75,44.25,43.75,43.94,19.24,758600
2000-12-19,44.19,44.75,44.0,44.69,19.56,1041200
2000-12-20,44.75,47.25,44.5,46.75,20.47,2197200
2000-12-21,46.75,46.75,45.81,46.38,20.3,781800
2000-12-22,45.94,46.81,45.38,46.62,20.41,456000
2000-12-26,47.5,48.94,47.12,48.0,21.01,682000
2000-12-27,48.06,48.75,47.69,47.94,20.99,540200
2000-12-28,47.5,47.75,46.75,47.06,20.6,555700
2000-12-29,46.94,47.25,46.38,46.5,20.36,813400
2001-01-02,46.12,46.12,45.25,45.56,19.95,1197100
2001-01-03,45.56,46.62,43.5,43.75,19.15,1463900
2001-01-04,43.0,43.06,40.5,41.56,18.2,1898000
2001-01-05,41.5,42.44,40.75,40.81,17.87,1489500
2001-01-08,40.81,41.56,40.31,41.5,18.17,1262200
2001-01-09,41.5,42.25,41.12,42.25,18.5,857200
2001-01-10,42.12,42.75,41.38,41.62,18.22,1391700
2001-01-11,41.75,41.75,39.25,39.81,17.43,1553500
2001-01-12,39.62,40.5,39.31,40.5,17.73,1502100
2001-01-16,40.62,40.75,39.44,40.69,17.81,2228300
2001-01-17,40.69,41.44,40.12,40.69,17.81,1274800
2001-01-18,40.44,41.31,40.44,41.19,18.03,1283700
2001-01-19,40.88,42.06,40.06,41.25,18.06,1274700
2001-01-22,41.56,42.5,41.19,41.62,18.22,713600
2001-01-23,42.25,42.81,42.06,42.12,18.44,472800
2001-01-24,42.25,43.44,42.25,43.12,18.88,813800
2001-01-25,44.12,44.19,43.5,43.56,19.07,823500
2001-01-26,43.69,44.06,42.88,43.38,18.99,1162900
2001-01-29,43.36,44.75,43.36,43.86,19.2,565000
2001-01-30,43.94,44.17,43.45,43.93,19.23,747400
2001-01-31,43.93,43.93,43.0,43.25,18.93,1368800
2001-02-01,43.25,43.44,42.71,43.02,18.83,1069100
2001-02-02,43.05,43.8,43.03,43.3,18.96,474500
2001-02-05,43.5,44.19,43.5,44.0,19.26,591500
2001-02-06,44.0,44.6,43.99,44.51,19.49,2436100
2001-02-07,44.75,45.07,44.2,44.37,19.69,774800
2001-02-08,44.55,45.28,44.4,45.2,20.06,718800
2001-02-09,45.6,46.31,45.35,46.12,20.47,1059500
2001-02-12,46.25,46.47,45.0,45.52,20.2,785700
2001-02-13,45.52,46.2,44.81,45.49,20.19,691500
2001-02-14,45.49,46.78,44.9,45.32,20.11,677900
2001-02-15,45.25,45.44,44.85,45.36,20.13,551200
2001-02-16,45.8,46.5,45.8,46.28,20.54,904800
2001-02-20,46.0,47.15,45.98,46.97,20.84,637100
2001-02-21,46.97,47.95,46.83,46.95,20.84,684200
2001-02-22,47.25,47.93,47.05,47.49,21.07,828300
2001-02-23,47.6,47.92,46.03,47.2,20.95,962600
2001-02-26,47.21,48.1,46.85,47.28,20.98,885000
2001-02-27,47.0,47.7,47.0,47.48,21.07,652300
2001-02-28,48.0,48.06,47.05,47.54,21.1,776900
2001-03-01,47.6,47.99,47.3,47.55,21.1,651200
2001-03-02,47.55,47.95,46.62,47.17,20.93,1346900
2001-03-05,47.17,47.35,46.88,47.07,20.89,628200
2001-03-06,47.75,47.75,46.76,47.18,20.94,767900
2001-03-07,46.7,47.49,46.61,47.24,20.96,939600
2001-03-08,46.1,47.14,46.1,46.79,20.76,1212400
2001-03-09,46.79,46.85,46.09,46.64,20.7,1105900
2001-03-12,46.55,47.15,46.43,46.46,20.62,904800
2001-03-13,46.25,46.3,45.69,45.72,20.29,723000
2001-03-14,45.25,45.33,44.4,44.58,19.78,742000
2001-03-15,44.64,45.25,44.6,45.13,20.03,702200
2001-03-16,45.01,45.4,44.45,44.7,19.84,956500
2001-03-19,44.7,44.85,43.95,44.17,19.6,598200
2001-03-20,44.5,45.23,44.08,44.65,19.81,995300
2001-03-21,44.15,44.97,43.76,43.91,19.49,1664900
2001-03-22,43.91,44.1,41.45,42.0,18.64,1141600
2001-03-23,42.3,43.01,42.1,42.75,18.97,1083300
2001-03-26,43.7,44.4,43.5,44.23,19.63,688800
2001-03-27,44.25,45.19,44.25,44.83,19.89,861700
2001-03-28,44.83,45.45,44.3,45.14,20.03,842300
2001-03-29,45.14,45.75,44.15,45.75,20.3,906700
2001-03-30,46.0,47.03,46.0,47.0,20.86,1033700
2001-04-02,47.0,47.74,46.95,47.61,21.13,896200
2001-04-03,47.36,48.4,46.87,48.02,21.31,1578100
2001-04-04,47.55,48.2,47.3,47.61,21.13,1192300
2001-04-05,47.52,47.59,46.9,47.54,21.1,923300
2001-04-06,47.85,47.94,46.0,47.34,21.01,1478500
2001-04-09,47.45,49.0,47.45,48.61,21.57,1212800
2001-04-10,48.62,49.5,48.45,48.59,21.56,1277600
