Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,13.66,13.72,13.31,13.31,10.65,3479800
2010-01-04,13.38,13.7,13.38,13.67,10.94,4597600
2010-01-05,13.67,13.84,13.5,13.53,10.83,5093200
2010-01-06,13.45,13.74,13.38,13.39,10.72,7507300
2010-01-07,13.37,13.58,13.15,13.4,10.73,16843500
2010-01-08,13.39,13.82,13.35,13.78,11.03,5647500
2010-01-11,13.77,14.01,13.76,13.87,11.1,8616600
2010-01-12,13.8,13.87,13.67,13.71,10.97,5703200
2010-01-13,13.74,14.14,13.71,14.08,11.27,5488500
2010-01-14,14.02,14.24,14.0,14.09,11.28,4320900
2010-01-15,14.02,14.22,13.8,14.04,11.24,5588400
2010-01-19,14.03,14.22,13.87,14.13,11.31,4699300
2010-01-20,14.0,14.0,13.56,13.71,10.97,6220700
2010-01-21,13.73,13.9,13.28,13.37,10.7,6068000
2010-01-22,13.39,13.47,13.0,13.02,10.42,6531300
2010-01-25,13.19,13.48,13.09,13.41,10.73,6202100
2010-01-26,13.31,13.31,13.03,13.07,10.46,4829400
2010-01-27,13.07,13.08,12.5,12.88,10.31,11971700
2010-01-28,12.89,12.99,12.47,12.68,10.15,8794600
2010-01-29,12.79,12.83,12.54,12.63,10.11,13698800
2010-02-01,12.66,12.91,12.48,12.89,10.32,5797700
2010-02-02,12.88,13.15,12.76,13.12,10.5,4175300
2010-02-03,12.99,13.18,12.85,12.9,10.33,3366700
2010-02-04,12.77,12.83,11.82,11.84,9.48,16486600
2010-02-05,11.82,11.95,11.46,11.73,9.39,9749800
2010-02-08,11.8,11.99,11.66,11.75,9.4,5248400
2010-02-09,11.94,12.33,11.9,12.13,9.71,9419700
2010-02-10,12.15,12.15,11.8,11.94,9.56,8151700
2010-02-11,11.9,11.98,11.74,11.95,9.56,8128500
2010-02-12,11.79,11.8,11.62,11.77,9.42,10828700
2010-02-16,11.91,11.94,11.69,11.85,9.48,18712000
2010-02-17,11.93,12.04,11.78,12.03,9.63,11136400
2010-02-18,11.98,12.12,11.94,12.03,9.63,7280800
2010-02-19,11.95,12.18,11.85,12.18,9.75,6705500
2010-02-22,12.29,12.29,11.94,12.0,9.6,4871600
2010-02-23,11.96,12.03,11.75,11.77,9.42,5440300
2010-02-24,11.82,11.86,11.6,11.8,9.44,6354300
2010-02-25,11.62,11.76,11.51,11.7,9.36,6364800
2010-02-26,11.77,11.95,11.55,11.69,9.36,7000100
2010-03-01,11.74,11.74,11.08,11.17,8.94,16674600
2010-03-02,11.18,11.64,11.18,11.24,9.0,13684800
2010-03-03,11.41,11.63,11.28,11.52,9.22,8599500
2010-03-04,11.46,11.55,11.25,11.32,9.06,6509100
2010-03-05,11.4,11.65,11.36,11.58,9.27,6780000
2010-03-08,11.59,11.7,11.46,11.49,9.2,8339500
2010-03-09,11.41,11.48,11.33,11.4,9.12,7163700
2010-03-10,11.44,11.44,11.16,11.26,9.01,12657900
2010-03-11,11.24,11.64,11.24,11.6,9.28,9167800
2010-03-12,11.69,11.71,11.54,11.66,9.33,5814100
2010-03-15,11.66,11.66,11.43,11.57,9.26,8602400
2010-03-16,11.8,11.88,11.61,11.88,9.51,5306200
2010-03-17,11.94,12.0,11.71,11.76,9.41,8994000
2010-03-18,11.75,11.83,11.51,11.56,9.25,5940400
2010-03-19,11.46,11.81,11.4,11.46,9.17,9708900
2010-03-22,11.41,11.42,11.18,11.27,9.02,13088000
2010-03-23,11.25,11.36,11.11,11.23,8.99,8879000
2010-03-24,11.17,11.21,11.01,11.02,8.82,11099100
2010-03-25,11.04,11.15,10.73,10.76,8.61,15058400
2010-03-26,10.87,10.97,10.77,10.86,8.69,8682500
2010-03-29,10.91,11.26,10.91,11.24,9.0,8027400
2010-03-30,11.22,11.23,11.0,11.07,8.86,6992400
2010-03-31,10.96,11.12,10.83,11.0,8.8,9039400
2010-04-01,11.07,11.36,11.06,11.3,9.04,7927400
2010-04-05,11.37,11.63,11.27,11.6,9.28,11366000
2010-04-06,11.53,11.86,11.48,11.81,9.45,8670800
2010-04-07,11.78,11.82,11.36,11.4,9.12,7835700
2010-04-08,11.33,11.38,11.23,11.28,9.03,7767700
2010-04-09,11.31,11.39,11.2,11.28,9.03,7910400
2010-04-12,11.36,11.46,11.25,11.28,9.03,5488400
2010-04-13,11.28,11.3,11.09,11.26,9.01,6883700
2010-04-14,11.3,11.68,11.25,11.63,9.31,9120200
2010-04-15,11.63,11.92,11.56,11.77,9.42,7787900
2010-04-16,11.75,11.82,11.47,11.56,9.25,19693700
2010-04-19,11.48,11.64,11.48,11.56,9.25,8793500
2010-04-20,11.61,11.96,11.6,11.94,9.56,8423300
2010-04-21,11.89,12.28,11.89,12.27,9.82,9541200
2010-04-22,12.17,12.39,11.94,12.34,9.88,10427500
2010-04-23,12.36,12.46,12.19,12.37,9.9,8605300
2010-04-26,12.38,12.38,12.12,12.15,9.72,11074900
2010-04-27,12.12,12.12,11.64,11.65,9.32,14631900
2010-04-28,11.76,11.92,11.55,11.68,9.35,7572500
2010-04-29,11.74,11.91,11.64,11.7,9.36,5705600
2010-04-30,11.8,11.9,11.54,11.54,9.24,6231400
2010-05-03,11.64,12.1,11.53,12.06,9.65,9668400
2010-05-04,11.84,11.88,11.53,11.61,9.29,9795900
2010-05-05,11.31,11.52,11.05,11.09,8.88,9716700
2010-05-06,11.02,11.13,9.99,10.71,8.57,15479200
2010-05-07,10.56,10.63,9.74,9.89,7.92,21615000
2010-05-10,10.48,11.18,10.44,10.65,8.52,12474900
2010-05-11,10.56,10.99,10.38,10.79,8.64,10012500
2010-05-12,10.96,11.12,10.89,11.11,8.89,8417500
2010-05-13,11.05,11.12,10.85,10.9,8.72,4872900
2010-05-14,10.9,10.9,10.52,10.66,8.53,6201700
2010-05-17,10.69,10.74,10.15,10.36,8.29,11305100
2010-05-18,10.4,10.44,9.9,10.0,8.0,11212900
2010-05-19,9.92,10.03,9.67,9.82,7.86,11239000
2010-05-20,9.47,9.54,9.18,9.22,7.38,15322700
2010-05-21,9.07,9.63,9.01,9.62,7.7,16178900
2010-05-24,9.58,9.62,9.32,9.35,7.48,7644000
2010-05-25,9.08,9.64,8.94,9.63,7.71,12754200
2010-05-26,9.8,10.08,9.72,9.92,7.94,14321800
2010-05-27,10.08,10.26,9.57,10.23,8.19,7576300
2010-05-28,10.25,10.48,10.17,10.27,8.22,6248800
2010-06-01,10.08,10.13,9.46,9.47,7.58,13109100
2010-06-02,9.62,9.85,9.51,9.85,7.88,10818700
2010-06-03,9.82,10.04,9.68,9.99,8.0,8443400
2010-06-04,9.69,10.0,9.55,9.6,7.68,9550900
2010-06-07,9.61,9.92,9.59,9.61,7.69,8153400
2010-06-08,9.65,9.78,9.46,9.7,7.76,7460400
2010-06-09,9.78,10.14,9.76,9.8,7.84,9222400
2010-06-10,10.05,10.44,10.04,10.36,8.29,10847200
2010-06-11,10.21,10.41,10.2,10.38,8.31,6375900
2010-06-14,10.49,10.64,10.36,10.38,8.31,6985600
2010-06-15,10.51,10.78,10.43,10.75,8.6,6026200
2010-06-16,10.54,10.75,10.49,10.65,8.52,5949800
2010-06-17,10.76,10.76,10.38,10.6,8.48,6574600
2010-06-18,10.57,10.61,10.46,10.51,8.41,9506500
2010-06-21,10.67,10.82,10.42,10.54,8.44,6078400
2010-06-22,10.55,10.59,10.14,10.17,8.14,7157500
2010-06-23,10.17,10.2,9.91,10.02,8.02,5447400
2010-06-24,9.98,10.06,9.66,9.68,7.75,9017100
2010-06-25,9.75,9.97,9.65,9.86,7.89,16158400
2010-06-28,9.97,9.97,9.72,9.77,7.82,4400100
2010-06-29,9.63,9.66,9.22,9.25,7.4,8416200
2010-06-30,9.24,9.49,9.15,9.24,7.4,9740700
2010-07-01,9.2,9.23,8.99,9.09,7.28,8170600
2010-07-02,9.17,9.35,9.04,9.12,7.3,4869900
2010-07-06,9.26,9.39,8.82,8.9,7.12,8637100
2010-07-07,9.0,9.92,8.95,9.86,7.89,17659400
2010-07-08,10.06,10.06,9.65,9.79,7.84,8103800
2010-07-09,9.67,10.27,9.67,10.23,8.19,12917700
2010-07-12,10.17,10.28,10.07,10.25,8.2,6444500
2010-07-13,10.41,10.46,10.16,10.23,8.19,4839100
2010-07-14,10.16,10.39,10.1,10.21,8.17,5886900
2010-07-15,10.17,10.23,10.0,10.2,8.16,5184700
2010-07-16,10.11,10.14,9.91,9.98,7.99,7567800
2010-07-19,10.08,10.14,9.97,10.07,8.06,3161100
2010-07-20,9.9,10.3,9.89,10.25,8.2,4050500
2010-07-21,10.28,10.33,9.96,10.03,8.03,4990300
2010-07-22,10.16,10.43,10.11,10.39,8.32,5488100
2010-07-23,10.39,10.49,10.26,10.46,8.37,5933900
2010-07-26,10.43,10.5,10.36,10.47,8.38,4165100
2010-07-27,10.54,10.71,10.43,10.71,8.57,6921900
2010-07-28,10.63,10.69,10.49,10.55,8.44,3270600
2010-07-29,10.66,10.68,10.27,10.34,8.28,4291500
2010-07-30,10.22,10.37,10.12,10.31,8.25,4133400
2010-08-02,10.46,10.79,10.46,10.76,8.61,5462900
2010-08-03,10.69,10.75,10.42,10.45,8.36,5012400
2010-08-04,10.44,10.6,10.33,10.54,8.44,3318000
2010-08-05,10.45,10.74,10.42,10.67,8.54,4052200
2010-08-06,10.56,10.71,10.03,10.65,8.52,7938200
2010-08-09,10.7,11.14,10.66,11.07,8.86,9045600
2010-08-10,10.93,11.4,10.91,11.16,8.93,9361500
2010-08-11,10.96,11.01,10.6,10.61,8.49,5679800
2010-08-12,10.48,10.75,10.3,10.59,8.48,4506800
2010-08-13,10.52,10.95,10.51,10.62,8.5,4378100
2010-08-16,10.54,10.77,10.33,10.66,8.53,4505900
2010-08-17,10.77,11.04,10.63,10.93,8.75,4741200
2010-08-18,10.9,11.05,10.82,10.9,8.72,4265800
2010-08-19,10.85,10.85,10.56,10.58,8.47,4523900
2010-08-20,10.5,10.54,10.37,10.4,8.32,5073600
2010-08-23,10.47,10.63,10.42,10.46,8.37,3269500
2010-08-24,10.31,10.46,10.21,10.27,8.22,6723400
2010-08-25,10.26,10.49,10.13,10.43,8.35,7568200
2010-08-26,10.52,10.62,10.35,10.4,8.32,7604100
2010-08-27,10.51,10.63,10.29,10.6,8.48,4382500
2010-08-30,10.57,10.63,10.39,10.4,8.32,2539900
2010-08-31,10.35,10.49,10.21,10.24,8.2,6239500
2010-09-01,10.36,10.68,10.29,10.66,8.53,5449500
2010-09-02,10.7,10.93,10.56,10.93,8.75,3722600
2010-09-03,10.95,11.15,10.91,11.14,8.92,3586800
2010-09-07,11.02,11.05,10.85,11.0,8.8,2900000
2010-09-08,11.06,11.24,10.97,11.02,8.82,3858400
2010-09-09,11.15,11.19,10.96,11.11,8.89,2883500
2010-09-10,11.08,11.12,11.0,11.05,8.84,2354400
2010-09-13,11.17,11.21,11.07,11.16,8.93,4350400
2010-09-14,11.1,11.29,11.02,11.19,8.96,3480600
2010-09-15,11.15,11.16,10.88,10.98,8.79,4611000
2010-09-16,10.88,10.97,10.77,10.9,8.72,1989300
2010-09-17,11.01,11.04,10.78,10.88,8.71,4327700
2010-09-20,10.88,11.41,10.88,11.38,9.11,5320900
2010-09-21,11.36,11.54,11.21,11.38,9.11,6998200
2010-09-22,11.31,11.44,11.14,11.25,9.0,4167900
2010-09-23,11.12,11.17,11.02,11.09,8.88,3272600
2010-09-24,11.24,11.36,11.16,11.35,9.08,3086000
2010-09-27,11.35,11.5,11.33,11.39,9.12,4021700
2010-09-28,11.44,11.5,11.25,11.48,9.19,5047100
2010-09-29,11.37,11.5,11.21,11.39,9.12,5841500
2010-09-30,11.47,11.57,11.21,11.35,9.08,4932400
2010-10-01,11.44,11.57,11.38,11.54,9.24,3966600
2010-10-04,11.5,11.6,11.3,11.37,9.1,2770400
2010-10-05,11.55,11.73,11.51,11.68,9.35,3050800
2010-10-06,11.63,11.77,11.58,11.75,9.4,3722600
2010-10-07,11.8,11.83,11.69,11.8,9.44,3926000
2010-10-08,11.84,12.04,11.77,11.97,9.58,3579700
2010-10-11,12.04,12.41,12.0,12.22,9.78,6411600
2010-10-12,12.24,12.34,12.12,12.3,9.85,5162100
2010-10-13,12.38,12.54,12.31,12.52,10.02,5852100
2010-10-14,12.49,12.54,12.25,12.28,9.83,5117400
2010-10-15,12.45,12.49,12.21,12.32,9.86,4647200
2010-10-18,12.34,12.52,12.28,12.46,9.97,4602800
2010-10-19,12.25,12.38,12.1,12.18,9.75,5499400
2010-10-20,12.2,12.37,12.17,12.25,9.81,5910500
2010-10-21,12.3,12.41,12.05,12.18,9.75,6679500
2010-10-22,12.21,12.36,12.18,12.31,9.85,3706800
2010-10-25,12.46,12.49,12.25,12.32,9.86,4112800
2010-10-26,12.24,12.25,12.04,12.11,9.69,4616500
2010-10-27,11.95,11.98,11.66,11.87,9.5,5976600
2010-10-28,11.98,12.08,11.89,11.96,9.57,2816200
2010-10-29,11.94,12.11,11.9,11.94,9.56,4196000
2010-11-01,12.06,12.14,11.73,11.83,9.47,4552300
2010-11-02,12.0,12.02,11.89,11.96,9.57,4873500
2010-11-03,11.96,12.03,11.7,11.9,9.52,3646500
2010-11-04,11.96,12.11,11.87,11.95,9.56,7175900
2010-11-05,11.93,11.97,11.71,11.76,9.41,4493200
2010-11-08,11.75,11.79,11.61,11.76,9.41,6024900
2010-11-09,11.77,11.87,11.62,11.68,9.35,6237000
2010-11-10,11.63,11.71,11.51,11.7,9.36,4841600
2010-11-11,11.59,11.73,11.52,11.7,9.36,3801500
2010-11-12,11.63,11.66,11.42,11.46,9.17,4713300
2010-11-15,11.52,11.7,11.52,11.56,9.25,5054400
2010-11-16,11.5,11.54,11.22,11.47,9.18,8100200
2010-11-17,11.42,11.63,11.35,11.51,9.21,5744800
2010-11-18,11.61,11.64,11.46,11.47,9.18,6577500
2010-11-19,11.44,11.46,11.19,11.25,9.0,6759900
2010-11-22,11.21,11.33,11.01,11.27,9.02,5404300
2010-11-23,11.11,11.13,10.87,10.89,8.72,6218300
2010-11-24,10.94,11.07,10.79,10.9,8.72,8759500
2010-11-26,10.85,11.1,10.81,10.93,8.75,3612200
2010-11-29,10.83,10.91,10.7,10.86,8.69,5658400
2010-11-30,10.72,10.85,10.7,10.81,8.65,5082400
2010-12-01,10.95,11.0,10.87,10.92,8.74,5010400
2010-12-02,10.95,11.3,10.91,11.27,9.02,9026500
2010-12-03,11.16,11.43,11.16,11.4,9.12,6374600
2010-12-06,11.36,11.57,11.28,11.49,9.2,6901900
2010-12-07,11.62,11.7,11.4,11.43,9.15,6437900
2010-12-08,11.46,11.54,11.27,11.35,9.08,2912800
2010-12-09,11.44,11.52,11.33,11.35,9.08,3719800
2010-12-10,11.35,11.45,11.31,11.39,9.12,2152000
2010-12-13,11.46,11.46,11.35,11.39,9.12,2364400
2010-12-14,11.4,11.46,11.24,11.31,9.05,3297800
2010-12-15,11.25,11.38,11.15,11.19,8.96,3390200
2010-12-16,11.19,11.32,11.09,11.31,9.05,2722200
2010-12-17,11.32,11.48,11.28,11.44,9.16,8934800
2010-12-20,11.53,11.76,11.52,11.76,9.41,5309100
2010-12-21,11.76,12.28,11.75,12.12,9.7,13015300
2010-12-22,12.08,12.46,12.05,12.36,9.89,8952400
2010-12-23,12.35,12.41,12.23,12.23,9.79,8260700
2010-12-27,12.15,12.21,12.1,12.17,9.74,2415500
2010-12-28,12.18,12.2,12.04,12.09,9.68,2481000
2010-12-29,12.12,12.17,12.09,12.15,9.72,1818000
2010-12-30,12.12,12.27,12.1,12.2,9.77,2636800
2010-12-31,12.16,12.27,12.15,12.18,9.75,2171400
2011-01-03,12.34,12.68,12.23,12.54,10.04,10313500
2011-01-04,12.52,12.6,12.39,12.6,10.09,5636100
2011-01-05,12.51,12.85,12.46,12.77,10.22,9064600
2011-01-06,12.74,13.0,12.63,12.99,10.4,13255400
2011-01-07,12.99,13.17,12.81,12.99,10.4,10993300
2011-01-10,12.9,13.0,12.81,12.97,10.38,4636800
2011-01-11,13.03,13.26,12.93,13.14,10.52,8020900
2011-01-12,13.22,13.27,12.86,12.94,10.36,8323300
2011-01-13,12.94,13.08,12.84,12.93,10.35,2484800
2011-01-14,12.9,13.09,12.87,12.99,10.4,3217600
2011-01-18,12.95,13.1,12.9,12.95,10.37,3881200
2011-01-19,12.91,13.0,12.58,12.75,10.21,4876200
2011-01-20,12.75,13.05,12.71,12.92,10.34,6327200
2011-01-21,13.1,13.1,12.82,12.86,10.29,4633500
2011-01-24,12.92,12.98,12.83,12.94,10.36,8125000
2011-01-25,12.9,12.98,12.8,12.83,10.27,4946200
2011-01-26,12.76,12.86,12.6,12.63,10.11,6345800
2011-01-27,12.6,12.86,12.56,12.65,10.13,6544200
2011-01-28,12.65,12.76,12.33,12.37,9.9,6497200
2011-01-31,12.44,12.52,12.19,12.4,9.93,7283800
2011-02-01,12.49,12.78,12.39,12.66,10.13,7967900
2011-02-02,12.56,12.71,12.44,12.56,10.05,3680300
2011-02-03,12.5,12.57,12.3,12.56,10.05,5999000
2011-02-04,12.55,12.57,12.29,12.42,9.94,3997700
2011-02-07,12.43,12.57,12.37,12.55,10.05,2638400
2011-02-08,12.55,12.61,12.47,12.51,10.01,4221300
2011-02-09,12.34,12.43,12.26,12.35,9.89,3333500
2011-02-10,12.28,12.6,12.28,12.49,10.0,5538700
2011-02-11,12.38,12.5,12.19,12.45,9.97,5104900
2011-02-14,12.47,12.58,12.46,12.54,10.04,4059700
2011-02-15,12.51,12.57,12.44,12.53,10.03,3080000
2011-02-16,12.57,12.57,12.32,12.53,10.03,3751800
2011-02-17,12.47,12.88,12.46,12.84,10.28,4178400
2011-02-18,12.86,12.92,12.79,12.88,10.31,3105600
2011-02-22,12.71,12.72,12.32,12.34,9.88,4990500
2011-02-23,12.36,12.43,12.22,12.25,9.81,3983700
2011-02-24,12.23,12.28,11.99,12.07,9.66,4778800
2011-02-25,12.17,12.39,12.1,12.26,9.81,3832100
2011-02-28,12.3,12.6,12.24,12.37,9.9,5660300
2011-03-01,12.41,13.01,12.41,12.73,10.19,8236200
2011-03-02,12.73,12.9,12.65,12.81,10.25,4584800
2011-03-03,12.95,13.13,12.91,13.11,10.49,5489600
2011-03-04,13.12,13.19,13.01,13.09,10.48,5255600
2011-03-07,13.13,13.2,12.87,12.97,10.38,5035900
2011-03-08,12.98,13.25,12.98,13.25,10.61,4902100
2011-03-09,13.18,13.4,12.91,13.38,10.71,4423000
2011-03-10,13.2,13.29,12.97,13.11,10.49,4494500
2011-03-11,13.14,13.24,13.05,13.1,10.49,4166100
