Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1443.33,1445.83,1430.83,1441.67,1004.62,34200
2000-01-03,1428.33,1432.5,1373.33,1385.83,965.71,166500
2000-01-04,1353.33,1361.67,1310.83,1315.0,916.35,364000
2000-01-05,1315.0,1332.5,1288.33,1318.12,918.53,266500
2000-01-06,1320.0,1381.67,1313.33,1358.33,946.55,279100
2000-01-07,1381.67,1465.83,1376.67,1460.0,1017.4,328700
2000-01-10,1460.0,1462.5,1427.5,1434.17,999.4,163000
2000-01-11,1436.67,1452.5,1386.67,1410.83,983.14,194200
2000-01-12,1413.33,1475.0,1413.33,1453.33,1012.75,244400
2000-01-13,1453.33,1507.5,1453.33,1493.33,1040.63,233400
2000-01-14,1497.5,1526.67,1488.33,1520.83,1059.79,283300
2000-01-18,1496.67,1497.5,1438.33,1445.0,1006.94,249000
2000-01-19,1448.33,1465.83,1410.83,1416.67,987.2,237000
2000-01-20,1426.67,1429.17,1373.33,1404.58,978.78,219400
2000-01-21,1403.33,1403.33,1360.83,1385.83,965.71,224100
2000-01-24,1385.83,1396.67,1338.33,1354.17,943.65,168600
2000-01-25,1352.5,1382.5,1348.33,1372.5,956.42,170200
2000-01-26,1375.83,1409.17,1370.0,1406.67,980.23,213400
2000-01-27,1408.33,1412.5,1376.67,1403.33,977.91,203100
2000-01-28,1395.0,1395.0,1346.67,1360.0,947.71,228300
2000-01-31,1366.67,1391.67,1335.0,1391.67,969.78,208800
2000-02-01,1381.67,1385.83,1346.67,1365.0,951.2,210300
2000-02-02,1371.67,1379.17,1350.0,1364.17,950.62,152100
2000-02-03,1353.33,1363.33,1308.33,1350.83,941.32,377600
2000-02-04,1359.17,1365.0,1330.83,1343.33,936.1,139200
2000-02-07,1331.67,1332.5,1297.5,1301.67,907.06,253100
2000-02-08,1285.0,1304.17,1240.83,1279.17,891.38,564200
2000-02-09,1290.0,1301.67,1273.33,1297.5,904.16,357400
2000-02-10,1313.33,1315.0,1243.33,1257.5,876.29,325700
2000-02-11,1270.83,1276.67,1250.83,1264.17,880.93,233900
2000-02-14,1271.67,1282.5,1245.0,1249.17,870.48,179000
2000-02-15,1253.33,1296.67,1240.0,1285.83,896.03,307400
2000-02-16,1266.67,1273.33,1240.0,1253.33,873.38,248700
2000-02-17,1271.67,1272.5,1225.0,1235.0,860.61,225400
2000-02-18,1223.33,1230.0,1180.0,1192.5,830.99,416900
2000-02-22,1184.17,1190.0,1140.0,1156.67,806.02,446000
2000-02-23,1143.33,1154.17,1127.5,1140.0,794.41,474200
2000-02-24,1136.67,1138.33,1103.33,1108.33,772.34,394400
2000-02-25,1111.67,1135.83,1108.33,1115.0,776.98,285900
2000-02-28,1133.33,1185.0,1133.33,1162.5,810.09,367500
2000-02-29,1173.33,1199.17,1144.17,1179.17,821.7,373000
2000-03-01,1190.0,1201.67,1168.33,1194.17,832.62,242400
2000-03-02,1190.83,1195.0,1155.0,1160.0,808.8,205300
2000-03-03,1185.0,1185.83,1141.67,1165.0,812.29,232200
2000-03-06,1161.67,1161.67,1117.5,1130.0,787.88,282900
2000-03-07,1133.33,1134.17,1060.0,1085.83,757.09,384800
2000-03-08,1072.5,1135.0,1047.5,1106.67,771.61,473300
2000-03-09,1095.0,1109.17,1077.5,1105.83,771.03,359000
2000-03-10,1108.33,1119.17,1090.0,1106.67,771.61,289600
2000-03-13,1093.33,1152.5,1088.33,1150.0,801.83,320600
2000-03-14,1156.67,1156.67,1137.5,1143.33,797.18,294700
2000-03-15,1151.67,1219.17,1137.5,1219.17,850.05,600600
2000-03-16,1236.67,1336.67,1230.0,1332.5,929.07,554700
2000-03-17,1331.67,1349.17,1289.17,1298.33,905.25,368900
2000-03-20,1313.33,1325.83,1298.33,1320.0,920.36,185400
2000-03-21,1316.67,1351.67,1310.83,1340.0,934.3,304000
2000-03-22,1331.67,1334.17,1309.17,1326.67,925.01,226000
2000-03-23,1329.17,1406.67,1327.5,1390.83,969.75,323400
2000-03-24,1400.0,1445.0,1396.67,1435.0,1000.54,274800
2000-03-27,1425.0,1432.5,1383.33,1388.33,968.0,215700
