Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.22,16.22,16.14,16.19,8.03,43600
2000-01-03,15.94,15.97,15.67,15.91,7.89,258400
2000-01-04,15.75,15.75,15.03,15.19,7.53,140400
2000-01-05,15.03,15.33,14.88,15.25,7.56,177600
2000-01-06,15.25,15.38,15.16,15.22,7.55,214800
2000-01-07,15.5,15.91,15.19,15.81,7.84,235600
2000-01-10,15.5,15.59,15.22,15.23,7.55,212000
2000-01-11,15.23,15.23,14.81,15.14,7.51,136800
2000-01-12,15.08,15.22,15.0,15.02,7.44,72800
2000-01-13,14.95,15.0,14.84,14.98,7.43,136400
2000-01-14,14.98,15.09,14.86,14.91,7.39,157200
2000-01-18,15.12,15.12,15.02,15.02,7.44,199600
2000-01-19,14.97,15.09,14.91,15.0,7.44,238400
2000-01-20,15.06,15.06,14.91,14.98,7.43,177200
2000-01-21,14.92,14.92,14.28,14.28,7.08,260800
2000-01-24,14.22,14.44,14.09,14.14,7.01,410800
2000-01-25,14.14,14.14,13.94,13.94,6.91,196400
2000-01-26,14.0,14.27,14.0,14.23,7.06,162400
2000-01-27,14.3,14.3,13.83,13.84,6.86,233600
2000-01-28,13.75,14.06,13.52,13.52,6.7,144800
2000-01-31,13.64,13.67,13.34,13.44,6.66,161600
2000-02-01,13.5,13.67,13.42,13.64,6.76,138000
2000-02-02,13.7,13.81,13.66,13.7,6.79,134000
2000-02-03,13.81,14.78,13.81,14.72,7.3,538000
2000-02-04,14.88,14.88,14.48,14.67,7.27,143600
2000-02-07,14.66,14.78,14.0,14.0,6.94,113200
2000-02-08,13.94,13.95,13.73,13.92,6.9,226800
2000-02-09,13.94,14.03,13.86,14.03,6.96,154400
2000-02-10,14.03,14.75,14.03,14.12,7.0,282800
2000-02-11,14.03,14.17,13.5,13.56,6.72,130400
2000-02-14,13.56,13.56,13.19,13.36,6.62,210800
2000-02-15,13.3,13.42,13.03,13.19,6.54,114400
2000-02-16,13.17,13.25,13.03,13.23,6.56,85200
2000-02-17,13.09,13.16,12.81,12.92,6.41,118800
2000-02-18,12.86,12.86,12.41,12.42,6.16,148800
2000-02-22,12.42,12.42,12.0,12.17,6.03,454400
2000-02-23,12.23,12.5,12.22,12.5,6.2,185600
2000-02-24,12.53,12.59,12.25,12.45,6.17,113600
2000-02-25,12.45,12.45,12.2,12.2,6.05,94800
2000-02-28,12.38,12.67,12.3,12.58,6.24,166000
2000-02-29,12.52,12.88,12.52,12.78,6.34,194800
2000-03-01,12.73,13.0,12.56,12.56,6.23,153200
2000-03-02,12.62,12.94,12.62,12.77,6.33,146800
2000-03-03,12.69,12.69,12.45,12.5,6.2,194000
2000-03-06,12.44,12.5,11.69,11.75,5.83,228800
2000-03-07,11.88,11.88,11.72,11.84,5.87,74000
2000-03-08,11.83,11.84,11.53,11.75,5.83,120800
2000-03-09,11.81,11.91,11.72,11.86,5.88,293600
2000-03-10,11.83,12.0,11.78,11.92,5.91,213600
2000-03-13,11.86,12.38,11.84,12.23,6.07,99200
2000-03-14,12.25,12.97,12.25,12.44,6.17,575200
2000-03-15,12.41,13.31,12.22,13.31,6.6,453200
2000-03-16,13.75,16.0,13.75,16.0,7.93,422400
2000-03-17,15.62,15.62,14.5,15.25,7.56,1178000
2000-03-20,15.38,15.5,14.59,14.59,7.24,392800
2000-03-21,14.5,14.5,13.78,14.41,7.14,234800
2000-03-22,14.47,15.0,14.47,15.0,7.44,774200
2000-03-23,14.88,15.47,14.81,15.16,7.51,547200
2000-03-24,15.12,15.5,14.94,15.25,7.56,214600
2000-03-27,15.19,15.19,14.75,15.03,7.45,179200
2000-03-28,15.06,15.19,14.88,15.0,7.44,530000
2000-03-29,14.91,14.97,14.78,14.97,7.54,689600
2000-03-30,14.97,15.97,14.88,15.97,8.04,992200
2000-03-31,16.0,16.44,15.97,16.25,8.18,1202600
2000-04-03,16.12,16.38,15.75,16.38,8.25,198600
2000-04-04,16.25,16.28,15.81,15.97,8.04,148800
2000-04-05,15.97,16.47,15.91,16.38,8.25,716000
2000-04-06,16.38,16.47,16.25,16.41,8.26,324200
2000-04-07,16.5,16.62,16.44,16.47,8.29,245400
2000-04-10,16.47,16.62,16.22,16.34,8.23,456600
2000-04-11,16.34,16.47,16.06,16.31,8.21,75600
2000-04-12,16.25,16.5,16.03,16.38,8.25,109400
2000-04-13,16.47,16.5,16.31,16.41,8.26,132600
2000-04-14,16.28,16.41,15.41,16.12,8.12,560000
2000-04-17,16.06,16.06,14.94,15.59,7.85,760600
2000-04-18,15.59,16.47,15.59,16.41,8.26,248400
2000-04-19,16.41,16.56,16.16,16.31,8.21,260800
2000-04-20,16.34,16.5,16.25,16.47,8.29,340200
2000-04-24,16.34,16.47,16.0,16.47,8.29,156400
2000-04-25,16.47,18.5,16.34,18.16,9.14,406400
2000-04-26,18.12,18.12,17.5,17.53,8.83,456800
2000-04-27,17.38,17.38,16.75,17.31,8.72,344800
2000-04-28,17.44,18.62,17.28,18.62,9.38,243600
2000-05-01,18.25,18.28,17.75,17.81,8.97,548800
2000-05-02,17.56,17.62,17.41,17.5,8.81,370000
2000-05-03,17.81,17.81,17.28,17.44,8.78,456200
2000-05-04,17.47,17.84,17.38,17.75,8.94,137600
2000-05-05,17.75,18.0,17.66,18.0,9.06,180800
2000-05-08,18.0,18.22,17.69,17.81,8.97,209800
2000-05-09,17.69,18.22,17.56,17.88,9.0,346200
2000-05-10,17.91,17.94,17.69,17.84,8.98,158200
2000-05-11,17.97,18.22,17.91,18.0,9.06,188200
2000-05-12,18.12,18.16,17.66,18.09,9.11,331000
2000-05-15,17.97,19.31,17.75,19.16,9.65,206800
2000-05-16,19.16,19.44,18.81,18.88,9.5,256200
2000-05-17,18.88,18.88,18.44,18.62,9.38,116600
2000-05-18,18.5,19.75,18.5,19.44,9.79,278800
2000-05-19,18.88,19.25,18.75,19.0,9.57,375200
