Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.79,2.83,2.77,2.82,2.44,159900.0
2000-01-03,2.81,2.82,2.8,2.81,2.43,576400.0
2000-01-04,2.81,2.83,2.8,2.81,2.42,254400.0
2000-01-05,2.8,2.86,2.78,2.83,2.45,141000.0
2000-01-06,2.83,2.84,2.74,2.81,2.43,130200.0
2000-01-07,2.8,2.88,2.8,2.85,2.46,183600.0
2000-01-10,2.87,2.96,2.86,2.94,2.54,89700.0
2000-01-11,2.93,2.93,2.84,2.86,2.47,515700.0
2000-01-12,2.84,2.87,2.83,2.87,2.48,78900.0
2000-01-13,2.85,2.88,2.81,2.83,2.45,126100.0
2000-01-14,2.83,2.85,2.8,2.81,2.42,186300.0
2000-01-18,2.81,2.94,2.81,2.94,2.54,274600.0
2000-01-19,2.94,2.95,2.87,2.89,2.49,592600.0
2000-01-20,2.89,2.92,2.87,2.91,2.51,235500.0
2000-01-21,2.89,2.9,2.88,2.9,2.5,452200.0
2000-01-24,2.9,2.91,2.79,2.79,2.41,187600.0
2000-01-25,2.76,2.76,2.69,2.74,2.37,248400.0
2000-01-26,2.76,2.81,2.73,2.81,2.43,230100.0
2000-01-27,2.85,2.98,2.83,2.97,2.57,541300.0
2000-01-28,2.96,3.03,2.93,3.03,2.61,469800.0
2000-01-31,3.07,3.26,3.06,3.26,2.81,432600.0
2000-02-01,3.26,3.28,2.93,2.93,2.53,523000.0
2000-02-02,2.94,2.94,2.76,2.76,2.38,839700.0
2000-02-03,2.76,2.77,2.68,2.71,2.34,335400.0
2000-02-04,2.7,2.72,2.67,2.69,2.33,157200.0
2000-02-07,2.69,2.69,2.64,2.66,2.29,124200.0
2000-02-08,2.67,2.7,2.59,2.65,2.29,639100.0
2000-02-09,2.66,2.66,2.55,2.59,2.24,237600.0
2000-02-10,2.59,2.59,2.42,2.44,2.11,433900.0
2000-02-11,2.44,2.66,2.44,2.66,2.29,1080600.0
2000-02-14,2.65,2.66,2.62,2.66,2.29,149100.0
2000-02-15,2.67,2.69,2.64,2.66,2.29,524400.0
2000-02-16,2.65,2.67,2.62,2.64,2.28,301600.0
2000-02-17,2.61,2.67,2.61,2.66,2.29,385300.0
2000-02-18,2.66,2.66,2.61,2.62,2.26,116100.0
2000-02-22,2.62,2.69,2.56,2.69,2.32,197100.0
2000-02-23,2.69,2.69,2.56,2.59,2.24,353700.0
2000-02-24,2.58,2.58,2.54,2.54,2.19,228700.0
2000-02-25,2.52,2.62,2.48,2.56,2.21,351000.0
2000-02-28,2.54,2.54,2.46,2.49,2.15,196300.0
2000-02-29,2.49,2.53,2.47,2.51,2.17,334000.0
2000-03-01,2.51,2.74,2.41,2.74,2.37,739000.0
2000-03-02,2.72,2.72,2.63,2.64,2.28,250300.0
2000-03-03,2.63,2.63,2.56,2.58,2.23,258400.0
2000-03-06,2.58,2.6,2.56,2.6,2.25,308400.0
2000-03-07,2.6,2.6,2.56,2.58,2.23,573000.0
2000-03-08,2.56,2.64,2.56,2.63,2.27,322600.0
2000-03-09,2.64,2.64,2.57,2.58,2.23,416400.0
2000-03-10,2.55,2.56,2.48,2.48,2.14,314500.0
2000-03-13,2.49,2.57,2.48,2.55,2.2,251100.0
2000-03-14,2.56,2.56,2.3,2.37,2.05,1003000.0
2000-03-15,2.37,2.39,2.33,2.39,2.07,540000.0
2000-03-16,2.39,2.53,2.39,2.53,2.19,579700.0
2000-03-17,2.45,2.64,2.45,2.64,2.29,508200.0
2000-03-20,2.62,2.66,2.62,2.65,2.3,166000.0
2000-03-21,2.63,2.64,2.56,2.6,2.26,162600.0
2000-03-22,2.62,2.69,2.62,2.69,2.34,440700.0
2000-03-23,2.71,2.81,2.71,2.73,2.37,431200.0
2000-03-24,2.79,2.81,2.75,2.78,2.41,327300.0
2000-03-27,2.8,2.81,2.76,2.76,2.39,383400.0
2000-03-28,2.74,2.74,2.61,2.62,2.27,171400.0
2000-03-29,2.64,2.65,2.55,2.58,2.24,153100.0
2000-03-30,2.59,2.88,2.59,2.81,2.44,433900.0
2000-03-31,2.82,2.96,2.82,2.85,2.47,644500.0
2000-04-03,2.82,2.93,2.81,2.92,2.53,675600.0
2000-04-04,2.92,2.93,2.89,2.91,2.52,309700.0
2000-04-05,2.91,2.95,2.9,2.91,2.52,256500.0
2000-04-06,2.91,2.96,2.91,2.96,2.57,405600.0
2000-04-07,2.96,3.0,2.96,2.99,2.59,94500.0
2000-04-10,3.02,3.15,2.98,2.98,2.58,398800.0
2000-04-11,2.96,2.98,2.91,2.95,2.56,176800.0
2000-04-12,2.95,2.98,2.93,2.94,2.55,55300.0
2000-04-13,2.96,2.98,2.93,2.94,2.55,101800.0
2000-04-14,2.94,2.96,2.92,2.96,2.57,156600.0
2000-04-17,2.94,2.96,2.83,2.88,2.5,490600.0
2000-04-18,2.92,2.98,2.9,2.94,2.55,172800.0
2000-04-19,2.96,3.04,2.94,3.03,2.62,276000.0
2000-04-20,3.03,3.09,3.01,3.07,2.66,582400.0
2000-04-24,3.09,3.09,2.98,2.99,2.59,213900.0
2000-04-25,3.03,3.07,2.99,3.06,2.65,1278400.0
2000-04-26,3.06,3.07,3.05,3.05,2.64,317200.0
2000-04-27,3.03,3.06,2.98,3.06,2.65,184200.0
2000-04-28,3.06,3.07,3.0,3.05,2.64,294300.0
2000-05-01,2.99,3.19,2.99,3.08,2.67,481200.0
2000-05-02,3.06,3.07,3.02,3.05,2.64,309700.0
2000-05-03,3.01,3.03,2.95,2.95,2.56,203800.0
2000-05-04,2.97,3.11,2.95,3.06,2.66,514300.0
2000-05-05,3.06,3.13,3.06,3.11,2.7,255100.0
2000-05-08,3.11,3.11,3.05,3.07,2.66,259200.0
2000-05-09,3.09,3.09,3.02,3.06,2.66,413700.0
2000-05-10,3.05,3.06,2.96,3.01,2.61,97200.0
2000-05-11,3.03,3.06,2.99,3.0,2.6,157200.0
2000-05-12,3.01,3.02,2.96,3.0,2.6,170100.0
2000-05-15,3.0,3.05,2.98,3.05,2.64,227400.0
2000-05-16,3.06,3.14,3.06,3.11,2.7,363100.0
2000-05-17,3.1,3.1,3.06,3.07,2.66,202500.0
2000-05-18,3.06,3.11,3.03,3.05,2.64,133600.0
2000-05-19,3.03,3.03,2.95,2.96,2.57,83700.0
2000-05-22,2.94,2.96,2.83,2.96,2.57,239500.0
2000-05-23,2.96,2.96,2.86,2.86,2.48,157200.0
2000-05-24,2.86,2.91,2.81,2.89,2.5,236200.0
2000-05-25,2.89,2.91,2.87,2.89,2.5,122800.0
2000-05-26,2.89,2.89,2.83,2.83,2.46,66100.0
2000-05-30,2.87,3.0,2.87,3.0,2.6,226000.0
2000-05-31,3.02,3.08,2.96,3.08,2.67,809200.0
2000-06-01,3.07,3.11,3.06,3.08,2.67,636400.0
2000-06-02,3.1,3.13,3.08,3.1,2.69,336100.0
2000-06-05,3.11,3.11,3.04,3.04,2.63,86400.0
2000-06-06,3.06,3.1,3.06,3.07,2.66,106600.0
2000-06-07,3.04,3.06,3.02,3.04,2.63,105900.0
2000-06-08,3.03,3.03,2.97,2.99,2.59,116100.0
2000-06-09,3.0,3.06,3.0,3.04,2.63,67500.0
2000-06-12,3.06,3.07,3.0,3.03,2.62,298900.0
2000-06-13,2.97,3.02,2.95,2.95,2.56,1057600.0
2000-06-14,2.89,2.96,2.89,2.9,2.52,413100.0
2000-06-15,2.9,2.98,2.88,2.97,2.58,199800.0
2000-06-16,2.94,2.98,2.9,2.93,2.54,555400.0
2000-06-19,2.94,2.96,2.93,2.94,2.56,430600.0
2000-06-20,2.96,2.96,2.91,2.94,2.56,167400.0
2000-06-21,2.95,2.96,2.92,2.96,2.58,135600.0
2000-06-22,2.95,2.96,2.94,2.94,2.55,351600.0
2000-06-23,2.95,2.95,2.93,2.94,2.55,70200.0
2000-06-26,2.96,3.02,2.96,3.01,2.62,54600.0
2000-06-27,3.03,3.06,3.02,3.02,2.62,307000.0
2000-06-28,3.04,3.04,2.99,3.0,2.61,61300.0
2000-06-29,3.01,3.09,3.01,3.06,2.66,78300.0
2000-06-30,3.07,3.07,2.59,2.59,2.25,981400.0
2000-07-03,2.74,3.0,2.74,2.96,2.58,793000.0
2000-07-05,2.95,2.96,2.91,2.92,2.54,237600.0
2000-07-06,2.94,2.99,2.88,2.9,2.52,265900.0
2000-07-07,2.88,2.89,2.81,2.87,2.5,172000.0
2000-07-10,2.87,2.87,2.81,2.84,2.47,91000.0
2000-07-11,2.85,2.98,2.81,2.95,2.57,312400.0
2000-07-12,2.99,3.11,2.97,3.08,2.68,534600.0
2000-07-13,3.11,3.11,3.06,3.07,2.67,276000.0
2000-07-14,3.06,3.08,3.06,3.08,2.68,670200.0
2000-07-17,3.11,3.13,3.09,3.09,2.69,124200.0
2000-07-18,3.09,3.12,3.09,3.1,2.7,164700.0
2000-07-19,3.1,3.13,3.08,3.09,2.69,136900.0
2000-07-20,3.09,3.13,3.06,3.06,2.66,181500.0
2000-07-21,3.09,3.14,3.06,3.06,2.66,87700.0
2000-07-24,3.05,3.05,2.96,2.96,2.58,87000.0
2000-07-25,2.96,3.02,2.95,3.02,2.62,134200.0
2000-07-26,3.04,3.04,2.91,2.91,2.53,213300.0
2000-07-27,2.91,2.95,2.88,2.88,2.5,169300.0
2000-07-28,2.88,2.96,2.88,2.9,2.52,178800.0
2000-07-31,2.94,3.11,2.94,3.08,2.68,307000.0
2000-08-01,3.1,3.13,2.95,2.97,2.58,491400.0
2000-08-02,2.95,3.1,2.94,3.06,2.66,243600.0
2000-08-03,3.05,3.08,3.04,3.06,2.66,132900.0
2000-08-04,3.1,3.1,3.06,3.08,2.68,183600.0
2000-08-07,3.09,3.14,3.07,3.14,2.73,765400.0
2000-08-08,3.15,3.19,3.15,3.18,2.76,197700.0
2000-08-09,3.19,3.19,3.12,3.16,2.74,95100.0
2000-08-10,3.15,3.15,3.09,3.09,2.69,95800.0
2000-08-11,3.1,3.19,3.09,3.18,2.76,213300.0
2000-08-14,3.18,3.19,3.14,3.16,2.74,928000.0
2000-08-15,3.19,3.22,3.16,3.16,2.74,190900.0
2000-08-16,3.18,3.22,3.17,3.19,2.78,188200.0
2000-08-17,3.19,3.19,3.15,3.15,2.74,108600.0
2000-08-18,3.17,3.22,3.17,3.21,2.79,643900.0
2000-08-21,3.23,3.24,3.21,3.22,2.8,41800.0
2000-08-22,3.19,3.2,3.13,3.15,2.74,174100.0
2000-08-23,3.16,3.16,3.04,3.04,2.64,241600.0
2000-08-24,3.07,3.19,3.07,3.18,2.76,170700.0
2000-08-25,3.18,3.19,3.15,3.17,2.75,427200.0
2000-08-28,3.17,3.19,3.16,3.17,2.75,162000.0
2000-08-29,3.17,3.2,3.17,3.19,2.77,175500.0
2000-08-30,3.17,3.19,3.15,3.17,2.75,203800.0
2000-08-31,3.16,3.22,3.04,3.17,2.75,2018200.0
2000-09-01,3.19,3.19,3.15,3.15,2.74,487300.0
2000-09-05,3.17,3.19,3.15,3.18,2.76,141700.0
2000-09-06,3.17,3.18,3.16,3.17,2.75,282100.0
2000-09-07,3.2,3.39,3.19,3.38,2.94,1366800.0
2000-09-08,3.34,3.34,3.19,3.19,2.78,504100.0
2000-09-11,3.21,3.28,3.2,3.25,2.83,640500.0
2000-09-12,3.24,3.25,3.17,3.21,2.79,2705400.0
2000-09-13,3.2,3.2,3.02,3.18,2.77,1030600.0
2000-09-14,3.19,3.2,3.13,3.19,2.78,982800.0
2000-09-15,3.15,3.15,3.08,3.08,2.69,383400.0
2000-09-18,3.06,3.09,3.05,3.05,2.66,238200.0
2000-09-19,3.05,3.11,3.05,3.11,2.71,474400.0
2000-09-20,3.11,3.12,3.04,3.06,2.66,203800.0
2000-09-21,3.02,3.05,2.97,2.98,2.6,319200.0
2000-09-22,2.94,3.06,2.94,3.04,2.65,156600.0
2000-09-25,3.04,3.04,2.99,3.02,2.63,100500.0
2000-09-26,3.04,3.18,3.03,3.1,2.7,223300.0
2000-09-27,3.08,3.08,2.99,3.02,2.63,504900.0
2000-09-28,3.02,3.14,3.01,3.11,2.71,232200.0
2000-09-29,3.07,3.2,3.04,3.14,2.74,495400.0
2000-10-02,3.14,3.14,3.06,3.07,2.68,293500.0
2000-10-03,3.06,3.13,3.06,3.08,2.69,135600.0
2000-10-04,3.08,3.11,3.06,3.09,2.7,170700.0
2000-10-05,3.1,3.12,3.08,3.11,2.71,255100.0
2000-10-06,3.07,3.11,3.06,3.06,2.67,122800.0
2000-10-09,3.08,3.08,3.04,3.06,2.66,358300.0
2000-10-10,3.06,3.06,2.98,3.01,2.62,997600.0
2000-10-11,3.01,3.11,2.99,3.09,2.7,315100.0
2000-10-12,3.07,3.08,2.98,2.98,2.6,204400.0
2000-10-13,2.98,3.05,2.96,3.05,2.66,350200.0
2000-10-16,3.06,3.11,3.05,3.1,2.7,116100.0
2000-10-17,3.14,3.2,3.07,3.19,2.78,1408600.0
2000-10-18,3.17,3.19,3.15,3.17,2.76,211200.0
2000-10-19,3.18,3.21,3.18,3.19,2.78,513000.0
2000-10-20,3.19,3.25,3.19,3.25,2.83,379300.0
2000-10-23,3.23,3.24,3.17,3.21,2.8,963100.0
2000-10-24,3.19,3.2,3.17,3.2,2.79,420400.0
2000-10-25,3.2,3.2,3.14,3.16,2.75,183600.0
2000-10-26,3.14,3.22,3.14,3.19,2.78,1226400.0
2000-10-27,3.19,3.2,3.14,3.14,2.74,168700.0
2000-10-30,3.14,3.14,3.11,3.12,2.72,720100.0
2000-10-31,3.12,3.22,3.04,3.22,2.81,478500.0
2000-11-01,3.2,3.21,3.18,3.2,2.79,189000.0
2000-11-02,3.17,3.23,3.17,3.22,2.81,747900.0
2000-11-03,3.22,3.25,3.19,3.24,2.83,469800.0
2000-11-06,3.25,3.25,3.19,3.22,2.81,685800.0
2000-11-07,3.22,3.28,3.19,3.26,2.84,1046800.0
2000-11-08,3.25,3.26,3.23,3.24,2.83,1621900.0
2000-11-09,3.25,3.25,3.11,3.17,2.76,291600.0
2000-11-10,3.14,3.17,3.11,3.17,2.76,1468800.0
2000-11-13,3.19,3.19,3.16,3.18,2.77,525700.0
2000-11-14,3.19,3.2,3.17,3.19,2.78,348900.0
2000-11-15,3.19,3.26,3.19,3.26,2.84,516300.0
2000-11-16,3.24,3.26,3.2,3.21,2.8,431200.0
2000-11-17,3.24,3.31,3.24,3.29,2.87,309100.0
2000-11-20,3.29,3.29,3.26,3.27,2.85,224700.0
2000-11-21,3.27,3.28,3.24,3.26,2.84,252400.0
2000-11-22,3.24,3.26,3.23,3.26,2.84,302400.0
2000-11-24,3.26,3.31,3.26,3.31,2.89,434700.0
2000-11-27,3.3,3.39,3.3,3.38,2.95,2566900.0
2000-11-28,3.37,3.39,3.33,3.38,2.95,652600.0
2000-11-29,3.35,3.37,3.33,3.37,2.94,567000.0
2000-11-30,3.37,3.38,3.36,3.37,2.94,1782600.0
2000-12-01,3.37,3.37,3.3,3.36,2.93,847800.0
2000-12-04,3.37,3.37,3.31,3.33,2.91,1394500.0
2000-12-05,3.33,3.41,3.33,3.38,2.95,582400.0
2000-12-06,3.39,3.44,3.39,3.41,2.98,1615200.0
2000-12-07,3.39,3.49,3.39,3.45,3.02,282700.0
2000-12-08,3.46,3.54,3.46,3.54,3.09,383400.0
2000-12-11,3.52,3.67,3.52,3.67,3.2,783000.0
2000-12-12,3.66,3.69,3.64,3.65,3.19,663400.0
2000-12-13,3.65,3.66,3.6,3.61,3.16,907800.0
2000-12-14,3.65,3.66,3.63,3.64,3.18,722800.0
2000-12-15,3.62,3.63,3.61,3.63,3.17,940200.0
2000-12-18,3.67,3.74,3.63,3.71,3.25,370500.0
2000-12-19,3.71,3.71,3.68,3.69,3.23,511600.0
2000-12-20,3.69,3.73,3.68,3.71,3.25,312400.0
2000-12-21,3.7,3.77,3.7,3.76,3.29,662100.0
2000-12-22,3.76,3.87,3.76,3.87,3.38,244300.0
2000-12-26,3.87,3.89,3.87,3.88,3.39,337500.0
2000-12-27,3.89,3.99,3.88,3.99,3.49,388000.0
2000-12-28,3.98,3.99,3.76,3.92,3.42,1247400.0
2000-12-29,3.92,3.93,3.84,3.84,3.36,1082700.0
2001-01-02,3.69,3.7,3.51,3.66,3.2,1503100.0
