Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.12,27.25,25.12,26.96,26.45,130900
2000-01-03,26.0,26.0,24.46,24.5,24.03,744000
2000-01-04,24.46,24.46,22.33,22.54,22.11,118800
2000-01-05,22.54,22.54,21.79,22.0,21.58,133600
2000-01-06,22.17,23.33,22.12,22.67,22.24,132100
2000-01-07,22.75,23.67,22.75,23.21,22.77,55500
2000-01-10,23.25,23.83,23.25,23.79,23.34,119200
2000-01-11,23.79,23.79,23.5,23.71,23.26,155500
2000-01-12,23.67,23.75,23.42,23.75,23.3,140100
2000-01-13,24.17,25.25,24.17,24.96,24.48,52300
2000-01-14,25.0,25.54,25.0,25.5,25.01,53700
2000-01-18,25.83,26.83,25.83,26.46,25.95,403200
2000-01-19,26.46,26.46,25.58,26.12,25.63,101500
2000-01-20,26.25,26.33,26.0,26.08,25.59,33700
2000-01-21,26.0,26.12,24.25,24.67,24.2,126900
2000-01-24,24.75,25.33,24.58,24.62,24.16,73000
2000-01-25,24.58,24.58,23.58,23.79,23.34,92200
2000-01-26,24.58,25.42,23.92,24.21,23.75,179500
2000-01-27,24.29,24.33,24.08,24.25,23.79,97600
2000-01-28,24.33,24.33,23.67,23.96,23.5,57600
2000-01-31,23.96,23.96,23.08,23.08,22.64,47200
2000-02-01,23.12,23.29,22.71,23.29,22.85,41500
2000-02-02,23.29,23.71,23.17,23.71,23.26,119100
2000-02-03,23.83,24.5,23.17,24.42,23.95,109000
2000-02-04,24.46,25.58,24.25,25.29,24.81,507900
2000-02-07,25.21,26.0,24.96,25.38,24.89,278800
2000-02-08,25.46,25.71,25.0,25.04,24.56,221500
2000-02-09,25.08,27.04,25.08,26.75,26.24,372600
2000-02-10,26.75,26.75,26.33,26.5,26.0,197700
2000-02-11,26.62,26.79,26.42,26.71,26.2,245200
2000-02-14,26.67,26.67,26.17,26.58,26.08,187200
2000-02-15,26.5,26.58,26.0,26.21,25.71,200700
2000-02-16,26.21,26.21,25.92,26.04,25.55,81100
2000-02-17,26.04,26.04,25.62,25.71,25.22,46300
2000-02-18,25.67,25.67,24.88,24.88,24.4,95200
2000-02-22,24.75,24.79,24.21,24.42,23.95,111300
2000-02-23,24.5,24.83,24.25,24.38,23.91,445500
2000-02-24,24.54,26.0,24.54,25.92,25.42,136900
2000-02-25,25.88,26.33,25.5,25.83,25.34,146800
2000-02-28,25.83,25.88,25.17,25.54,25.06,85800
2000-02-29,25.58,27.5,25.58,26.21,25.71,148000
2000-03-01,26.5,27.12,26.5,26.83,26.32,232000
2000-03-02,26.92,27.08,26.75,26.88,26.36,107500
2000-03-03,27.0,28.42,26.92,28.17,27.63,148800
2000-03-06,28.0,28.0,27.5,27.5,26.98,117400
2000-03-07,27.54,27.54,27.0,27.0,26.49,172800
2000-03-08,27.08,27.08,26.33,26.62,26.12,78400
2000-03-09,26.58,26.58,26.25,26.33,25.83,230800
2000-03-10,26.33,26.33,26.12,26.12,25.63,165300
2000-03-13,26.0,26.08,25.79,25.88,25.38,108900
2000-03-14,25.92,26.17,25.92,26.0,25.5,118000
2000-03-15,26.0,26.0,25.38,25.75,25.26,103800
2000-03-16,25.75,27.54,25.75,27.54,27.02,206400
2000-03-17,27.25,28.71,27.25,28.71,28.16,147000
2000-03-20,29.0,30.33,29.0,29.25,28.69,385800
2000-03-21,29.21,29.83,28.96,29.79,29.22,238900
2000-03-22,29.79,31.67,29.79,31.67,31.06,328200
2000-03-23,32.17,34.0,32.0,33.33,32.7,594600
2000-03-24,33.33,33.33,32.42,32.71,32.09,120700
2000-03-27,32.62,32.62,30.62,30.96,30.37,244300
2000-03-28,30.88,31.0,30.67,30.71,30.12,188100
2000-03-29,30.67,31.75,30.67,31.38,30.78,240100
2000-03-30,31.38,31.38,30.58,30.79,30.21,177600
2000-03-31,31.17,32.5,31.17,31.67,31.06,219300
2000-04-03,31.67,32.25,29.88,30.0,29.43,222400
2000-04-04,30.12,30.38,27.17,27.54,27.02,372900
2000-04-05,27.38,27.38,25.58,26.62,26.12,439800
2000-04-06,26.58,26.58,25.25,25.58,25.1,298600
2000-04-07,25.25,27.62,25.04,27.58,27.06,641400
2000-04-10,27.58,28.33,26.58,26.75,26.24,268500
2000-04-11,26.75,28.33,26.62,27.38,26.85,180400
2000-04-12,27.38,28.33,26.75,27.0,26.49,367000
2000-04-13,27.5,28.25,27.29,27.75,27.22,68500
2000-04-14,27.58,27.58,24.62,24.62,24.16,271000
2000-04-17,24.62,24.96,24.25,24.67,24.2,355800
