Date,Open,High,Low,Close,Adj Close,Volume
2001-10-30,20.25,20.45,20.17,20.45,17.83,45441800
2001-10-31,20.55,21.25,20.5,20.94,18.26,11104400
2001-11-01,21.12,21.3,20.9,21.08,18.38,3901800
2001-11-02,21.02,21.55,21.01,21.45,18.7,4075000
2001-11-05,21.75,21.75,21.38,21.44,18.7,2763800
2001-11-06,21.48,22.15,21.08,22.02,19.2,3248200
2001-11-07,21.88,21.88,21.25,21.62,18.86,2675200
2001-11-08,21.5,21.55,21.0,21.35,18.62,3404000
2001-11-09,21.25,21.25,20.5,21.0,18.31,3291600
2001-11-12,21.0,21.42,20.85,21.42,18.68,973600
2001-11-13,21.7,21.7,21.26,21.38,18.64,1721800
2001-11-14,22.0,23.0,21.77,22.98,20.03,4213000
2001-11-15,22.85,23.38,22.73,23.38,20.38,2310400
2001-11-16,23.45,23.6,23.15,23.4,20.4,2176200
2001-11-19,23.38,23.78,23.2,23.75,20.71,2007200
2001-11-20,23.65,24.62,23.62,24.4,21.27,2803000
2001-11-21,24.35,24.85,24.2,24.5,21.37,2684000
2001-11-23,24.48,24.67,24.48,24.59,21.44,287800
2001-11-26,24.85,25.12,24.15,24.27,21.17,1917400
2001-11-27,24.4,24.92,24.14,24.3,21.19,1148000
2001-11-28,24.27,24.6,23.75,24.48,21.34,625200
2001-11-29,24.75,25.05,24.54,25.0,21.8,1136800
2001-11-30,25.05,25.5,24.9,25.42,22.17,2960200
2001-12-03,25.4,25.65,25.05,25.65,22.36,1270800
2001-12-04,25.67,25.75,25.25,25.75,22.45,794000
2001-12-05,25.9,25.95,24.35,24.43,21.3,1356200
2001-12-06,24.45,24.5,23.67,24.25,21.14,902600
2001-12-07,24.25,24.35,23.8,24.3,21.19,649600
2001-12-10,24.3,24.43,24.08,24.12,21.04,308000
2001-12-11,24.12,24.34,23.85,24.1,21.01,892800
2001-12-12,24.12,24.12,23.92,23.93,20.87,478800
2001-12-13,23.81,24.05,23.45,24.05,20.97,960600
2001-12-14,24.0,24.05,23.67,24.0,20.93,813600
2001-12-17,24.05,24.65,23.96,24.62,21.47,421200
2001-12-18,24.75,24.8,24.61,24.65,21.49,809200
2001-12-19,24.65,24.67,23.88,24.0,20.93,1473200
2001-12-20,23.88,24.0,23.4,23.45,20.45,1312000
2001-12-21,23.4,23.4,22.62,22.88,19.95,4283800
2001-12-24,22.88,22.98,22.8,22.8,19.88,900200
2001-12-26,22.92,23.24,22.92,23.12,20.16,1191600
2001-12-27,23.17,23.65,23.17,23.45,20.45,1925400
2001-12-28,23.48,24.25,23.48,24.25,21.14,1714800
2001-12-31,24.35,25.12,24.35,24.75,21.58,1792800
2002-01-02,24.84,24.84,24.35,24.4,21.27,1933000
2002-01-03,24.4,24.64,24.23,24.23,21.12,625600
2002-01-04,24.25,24.4,23.45,23.93,20.87,2318600
2002-01-07,23.93,23.97,23.5,23.51,20.5,1916400
2002-01-08,23.42,23.92,23.2,23.7,20.66,932000
2002-01-09,23.77,24.12,23.75,23.8,20.75,855000
2002-01-10,23.8,25.37,23.78,25.05,21.84,2550400
2002-01-11,25.05,25.9,24.95,25.75,22.45,1111800
2002-01-14,25.8,26.2,25.42,25.95,22.63,1364600
2002-01-15,25.85,25.85,24.7,25.35,22.1,1426800
2002-01-16,25.23,25.85,24.8,25.5,22.23,1721200
2002-01-17,25.5,25.52,25.0,25.15,21.93,912000
2002-01-18,25.02,25.5,24.91,25.49,22.23,1406000
2002-01-22,25.36,25.94,25.02,25.88,22.56,1613000
2002-01-23,25.7,26.43,25.7,26.13,22.78,1625400
2002-01-24,26.02,26.55,26.02,26.4,23.02,1846800
2002-01-25,26.5,27.05,26.42,26.94,23.49,1670400
2002-01-28,26.7,27.25,26.6,26.88,23.43,1404200
2002-01-29,26.52,26.88,26.48,26.6,23.19,1353400
2002-01-30,26.25,26.65,25.98,26.26,22.9,1301400
2002-01-31,26.3,26.6,25.9,26.6,23.19,2071800
2002-02-01,26.62,27.05,26.5,26.58,23.17,1569400
2002-02-04,26.49,26.5,25.7,26.1,22.76,1055200
2002-02-05,26.15,27.12,25.75,27.12,23.65,1731800
2002-02-06,28.25,28.97,27.76,28.25,24.63,5261000
2002-02-07,28.25,29.42,28.16,28.8,25.11,1815400
2002-02-08,28.88,29.01,28.68,28.85,25.15,1792800
2002-02-11,28.76,29.05,28.68,28.77,25.09,1503800
2002-02-12,28.5,28.55,28.27,28.45,24.81,2127000
2002-02-13,28.55,28.62,27.92,28.02,24.44,1555200
2002-02-14,28.1,28.38,27.88,28.2,24.59,1656000
2002-02-15,28.2,28.25,28.01,28.05,24.46,1526600
2002-02-19,28.0,28.03,26.73,27.18,23.7,2207200
2002-02-20,26.9,27.35,26.88,27.0,23.54,1516600
2002-02-21,26.98,28.27,26.85,27.77,24.22,1646000
2002-02-22,27.73,28.55,27.73,28.17,24.57,1305400
2002-02-25,28.1,28.76,28.03,28.52,24.87,1013000
2002-02-26,28.75,29.48,28.75,29.12,25.39,1992000
2002-02-27,29.05,29.25,28.8,28.99,25.28,2011200
2002-02-28,28.9,29.12,28.67,29.05,25.33,1878800
2002-03-01,28.92,29.02,28.85,29.02,25.31,1153000
