Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,104.16,104.92,103.1,103.17,89.13,1477400
2010-01-04,104.94,106.46,104.53,105.87,91.46,2364900
2010-01-05,105.98,107.16,105.24,107.12,92.54,2464500
2010-01-06,106.78,108.92,106.17,108.8,93.99,2894500
2010-01-07,108.32,108.32,106.18,107.15,92.57,2412200
2010-01-08,106.11,106.8,104.89,106.59,92.08,4106000
2010-01-11,107.45,108.23,105.87,106.91,92.36,2352600
2010-01-12,105.39,106.42,104.76,105.29,90.96,3003100
2010-01-13,104.52,107.1,104.16,106.82,92.28,2481300
2010-01-14,107.08,107.7,106.42,107.4,92.78,1896000
2010-01-15,107.12,108.0,105.95,107.66,93.01,2443100
2010-01-19,107.08,108.6,106.44,108.4,93.65,2948300
2010-01-20,106.74,106.74,105.68,106.46,92.1,3187800
2010-01-21,107.32,107.44,104.74,105.06,90.89,4033800
2010-01-22,104.35,104.88,101.72,102.03,88.27,4450200
2010-01-25,102.81,104.96,102.56,104.0,89.97,3817200
2010-01-26,101.97,103.91,101.67,102.36,88.55,3363100
2010-01-27,102.23,103.06,99.88,101.4,87.72,3265100
2010-01-28,103.04,104.36,100.63,101.69,87.97,3319500
2010-01-29,102.93,103.14,98.08,98.77,85.45,3104300
2010-02-01,99.47,102.53,99.34,102.4,88.59,2497600
2010-02-02,102.42,104.94,101.78,104.63,90.52,2222300
2010-02-03,104.57,104.97,102.72,103.32,89.38,1696700
2010-02-04,102.19,102.59,98.72,98.88,85.54,2742600
2010-02-05,99.06,99.98,95.15,98.4,85.13,4142600
2010-02-08,98.27,99.13,96.88,97.19,84.08,2683100
2010-02-09,98.55,99.85,97.56,98.51,85.22,3843900
2010-02-10,98.03,99.15,96.32,98.55,85.26,4030300
2010-02-11,98.47,99.99,97.88,99.82,86.35,3911800
2010-02-12,98.61,99.9,98.0,99.58,86.15,2828100
2010-02-16,101.99,104.1,100.85,103.68,89.69,4317700
2010-02-17,103.96,104.63,102.94,103.57,89.6,3049200
2010-02-18,101.87,104.03,101.29,103.59,89.62,3296500
2010-02-19,103.09,105.32,102.5,105.01,90.84,3283500
2010-02-22,105.37,105.59,103.04,104.02,89.99,3323500
2010-02-23,103.3,104.16,101.82,102.46,88.64,4844500
2010-02-24,102.09,102.56,101.0,102.27,88.47,3820100
2010-02-25,100.85,103.33,100.07,103.14,89.23,2875100
2010-02-26,103.63,103.97,102.27,103.64,89.66,2375700
2010-03-01,104.01,105.38,103.71,105.03,90.86,2629100
