Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.97,17.16,16.81,17.06,14.6,619400
2000-01-03,17.0,17.0,16.31,16.34,13.98,1195000
2000-01-04,15.94,16.56,15.94,16.38,14.01,1131400
2000-01-05,16.41,16.66,16.19,16.62,14.22,1153200
2000-01-06,16.75,17.19,16.69,16.91,14.46,1161800
2000-01-07,17.09,17.47,16.94,17.31,14.81,944200
2000-01-10,17.31,17.31,16.66,16.84,14.41,903200
2000-01-11,16.78,16.91,16.66,16.78,14.36,792600
2000-01-12,16.88,17.06,16.47,16.69,14.28,1633800
2000-01-13,16.72,17.12,16.66,16.91,14.46,747400
2000-01-14,16.97,17.06,16.59,16.94,14.49,900200
2000-01-18,17.06,18.34,16.97,18.22,15.59,1213200
2000-01-19,18.19,18.22,17.91,18.0,15.4,1336800
2000-01-20,18.12,18.12,17.53,17.94,15.35,1245800
2000-01-21,18.06,18.44,17.84,17.84,15.27,1758600
2000-01-24,17.84,18.03,17.0,17.16,14.68,751000
2000-01-25,17.22,17.94,17.22,17.5,14.97,1513200
2000-01-26,17.53,17.69,16.69,16.69,14.28,1437200
2000-01-27,16.75,16.84,16.34,16.38,14.01,1692400
2000-01-28,16.31,16.44,16.22,16.44,14.06,1454800
2000-01-31,16.47,16.69,16.25,16.41,14.04,1006800
2000-02-01,16.53,17.19,16.38,17.12,14.65,1076400
2000-02-02,16.88,17.19,16.12,16.25,13.9,1524400
2000-02-03,16.28,16.38,15.84,15.91,13.61,1138600
2000-02-04,15.94,16.25,15.84,15.91,13.61,808200
2000-02-07,15.84,16.22,15.81,16.09,13.77,476200
2000-02-08,16.19,16.19,15.38,15.59,13.34,834200
2000-02-09,15.88,15.88,14.81,14.94,12.78,889400
2000-02-10,15.06,15.69,15.03,15.5,13.26,3156600
2000-02-11,15.59,15.62,14.97,15.06,12.89,900800
2000-02-14,15.06,15.62,15.03,15.62,13.37,953800
2000-02-15,15.69,16.5,15.69,16.44,14.06,1342800
2000-02-16,16.38,16.59,16.22,16.38,14.01,966800
2000-02-17,16.41,16.44,15.84,15.88,13.58,791600
2000-02-18,15.81,15.84,15.0,15.16,12.97,539000
2000-02-22,15.31,15.34,15.06,15.09,12.91,851200
2000-02-23,14.94,15.03,14.19,14.44,12.35,1458200
2000-02-24,14.44,14.59,14.0,14.22,12.17,3006000
2000-02-25,14.19,14.56,13.78,14.56,12.46,1742000
2000-02-28,14.56,15.22,14.56,15.0,12.83,1165400
2000-02-29,15.0,15.53,14.62,15.38,13.15,1633000
2000-03-01,15.44,15.75,14.75,15.34,13.13,2731800
2000-03-02,15.31,15.97,15.12,15.34,13.13,5311200
2000-03-03,15.47,15.47,14.75,14.75,12.62,2319600
2000-03-06,14.81,15.5,14.75,15.12,12.96,1555200
2000-03-07,15.28,16.25,15.28,16.12,13.82,3592400
2000-03-08,15.81,17.0,15.66,16.22,13.9,3608200
2000-03-09,16.22,16.22,15.66,15.94,13.66,1824400
2000-03-10,16.06,16.53,15.25,15.62,13.39,1384800
2000-03-13,15.5,16.44,15.31,15.81,13.55,1240600
2000-03-14,16.19,16.22,15.62,16.03,13.74,1604600
2000-03-15,15.91,15.97,15.5,15.56,13.34,1253200
2000-03-16,15.88,16.94,15.72,16.53,14.17,2223000
2000-03-17,16.59,16.59,16.19,16.5,14.14,2925000
