Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.47,31.16,30.35,31.05,18.83,268100
2000-01-03,30.82,31.16,30.3,30.35,18.41,595800
2000-01-04,30.06,30.12,28.91,29.43,17.85,464900
2000-01-05,29.43,29.95,28.73,29.6,17.95,719100
2000-01-06,30.06,32.78,29.43,31.57,19.15,1485100
2000-01-07,31.63,34.23,31.16,33.77,20.48,1297000
2000-01-10,32.38,32.96,31.22,31.68,19.22,1052400
2000-01-11,31.45,32.03,30.01,30.24,18.34,1260600
2000-01-12,30.53,31.28,30.3,30.76,18.65,1592400
2000-01-13,30.59,31.45,30.53,30.53,18.51,479900
2000-01-14,30.53,30.82,29.83,29.95,18.16,1283600
2000-01-18,29.72,29.95,28.45,28.5,17.29,1050000
2000-01-19,29.14,29.26,28.39,28.56,17.32,880300
2000-01-20,28.33,28.33,27.52,27.64,16.76,648000
2000-01-21,28.68,28.97,26.36,26.77,16.24,998600
2000-01-24,28.45,28.45,27.17,27.93,16.94,1053500
2000-01-25,27.98,28.91,27.52,28.73,17.43,1620900
2000-01-26,28.21,29.2,27.64,29.14,17.67,1079500
2000-01-27,28.56,28.85,28.16,28.56,17.32,636900
2000-01-28,28.33,28.33,26.83,27.58,16.73,930900
2000-01-31,27.81,27.81,27.23,27.41,16.62,755100
2000-02-01,27.41,28.56,27.29,28.33,17.18,717300
2000-02-02,28.33,28.5,27.81,28.1,17.04,847000
2000-02-03,28.1,28.73,28.1,28.45,17.25,583800
2000-02-04,28.68,28.68,28.27,28.56,17.32,475400
2000-02-07,28.56,28.68,28.21,28.5,17.29,542300
2000-02-08,28.1,28.56,27.81,27.93,16.94,472100
2000-02-09,27.58,27.75,26.48,26.48,16.06,878200
2000-02-10,26.77,26.77,25.5,25.96,15.74,876400
2000-02-11,25.96,26.25,24.51,24.92,15.11,720200
2000-02-14,25.44,26.54,25.21,26.54,16.09,628700
2000-02-15,26.77,27.46,26.02,26.83,16.27,665200
2000-02-16,26.77,27.06,25.84,25.9,15.71,544400
2000-02-17,26.25,26.77,25.44,26.36,15.99,433400
2000-02-18,26.13,26.19,24.57,25.03,15.18,487600
2000-02-22,24.57,26.19,24.57,25.73,15.6,824200
2000-02-23,25.9,25.96,25.09,25.15,15.25,512500
2000-02-24,25.15,25.32,24.11,24.4,14.8,1063100
2000-02-25,24.63,24.75,24.05,24.17,14.66,1118100
2000-02-28,24.4,24.86,23.99,24.17,14.66,520200
2000-02-29,23.99,24.46,23.7,23.82,14.45,1049600
2000-03-01,23.82,24.17,23.42,23.99,14.55,2037900
2000-03-02,23.99,24.05,23.53,23.59,14.31,1232000
2000-03-03,23.59,24.86,23.59,24.34,14.76,2816800
2000-03-06,24.11,24.11,23.01,23.42,14.2,998500
2000-03-07,23.18,23.3,22.03,22.38,13.57,1115000
2000-03-08,22.14,23.13,21.28,22.95,13.92,1725600
2000-03-09,22.38,24.11,22.14,22.95,13.92,790700
2000-03-10,23.36,23.82,22.55,23.07,13.99,545300
2000-03-13,22.78,23.07,21.97,22.84,13.85,1041000
2000-03-14,22.84,23.3,22.26,23.01,13.96,1068100
2000-03-15,23.07,25.79,22.9,25.32,15.36,2318300
2000-03-16,25.56,28.04,25.56,27.46,16.66,1590300
2000-03-17,27.41,27.46,25.03,25.5,15.46,996600
2000-03-20,25.56,26.65,25.56,25.9,15.71,860300
2000-03-21,25.67,26.42,25.32,26.36,15.99,867100
2000-03-22,25.67,25.73,24.17,25.03,15.18,895200
2000-03-23,25.56,26.71,25.44,26.19,15.88,904200
2000-03-24,25.67,26.94,25.67,26.77,16.24,1072300
2000-03-27,26.36,26.42,25.79,25.84,15.67,631000
2000-03-28,25.79,26.83,25.79,25.96,15.74,703000
2000-03-29,25.84,26.6,25.5,26.31,15.95,883100
2000-03-30,26.36,27.12,25.9,26.6,16.24,1030700
2000-03-31,26.71,27.75,26.31,26.31,16.06,1029100
2000-04-03,26.54,28.21,26.54,27.87,17.02,876300
2000-04-04,28.21,28.33,26.83,27.52,16.81,910500
2000-04-05,27.58,28.68,27.23,27.46,16.77,850200
2000-04-06,27.35,28.16,26.94,27.35,16.7,502100
2000-04-07,27.23,27.46,26.83,27.06,16.52,479900
2000-04-10,27.12,27.93,26.83,27.23,16.63,388600
2000-04-11,27.23,28.97,27.23,28.62,17.48,809600
2000-04-12,29.02,30.12,28.91,29.31,17.9,1170600
2000-04-13,29.02,29.54,27.81,27.81,16.98,694200
2000-04-14,27.81,28.16,26.6,26.77,16.35,879200
2000-04-17,26.88,27.75,26.77,27.64,16.88,1105300
2000-04-18,27.64,27.64,26.25,27.17,16.59,843100
2000-04-19,27.23,27.52,25.5,25.79,15.75,823500
2000-04-20,25.73,28.1,25.73,27.64,16.88,1044500
2000-04-24,26.83,30.01,26.83,29.2,17.83,1282000
2000-04-25,29.6,30.53,28.79,30.3,18.5,1417000
2000-04-26,28.68,30.06,28.27,28.5,17.41,1107000
2000-04-27,28.16,29.31,27.81,28.45,17.37,625600
2000-04-28,27.75,29.02,27.75,28.73,17.55,753400
2000-05-01,28.5,29.66,28.04,29.2,17.83,657200
