Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,41.25,41.62,41.06,41.44,27.02,1111200
2000-01-03,41.44,41.69,39.81,40.19,26.21,2638200
2000-01-04,40.19,41.12,39.75,40.12,26.17,3592100
2000-01-05,41.38,43.31,41.38,42.62,27.8,7631700
2000-01-06,42.62,43.44,41.12,43.06,28.08,4922200
2000-01-07,43.69,44.88,43.69,44.31,28.9,6008300
2000-01-10,44.31,44.5,43.5,43.69,28.49,2403500
2000-01-11,43.69,43.94,42.75,42.88,27.96,2450000
2000-01-12,42.88,44.19,42.5,43.06,28.08,2327800
2000-01-13,43.06,43.38,42.0,42.38,27.63,3035100
2000-01-14,42.94,44.25,42.94,44.0,28.69,3834900
2000-01-18,44.0,45.0,43.12,45.0,29.35,5859800
2000-01-19,45.25,48.12,45.25,47.62,31.06,11463600
2000-01-20,47.62,47.88,45.75,46.5,30.32,8941100
2000-01-21,46.5,46.94,45.0,45.69,29.8,4392500
2000-01-24,45.69,46.19,43.62,44.31,28.9,3306200
2000-01-25,44.75,46.0,44.75,45.69,29.8,5057200
2000-01-26,45.69,46.5,45.0,46.19,30.12,3090100
2000-01-27,46.19,46.88,44.88,45.06,29.39,3339100
2000-01-28,45.06,45.62,44.5,44.62,29.1,2288100
2000-01-31,44.56,44.56,43.94,44.5,29.02,2411800
2000-02-01,44.19,44.19,43.31,43.75,28.53,2675800
2000-02-02,43.75,45.19,43.38,44.62,29.1,3295500
2000-02-03,44.62,45.06,43.12,43.44,28.33,2889100
2000-02-04,43.44,44.19,42.56,44.0,28.69,2927200
2000-02-07,43.88,43.88,41.69,41.81,27.27,3029400
2000-02-08,41.81,42.06,40.0,41.0,26.74,5102700
2000-02-09,40.25,40.25,38.38,39.0,25.52,5525000
2000-02-10,39.0,40.19,38.75,39.75,26.01,4060600
2000-02-11,39.75,40.38,39.12,39.88,26.09,3132800
2000-02-14,39.69,39.69,38.06,38.25,25.03,2606300
2000-02-15,38.25,38.69,37.38,38.5,25.19,3961300
2000-02-16,37.94,37.94,36.88,37.25,24.38,3423000
2000-02-17,37.25,37.88,36.56,37.5,24.54,3400500
2000-02-18,37.5,37.5,35.88,36.0,23.56,5559500
2000-02-22,36.0,39.94,35.88,38.88,25.44,4771400
2000-02-23,38.69,38.69,37.06,37.12,24.29,3880800
2000-02-24,37.0,37.0,35.88,36.56,23.93,4210800
2000-02-25,36.81,38.0,36.81,37.81,24.74,3170600
2000-02-28,37.62,37.62,36.56,37.0,24.21,3573300
2000-02-29,37.0,37.62,36.12,36.94,24.17,3513100
2000-03-01,36.62,36.62,35.94,36.31,23.76,2838000
2000-03-02,36.31,37.19,35.38,35.94,23.52,4058200
2000-03-03,35.94,36.5,35.69,35.94,23.52,3884100
2000-03-06,35.94,36.19,35.0,35.12,22.99,2882000
2000-03-07,35.12,35.12,34.12,34.75,22.74,3565000
2000-03-08,34.19,34.19,33.38,33.38,21.84,4134600
2000-03-09,33.38,34.5,33.25,33.75,22.09,3236800
2000-03-10,33.75,33.94,32.31,32.38,21.19,5114300
2000-03-13,32.38,33.12,32.0,32.62,21.35,3422700
2000-03-14,32.62,33.81,32.44,33.06,21.64,3727900
2000-03-15,33.06,35.5,32.88,34.88,22.82,4859300
