Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.97,17.08,16.86,17.06,8.64,860800
2000-01-03,16.72,16.87,16.38,16.67,8.45,3878200
2000-01-04,16.4,16.57,16.23,16.3,8.26,1740400
2000-01-05,16.3,17.21,16.16,17.01,8.62,4200400
2000-01-06,16.8,17.52,16.8,17.36,8.8,3350600
2000-01-07,17.48,18.38,17.42,18.35,9.3,4469900
2000-01-10,18.4,18.4,17.59,17.65,8.94,1916400
2000-01-11,17.45,17.82,17.33,17.65,8.94,2438500
2000-01-12,17.7,17.76,17.45,17.45,8.84,1862300
2000-01-13,17.59,18.16,17.52,17.86,9.05,2743800
2000-01-14,17.65,17.79,16.92,17.31,8.77,4230600
2000-01-18,17.25,17.38,16.97,17.09,8.66,2381100
2000-01-19,17.09,17.21,16.92,17.06,8.64,2603900
2000-01-20,16.99,17.08,16.43,16.57,8.39,5330400
2000-01-21,16.57,16.57,16.4,16.5,8.36,5988700
2000-01-24,16.5,16.55,15.99,16.11,8.16,3413500
2000-01-25,16.06,16.07,15.28,15.75,7.98,7155900
2000-01-26,15.68,15.99,15.21,15.75,7.98,9850800
2000-01-27,16.16,17.38,16.02,17.13,8.68,11235600
2000-01-28,17.13,18.04,16.84,17.03,8.63,7589300
2000-01-31,17.38,17.48,17.09,17.35,8.79,7941300
2000-02-01,17.35,17.35,17.01,17.14,8.69,2967600
2000-02-02,17.08,17.28,16.87,17.21,8.72,4690100
2000-02-03,17.25,17.31,17.06,17.25,8.74,3586600
2000-02-04,17.18,17.35,17.18,17.25,8.74,4687500
2000-02-07,17.18,17.28,16.97,17.13,8.68,3216200
2000-02-08,17.06,17.33,16.96,17.09,8.66,2740100
2000-02-09,16.84,17.11,16.33,17.08,8.65,4550500
2000-02-10,17.08,17.08,16.19,16.45,8.33,3118200
2000-02-11,16.4,16.41,16.02,16.09,8.15,2643300
2000-02-14,16.19,16.45,16.02,16.23,8.22,2705500
2000-02-15,16.09,16.23,15.82,16.06,8.14,5548000
2000-02-16,16.02,16.06,15.62,15.72,7.96,4143300
2000-02-17,15.72,15.75,15.5,15.67,7.94,4079200
