Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,27.25,27.5,27.25,27.38,13.95,405000
2000-01-03,27.12,27.19,25.62,25.81,13.15,571300
2000-01-04,25.81,25.88,24.75,25.06,12.77,766700
2000-01-05,25.12,25.69,24.94,25.38,12.93,620200
2000-01-06,25.44,26.69,25.31,26.56,13.54,691500
2000-01-07,27.25,27.25,26.44,26.75,13.63,579500
2000-01-10,26.88,27.0,25.69,26.06,13.28,477600
2000-01-11,25.81,25.94,25.25,25.38,12.93,319700
2000-01-12,25.5,26.38,25.44,26.0,13.36,515300
2000-01-13,26.56,28.62,26.56,28.12,14.45,1989500
2000-01-14,28.25,29.25,28.25,29.19,14.99,1026700
2000-01-18,29.0,29.0,27.69,27.88,14.32,1078700
2000-01-19,28.38,28.5,27.31,27.5,14.13,573600
2000-01-20,27.5,27.62,26.38,26.5,13.61,431300
2000-01-21,27.19,27.19,26.44,26.75,13.74,502800
2000-01-24,26.75,26.75,25.75,26.0,13.36,407500
2000-01-25,25.88,26.44,25.62,26.0,13.36,456600
2000-01-26,26.06,27.62,25.94,27.62,14.19,695100
2000-01-27,28.5,28.69,27.62,28.0,14.38,667200
2000-01-28,27.75,27.75,26.88,27.62,14.19,684300
2000-01-31,27.38,28.12,27.0,28.12,14.45,831700
2000-02-01,28.12,28.75,27.62,28.5,14.64,635100
2000-02-02,29.12,29.12,28.0,28.19,14.48,614000
2000-02-03,28.12,28.62,27.81,28.5,14.64,819600
2000-02-04,28.44,28.44,27.38,27.5,14.13,394100
2000-02-07,25.06,26.25,25.06,26.25,13.48,2087800
2000-02-08,26.19,26.38,25.94,26.06,13.39,970000
2000-02-09,26.19,26.19,25.69,25.94,13.32,1075600
2000-02-10,25.75,25.94,25.0,25.25,12.97,376800
2000-02-11,25.25,25.88,25.0,25.38,13.03,603600
2000-02-14,25.44,25.5,24.69,25.0,12.84,680400
2000-02-15,25.0,25.88,24.81,25.75,13.23,779500
2000-02-16,25.62,25.75,24.94,25.0,12.84,491500
2000-02-17,25.0,25.12,23.69,24.06,12.36,642800
2000-02-18,24.12,24.25,23.38,23.56,12.1,655500
2000-02-22,23.75,24.12,23.38,23.94,12.3,422700
2000-02-23,23.94,23.94,23.06,23.06,11.85,430000
2000-02-24,23.19,23.38,22.06,22.62,11.62,794900
2000-02-25,23.12,23.25,22.5,22.69,11.65,505000
2000-02-28,22.81,23.62,22.69,23.31,11.97,509100
2000-02-29,23.06,23.5,22.56,23.5,12.07,574800
2000-03-01,23.44,23.5,22.62,23.12,11.88,432100
2000-03-02,22.94,23.0,22.38,23.0,11.81,549600
2000-03-03,22.5,23.56,22.5,23.38,12.01,564500
2000-03-06,23.25,23.25,22.19,22.62,11.62,471200
2000-03-07,22.75,22.75,22.0,22.0,11.3,491700
2000-03-08,21.75,22.31,21.69,22.12,11.36,455000
2000-03-09,22.12,22.94,22.0,22.94,11.78,519400
2000-03-10,22.94,22.94,22.31,22.56,11.59,470100
2000-03-13,22.0,22.88,22.0,22.88,11.75,460300
2000-03-14,22.62,22.62,21.69,22.38,11.49,457300
2000-03-15,22.12,25.0,21.94,24.81,12.75,1193500
2000-03-16,24.75,27.31,24.44,27.31,14.03,1192300
2000-03-17,27.56,27.56,25.81,26.75,13.74,1020300
2000-03-20,26.56,26.69,25.0,26.12,13.42,1024800
2000-03-21,26.0,27.62,26.0,27.62,14.19,1026300
2000-03-22,27.5,27.88,27.12,27.75,14.25,441800
2000-03-23,27.5,28.62,27.19,28.62,14.7,612000
2000-03-24,28.25,28.81,27.62,28.38,14.58,661500
2000-03-27,27.88,27.94,27.0,27.5,14.13,394400
2000-03-28,27.38,28.0,27.19,27.56,14.16,397600
2000-03-29,28.75,28.75,27.69,28.19,14.48,461700
2000-03-30,27.69,27.94,27.12,27.31,14.03,393200
2000-03-31,26.75,28.06,26.69,28.06,14.41,598600
2000-04-03,27.88,29.38,27.88,29.31,15.06,561500
2000-04-04,29.62,30.0,28.5,29.69,15.25,1073400
2000-04-05,29.38,29.62,28.81,28.94,14.86,341900
2000-04-06,29.5,29.5,28.12,28.75,14.77,293800
2000-04-07,28.38,28.56,27.88,27.88,14.32,296300
2000-04-10,27.75,28.38,27.12,28.19,14.48,389700
2000-04-11,28.44,28.44,27.75,28.0,14.38,333800
2000-04-12,28.0,29.88,28.0,28.69,14.84,643200
2000-04-13,27.75,28.5,27.75,27.94,14.55,371300
2000-04-14,27.38,27.44,25.75,26.06,13.58,679000
2000-04-17,25.94,26.75,25.88,26.62,13.87,590600
2000-04-18,26.12,26.94,26.0,26.88,14.0,427400
