Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.69,26.94,26.19,26.94,19.82,264300
2000-01-03,26.19,26.25,25.62,26.19,19.27,776300
2000-01-04,25.5,26.0,25.5,25.5,18.76,633300
2000-01-05,25.75,25.94,25.25,25.69,18.9,749800
2000-01-06,25.69,27.31,25.62,26.75,19.68,427900
2000-01-07,27.0,28.38,26.94,28.25,20.79,896300
2000-01-10,28.12,28.19,27.56,27.62,20.33,513600
2000-01-11,27.88,28.19,27.12,27.19,20.0,572300
2000-01-12,26.69,26.75,26.12,26.31,19.36,839900
2000-01-13,26.44,28.5,26.38,28.12,20.69,680700
2000-01-14,28.0,28.0,26.88,27.38,20.14,631700
2000-01-18,27.19,27.94,26.75,27.44,20.19,904700
2000-01-19,27.19,28.62,27.0,28.38,20.88,888800
2000-01-20,28.38,28.62,27.62,27.81,20.46,752100
2000-01-21,29.0,29.44,28.38,28.81,21.2,1278900
2000-01-24,28.69,28.69,27.12,27.88,20.51,857100
2000-01-25,27.62,28.0,26.81,27.19,20.0,677300
2000-01-26,27.38,27.88,26.81,26.81,19.73,706500
2000-01-27,26.94,27.88,26.69,27.88,20.51,850800
2000-01-28,27.62,27.62,26.38,26.5,19.5,810600
2000-01-31,26.44,26.81,25.81,26.19,19.27,751100
2000-02-01,26.31,27.12,26.12,27.12,19.96,469300
2000-02-02,26.88,26.88,26.0,26.31,19.36,816100
2000-02-03,26.31,26.31,25.62,26.0,19.13,660200
2000-02-04,26.25,26.44,25.94,26.0,19.13,667000
2000-02-07,26.25,26.44,25.94,26.0,19.13,552500
2000-02-08,26.0,26.0,25.25,25.69,18.9,780600
2000-02-09,25.44,25.94,24.75,25.88,19.04,1487800
2000-02-10,25.81,25.94,24.81,25.12,18.49,853200
2000-02-11,25.38,25.44,24.81,25.0,18.39,732700
2000-02-14,25.19,25.88,25.0,25.81,18.99,767800
2000-02-15,25.38,25.5,24.0,25.12,18.49,810500
2000-02-16,25.0,25.75,24.81,25.62,18.85,894400
2000-02-17,25.5,26.44,25.0,26.31,19.36,887100
2000-02-18,26.56,31.88,26.56,30.56,22.49,4358000
2000-02-22,30.25,30.25,28.31,29.06,21.38,1977400
2000-02-23,28.81,30.62,28.69,30.0,22.07,2633800
2000-02-24,29.38,32.0,28.88,32.0,23.55,2466900
2000-02-25,32.0,34.44,31.88,34.12,25.11,3712000
2000-02-28,33.38,33.44,30.75,31.0,22.81,2058300
2000-02-29,31.0,31.88,30.25,31.0,22.81,1528100
2000-03-01,30.94,32.31,30.56,31.31,23.04,2458500
2000-03-02,31.94,32.38,30.75,31.44,23.13,1741700
2000-03-03,31.5,31.94,30.81,31.5,23.18,1670300
2000-03-06,31.56,31.56,30.31,30.81,22.67,1004300
2000-03-07,30.25,30.25,28.75,29.62,21.8,1824600
2000-03-08,29.69,30.31,28.88,30.06,22.19,1896800
2000-03-09,30.25,31.31,29.56,30.88,22.79,1500700
2000-03-10,32.0,33.0,31.69,32.0,23.62,2773900
2000-03-13,31.75,31.75,30.06,30.62,22.6,856600
2000-03-14,30.88,31.06,29.5,29.62,21.87,1112400
2000-03-15,29.38,30.62,28.94,30.44,22.47,1622600
2000-03-16,30.44,31.19,30.12,31.0,22.88,1630600
2000-03-17,31.25,31.69,30.69,31.25,23.07,1512500
2000-03-20,31.0,31.62,30.81,31.0,22.88,706700
2000-03-21,31.0,31.06,30.38,31.0,22.88,790600
2000-03-22,30.75,31.0,29.94,30.94,22.83,889500
2000-03-23,30.81,30.81,29.56,30.0,22.14,935100
2000-03-24,29.0,29.56,27.25,28.0,20.67,1617600
2000-03-27,28.0,28.06,26.62,26.94,19.88,1480500
2000-03-28,26.81,27.5,26.62,27.12,20.02,1396200
2000-03-29,27.0,27.06,26.62,26.88,19.84,1128600
2000-03-30,27.0,27.19,26.38,26.5,19.56,1647400
2000-03-31,26.5,27.44,26.25,26.31,19.42,1483000
2000-04-03,26.56,27.06,26.31,27.0,19.93,1332300
2000-04-04,27.25,28.06,26.5,27.06,19.97,1773000
2000-04-05,27.0,27.75,26.81,27.19,20.07,738800
2000-04-06,26.94,27.19,26.69,27.0,19.93,1582000
2000-04-07,27.75,27.75,26.5,26.69,19.7,1024700
2000-04-10,26.19,26.84,26.19,26.56,19.61,639300
2000-04-11,26.56,27.62,26.31,27.44,20.25,909700
2000-04-12,27.69,29.88,27.62,28.75,21.22,1707300
2000-04-13,28.62,29.0,28.12,28.56,21.08,720900
2000-04-14,28.31,28.38,26.62,26.88,19.84,698500
2000-04-17,26.69,26.94,25.75,26.06,19.24,859700
2000-04-18,26.12,26.75,25.81,26.75,19.74,739500
2000-04-19,26.75,26.75,25.75,25.81,19.05,1293200
2000-04-20,26.0,26.25,24.94,25.56,18.87,1268000
2000-04-24,25.19,25.88,25.19,25.5,18.82,1283000
2000-04-25,25.75,26.06,25.5,26.0,19.19,1013000
2000-04-26,26.25,26.81,25.56,25.75,19.01,965000
2000-04-27,25.5,26.06,25.12,25.75,19.01,841200
2000-04-28,25.75,26.0,25.31,25.62,18.91,575100
2000-05-01,25.12,26.31,25.12,25.81,19.05,1257900
2000-05-02,25.62,26.81,25.5,26.19,19.33,1204800
2000-05-03,26.0,27.38,25.88,26.81,19.79,1491700
2000-05-04,27.0,27.0,25.69,26.0,19.19,719700
2000-05-05,26.0,27.25,26.0,26.94,19.88,698100
2000-05-08,26.94,27.0,26.19,26.75,19.74,676100
2000-05-09,26.5,27.12,26.06,26.88,19.84,1008300
2000-05-10,26.75,27.0,26.31,26.75,19.74,801600
2000-05-11,26.69,27.56,26.62,27.19,20.07,401200
2000-05-12,27.06,27.56,26.38,26.69,19.7,860000
2000-05-15,26.94,27.88,26.81,27.81,20.53,689500
2000-05-16,27.56,27.62,26.62,27.62,20.39,666300
2000-05-17,27.12,27.62,26.44,27.44,20.25,669900
2000-05-18,27.5,28.0,27.25,27.81,20.53,639000
2000-05-19,26.81,27.81,26.81,27.25,20.11,659800
2000-05-22,27.5,28.0,26.75,27.0,19.93,645800
2000-05-23,27.25,28.25,27.12,27.5,20.3,641600
2000-05-24,27.75,29.69,27.75,29.5,21.77,1757600
2000-05-25,29.5,29.5,28.44,28.75,21.22,844200
2000-05-26,28.69,28.81,28.0,28.19,20.8,449600
2000-05-30,28.44,30.0,28.31,29.31,21.64,898500
2000-05-31,29.0,29.44,28.62,29.19,21.54,587000
2000-06-01,29.0,29.0,28.44,28.62,21.13,270800
2000-06-02,29.06,29.06,28.06,28.56,21.08,472000
2000-06-05,28.56,29.19,28.44,29.0,21.4,547400
2000-06-06,28.88,29.5,28.25,29.31,21.64,548900
2000-06-07,29.25,29.25,27.94,28.12,20.82,674800
2000-06-08,28.12,28.12,27.5,27.88,20.64,266200
2000-06-09,27.94,28.56,27.81,28.12,20.82,444500
2000-06-12,28.0,28.12,27.44,27.44,20.32,487400
2000-06-13,27.38,27.94,27.31,27.62,20.45,670500
2000-06-14,27.69,28.25,27.62,27.88,20.64,973100
2000-06-15,27.94,28.69,27.88,28.25,20.92,983900
2000-06-16,28.0,28.12,27.5,27.78,20.57,578200
2000-06-19,27.88,27.94,27.25,27.88,20.64,690300
2000-06-20,27.75,28.19,27.38,27.38,20.27,1462800
2000-06-21,27.75,28.31,27.5,27.75,20.55,1399300
2000-06-22,27.5,27.75,27.06,27.38,20.27,746600
2000-06-23,27.38,28.38,27.06,27.38,20.27,500400
2000-06-26,27.25,27.81,26.94,27.31,20.22,611900
2000-06-27,27.56,27.88,26.75,26.88,19.9,590400
2000-06-28,26.94,28.0,26.88,27.66,20.48,647500
2000-06-29,27.44,28.38,27.19,27.75,20.55,1288600
2000-06-30,27.5,28.75,27.38,28.69,21.24,1204700
2000-07-03,28.69,28.75,27.56,28.25,20.92,254100
2000-07-05,28.62,29.88,28.12,29.56,21.89,954600
2000-07-06,29.5,29.81,28.81,29.5,21.84,597100
2000-07-07,29.5,29.94,28.75,29.38,21.75,894700
2000-07-10,29.38,30.0,28.5,29.75,22.03,591900
2000-07-11,30.0,30.0,29.56,29.62,21.94,590000
2000-07-12,29.5,29.75,29.0,29.25,21.66,866300
2000-07-13,29.0,29.0,27.44,28.0,20.73,774600
2000-07-14,28.12,28.12,27.19,27.25,20.18,1109900
2000-07-17,26.88,27.69,26.44,27.56,20.41,1352400
2000-07-18,27.5,28.94,27.44,28.56,21.15,930600
2000-07-19,28.69,28.69,27.75,28.25,20.92,643600
2000-07-20,27.88,27.88,24.47,24.94,18.46,3286900
2000-07-21,24.94,25.5,24.75,25.5,18.88,2145700
2000-07-24,25.5,25.5,25.0,25.31,18.74,1276000
2000-07-25,25.25,25.31,24.69,24.75,18.33,1273200
2000-07-26,24.75,24.75,23.75,23.88,17.68,942300
2000-07-27,24.0,24.94,23.88,24.88,18.42,799900
2000-07-28,24.75,25.12,24.31,24.62,18.23,632900
2000-07-31,25.12,25.88,24.88,25.25,18.7,1324900
2000-08-01,25.5,26.25,25.19,26.25,19.44,975300
2000-08-02,26.88,26.88,26.25,26.5,19.62,966200
2000-08-03,26.25,26.88,25.75,26.31,19.48,854100
2000-08-04,26.31,26.44,25.75,26.0,19.25,975100
2000-08-07,25.88,26.12,25.44,25.81,19.11,918800
2000-08-08,25.94,26.0,25.12,25.75,19.07,779300
2000-08-09,25.62,25.88,24.69,24.75,18.33,1137800
2000-08-10,24.94,25.5,24.88,25.38,18.79,1146300
2000-08-11,25.5,25.69,25.31,25.56,18.93,1022400
2000-08-14,25.56,26.19,25.44,26.06,19.3,1286900
2000-08-15,26.19,26.38,26.0,26.06,19.3,1036700
2000-08-16,26.06,26.31,26.0,26.25,19.44,1237400
2000-08-17,26.25,26.5,26.25,26.5,19.62,717800
2000-08-18,26.25,26.75,26.19,26.5,19.62,624500
2000-08-21,26.62,28.56,26.62,28.38,21.01,1316500
2000-08-22,28.0,28.12,26.94,27.31,20.22,1369300
2000-08-23,27.31,27.69,27.06,27.5,20.36,900000
2000-08-24,27.56,28.0,27.25,27.81,20.59,511100
2000-08-25,27.56,28.0,27.5,27.81,20.59,834600
2000-08-28,27.81,28.5,27.81,28.5,21.1,663600
2000-08-29,28.44,28.44,27.88,28.0,20.73,374100
2000-08-30,28.75,29.38,28.62,29.0,21.47,977000
2000-08-31,29.0,30.94,28.94,30.02,22.22,1519400
2000-09-01,30.12,30.19,27.88,28.94,21.43,747700
2000-09-05,28.88,28.94,28.06,28.69,21.24,385100
2000-09-06,28.44,28.62,27.44,28.56,21.22,1011500
2000-09-07,28.38,28.56,27.62,28.5,21.17,770200
2000-09-08,28.12,28.19,27.75,28.19,20.94,453100
2000-09-11,28.12,28.69,27.75,28.56,21.22,629100
2000-09-12,28.56,29.12,28.38,29.06,21.59,547100
2000-09-13,29.12,29.12,28.0,28.19,20.94,573800
2000-09-14,28.12,28.19,26.5,28.06,20.85,4855600
2000-09-15,27.5,28.06,27.38,28.06,20.85,1293000
2000-09-18,27.81,27.94,26.56,26.94,20.01,595500
2000-09-19,26.94,26.94,26.0,26.25,19.5,701900
2000-09-20,26.12,26.25,25.0,25.56,18.99,1299500
2000-09-21,25.81,25.94,25.12,25.56,18.99,899000
2000-09-22,25.31,25.44,25.0,25.44,18.9,898200
2000-09-25,25.5,25.56,24.88,25.0,18.57,1599200
2000-09-26,24.88,24.94,21.75,22.38,16.62,1393500
2000-09-27,25.5,26.44,25.38,26.38,19.59,5366300
2000-09-28,26.12,26.56,25.81,26.12,19.41,2632400
2000-09-29,25.88,26.62,25.56,26.44,19.64,1566400
2000-10-02,26.25,26.62,25.81,26.56,19.73,1301400
2000-10-03,26.38,27.12,26.31,26.81,19.92,915500
2000-10-04,26.88,27.38,26.69,27.0,20.06,1906800
2000-10-05,27.0,27.38,26.88,27.38,20.33,1195100
2000-10-06,27.38,28.12,27.38,27.75,20.61,921200
2000-10-09,28.0,28.0,27.0,27.31,20.29,574700
2000-10-10,27.25,28.0,27.0,28.0,20.8,815500
2000-10-11,27.75,29.38,27.62,28.56,21.22,1877100
2000-10-12,28.56,28.56,28.0,28.31,21.03,1203700
2000-10-13,28.31,29.56,28.06,29.25,21.73,1427800
2000-10-16,29.25,29.44,28.81,29.31,21.77,655400
2000-10-17,29.12,29.62,29.0,29.5,21.91,625700
2000-10-18,29.5,31.12,28.81,31.0,23.03,1451400
