Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.81,10.81,10.67,10.69,7.07,459300
2000-01-03,10.67,10.81,10.38,10.56,6.99,1188000
2000-01-04,10.54,10.58,10.19,10.38,6.86,1565700
2000-01-05,10.35,10.56,10.15,10.54,6.97,2461800
2000-01-06,10.52,11.46,10.52,11.19,7.4,3629700
2000-01-07,11.52,11.52,11.0,11.27,7.46,1439700
2000-01-10,11.35,11.42,11.21,11.33,7.5,748800
2000-01-11,11.19,11.31,11.08,11.15,7.37,826200
2000-01-12,11.02,11.27,11.02,11.19,7.4,864600
2000-01-13,11.31,11.4,11.12,11.19,7.4,2897700
2000-01-14,11.19,11.23,10.94,11.12,7.36,5083800
2000-01-18,11.06,11.23,10.96,11.1,7.35,1296600
2000-01-19,11.08,11.19,11.02,11.1,7.35,1097400
2000-01-20,11.08,11.48,11.04,11.42,7.55,2076900
2000-01-21,11.88,12.06,11.67,11.79,7.8,2886000
2000-01-24,11.81,12.1,11.81,11.94,7.9,1769100
2000-01-25,12.02,13.06,11.98,12.83,8.49,4832100
2000-01-26,12.25,12.83,12.04,12.67,8.38,2701500
2000-01-27,12.62,12.62,12.19,12.29,8.13,1982100
2000-01-28,12.25,12.25,11.85,11.92,7.88,1404900
2000-01-31,11.92,11.96,11.75,11.9,7.87,1673700
2000-02-01,11.9,11.9,11.6,11.67,7.72,1577700
2000-02-02,11.67,12.06,11.42,11.85,7.84,7222500
2000-02-03,11.94,12.02,11.71,11.79,7.8,800700
2000-02-04,11.77,12.19,11.77,12.1,8.01,2298600
2000-02-07,12.0,12.15,11.85,11.85,7.84,1297500
2000-02-08,11.92,11.94,11.67,11.71,7.75,1023900
2000-02-09,11.71,11.71,11.17,11.19,7.4,1068300
2000-02-10,11.23,11.56,11.02,11.06,7.32,976500
2000-02-11,10.98,11.31,10.83,11.0,7.28,959700
2000-02-14,11.0,11.0,10.54,10.62,7.03,1509300
2000-02-15,10.62,10.79,10.54,10.73,7.1,2182500
2000-02-16,10.71,11.29,10.33,10.75,7.11,2101800
2000-02-17,10.69,10.69,10.27,10.31,6.82,1389900
2000-02-18,10.29,10.4,9.83,9.94,6.57,2033100
2000-02-22,10.0,10.1,9.77,9.9,6.55,5856000
2000-02-23,9.9,10.17,9.6,9.77,6.46,994800
2000-02-24,9.81,9.81,9.38,9.6,6.35,3215700
2000-02-25,9.6,9.62,9.23,9.23,6.11,2167500
