Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.0,21.25,19.5,21.06,11.35,725200
2000-01-03,21.94,21.94,19.81,20.25,10.91,1468700
2000-01-04,20.06,21.38,19.62,20.25,10.91,2082300
2000-01-05,20.38,21.38,20.0,20.38,10.98,1833700
2000-01-06,20.69,22.38,20.69,22.31,12.02,2234700
2000-01-07,22.75,24.19,22.31,23.81,12.83,2810600
2000-01-10,23.88,23.88,22.38,23.06,12.42,2274100
2000-01-11,23.75,24.0,22.81,23.56,12.69,2001100
2000-01-12,23.06,23.31,22.38,22.5,12.12,1358000
2000-01-13,22.5,23.31,22.44,22.5,12.12,1534800
2000-01-14,22.56,22.88,21.94,22.75,12.26,1824700
2000-01-18,22.5,23.62,22.25,23.62,12.73,4190800
2000-01-19,23.56,24.25,22.81,23.44,12.63,2186500
2000-01-20,23.0,23.0,22.06,22.12,11.92,1822500
2000-01-21,23.25,23.94,22.0,22.75,12.26,3546500
2000-01-24,23.25,23.25,22.75,23.06,12.42,2326700
2000-01-25,23.0,23.5,22.12,22.88,12.32,1747500
2000-01-26,23.5,24.0,22.69,22.75,12.26,2050900
2000-01-27,22.75,23.38,21.0,21.56,11.62,1144500
2000-01-28,21.88,22.38,20.56,20.81,11.21,1303300
2000-01-31,23.5,25.06,22.81,24.69,13.3,5190700
2000-02-01,24.69,24.81,22.94,24.12,13.0,3709300
2000-02-02,24.12,24.5,23.19,23.5,12.66,1526300
2000-02-03,23.69,24.12,23.25,23.88,12.93,2807900
2000-02-04,23.62,24.06,22.06,22.5,12.18,1786500
2000-02-07,21.88,23.88,21.75,23.31,12.62,1412600
2000-02-08,23.38,23.44,22.0,22.62,12.25,1625500
2000-02-09,22.38,23.25,21.62,21.75,11.77,1009200
2000-02-10,21.62,23.06,21.62,22.56,12.21,2774000
2000-02-11,22.88,24.06,22.75,22.75,12.32,1823500
2000-02-14,23.0,24.0,22.19,23.88,12.93,1687800
2000-02-15,24.12,25.62,24.12,25.5,13.8,3528200
2000-02-16,25.25,26.12,24.88,25.31,13.7,2550100
2000-02-17,25.0,25.75,23.62,25.38,13.74,2205600
2000-02-18,25.38,25.38,24.31,24.56,13.3,1343500
2000-02-22,24.75,25.12,23.81,24.25,13.13,1394200
2000-02-23,24.25,24.5,23.94,24.0,12.99,1498400
2000-02-24,24.0,25.44,23.88,24.81,13.43,1854400
2000-02-25,24.81,24.88,23.81,24.06,13.03,1666700
2000-02-28,23.81,25.75,23.81,25.12,13.6,2230700
2000-02-29,25.75,26.38,25.56,25.88,14.01,2715800
2000-03-01,26.12,27.38,24.69,27.31,14.79,4533900
2000-03-02,27.19,28.5,27.06,28.44,15.4,3431300
2000-03-03,28.0,28.0,26.0,26.75,14.48,2166600
2000-03-06,27.0,27.75,26.75,27.38,14.82,1744500
2000-03-07,27.25,29.56,27.25,29.06,15.73,5349000
2000-03-08,28.0,28.06,26.56,26.62,14.41,3916800
2000-03-09,27.5,28.12,27.25,28.12,15.23,2374600
2000-03-10,28.0,28.94,27.0,27.25,14.75,2120800
2000-03-13,26.5,28.56,26.5,27.25,14.75,1759200
2000-03-14,27.0,27.5,25.31,26.75,14.48,1400500
2000-03-15,26.75,27.12,25.38,25.88,14.01,1055300
2000-03-16,25.56,27.44,25.19,27.38,14.82,1678600
2000-03-17,27.75,27.75,25.88,26.44,14.31,1951800
2000-03-20,26.0,26.06,25.06,25.69,13.91,1026700
2000-03-21,26.5,27.5,26.38,27.25,14.75,2174200
2000-03-22,27.75,28.56,25.88,27.0,14.62,8565600
2000-03-23,27.44,27.62,25.88,27.44,14.85,3802100
2000-03-24,28.69,28.69,27.81,28.0,15.16,2602300
2000-03-27,28.0,28.62,27.0,27.81,15.06,2057300
2000-03-28,26.88,29.5,26.81,28.81,15.6,4452600
2000-03-29,28.62,31.0,28.38,30.81,16.68,3305200
2000-03-30,30.12,32.0,29.81,29.94,16.21,3018200
2000-03-31,29.94,30.5,29.38,30.25,16.38,2019300
2000-04-03,30.0,31.38,30.0,30.75,16.65,1484600
2000-04-04,30.94,31.75,28.44,30.25,16.38,3121700
2000-04-05,29.12,29.94,28.38,28.44,15.4,2198800
2000-04-06,28.5,28.88,27.62,28.44,15.4,1968200
2000-04-07,29.0,30.62,28.81,29.0,15.7,3611600
2000-04-10,27.75,28.12,25.62,26.0,14.08,4444100
2000-04-11,27.62,28.75,26.94,28.75,15.56,3600100
2000-04-12,28.75,29.81,28.31,29.44,15.94,2947200
2000-04-13,29.56,29.75,27.88,28.44,15.4,1634900
2000-04-14,27.94,29.19,27.5,28.38,15.36,2280000
2000-04-17,28.44,28.62,27.0,28.0,15.16,2040800
2000-04-18,28.25,29.06,27.5,28.44,15.4,2605700
2000-04-19,28.44,28.75,27.44,28.56,15.46,1783600
2000-04-20,28.75,29.94,28.38,29.88,16.17,1665200
2000-04-24,30.19,30.44,28.0,29.0,15.7,1659600
2000-04-25,29.0,29.38,27.81,29.31,15.87,1652500
2000-04-26,29.31,31.88,28.81,31.75,17.19,4353900
2000-04-27,31.94,32.69,31.0,31.81,17.22,4046800
2000-04-28,31.69,32.5,31.12,31.81,17.22,1913400
2000-05-01,31.5,32.88,31.06,32.44,17.56,1932700
2000-05-02,32.06,34.31,32.0,34.25,18.54,3608400
2000-05-03,34.31,34.31,33.0,33.25,18.0,2888500
2000-05-04,33.0,35.0,33.0,35.0,19.01,3408400
2000-05-05,35.0,35.25,34.12,35.19,19.12,2886800
2000-05-08,34.94,35.5,34.62,35.0,19.01,1953700
2000-05-09,35.0,35.44,34.62,35.31,19.18,1689800
2000-05-10,35.0,35.19,34.31,34.88,18.95,1232900
2000-05-11,34.88,36.06,34.81,36.0,19.56,4473000
2000-05-12,35.88,36.5,35.62,36.38,19.76,2371000
2000-05-15,36.75,38.0,36.44,36.75,19.96,3584700
2000-05-16,36.56,36.69,35.19,36.56,19.86,2031300
2000-05-17,35.38,37.88,35.38,37.88,20.58,3225100
2000-05-18,37.88,37.88,36.0,36.16,19.64,2765900
2000-05-19,36.25,36.62,35.62,35.69,19.39,1651300
2000-05-22,35.69,35.69,34.06,34.19,18.57,1470600
2000-05-23,34.44,36.12,33.75,36.06,19.59,2064700
2000-05-24,35.81,36.88,34.56,34.88,18.95,1876400
2000-05-25,34.88,35.44,33.38,35.38,19.22,2005900
2000-05-26,35.75,35.75,33.62,33.69,18.3,1200400
2000-05-30,34.12,34.88,34.0,34.12,18.54,1743400
2000-05-31,35.25,36.75,35.19,36.25,19.69,3009100
2000-06-01,36.69,36.69,34.88,35.38,19.22,2770300
2000-06-02,35.12,35.19,31.88,32.06,17.42,3036000
2000-06-05,33.0,33.44,31.12,31.25,16.98,2418200
2000-06-06,31.5,33.19,31.44,32.75,17.79,2293600
2000-06-07,33.19,34.0,32.81,33.5,18.2,2028300
2000-06-08,33.38,34.69,33.31,34.0,18.47,1259100
2000-06-09,33.75,33.75,32.5,32.81,17.83,1201200
2000-06-12,33.25,34.25,33.25,33.72,18.32,1503900
2000-06-13,34.0,34.56,33.59,33.59,18.25,1711400
2000-06-14,33.81,34.81,33.0,33.69,18.3,2239500
2000-06-15,33.88,34.38,32.0,33.91,18.42,2324900
2000-06-16,34.19,35.12,33.88,34.44,18.71,1694500
2000-06-19,34.5,34.5,33.0,33.38,18.13,1105700
2000-06-20,33.44,33.44,31.62,33.16,18.01,2071100
