Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.25,17.38,17.19,17.19,11.96,13000
2000-01-03,17.44,17.5,16.62,16.62,11.57,64600
2000-01-04,16.62,16.62,15.62,15.88,11.05,81900
2000-01-05,15.75,15.75,15.0,15.75,10.96,38100
2000-01-06,15.75,16.25,15.75,16.0,11.13,41200
2000-01-07,15.88,16.25,15.75,15.88,11.05,34700
2000-01-10,16.5,16.5,16.0,16.0,11.13,94200
2000-01-11,16.12,16.88,16.0,16.44,11.44,39700
2000-01-12,16.5,17.12,16.5,17.12,11.92,25100
2000-01-13,17.25,17.5,16.88,16.94,11.79,62000
2000-01-14,17.0,17.75,16.88,17.5,12.18,183100
2000-01-18,17.75,18.25,17.75,18.0,12.53,77300
2000-01-19,18.0,18.38,17.94,18.25,12.7,34500
2000-01-20,18.25,18.25,17.38,17.5,12.18,42200
2000-01-21,17.44,17.5,17.25,17.38,12.09,16000
2000-01-24,17.5,17.5,17.0,17.12,11.92,10700
2000-01-25,17.12,17.5,17.06,17.25,12.0,19200
2000-01-26,17.25,17.5,17.25,17.44,12.13,16600
2000-01-27,17.44,18.0,17.44,17.5,12.18,33600
2000-01-28,17.62,17.62,17.31,17.38,12.09,3900
2000-01-31,17.12,17.5,17.12,17.5,12.18,53900
2000-02-01,17.38,17.75,17.38,17.75,12.35,15400
2000-02-02,18.0,18.12,17.88,17.94,12.48,92700
2000-02-03,18.06,18.12,17.94,18.0,12.53,35200
2000-02-04,18.12,18.56,18.12,18.44,12.83,51500
2000-02-07,18.44,18.56,18.38,18.5,12.87,25200
2000-02-08,18.5,18.88,18.5,18.56,12.92,45300
2000-02-09,18.75,18.75,18.38,18.38,12.79,9100
2000-02-10,18.5,18.5,17.88,17.88,12.44,9700
2000-02-11,17.88,18.0,17.88,17.94,12.48,24700
2000-02-14,18.06,18.06,17.88,18.0,12.53,7100
2000-02-15,17.88,18.0,17.88,17.88,12.44,4900
2000-02-16,17.88,18.5,17.88,18.5,12.87,69000
2000-02-17,18.5,18.69,18.31,18.38,12.79,28100
2000-02-18,18.38,18.56,18.38,18.5,12.87,5000
2000-02-22,18.62,18.81,18.56,18.56,12.92,10700
2000-02-23,18.56,18.94,18.56,18.81,13.09,5700
2000-02-24,18.88,19.12,18.88,19.0,13.22,61800
2000-02-25,19.0,19.25,19.0,19.25,13.4,41400
2000-02-28,19.25,20.12,19.25,20.12,14.0,35700
2000-02-29,21.75,21.88,21.62,21.88,15.22,79900
2000-03-01,22.5,22.75,21.75,21.75,15.13,140600
2000-03-02,22.0,22.25,22.0,22.06,15.35,26600
2000-03-03,22.12,22.12,22.06,22.12,15.4,17300
2000-03-06,22.06,22.25,22.06,22.06,15.35,9900
2000-03-07,22.12,22.12,21.75,22.0,15.31,26200
2000-03-08,22.0,22.19,22.0,22.0,15.31,31700
2000-03-09,21.88,22.0,21.75,22.0,15.31,7800
2000-03-10,22.0,22.12,21.94,22.12,15.4,5200
2000-03-13,22.38,23.12,22.25,22.88,15.92,27900
2000-03-14,22.88,23.0,22.88,22.88,15.92,1300
2000-03-15,23.12,24.12,22.62,24.12,16.79,29000
2000-03-16,24.12,25.0,24.12,24.38,16.96,19500
2000-03-17,23.38,24.75,23.38,24.75,17.22,73300
2000-03-20,24.0,24.25,23.88,24.0,16.7,134700
2000-03-21,23.75,24.0,23.75,24.0,16.7,172200
2000-03-22,23.75,23.75,22.62,22.62,15.74,35900
2000-03-23,22.62,22.62,22.5,22.5,15.66,1300
2000-03-24,22.5,22.5,22.38,22.44,15.61,5600
2000-03-27,22.19,22.19,22.0,22.06,15.35,19600
2000-03-28,22.06,22.06,19.75,20.0,13.92,42600
2000-03-29,19.75,19.88,19.75,19.75,13.74,77000
2000-03-30,19.81,20.5,19.81,20.44,14.22,18700
2000-03-31,20.44,20.44,20.25,20.25,14.09,23500
2000-04-03,20.25,20.69,20.25,20.62,14.35,4000
2000-04-04,20.62,20.88,20.62,20.75,14.44,77700
2000-04-05,20.75,21.44,20.62,21.44,14.92,32700
2000-04-06,21.38,22.44,21.12,22.38,15.57,12500
2000-04-07,22.25,24.44,22.25,24.25,16.87,44500
2000-04-10,24.25,24.25,24.0,24.0,16.7,16100
2000-04-11,24.12,24.12,24.0,24.06,16.74,6300
2000-04-12,24.0,24.0,23.81,23.88,16.61,3800
2000-04-13,23.75,23.75,23.38,23.38,16.27,4900
2000-04-14,23.25,23.25,23.0,23.0,16.0,10200
2000-04-17,22.88,22.88,22.38,22.44,15.61,15500
2000-04-18,22.31,22.31,21.88,21.94,15.27,2900
2000-04-19,21.81,21.94,21.0,21.0,14.61,20400
2000-04-20,21.0,21.16,20.94,21.12,14.7,78800
2000-04-24,21.06,21.62,21.0,21.62,15.05,15100
2000-04-25,21.88,24.5,21.69,24.0,16.7,74600
2000-04-26,24.25,24.25,23.81,24.12,16.79,67700
2000-04-27,24.0,24.38,24.0,24.31,16.92,12600
2000-04-28,24.5,26.0,24.38,26.0,18.09,43100
2000-05-01,26.25,26.5,24.0,24.0,16.7,97500
2000-05-02,24.12,24.12,23.75,23.81,16.57,6100
2000-05-03,23.56,24.38,23.56,24.25,16.87,23000
2000-05-04,24.0,24.0,23.62,23.62,16.44,6300
