Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.06,5.1,5.05,5.06,2.44,255200
2000-01-03,5.08,5.08,4.82,4.84,2.33,675200
2000-01-04,4.87,4.92,4.83,4.84,2.33,613600
2000-01-05,4.86,4.94,4.84,4.86,2.34,428000
2000-01-06,4.86,4.87,4.78,4.8,2.31,706400
2000-01-07,4.8,4.94,4.8,4.93,2.37,3228800
2000-01-10,4.94,4.97,4.85,4.88,2.35,889600
2000-01-11,4.88,4.94,4.86,4.86,2.34,2004000
2000-01-12,4.87,4.91,4.84,4.85,2.33,694400
2000-01-13,4.88,4.9,4.87,4.88,2.35,602400
2000-01-14,4.89,4.91,4.84,4.84,2.33,864800
2000-01-18,4.86,4.86,4.73,4.76,2.29,904800
2000-01-19,4.75,4.77,4.66,4.7,2.26,843200
2000-01-20,4.73,4.74,4.67,4.68,2.25,1096000
2000-01-21,4.69,4.73,4.67,4.67,2.25,1508000
2000-01-24,4.73,4.73,4.56,4.57,2.2,1733600
2000-01-25,4.58,4.58,4.4,4.46,2.15,1386400
2000-01-26,4.45,4.5,4.41,4.44,2.14,764000
2000-01-27,4.44,4.47,4.31,4.34,2.09,1005600
2000-01-28,4.32,4.32,4.2,4.23,2.11,1021600
2000-01-31,4.25,4.33,4.16,4.2,2.09,1460000
2000-02-01,4.23,4.23,3.91,4.05,2.02,3586400
2000-02-02,4.09,4.14,4.03,4.06,2.02,2112000
2000-02-03,4.12,4.25,4.11,4.19,2.09,1642400
2000-02-04,4.22,4.28,4.12,4.14,2.06,574400
2000-02-07,4.12,4.14,4.07,4.09,2.04,672800
2000-02-08,4.11,4.19,4.06,4.12,2.06,1793600
2000-02-09,4.12,4.19,4.12,4.16,2.08,1509600
2000-02-10,4.13,4.26,4.13,4.2,2.09,2168800
2000-02-11,4.23,4.26,4.16,4.16,2.08,1455200
2000-02-14,4.16,4.25,4.13,4.21,2.1,1676000
2000-02-15,4.23,4.27,4.16,4.25,2.12,1344800
2000-02-16,4.23,4.24,4.12,4.12,2.05,1183200
2000-02-17,4.14,4.14,4.02,4.02,2.01,1260000
2000-02-18,4.05,4.05,3.93,3.93,1.96,1137600
2000-02-22,3.94,3.94,3.88,3.94,1.96,1024000
2000-02-23,3.93,3.93,3.84,3.88,1.93,901600
2000-02-24,3.84,3.86,3.72,3.76,1.87,931200
2000-02-25,3.79,3.88,3.72,3.88,1.93,1556000
2000-02-28,3.87,3.9,3.77,3.88,1.94,770400
2000-02-29,3.88,4.0,3.82,4.0,1.99,1099200
2000-03-01,3.98,4.09,3.94,4.06,2.02,864800
2000-03-02,4.03,4.15,4.03,4.12,2.06,984000
2000-03-03,4.16,4.16,4.06,4.08,2.03,835200
2000-03-06,4.11,4.19,4.06,4.09,2.04,757600
2000-03-07,4.09,4.1,3.98,3.99,1.99,1052800
2000-03-08,4.0,4.02,3.91,3.91,1.95,1135200
2000-03-09,3.91,3.91,3.85,3.88,1.93,1499200
2000-03-10,3.88,4.05,3.88,3.97,1.98,895200
2000-03-13,3.88,4.14,3.88,4.05,2.02,1528800
2000-03-14,4.06,4.21,4.03,4.07,2.03,1523200
2000-03-15,4.07,4.22,4.06,4.16,2.07,2005600
2000-03-16,4.2,4.4,4.2,4.34,2.16,1399200
2000-03-17,4.32,4.58,4.32,4.56,2.27,1548800
2000-03-20,4.47,4.66,4.47,4.52,2.25,2226400
2000-03-21,4.53,4.62,4.53,4.59,2.29,712800
2000-03-22,4.59,4.62,4.56,4.57,2.28,932800
2000-03-23,4.57,4.66,4.57,4.66,2.32,1037600
2000-03-24,4.69,4.71,4.5,4.61,2.3,1801600
2000-03-27,4.61,4.61,4.51,4.52,2.25,840000
2000-03-28,4.54,4.55,4.5,4.51,2.25,704800
2000-03-29,4.51,4.51,4.38,4.39,2.19,2152000
2000-03-30,4.39,4.55,4.39,4.54,2.26,1391200
2000-03-31,4.58,4.92,4.56,4.92,2.45,2086400
2000-04-03,4.92,4.92,4.7,4.74,2.36,845600
2000-04-04,4.78,4.87,4.62,4.66,2.32,1016000
2000-04-05,4.62,4.85,4.62,4.83,2.41,632800
2000-04-06,4.85,4.95,4.85,4.91,2.45,979200
2000-04-07,4.92,4.93,4.88,4.91,2.45,763200
2000-04-10,4.94,5.06,4.94,4.95,2.47,1104000
2000-04-11,4.95,5.0,4.86,5.0,2.49,883200
2000-04-12,5.02,5.23,4.98,5.2,2.59,2040800
2000-04-13,5.17,5.17,5.04,5.11,2.55,1344000
2000-04-14,5.12,5.12,4.84,4.87,2.43,872000
2000-04-17,4.88,4.97,4.73,4.73,2.36,1449600
2000-04-18,4.75,4.92,4.75,4.9,2.44,1019200
2000-04-19,4.97,5.12,4.91,4.98,2.48,929600
2000-04-20,4.98,5.01,4.88,4.95,2.46,785600
2000-04-24,4.95,4.95,4.9,4.91,2.45,692000
2000-04-25,4.97,5.25,4.97,5.22,2.6,1490400
2000-04-26,5.25,5.27,5.18,5.22,2.6,644000
2000-04-27,5.18,5.18,5.07,5.12,2.63,608000
2000-04-28,5.14,5.3,5.13,5.23,2.68,1054400
2000-05-01,5.23,5.33,5.2,5.27,2.7,982400
2000-05-02,5.27,5.3,5.25,5.26,2.7,829600
2000-05-03,5.25,5.25,5.0,5.0,2.57,617600
2000-05-04,5.03,5.25,5.0,5.12,2.63,811200
2000-05-05,5.16,5.36,5.14,5.23,2.69,584000
2000-05-08,5.22,5.22,5.11,5.13,2.63,668000
2000-05-09,5.12,5.32,5.11,5.3,2.72,1116000
2000-05-10,5.3,5.37,5.3,5.33,2.73,850400
2000-05-11,5.38,5.49,5.38,5.49,2.82,1215200
2000-05-12,5.49,5.62,5.4,5.41,2.78,1080000
2000-05-15,5.43,5.43,5.34,5.38,2.76,679200
2000-05-16,5.42,5.53,5.42,5.52,2.83,552000
2000-05-17,5.48,5.52,5.38,5.46,2.8,1259200
2000-05-18,5.46,5.47,5.42,5.42,2.78,904000
2000-05-19,5.42,5.45,5.36,5.38,2.76,523200
2000-05-22,5.36,5.39,5.14,5.22,2.68,1117600
2000-05-23,5.19,5.21,5.16,5.16,2.65,1180000
2000-05-24,5.18,5.23,5.16,5.19,2.66,2043200
2000-05-25,5.2,5.21,5.09,5.15,2.64,1220800
2000-05-26,5.12,5.12,4.97,4.98,2.55,1303200
2000-05-30,4.98,5.09,4.94,5.09,2.61,1785600
2000-05-31,5.08,5.09,4.97,4.97,2.55,1246400
2000-06-01,4.98,5.08,4.98,5.08,2.61,417600
2000-06-02,5.09,5.14,5.06,5.07,2.6,691200
2000-06-05,5.05,5.17,5.05,5.12,2.63,1257600
2000-06-06,5.13,5.13,5.0,5.01,2.57,648800
2000-06-07,5.02,5.07,5.0,5.02,2.58,510400
2000-06-08,5.03,5.03,4.89,4.9,2.51,968000
2000-06-09,4.91,4.91,4.73,4.73,2.43,851200
2000-06-12,4.75,4.84,4.59,4.83,2.48,1906400
2000-06-13,4.8,4.84,4.78,4.81,2.47,1145600
2000-06-14,4.78,4.78,4.73,4.73,2.43,540000
2000-06-15,4.7,4.76,4.59,4.63,2.38,1420000
2000-06-16,4.61,4.66,4.48,4.48,2.3,1284800
2000-06-19,4.51,4.62,4.51,4.52,2.32,528000
2000-06-20,4.55,4.55,4.48,4.48,2.3,560000
2000-06-21,4.5,4.52,4.45,4.45,2.29,1072000
2000-06-22,4.52,4.55,4.41,4.52,2.32,1532800
2000-06-23,4.52,4.58,4.52,4.58,2.35,768800
2000-06-26,4.61,4.69,4.58,4.59,2.36,928800
2000-06-27,4.58,4.66,4.58,4.61,2.37,2672800
2000-06-28,4.62,4.63,4.61,4.62,2.37,1448000
2000-06-29,4.62,4.65,4.61,4.61,2.37,2096800
2000-06-30,4.62,4.63,4.39,4.39,2.25,2270400
2000-07-03,4.42,4.62,4.42,4.62,2.37,778400
2000-07-05,4.58,4.6,4.52,4.6,2.36,932000
2000-07-06,4.6,4.61,4.54,4.59,2.35,1711200
2000-07-07,4.6,4.62,4.48,4.48,2.3,1123200
2000-07-10,4.52,4.62,4.51,4.62,2.37,1297600
2000-07-11,4.62,4.62,4.56,4.59,2.36,841600
2000-07-12,4.62,4.62,4.59,4.62,2.37,880000
2000-07-13,4.62,4.62,4.5,4.58,2.35,797600
2000-07-14,4.56,4.6,4.53,4.59,2.35,1693600
2000-07-17,4.57,4.63,4.57,4.6,2.36,1048800
2000-07-18,4.58,4.62,4.57,4.59,2.36,656800
2000-07-19,4.6,4.64,4.59,4.62,2.37,1016800
2000-07-20,4.62,4.64,4.58,4.62,2.37,1164800
2000-07-21,4.58,4.58,4.45,4.5,2.31,2277600
2000-07-24,4.48,4.5,4.38,4.48,2.3,1172000
2000-07-25,4.48,4.5,4.37,4.45,2.29,667200
2000-07-26,4.47,4.47,4.25,4.34,2.23,1050400
2000-07-27,4.34,4.38,4.28,4.3,2.21,1508800
2000-07-28,4.28,4.31,4.14,4.17,2.22,1236000
2000-07-31,4.19,4.26,4.17,4.24,2.26,1319200
2000-08-01,4.27,4.3,4.26,4.3,2.28,577600
2000-08-02,4.33,4.42,4.27,4.38,2.33,1499200
2000-08-03,4.38,4.48,4.38,4.45,2.37,984800
2000-08-04,4.5,4.53,4.48,4.5,2.39,1221600
2000-08-07,4.52,4.52,4.45,4.48,2.38,575200
2000-08-08,4.48,4.56,4.48,4.52,2.4,2105600
2000-08-09,4.55,4.55,4.4,4.41,2.35,2501600
2000-08-10,4.45,4.49,4.39,4.41,2.34,1608800
2000-08-11,4.42,4.64,4.4,4.62,2.46,903200
2000-08-14,4.62,4.69,4.59,4.6,2.45,1065600
2000-08-15,4.62,4.62,4.54,4.57,2.43,1100800
2000-08-16,4.56,4.62,4.56,4.61,2.45,1120800
2000-08-17,4.62,4.62,4.48,4.55,2.42,779200
2000-08-18,4.54,4.55,4.52,4.53,2.41,496800
2000-08-21,4.55,4.6,4.5,4.5,2.39,545600
2000-08-22,4.48,4.61,4.48,4.59,2.44,1052000
2000-08-23,4.62,4.62,4.56,4.57,2.43,907200
2000-08-24,4.58,4.59,4.55,4.55,2.42,1074400
2000-08-25,4.52,4.53,4.45,4.49,2.39,1281600
2000-08-28,4.5,4.53,4.45,4.45,2.37,837600
2000-08-29,4.44,4.5,4.43,4.48,2.38,859200
2000-08-30,4.45,4.45,4.27,4.27,2.27,976800
2000-08-31,4.28,4.38,4.27,4.3,2.28,1629600
2000-09-01,4.3,4.36,4.28,4.36,2.32,391200
2000-09-05,4.36,4.38,4.34,4.38,2.33,775200
2000-09-06,4.37,4.51,4.37,4.41,2.35,567200
2000-09-07,4.43,4.45,4.34,4.34,2.31,799200
2000-09-08,4.35,4.42,4.34,4.36,2.32,627200
2000-09-11,4.41,4.41,4.34,4.34,2.31,694400
2000-09-12,4.2,4.27,4.1,4.24,2.26,1879200
2000-09-13,4.25,4.27,4.23,4.24,2.26,872000
2000-09-14,4.25,4.26,4.14,4.18,2.22,992800
2000-09-15,4.17,4.18,4.03,4.03,2.14,927200
2000-09-18,4.06,4.08,4.0,4.02,2.14,1550400
2000-09-19,4.04,4.06,3.94,3.98,2.12,1092000
2000-09-20,4.0,4.02,3.97,4.01,2.13,862400
2000-09-21,3.88,3.99,3.88,3.98,2.11,939200
2000-09-22,3.95,4.03,3.91,4.02,2.14,1171200
2000-09-25,4.03,4.09,4.0,4.09,2.17,816800
2000-09-26,4.09,4.11,3.97,4.0,2.13,862400
2000-09-27,3.97,4.03,3.89,3.95,2.1,1637600
2000-09-28,3.97,4.28,3.97,4.22,2.24,1567200
2000-09-29,4.23,4.23,4.09,4.14,2.2,740800
2000-10-02,4.15,4.31,4.15,4.2,2.23,831200
2000-10-03,4.23,4.23,4.16,4.18,2.22,621600
2000-10-04,4.25,4.77,4.25,4.63,2.46,2456000
2000-10-05,4.66,4.72,4.62,4.67,2.48,1493600
2000-10-06,4.64,4.64,4.5,4.52,2.4,1017600
2000-10-09,4.53,4.66,4.45,4.57,2.43,764000
2000-10-10,4.59,4.59,4.27,4.27,2.27,1260800
2000-10-11,4.27,4.46,4.23,4.26,2.26,2178400
2000-10-12,4.27,4.27,4.08,4.12,2.19,1436800
2000-10-13,4.12,4.33,4.1,4.18,2.22,1316000
2000-10-16,4.2,4.26,4.18,4.18,2.22,887200
2000-10-17,4.2,4.24,4.15,4.19,2.23,784000
2000-10-18,4.16,4.2,4.16,4.2,2.23,644800
2000-10-19,4.2,4.3,4.2,4.28,2.28,544000
2000-10-20,4.28,4.28,4.12,4.14,2.2,1660000
2000-10-23,4.14,4.38,4.14,4.34,2.31,1037600
2000-10-24,4.26,4.47,4.25,4.44,2.36,1211200
2000-10-25,4.42,4.52,4.38,4.48,2.38,1333600
2000-10-26,4.52,4.52,4.34,4.43,2.36,1168000
2000-10-27,4.41,4.49,4.4,4.46,2.37,418400
2000-10-30,4.47,4.69,4.46,4.66,2.56,835200
2000-10-31,4.68,4.77,4.55,4.72,2.6,1052800
2000-11-01,4.7,4.8,4.57,4.73,2.6,959200
2000-11-02,4.72,4.77,4.69,4.77,2.62,720000
2000-11-03,4.78,4.8,4.56,4.56,2.51,513600
2000-11-06,4.59,4.67,4.56,4.64,2.55,1114400
2000-11-07,4.66,4.66,4.53,4.53,2.49,337600
2000-11-08,4.55,4.61,4.52,4.54,2.5,607200
2000-11-09,4.56,4.6,4.54,4.59,2.53,545600
2000-11-10,4.61,4.61,4.52,4.53,2.49,685600
2000-11-13,4.52,4.6,4.5,4.59,2.52,628000
2000-11-14,4.56,4.6,4.56,4.56,2.51,474400
2000-11-15,4.56,4.67,4.5,4.66,2.57,493600
2000-11-16,4.65,4.65,4.5,4.55,2.51,793600
2000-11-17,4.55,4.55,4.47,4.49,2.47,720800
2000-11-20,4.49,4.51,4.46,4.51,2.48,560000
2000-11-21,4.51,4.51,4.42,4.47,2.46,766400
2000-11-22,4.38,4.45,4.38,4.41,2.42,637600
2000-11-24,4.41,4.58,4.41,4.56,2.51,567200
2000-11-27,4.58,4.66,4.55,4.59,2.52,1070400
2000-11-28,4.59,4.59,4.52,4.54,2.5,824000
2000-11-29,4.52,4.6,4.52,4.59,2.53,809600
2000-11-30,4.59,4.62,4.51,4.58,2.52,498400
2000-12-01,4.5,4.64,4.4,4.59,2.53,1417600
2000-12-04,4.56,4.56,4.33,4.41,2.43,2824000
2000-12-05,4.45,4.66,4.41,4.42,2.43,1416800
2000-12-06,4.41,4.45,4.34,4.42,2.43,851200
2000-12-07,4.42,4.45,4.33,4.4,2.42,1828800
2000-12-08,4.39,4.55,4.39,4.55,2.5,1444800
2000-12-11,4.55,4.58,4.42,4.43,2.44,820800
2000-12-12,4.43,4.46,4.34,4.34,2.39,706400
2000-12-13,4.31,4.33,4.27,4.29,2.36,602400
2000-12-14,4.31,4.33,4.27,4.3,2.36,608800
2000-12-15,4.27,4.38,4.27,4.34,2.39,1263200
