Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,33.3,33.6,33.1,33.1,30.76,19875800
2010-01-04,33.6,34.1,33.4,34.0,31.6,40679300
2010-01-05,34.2,35.5,34.1,35.3,32.81,66861700
2010-01-06,35.6,36.8,35.1,36.4,33.83,67433800
2010-01-07,36.9,37.0,36.1,36.5,33.93,67245100
2010-01-08,36.5,36.7,35.1,35.9,33.37,62409700
2010-01-11,36.6,36.7,36.0,36.3,33.74,47557600
2010-01-12,35.9,36.1,34.8,35.2,32.72,47011800
2010-01-13,35.4,35.9,35.0,35.0,32.53,41035100
2010-01-14,35.6,35.6,35.0,35.1,32.62,27417000
2010-01-15,34.9,35.0,34.0,34.2,31.79,54017700
2010-01-19,33.4,35.6,33.0,35.4,32.9,80789300
2010-01-20,35.1,36.0,34.5,34.6,32.16,47944900
2010-01-21,34.5,34.6,32.0,32.7,30.39,95968000
2010-01-22,32.8,33.9,32.2,32.5,30.21,65474100
2010-01-25,33.1,33.3,32.1,32.3,30.02,49752400
2010-01-26,32.2,32.7,31.5,31.5,29.28,45890200
2010-01-27,31.7,32.3,31.4,32.0,29.74,55891300
2010-01-28,32.5,32.9,32.0,32.4,30.11,51294200
2010-01-29,32.7,33.4,32.7,33.2,30.86,67942900
2010-02-01,33.6,33.7,33.1,33.4,31.04,23577600
2010-02-02,33.5,34.1,33.2,34.1,31.69,33280800
2010-02-03,33.9,34.6,33.7,33.7,31.32,27200500
2010-02-04,33.4,33.5,31.7,31.8,29.56,45029900
2010-02-05,32.1,32.4,31.5,32.2,29.93,46750100
2010-02-08,32.3,32.4,31.5,31.5,29.28,25620300
2010-02-09,31.9,32.3,31.1,31.8,29.56,49883800
2010-02-10,31.8,32.0,31.4,32.0,29.74,25499600
2010-02-11,31.9,32.2,31.7,32.1,29.84,23685200
2010-02-12,31.7,32.1,31.5,31.8,29.56,18926900
2010-02-16,32.2,33.3,32.1,33.1,30.76,33228500
2010-02-17,33.8,34.5,33.6,34.1,31.69,57569000
2010-02-18,34.0,34.7,33.9,34.3,31.88,28868700
2010-02-19,34.0,34.4,33.9,34.2,31.79,27822200
2010-02-22,34.4,34.8,34.1,34.6,32.16,23360600
2010-02-23,34.4,34.8,33.5,33.5,31.14,28291700
2010-02-24,33.7,34.5,33.7,34.5,32.07,29262200
2010-02-25,33.9,34.0,33.6,33.9,31.51,25996900
2010-02-26,33.9,34.5,33.8,34.0,31.6,17855700
2010-03-01,34.2,34.4,33.4,33.9,31.51,15568600
2010-03-02,34.1,34.4,33.9,34.0,31.6,16428000
2010-03-03,34.1,34.3,33.9,34.0,31.6,16364900
2010-03-04,34.1,34.8,33.9,34.3,31.88,31935600
2010-03-05,34.7,35.0,34.5,35.0,32.53,31907900
2010-03-08,35.4,36.0,35.4,35.6,33.09,45986400
2010-03-09,35.5,38.6,35.4,38.2,35.51,110631100
2010-03-10,39.6,40.7,39.2,39.6,36.81,121205000
2010-03-11,39.8,41.8,39.5,41.8,38.85,120029900
2010-03-12,42.1,42.2,39.4,39.7,36.9,127975900
2010-03-15,38.8,39.4,38.3,38.9,36.16,63482900
2010-03-16,39.5,40.7,39.2,40.5,37.64,54320500
2010-03-17,41.0,41.7,39.9,40.5,37.64,68063500
2010-03-18,40.9,40.9,40.0,40.2,37.36,35021500
2010-03-19,39.0,40.5,39.0,39.0,36.25,55803000
2010-03-22,38.9,41.0,38.8,40.4,37.55,50007900
2010-03-23,40.9,41.5,40.7,41.3,38.39,44335400
