Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.0,23.72,22.84,23.53,13.63,1525600.0
2000-01-03,23.84,24.5,23.84,24.31,14.08,5055000.0
2000-01-04,24.31,24.88,24.0,24.0,13.9,6181400.0
2000-01-05,24.0,25.09,24.0,24.56,14.22,6398600.0
2000-01-06,25.28,26.12,25.28,25.81,14.95,5140600.0
2000-01-07,26.38,27.56,26.38,26.66,15.44,6360200.0
2000-01-10,26.66,27.28,25.75,25.78,14.93,3682200.0
2000-01-11,25.78,26.59,25.38,25.38,14.69,3945600.0
2000-01-12,25.56,26.16,25.56,25.81,14.95,3401000.0
2000-01-13,26.03,26.69,26.03,26.09,15.11,3129400.0
2000-01-14,26.09,26.44,25.94,25.97,15.04,3044400.0
2000-01-18,25.88,25.88,24.94,24.97,14.55,4054200.0
2000-01-19,24.97,25.34,24.66,24.66,14.37,3424600.0
2000-01-20,24.66,24.97,23.53,23.56,13.73,4279200.0
2000-01-21,23.56,23.97,22.81,23.69,13.8,5000000.0
2000-01-24,23.62,23.62,22.53,22.66,13.2,5385600.0
2000-01-25,22.5,22.5,21.28,21.81,12.71,6084200.0
2000-01-26,21.81,22.84,21.69,22.47,13.09,4188200.0
2000-01-27,22.47,22.78,22.0,22.28,12.98,3340800.0
2000-01-28,22.28,22.59,21.75,21.75,12.67,4851600.0
2000-01-31,21.75,21.97,21.22,21.22,12.37,3677000.0
2000-02-01,21.38,22.03,21.38,21.59,12.58,2930200.0
2000-02-02,21.59,22.38,21.44,21.72,12.66,2933600.0
2000-02-03,21.62,21.62,21.06,21.16,12.33,4343400.0
2000-02-04,21.16,21.41,20.62,21.16,12.33,4122000.0
2000-02-07,20.91,20.91,20.38,20.62,12.02,4089800.0
2000-02-08,20.62,20.75,20.0,20.5,11.95,5848400.0
2000-02-09,20.5,20.59,19.56,19.56,11.4,5934800.0
2000-02-10,19.56,19.78,18.81,19.03,11.09,5807400.0
2000-02-11,18.94,18.94,17.44,18.0,10.49,11944800.0
2000-02-14,18.12,19.47,18.12,19.31,11.25,6787800.0
2000-02-15,19.31,20.38,19.31,20.0,11.66,6048200.0
2000-02-16,20.0,20.31,19.41,19.59,11.42,3881400.0
2000-02-17,19.56,19.56,18.84,19.34,11.27,3824200.0
2000-02-18,19.19,19.19,18.69,18.84,10.98,3017800.0
2000-02-22,18.84,19.44,18.75,19.16,11.16,4028800.0
2000-02-23,19.16,19.34,18.59,18.91,11.02,4894400.0
2000-02-24,18.91,18.94,18.12,18.12,10.56,4488200.0
2000-02-25,18.12,18.75,17.94,18.0,10.49,4139800.0
2000-02-28,18.0,18.31,17.69,17.78,10.36,3319200.0
2000-02-29,17.78,18.22,17.5,17.53,10.22,4805800.0
2000-03-01,17.53,17.91,17.44,17.44,10.16,4841600.0
2000-03-02,17.44,17.5,17.09,17.22,10.03,3956000.0
2000-03-03,17.25,18.66,17.25,18.19,10.6,4805800.0
2000-03-06,18.22,19.0,18.22,18.34,10.69,5260400.0
2000-03-07,18.25,18.25,16.75,16.91,9.85,8780800.0
2000-03-08,17.31,18.22,17.31,17.47,10.18,5772000.0
2000-03-09,17.47,17.69,17.12,17.62,10.27,4904400.0
2000-03-10,17.62,18.38,17.41,17.84,10.4,5335400.0
2000-03-13,17.84,18.06,17.5,17.81,10.38,3304800.0
2000-03-14,17.88,18.59,17.88,17.91,10.44,6545400.0
2000-03-15,17.91,19.53,17.81,19.12,11.15,6827400.0
2000-03-16,19.47,20.81,19.47,20.34,11.86,7723400.0
2000-03-17,20.16,20.16,19.53,19.81,11.55,4798800.0
2000-03-20,19.81,20.28,19.22,19.25,11.22,4407600.0
2000-03-21,19.25,20.03,19.22,19.91,11.6,3065800.0
2000-03-22,19.81,19.81,19.38,19.47,11.35,2487200.0
2000-03-23,19.62,20.09,19.62,19.78,11.53,3596000.0
2000-03-24,19.78,20.0,19.62,19.75,11.51,2277600.0
2000-03-27,19.75,20.31,19.5,19.53,11.38,2241200.0
2000-03-28,19.53,19.56,19.16,19.16,11.16,2619200.0
2000-03-29,19.16,19.78,18.84,19.5,11.36,3778000.0
2000-03-30,19.5,20.66,19.44,20.38,11.87,4877800.0
2000-03-31,20.38,20.56,19.66,19.72,11.49,4850400.0
2000-04-03,19.72,21.12,19.72,20.94,12.2,4664200.0
2000-04-04,20.94,22.06,20.44,21.72,12.66,7259000.0
2000-04-05,21.72,21.94,21.12,21.22,12.37,3759200.0
2000-04-06,21.22,21.81,21.12,21.16,12.33,2104800.0
2000-04-07,21.16,21.22,20.62,20.69,12.06,2937400.0
2000-04-10,20.69,21.06,20.56,20.72,12.07,1890600.0
2000-04-11,20.81,21.62,20.81,21.03,12.26,3531600.0
2000-04-12,21.38,22.38,21.38,21.72,12.66,4224400.0
2000-04-13,21.72,22.44,20.91,21.0,12.24,4334200.0
2000-04-14,21.0,21.0,20.09,20.25,11.8,4287000.0
2000-04-17,20.25,21.22,20.12,20.47,11.93,3754200.0
2000-04-18,20.47,21.75,19.69,20.12,11.73,9957200.0
2000-04-19,19.47,19.47,18.5,18.81,11.05,8557000.0
2000-04-20,18.81,19.16,18.75,19.0,11.16,4924600.0
2000-04-24,19.09,19.56,19.09,19.5,11.46,3312200.0
2000-04-25,19.5,20.25,19.5,20.06,11.79,4381400.0
2000-04-26,20.06,20.34,19.75,19.88,11.68,4544400.0
2000-04-27,19.88,20.22,19.47,20.06,11.79,2903600.0
2000-04-28,20.06,20.5,19.62,19.72,11.58,3741600.0
2000-05-01,19.72,19.84,19.41,19.41,11.4,2637800.0
2000-05-02,19.41,19.97,19.03,19.81,11.64,2840800.0
2000-05-03,19.69,19.69,19.25,19.44,11.42,2442600.0
2000-05-04,19.44,19.47,18.94,18.97,11.14,2377000.0
2000-05-05,18.97,19.69,18.94,19.53,11.47,2544600.0
2000-05-08,19.53,19.88,19.28,19.47,11.44,2078600.0
2000-05-09,19.47,20.0,18.97,19.0,11.16,3078800.0
2000-05-10,19.0,19.22,18.78,19.19,11.27,2391400.0
2000-05-11,19.19,19.78,18.84,19.41,11.4,2617600.0
2000-05-12,19.41,19.94,19.31,19.69,11.57,1927800.0
2000-05-15,19.78,20.38,19.78,20.28,11.92,3531000.0
2000-05-16,20.28,20.88,20.09,20.12,11.82,4066000.0
2000-05-17,20.12,20.34,19.94,20.0,11.75,1526600.0
2000-05-18,20.0,20.0,19.25,19.41,11.4,3559200.0
2000-05-19,19.41,20.22,19.25,20.03,11.77,3942200.0
2000-05-22,20.03,20.34,19.81,20.09,11.81,2443000.0
2000-05-23,20.09,20.34,19.5,19.75,11.6,2005600.0
2000-05-24,19.75,20.25,19.38,19.84,11.66,2075000.0
2000-05-25,19.84,19.94,18.91,19.03,11.18,2763800.0
2000-05-26,19.03,19.41,18.94,19.06,11.2,1908200.0
2000-05-30,19.06,19.41,19.06,19.16,11.25,1614200.0
2000-05-31,19.16,19.22,18.94,19.12,11.24,2925400.0
2000-06-01,19.41,20.0,19.41,19.88,11.68,2835400.0
2000-06-02,20.12,21.25,20.12,20.53,12.06,4491400.0
2000-06-05,20.44,20.44,19.28,20.0,11.75,3871600.0
2000-06-06,19.78,19.78,19.09,19.53,11.47,3697400.0
2000-06-07,19.41,19.41,19.06,19.41,11.4,3017600.0
2000-06-08,19.22,19.22,18.84,19.06,11.2,2418800.0
2000-06-09,19.06,19.28,18.88,19.12,11.24,1819600.0
2000-06-12,19.12,19.53,18.84,19.31,11.35,2635600.0
2000-06-13,19.28,19.28,18.5,18.62,10.94,3154800.0
2000-06-14,18.62,19.12,18.56,18.81,11.05,3292600.0
2000-06-15,18.81,19.0,18.41,18.5,10.87,2703400.0
2000-06-16,18.5,18.56,17.94,17.97,10.56,5510400.0
2000-06-19,17.97,18.25,17.56,17.56,10.32,3703200.0
2000-06-20,17.56,17.84,17.5,17.53,10.3,3212400.0
2000-06-21,17.53,17.75,17.47,17.56,10.32,2569000.0
2000-06-22,17.56,17.69,17.16,17.22,10.12,3490200.0
2000-06-23,17.22,17.56,17.22,17.31,10.17,1787400.0
2000-06-26,17.34,17.84,17.34,17.41,10.23,1959000.0
2000-06-27,17.41,18.25,17.34,17.84,10.48,2754800.0
2000-06-28,18.0,18.38,18.0,18.08,10.62,2527200.0
2000-06-29,17.75,17.75,17.38,17.5,10.28,2415400.0
2000-06-30,17.5,17.66,16.91,16.94,9.95,4672000.0
2000-07-03,17.09,18.03,17.09,18.0,10.58,1702400.0
2000-07-05,17.72,17.72,17.16,17.59,10.34,3324600.0
2000-07-06,17.59,17.81,17.41,17.41,10.23,2433400.0
2000-07-07,17.41,17.47,16.97,16.97,9.97,3514400.0
2000-07-10,17.09,17.69,17.09,17.12,10.06,3084000.0
2000-07-11,17.25,18.34,17.25,18.06,10.61,5056800.0
2000-07-12,18.06,18.5,17.88,18.28,10.74,3236600.0
2000-07-13,18.28,18.31,17.94,17.97,10.56,3438000.0
2000-07-14,17.97,18.03,17.56,17.88,10.5,2999200.0
2000-07-17,17.88,18.09,17.5,17.86,10.49,2677200.0
2000-07-18,18.44,19.12,18.44,18.88,11.2,8446200.0
2000-07-19,18.88,19.28,18.84,18.97,11.25,6346200.0
2000-07-20,18.97,19.22,18.25,18.53,10.99,5041600.0
2000-07-21,18.53,18.59,18.19,18.25,10.82,3777600.0
2000-07-24,18.25,18.25,18.06,18.12,10.75,1660200.0
2000-07-25,18.12,18.31,17.94,17.94,10.64,2363000.0
2000-07-26,17.88,17.88,17.38,17.38,10.31,3413200.0
2000-07-27,17.38,17.69,17.31,17.44,10.34,2642200.0
2000-07-28,17.44,17.53,16.97,17.03,10.1,3336600.0
2000-07-31,17.03,17.59,17.03,17.03,10.1,3131800.0
2000-08-01,17.06,17.22,17.06,17.16,10.18,4007600.0
2000-08-02,17.19,17.59,17.19,17.5,10.38,3722000.0
2000-08-03,17.5,17.88,17.12,17.53,10.4,3375200.0
2000-08-04,17.53,17.53,17.19,17.42,10.33,2018200.0
2000-08-07,17.42,18.47,17.28,18.34,10.88,4035600.0
2000-08-08,18.41,19.41,18.41,19.19,11.38,7056400.0
2000-08-09,19.19,19.19,18.78,18.78,11.14,2906800.0
2000-08-10,18.78,19.06,18.69,18.75,11.12,1964000.0
2000-08-11,18.75,19.5,18.62,19.31,11.46,2813800.0
2000-08-14,19.31,19.53,19.16,19.53,11.58,4096600.0
2000-08-15,19.53,19.75,19.12,19.33,11.46,2535400.0
2000-08-16,19.33,19.66,19.22,19.31,11.46,2873200.0
2000-08-17,19.31,19.41,19.09,19.12,11.34,1760600.0
2000-08-18,19.12,19.28,18.84,19.09,11.33,1970800.0
2000-08-21,19.09,19.16,18.69,18.84,11.18,1527600.0
2000-08-22,18.84,19.0,18.69,18.91,11.21,1907600.0
2000-08-23,18.91,18.94,18.53,18.56,11.01,1962400.0
2000-08-24,18.56,18.84,18.5,18.84,11.18,2351800.0
2000-08-25,18.84,18.91,18.62,18.81,11.16,1400200.0
2000-08-28,18.81,18.88,18.31,18.59,11.03,2669000.0
2000-08-29,18.88,19.56,18.88,19.03,11.29,4115000.0
2000-08-30,19.03,19.22,18.34,18.78,11.14,3988200.0
2000-08-31,18.78,18.94,18.25,18.38,10.9,4834600.0
2000-09-01,18.38,18.75,18.12,18.66,11.07,2563800.0
2000-09-05,18.66,19.41,18.53,19.03,11.29,2875600.0
2000-09-06,19.03,19.62,19.03,19.34,11.47,2900600.0
2000-09-07,19.34,19.53,19.03,19.03,11.29,4777600.0
2000-09-08,19.03,19.12,18.75,18.91,11.21,3091600.0
2000-09-11,18.91,19.66,18.88,19.16,11.36,2521800.0
2000-09-12,19.16,19.41,18.88,19.0,11.27,3190600.0
2000-09-13,19.12,19.62,19.12,19.34,11.47,2132000.0
2000-09-14,19.41,19.81,19.41,19.62,11.64,4188200.0
2000-09-15,19.22,19.22,18.59,18.72,11.1,6007800.0
2000-09-18,18.66,18.66,17.72,18.03,10.7,5579000.0
2000-09-19,18.03,18.09,17.31,17.75,10.53,5201200.0
2000-09-20,17.75,17.84,17.47,17.59,10.44,3515000.0
