Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.41,4.49,4.32,4.45,2.11,457600
2000-01-03,4.51,4.53,4.21,4.33,2.06,719200
2000-01-04,4.33,4.36,4.2,4.23,2.01,816400
2000-01-05,4.25,4.29,4.2,4.23,2.01,766800
2000-01-06,4.23,4.4,4.21,4.38,2.08,970000
2000-01-07,4.38,4.54,4.38,4.54,2.16,470400
2000-01-10,4.56,4.57,4.43,4.48,2.13,306400
2000-01-11,4.5,4.53,4.41,4.44,2.11,599200
2000-01-12,4.45,4.48,4.32,4.35,2.07,415200
2000-01-13,4.44,4.56,4.35,4.55,2.16,534400
2000-01-14,4.54,4.62,4.5,4.51,2.14,562000
2000-01-18,4.49,4.49,4.21,4.36,2.07,524800
2000-01-19,4.34,4.35,4.25,4.31,2.05,286800
2000-01-20,4.33,4.35,4.24,4.29,2.04,280000
2000-01-21,4.3,4.3,4.12,4.14,1.96,543600
2000-01-24,4.14,4.18,3.99,4.05,1.93,635200
2000-01-25,4.04,4.08,3.62,3.81,1.81,1395600
2000-01-26,3.85,3.9,3.83,3.89,1.85,417600
2000-01-27,3.96,3.99,3.81,3.82,1.82,584800
2000-01-28,3.85,3.9,3.69,3.7,1.76,596400
2000-01-31,3.71,3.77,3.61,3.68,1.75,627600
2000-02-01,3.7,3.7,3.43,3.43,1.63,1187200
2000-02-02,3.46,3.64,3.46,3.54,1.68,752800
2000-02-03,3.58,3.64,3.41,3.45,1.64,730000
2000-02-04,3.47,3.48,3.3,3.38,1.6,650400
2000-02-07,3.33,3.35,3.23,3.23,1.53,1246000
2000-02-08,3.17,3.28,2.83,3.04,1.48,2329600
2000-02-09,3.0,3.0,2.54,2.74,1.33,5316000
2000-02-10,2.75,2.88,2.62,2.73,1.33,3192400
2000-02-11,2.73,2.79,2.6,2.66,1.29,1444000
2000-02-14,2.72,2.8,2.7,2.8,1.36,1560000
2000-02-15,2.84,3.08,2.84,3.08,1.5,1463200
2000-02-16,3.06,3.28,2.9,3.03,1.47,1447200
2000-02-17,3.03,3.05,2.92,3.01,1.46,604800
2000-02-18,2.98,3.05,2.83,2.84,1.38,848800
2000-02-22,2.82,2.93,2.78,2.86,1.39,640800
2000-02-23,2.94,2.94,2.88,2.89,1.4,835600
2000-02-24,2.88,2.92,2.8,2.81,1.37,739200
2000-02-25,2.8,2.83,2.76,2.77,1.35,520000
2000-02-28,2.79,2.9,2.72,2.86,1.39,1020400
2000-02-29,2.85,2.94,2.84,2.84,1.38,1450000
2000-03-01,2.84,2.92,2.81,2.84,1.38,676800
2000-03-02,2.84,2.89,2.8,2.82,1.37,626800
2000-03-03,2.81,2.94,2.81,2.94,1.43,1965600
2000-03-06,2.98,3.02,2.93,2.98,1.45,1045200
2000-03-07,2.96,2.97,2.83,2.85,1.39,1048000
2000-03-08,2.85,2.94,2.8,2.8,1.36,1009600
2000-03-09,2.82,2.91,2.81,2.82,1.37,849600
2000-03-10,2.74,2.77,2.49,2.49,1.21,1910400
2000-03-13,2.5,2.58,2.45,2.5,1.21,1639200
2000-03-14,2.5,2.56,2.46,2.47,1.2,1620400
2000-03-15,2.49,2.57,2.45,2.53,1.23,1756800
2000-03-16,2.55,2.75,2.54,2.62,1.27,2422000
2000-03-17,2.56,2.69,2.54,2.55,1.24,1550800
2000-03-20,2.54,2.68,2.46,2.67,1.3,2748000
2000-03-21,2.65,2.66,2.56,2.66,1.29,847200
2000-03-22,2.65,2.67,2.6,2.64,1.28,385600
2000-03-23,2.62,2.77,2.61,2.69,1.31,746400
2000-03-24,2.7,2.72,2.55,2.56,1.24,950800
2000-03-27,2.58,2.6,2.54,2.54,1.23,505200
2000-03-28,2.56,2.56,2.5,2.5,1.21,1497600
2000-03-29,2.52,2.56,2.5,2.51,1.22,610800
2000-03-30,2.53,2.81,2.53,2.74,1.33,1255200
2000-03-31,2.75,2.92,2.72,2.86,1.39,1840800
2000-04-03,2.86,2.98,2.76,2.98,1.45,737200
2000-04-04,2.98,2.99,2.74,2.84,1.38,656400
2000-04-05,2.81,2.9,2.78,2.84,1.38,464400
2000-04-06,2.83,2.86,2.77,2.78,1.35,328800
2000-04-07,2.77,2.78,2.73,2.75,1.34,596800
2000-04-10,2.77,2.88,2.77,2.83,1.38,512800
2000-04-11,2.88,2.88,2.78,2.8,1.36,349200
2000-04-12,2.82,2.9,2.75,2.77,1.35,1314400
2000-04-13,2.79,2.88,2.77,2.85,1.39,646800
2000-04-14,2.84,2.84,2.68,2.73,1.33,1209600
2000-04-17,2.76,2.85,2.73,2.79,1.36,1284000
2000-04-18,2.78,2.78,2.71,2.77,1.35,506800
2000-04-19,2.76,2.76,2.67,2.73,1.33,764800
2000-04-20,2.73,2.83,2.71,2.79,1.36,456000
2000-04-24,2.77,2.84,2.75,2.81,1.37,514000
2000-04-25,2.8,2.8,2.69,2.69,1.31,691600
2000-04-26,2.69,2.79,2.67,2.78,1.35,476800
2000-04-27,2.72,2.8,2.68,2.8,1.36,439600
2000-04-28,2.84,3.06,2.84,2.98,1.45,1341600
2000-05-01,2.99,3.18,2.98,3.15,1.53,1021200
2000-05-02,3.1,3.18,3.06,3.17,1.54,473200
2000-05-03,3.17,3.17,3.09,3.14,1.52,283600
2000-05-04,3.15,3.25,3.15,3.2,1.55,522000
2000-05-05,3.19,3.28,3.18,3.27,1.59,424800
2000-05-08,3.27,3.27,3.16,3.2,1.55,514800
2000-05-09,3.23,3.23,3.1,3.18,1.54,744400
2000-05-10,3.17,3.17,3.06,3.16,1.57,485200
2000-05-11,3.18,3.2,3.14,3.2,1.59,437200
2000-05-12,3.21,3.21,3.02,3.03,1.51,556000
2000-05-15,3.03,3.09,2.97,3.09,1.54,672400
2000-05-16,3.12,3.15,3.01,3.07,1.53,451200
2000-05-17,3.07,3.08,3.02,3.04,1.51,214800
2000-05-18,3.03,3.06,3.01,3.04,1.51,247200
2000-05-19,3.02,3.03,2.93,2.98,1.48,337200
2000-05-22,2.96,2.99,2.92,2.97,1.47,264000
2000-05-23,2.97,3.0,2.93,2.94,1.46,226000
2000-05-24,2.95,3.07,2.94,3.03,1.51,318000
2000-05-25,3.03,3.09,2.92,2.92,1.45,454000
2000-05-26,2.93,2.98,2.91,2.95,1.46,186000
2000-05-30,2.93,3.02,2.93,2.99,1.48,202800
2000-05-31,2.99,3.03,2.94,3.03,1.51,482400
2000-06-01,3.02,3.25,3.02,3.17,1.57,676000
2000-06-02,3.19,3.25,3.12,3.16,1.57,287200
2000-06-05,3.08,3.12,3.05,3.08,1.53,236800
2000-06-06,3.06,3.17,3.06,3.07,1.53,260400
2000-06-07,3.09,3.16,3.04,3.06,1.52,265200
2000-06-08,3.07,3.1,3.01,3.07,1.53,402400
2000-06-09,3.07,3.1,3.05,3.09,1.54,444400
2000-06-12,3.11,3.17,3.06,3.17,1.57,436800
2000-06-13,3.17,3.24,3.12,3.24,1.61,476800
2000-06-14,3.24,3.24,3.17,3.2,1.59,222000
2000-06-15,3.21,3.42,3.19,3.4,1.69,854400
2000-06-16,3.42,3.48,3.24,3.24,1.61,1225200
2000-06-19,3.2,3.26,3.17,3.26,1.62,324400
2000-06-20,3.3,3.3,3.23,3.28,1.63,468400
2000-06-21,3.29,3.31,3.26,3.27,1.62,276400
2000-06-22,3.27,3.27,3.14,3.15,1.56,512800
2000-06-23,3.11,3.16,3.04,3.09,1.54,820000
2000-06-26,3.09,3.23,3.07,3.23,1.6,340800
2000-06-27,3.23,3.27,3.14,3.17,1.57,454000
2000-06-28,3.17,3.25,3.05,3.24,1.61,1072000
2000-06-29,3.22,3.22,3.17,3.18,1.58,305200
2000-06-30,3.19,3.19,3.0,3.0,1.49,866800
2000-07-03,2.96,3.17,2.96,3.15,1.56,739600
2000-07-05,3.15,3.16,3.07,3.07,1.53,467200
2000-07-06,3.08,3.1,3.05,3.05,1.52,694000
2000-07-07,3.05,3.14,3.04,3.07,1.53,1292400
2000-07-10,3.08,3.2,3.08,3.17,1.57,394000
2000-07-11,3.17,3.27,3.12,3.15,1.56,504000
2000-07-12,3.15,3.23,3.15,3.15,1.56,242800
2000-07-13,3.12,3.14,3.0,3.01,1.49,360400
2000-07-14,3.02,3.14,3.02,3.04,1.51,384400
2000-07-17,3.05,3.07,3.02,3.05,1.52,200400
2000-07-18,3.02,3.15,3.02,3.05,1.52,468400
2000-07-19,3.04,3.16,3.04,3.08,1.53,438400
2000-07-20,3.12,3.12,3.04,3.07,1.53,198000
2000-07-21,3.06,3.1,2.99,3.01,1.49,475600
2000-07-24,3.01,3.02,2.95,2.95,1.46,296800
2000-07-25,2.97,3.15,2.95,3.1,1.54,412000
2000-07-26,3.09,3.16,3.04,3.16,1.57,326800
2000-07-27,3.12,3.14,3.03,3.03,1.51,238000
2000-07-28,3.04,3.08,3.01,3.03,1.51,162400
2000-07-31,3.03,3.07,2.94,2.96,1.47,358000
2000-08-01,2.95,3.02,2.93,3.01,1.49,159600
2000-08-02,3.0,3.0,2.93,2.94,1.46,389200
2000-08-03,2.94,3.25,2.94,3.14,1.56,952800
2000-08-04,3.15,3.22,3.15,3.19,1.58,679600
2000-08-07,3.21,3.23,2.97,2.98,1.48,1000800
2000-08-08,2.98,3.0,2.93,2.93,1.45,274000
2000-08-09,2.92,2.95,2.89,2.93,1.49,577200
2000-08-10,3.0,3.1,3.0,3.05,1.55,626400
2000-08-11,3.05,3.16,3.05,3.14,1.6,418000
2000-08-14,3.14,3.2,3.14,3.15,1.6,230400
2000-08-15,3.15,3.17,3.1,3.1,1.58,328000
2000-08-16,3.12,3.12,3.0,3.01,1.53,230800
2000-08-17,3.02,3.02,3.0,3.01,1.53,137200
2000-08-18,3.01,3.02,2.98,2.99,1.52,360400
2000-08-21,2.99,3.02,2.97,2.99,1.52,140800
2000-08-22,3.0,3.03,2.97,2.98,1.52,312400
2000-08-23,2.99,3.0,2.99,2.99,1.52,167200
2000-08-24,2.97,3.0,2.97,3.0,1.53,236400
2000-08-25,3.0,3.0,2.97,2.99,1.52,188800
2000-08-28,2.99,3.02,2.96,2.96,1.51,681600
2000-08-29,2.94,2.99,2.94,2.99,1.52,235200
2000-08-30,2.96,3.01,2.96,3.0,1.53,447600
2000-08-31,2.98,3.01,2.98,2.99,1.52,116800
2000-09-01,3.0,3.03,2.96,3.03,1.54,314400
2000-09-05,3.05,3.05,2.97,2.99,1.52,290400
2000-09-06,3.0,3.11,2.99,3.09,1.57,251200
2000-09-07,3.1,3.13,3.04,3.07,1.56,362400
2000-09-08,3.06,3.08,2.98,3.01,1.53,266800
2000-09-11,3.01,3.02,2.99,2.99,1.52,243600
2000-09-12,2.97,2.97,2.91,2.91,1.48,554400
2000-09-13,2.94,2.96,2.85,2.86,1.46,533200
2000-09-14,2.86,2.93,2.62,2.68,1.36,1223200
2000-09-15,2.61,2.7,2.61,2.64,1.34,955600
2000-09-18,2.66,2.68,2.6,2.67,1.36,776400
2000-09-19,2.68,2.74,2.67,2.74,1.39,484000
2000-09-20,2.75,2.79,2.72,2.78,1.42,478800
2000-09-21,2.76,2.88,2.76,2.84,1.45,384000
2000-09-22,2.83,2.9,2.82,2.89,1.47,402000
2000-09-25,2.9,2.9,2.79,2.81,1.43,382800
2000-09-26,2.81,2.85,2.8,2.85,1.45,813600
2000-09-27,2.84,2.93,2.84,2.93,1.49,282400
2000-09-28,2.93,3.0,2.93,2.95,1.5,920800
2000-09-29,2.93,3.07,2.92,3.06,1.56,1108800
2000-10-02,3.05,3.06,2.85,2.88,1.46,907200
2000-10-03,2.85,2.95,2.85,2.88,1.46,459600
2000-10-04,2.91,2.93,2.83,2.85,1.45,324000
2000-10-05,2.89,3.0,2.88,2.98,1.52,724800
2000-10-06,2.98,3.06,2.98,3.01,1.53,355200
2000-10-09,3.03,3.03,2.92,2.93,1.49,298000
2000-10-10,2.93,2.93,2.89,2.91,1.48,86400
2000-10-11,2.86,3.08,2.86,3.04,1.55,628000
2000-10-12,3.03,3.04,2.95,3.0,1.53,456400
2000-10-13,2.98,3.07,2.98,3.07,1.56,350400
2000-10-16,3.06,3.1,3.03,3.1,1.58,283200
2000-10-17,3.08,3.12,3.05,3.08,1.57,658000
2000-10-18,3.05,3.07,3.01,3.03,1.54,299200
2000-10-19,3.04,3.08,2.99,3.08,1.57,284400
2000-10-20,3.05,3.05,2.99,3.0,1.53,312400
2000-10-23,3.0,3.0,2.97,2.99,1.52,193600
2000-10-24,2.98,3.06,2.96,3.04,1.55,637600
2000-10-25,3.03,3.04,2.99,3.01,1.53,367600
2000-10-26,3.0,3.04,2.99,3.04,1.55,230400
2000-10-27,3.02,3.23,3.01,3.22,1.64,750400
2000-10-30,3.19,3.32,3.19,3.31,1.69,850800
2000-10-31,3.31,3.32,3.22,3.29,1.67,818400
2000-11-01,3.29,3.39,3.29,3.31,1.69,712000
2000-11-02,3.31,3.38,3.27,3.33,1.7,734800
2000-11-03,3.36,3.4,3.31,3.35,1.71,492000
2000-11-06,3.38,3.39,3.34,3.35,1.71,139600
2000-11-07,3.32,3.39,3.32,3.38,1.72,349600
2000-11-08,3.36,3.43,3.36,3.39,1.76,290800
2000-11-09,3.4,3.43,3.33,3.43,1.78,692400
2000-11-10,3.43,3.54,3.43,3.54,1.84,574800
2000-11-13,3.5,3.5,3.42,3.49,1.81,388800
2000-11-14,3.49,3.62,3.49,3.55,1.85,802800
2000-11-15,3.57,3.74,3.55,3.67,1.91,626400
2000-11-16,3.67,3.67,3.53,3.6,1.87,338800
2000-11-17,3.65,3.7,3.59,3.65,1.89,202800
2000-11-20,3.67,3.67,3.59,3.61,1.88,117600
2000-11-21,3.65,3.66,3.58,3.66,1.9,207600
2000-11-22,3.66,3.66,3.54,3.6,1.87,250800
2000-11-24,3.6,3.6,3.56,3.56,1.85,64000
2000-11-27,3.53,3.66,3.53,3.55,1.85,263200
2000-11-28,3.53,3.6,3.44,3.47,1.8,379600
2000-11-29,3.49,3.52,3.46,3.51,1.82,530400
2000-11-30,3.48,3.57,3.48,3.53,1.83,287200
2000-12-01,3.51,3.65,3.51,3.61,1.88,432400
2000-12-04,3.61,3.62,3.55,3.61,1.88,309600
2000-12-05,3.61,3.62,3.5,3.55,1.85,408400
2000-12-06,3.55,3.62,3.54,3.58,1.86,830800
2000-12-07,3.58,3.67,3.58,3.66,1.9,237600
2000-12-08,3.67,3.93,3.67,3.9,2.02,1012000
2000-12-11,3.9,3.91,3.86,3.89,2.02,888400
2000-12-12,3.84,3.9,3.78,3.78,1.96,422400
2000-12-13,3.76,3.83,3.67,3.7,1.92,722400
2000-12-14,3.7,3.79,3.66,3.66,1.9,330000
2000-12-15,3.59,3.64,3.42,3.52,1.83,850800
2000-12-18,3.56,3.56,3.46,3.55,1.85,487200
2000-12-19,3.55,3.65,3.55,3.56,1.85,338800
2000-12-20,3.53,3.66,3.51,3.59,1.87,370800
2000-12-21,3.57,3.73,3.57,3.62,1.88,427600
2000-12-22,3.62,3.73,3.6,3.73,1.94,297600
2000-12-26,3.71,3.74,3.6,3.69,1.92,338400
2000-12-27,3.71,3.93,3.71,3.9,2.02,1032400
2000-12-28,3.9,3.91,3.8,3.86,2.01,637200
2000-12-29,3.89,3.91,3.71,3.71,1.93,534400
2001-01-02,3.71,3.72,3.58,3.6,1.87,805600
2001-01-03,3.65,3.65,3.46,3.49,1.81,1028800
2001-01-04,3.52,3.52,3.29,3.3,1.72,398400
2001-01-05,3.33,3.38,3.26,3.31,1.72,623200
2001-01-08,3.32,3.73,3.32,3.7,1.92,1115200
2001-01-09,3.71,3.78,3.62,3.67,1.91,788400
2001-01-10,3.62,3.8,3.6,3.77,1.96,1105600
2001-01-11,3.74,3.83,3.69,3.75,1.95,2095600
2001-01-12,3.75,3.82,3.72,3.81,1.98,435600
2001-01-16,3.78,3.83,3.75,3.78,1.96,470400
2001-01-17,3.77,3.9,3.72,3.83,1.99,562000
2001-01-18,3.83,3.94,3.72,3.91,2.03,988000
2001-01-19,3.89,3.94,3.85,3.93,2.04,341200
2001-01-22,3.94,4.07,3.94,4.02,2.09,1492800
2001-01-23,4.02,4.1,3.98,4.1,2.13,663600
2001-01-24,4.07,4.15,4.0,4.06,2.11,625600
2001-01-25,4.04,4.1,4.02,4.08,2.12,319200
2001-01-26,4.04,4.05,3.94,3.94,2.05,453600
2001-01-29,3.96,4.0,3.93,3.95,2.05,346800
2001-01-30,3.99,4.14,3.99,4.09,2.12,448800
2001-01-31,4.09,4.16,4.06,4.16,2.16,557200
2001-02-01,4.14,4.16,4.04,4.16,2.16,467200
2001-02-02,4.0,4.0,3.48,3.5,1.82,6481600
2001-02-05,3.55,3.7,3.54,3.64,1.89,1148800
2001-02-06,3.67,3.67,3.54,3.55,1.85,660000
2001-02-07,3.55,3.64,3.55,3.62,1.92,455200
2001-02-08,3.66,3.68,3.59,3.6,1.92,921600
2001-02-09,3.6,3.67,3.57,3.62,1.93,1010800
2001-02-12,3.64,3.67,3.54,3.58,1.9,574000
2001-02-13,3.58,3.66,3.52,3.53,1.88,609600
2001-02-14,3.5,3.52,3.47,3.48,1.85,490000
2001-02-15,3.48,3.48,3.42,3.44,1.83,266800
2001-02-16,3.43,3.6,3.43,3.57,1.9,433600
2001-02-20,3.58,3.66,3.55,3.56,1.89,518800
2001-02-21,3.55,3.55,3.5,3.51,1.86,586000
2001-02-22,3.51,3.52,3.47,3.5,1.86,715600
2001-02-23,3.52,3.52,3.42,3.47,1.84,485200
2001-02-26,3.5,3.56,3.49,3.49,1.86,493600
2001-02-27,3.49,3.58,3.48,3.55,1.88,498400
2001-02-28,3.52,3.65,3.52,3.64,1.94,696400
2001-03-01,3.63,3.63,3.53,3.55,1.89,433600
2001-03-02,3.54,3.67,3.51,3.58,1.9,414000
2001-03-05,3.59,3.67,3.59,3.6,1.92,189600
2001-03-06,3.62,3.64,3.56,3.63,1.93,357600
2001-03-07,3.64,3.79,3.64,3.75,1.99,825600
2001-03-08,3.76,3.76,3.67,3.74,1.99,499200
2001-03-09,3.73,3.75,3.69,3.71,1.97,324400
2001-03-12,3.67,3.76,3.66,3.67,1.95,651600
2001-03-13,3.68,3.71,3.6,3.61,1.92,947200
2001-03-14,3.62,3.69,3.57,3.62,1.92,298000
2001-03-15,3.61,3.61,3.51,3.52,1.87,307200
2001-03-16,3.5,3.64,3.5,3.55,1.89,558000
2001-03-19,3.54,3.65,3.53,3.63,1.93,275200
2001-03-20,3.62,3.75,3.61,3.65,1.94,679600
2001-03-21,3.65,3.65,3.56,3.57,1.9,240000
2001-03-22,3.59,3.59,3.43,3.57,1.9,584400
2001-03-23,3.58,3.59,3.43,3.5,1.86,628000
2001-03-26,3.53,3.58,3.42,3.43,1.82,838800
2001-03-27,3.45,3.58,3.43,3.58,1.9,730000
2001-03-28,3.57,3.59,3.46,3.46,1.84,499600
2001-03-29,3.47,3.59,3.37,3.38,1.8,578400
