Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.97,10.0,9.81,9.94,7.1,133200
2000-01-03,10.0,10.0,9.72,9.78,6.99,1029600
2000-01-04,9.62,9.62,9.45,9.45,6.76,805600
2000-01-05,9.38,9.44,9.27,9.33,6.67,809600
2000-01-06,9.25,9.38,9.25,9.38,6.7,1070800
2000-01-07,9.39,9.5,9.3,9.5,6.79,554800
2000-01-10,9.56,9.97,9.5,9.92,7.09,300800
2000-01-11,9.88,9.97,9.7,9.77,6.98,247600
2000-01-12,9.78,9.97,9.75,9.84,7.04,482800
2000-01-13,9.81,9.97,9.81,9.94,7.1,122800
2000-01-14,9.88,10.03,9.86,10.0,7.15,304000
2000-01-18,9.95,10.0,9.91,9.92,7.09,208000
2000-01-19,9.89,10.23,9.88,10.22,7.31,353200
2000-01-20,10.2,10.2,10.05,10.11,7.23,262400
2000-01-21,10.1,10.1,9.81,9.83,7.03,538000
2000-01-24,9.88,10.34,9.81,10.3,7.36,606000
2000-01-25,10.28,10.52,10.05,10.12,7.24,1126800
2000-01-26,10.22,10.22,9.89,10.19,7.28,794800
2000-01-27,10.19,10.19,9.97,9.98,7.14,111600
2000-01-28,9.97,10.38,9.94,10.38,7.42,488400
2000-01-31,10.27,10.53,10.0,10.17,7.27,376000
2000-02-01,10.19,10.31,9.84,10.31,7.37,411200
2000-02-02,10.2,10.75,10.12,10.64,7.61,793600
2000-02-03,10.64,10.66,10.5,10.62,7.6,184000
2000-02-04,10.62,10.77,10.58,10.7,7.65,290400
2000-02-07,10.66,10.88,10.51,10.88,7.77,422400
2000-02-08,10.88,11.31,10.86,11.05,7.9,686000
2000-02-09,11.06,12.25,11.06,11.97,8.56,1471200
2000-02-10,12.06,12.09,11.78,11.8,8.43,696000
2000-02-11,11.91,11.91,10.89,10.89,7.79,972800
2000-02-14,11.03,11.06,10.44,10.81,7.73,484400
2000-02-15,10.81,10.88,10.28,10.44,7.46,718000
2000-02-16,10.56,10.72,10.56,10.66,7.62,266800
2000-02-17,10.68,10.73,10.47,10.53,7.53,282400
2000-02-18,10.62,10.62,10.19,10.19,7.28,224000
2000-02-22,10.16,10.53,10.0,10.38,7.42,488800
2000-02-23,11.12,11.56,10.97,11.17,7.99,2728000
2000-02-24,11.12,11.62,11.09,11.31,8.09,1463200
2000-02-25,11.34,11.59,11.31,11.48,8.2,938400
2000-02-28,11.5,12.53,11.39,12.38,8.85,1347600
2000-02-29,12.38,12.84,12.22,12.75,9.12,11688800
2000-03-01,12.6,12.64,12.45,12.56,8.98,3234000
2000-03-02,12.59,12.61,12.41,12.41,8.88,2401600
2000-03-03,12.5,12.51,12.39,12.41,8.87,1906000
2000-03-06,12.42,12.42,12.38,12.39,8.87,714800
2000-03-07,12.38,12.73,12.34,12.73,9.12,859200
2000-03-08,12.59,12.97,12.59,12.72,9.11,812000
2000-03-09,12.81,12.81,12.59,12.59,9.02,338400
2000-03-10,12.59,12.61,12.34,12.36,8.85,488000
2000-03-13,12.31,12.31,11.88,12.16,8.7,560400
2000-03-14,12.16,12.22,10.84,11.52,8.25,1622000
2000-03-15,11.56,11.62,11.34,11.36,8.13,2358400
2000-03-16,11.41,11.5,10.72,11.02,7.89,1012400
2000-03-17,10.55,10.77,10.42,10.42,7.46,960400
2000-03-20,10.84,10.88,10.0,10.03,7.18,976400
2000-03-21,10.16,10.28,9.83,10.27,7.35,604800
2000-03-22,10.39,10.52,10.28,10.52,7.53,574800
2000-03-23,10.5,10.56,10.42,10.52,7.53,1060000
2000-03-24,10.62,10.62,10.5,10.5,7.52,573600
2000-03-27,10.59,10.59,10.36,10.47,7.5,228000
2000-03-28,10.49,10.52,10.47,10.47,7.5,491600
2000-03-29,10.47,10.53,10.06,10.12,7.25,425600
2000-03-30,10.16,10.53,9.88,9.89,7.08,551200
2000-03-31,10.03,10.22,9.31,9.31,6.67,2133200
2000-04-03,9.5,9.56,8.58,8.75,6.27,711600
2000-04-04,8.89,10.84,8.75,10.09,7.23,3248000
2000-04-05,9.94,10.34,9.69,9.84,7.05,2910400
2000-04-06,9.88,10.53,9.77,10.09,7.23,540000
2000-04-07,10.27,10.95,10.16,10.86,7.78,763200
2000-04-10,10.72,11.0,10.42,10.42,7.46,771600
2000-04-11,10.39,11.28,10.16,10.53,7.54,438400
2000-04-12,10.53,11.56,10.53,11.5,8.23,639600
2000-04-13,11.5,11.53,10.97,11.02,7.89,713200
2000-04-14,10.95,10.95,9.69,10.31,7.38,308400
2000-04-17,10.25,10.5,9.61,10.33,7.4,1004000
2000-04-18,10.31,11.88,10.27,11.25,8.06,1580400
2000-04-19,11.42,11.75,10.94,11.73,8.4,599200
2000-04-20,11.75,12.3,11.48,12.0,8.59,1030000
2000-04-24,12.0,12.48,11.86,12.22,8.75,724400
2000-04-25,12.31,12.39,11.88,12.36,8.85,299200
2000-04-26,12.44,12.44,12.0,12.05,8.63,256800
2000-04-27,11.94,12.42,11.69,12.31,8.82,384400
2000-04-28,12.36,12.53,12.22,12.5,8.95,654400
2000-05-01,12.44,12.75,12.44,12.59,9.02,1045200
2000-05-02,12.5,12.67,12.44,12.66,9.06,547200
2000-05-03,12.62,12.69,11.5,11.84,8.48,508400
2000-05-04,12.03,12.69,11.88,12.09,8.66,1424400
2000-05-05,12.16,13.06,12.09,12.97,9.29,1543600
2000-05-08,13.05,13.05,12.69,12.91,9.24,564000
2000-05-09,12.91,13.25,12.72,12.95,9.28,1727600
2000-05-10,13.0,13.19,12.81,12.86,9.21,568400
2000-05-11,12.89,13.06,12.86,12.94,9.26,902000
2000-05-12,12.94,13.09,12.88,12.93,9.26,440400
2000-05-15,12.88,12.92,12.67,12.92,9.25,226400
2000-05-16,12.94,13.12,12.19,12.19,8.73,477200
2000-05-17,12.28,12.3,11.3,11.42,8.18,640000
2000-05-18,11.53,11.53,10.84,11.09,7.94,540000
2000-05-19,10.75,11.03,10.66,11.03,7.9,398400
2000-05-22,10.89,11.16,9.97,11.11,7.96,872400
2000-05-23,11.19,12.39,10.62,11.91,8.53,1327200
2000-05-24,11.78,12.0,11.6,11.83,8.47,495200
2000-05-25,12.08,12.12,11.44,11.5,8.23,928400
2000-05-26,11.47,11.69,11.45,11.5,8.23,1017600
2000-05-30,11.66,11.66,11.03,11.34,8.12,598000
2000-05-31,11.34,11.61,11.23,11.23,8.04,372800
2000-06-01,11.34,12.05,11.31,11.95,8.56,236800
2000-06-02,12.09,12.19,11.5,11.5,8.23,400400
2000-06-05,11.58,11.59,11.02,11.39,8.16,732800
2000-06-06,11.32,11.58,11.2,11.26,8.06,704000
2000-06-07,11.31,11.34,11.12,11.22,8.03,718400
2000-06-08,11.12,11.12,10.55,10.78,7.73,973600
2000-06-09,10.91,10.94,10.58,10.8,7.75,965600
2000-06-12,10.88,11.97,10.83,11.59,8.32,416000
2000-06-13,11.56,11.75,11.38,11.72,8.41,314400
2000-06-14,11.72,12.09,11.42,11.77,8.44,324800
2000-06-15,11.75,11.81,11.36,11.7,8.4,409200
2000-06-16,11.78,12.44,11.7,11.81,8.47,1404800
2000-06-19,11.88,11.91,11.19,11.5,8.25,243200
2000-06-20,11.53,11.53,11.0,11.02,7.9,1064800
2000-06-21,11.03,11.06,10.44,10.62,7.62,708400
2000-06-22,10.64,10.78,10.38,10.38,7.44,769200
