Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,31.38,32.5,31.28,32.5,21.52,1123000
2000-01-03,32.0,32.0,31.0,31.12,20.61,2434800
2000-01-04,30.62,30.97,30.25,30.31,20.07,2358400
2000-01-05,30.38,30.62,28.88,29.28,19.39,3169400
2000-01-06,29.0,30.0,28.94,29.22,19.34,5802200
2000-01-07,29.56,31.16,29.0,30.97,20.5,5570200
2000-01-10,31.75,31.81,30.88,31.81,21.06,3049600
2000-01-11,31.5,32.41,31.47,31.97,21.16,3850800
2000-01-12,31.62,32.22,31.41,32.19,21.31,2332600
2000-01-13,32.06,32.84,31.91,32.41,21.45,2643000
2000-01-14,33.0,33.38,31.03,31.66,20.96,4695800
2000-01-18,31.53,31.81,31.03,31.5,20.85,2902000
2000-01-19,31.5,31.62,30.56,30.75,20.36,2470200
2000-01-20,30.69,31.88,30.25,30.97,20.5,3082000
2000-01-21,31.62,31.62,30.19,30.66,20.3,3642200
2000-01-24,31.38,31.5,30.25,30.34,20.14,3024800
2000-01-25,30.88,30.91,29.62,29.81,19.79,1929000
2000-01-26,29.88,30.31,29.47,30.09,19.98,1368000
2000-01-27,29.88,30.66,29.88,30.16,20.02,2075200
2000-01-28,30.28,30.56,29.25,29.75,19.75,3138400
2000-01-31,29.38,29.84,29.25,29.62,19.66,3411800
2000-02-01,29.62,30.09,29.22,29.81,19.79,3090800
2000-02-02,30.25,30.81,29.88,30.66,20.35,3010400
2000-02-03,30.5,30.88,29.19,30.0,19.91,4268600
2000-02-04,29.75,29.78,27.5,28.12,18.67,6497800
2000-02-07,28.12,28.41,26.78,28.19,18.71,5906200
2000-02-08,28.19,29.69,28.19,29.34,19.48,5455600
2000-02-09,29.88,29.88,28.75,29.09,19.31,4435400
2000-02-10,29.12,29.25,28.69,28.75,19.08,2444400
2000-02-11,28.81,28.81,27.81,27.94,18.54,3301200
2000-02-14,27.97,27.97,26.5,27.0,17.92,3962000
2000-02-15,27.38,27.91,26.91,27.84,18.48,4309200
2000-02-16,27.94,28.38,27.56,27.69,18.38,3066000
2000-02-17,27.81,28.0,26.75,26.97,17.9,2682200
2000-02-18,26.25,27.44,26.0,26.53,17.61,4189600
2000-02-22,26.53,26.97,25.34,26.19,17.38,3111000
2000-02-23,25.94,25.97,25.47,25.69,17.05,3062800
2000-02-24,25.38,25.81,23.94,24.53,16.28,4953400
2000-02-25,24.59,24.88,24.0,24.12,16.01,5931200
2000-02-28,24.44,25.66,24.0,25.5,16.93,5317400
2000-02-29,25.62,26.75,25.31,26.09,17.32,4971800
2000-03-01,26.12,26.81,25.75,26.5,17.59,3489600
2000-03-02,26.62,26.69,26.25,26.31,17.47,3090400
2000-03-03,26.31,27.56,26.28,27.44,18.21,2866200
2000-03-06,27.5,27.5,26.31,26.41,17.53,2239600
2000-03-07,23.0,24.88,22.88,23.38,15.52,16743200
2000-03-08,23.56,23.94,21.19,21.97,14.58,15871800
2000-03-09,21.88,22.19,21.5,22.0,14.6,5240400
2000-03-10,22.0,22.0,20.44,21.38,14.19,8014200
2000-03-13,20.25,22.09,20.25,21.69,14.4,5746000
2000-03-14,21.12,21.78,21.0,21.59,14.33,3185400
2000-03-15,21.94,27.0,21.88,25.91,17.2,11815800
2000-03-16,25.91,26.19,24.88,25.62,17.01,9545400
2000-03-17,25.12,25.97,24.91,24.97,16.57,5084800
2000-03-20,24.97,25.5,24.56,25.12,16.68,3725000
2000-03-21,24.94,25.75,24.88,25.16,16.7,4182400
2000-03-22,24.94,25.47,24.25,25.28,16.78,4988400
2000-03-23,25.09,27.0,25.0,26.56,17.63,5917400
2000-03-24,26.59,28.0,26.59,27.19,18.05,4643000
2000-03-27,27.5,27.75,26.97,27.09,17.98,3348600
2000-03-28,26.69,28.44,26.69,28.44,18.88,4296200
2000-03-29,28.5,28.81,27.84,28.22,18.73,4349200
2000-03-30,27.62,28.22,27.28,28.09,18.65,5765000
2000-03-31,28.19,29.19,27.97,28.19,18.71,4308000
2000-04-03,28.31,30.44,28.22,30.25,20.08,3763600
2000-04-04,30.0,30.81,29.62,30.34,20.14,5783400
2000-04-05,30.19,30.88,29.12,29.22,19.39,3419600
2000-04-06,29.28,30.0,28.5,29.5,19.58,3068000
2000-04-07,29.5,30.0,29.38,29.66,19.68,2512000
2000-04-10,29.0,30.44,28.94,30.12,20.0,4362600
2000-04-11,30.44,31.44,30.38,31.31,20.78,5006600
2000-04-12,31.31,32.62,30.94,31.0,20.58,6154800
2000-04-13,30.5,30.75,28.91,29.5,19.58,5849000
2000-04-14,27.88,28.69,27.22,27.88,18.5,5026600
2000-04-17,27.5,28.81,27.28,28.81,19.12,4526400
2000-04-18,28.5,28.5,27.31,27.62,18.34,4614000
2000-04-19,28.0,28.0,26.41,27.84,18.48,7988800
2000-04-20,27.62,28.69,27.31,28.56,18.96,5521400
2000-04-24,28.47,29.38,28.38,29.31,19.51,3939600
2000-04-25,29.28,30.0,29.06,29.59,19.7,5268000
2000-04-26,29.75,29.75,28.47,28.84,19.2,3325400
2000-04-27,28.44,29.94,28.19,29.34,19.53,4569400
2000-04-28,28.25,28.88,27.44,28.56,19.01,3996600
2000-05-01,28.0,28.25,27.56,27.56,18.35,2593200
2000-05-02,27.56,28.41,27.47,28.06,18.68,2553600
2000-05-03,28.09,28.91,27.66,27.75,18.47,2155800
2000-05-04,27.88,28.03,27.62,27.97,18.62,2007200
2000-05-05,28.12,29.03,27.88,28.56,19.01,2314800
2000-05-08,28.75,29.75,28.47,28.81,19.18,2149200
2000-05-09,28.88,29.72,28.84,29.5,19.64,3556200
2000-05-10,29.12,29.88,29.0,29.09,19.36,3791600
2000-05-11,29.5,30.38,29.31,30.09,20.03,4046600
2000-05-12,30.09,30.09,28.94,29.42,19.58,1950200
2000-05-15,29.38,29.88,29.31,29.62,19.72,2104200
2000-05-16,29.53,29.53,28.81,29.03,19.32,2380800
2000-05-17,29.06,29.44,28.72,29.28,19.49,1715200
2000-05-18,28.62,29.75,28.62,29.53,19.66,1831600
2000-05-19,29.44,29.44,28.22,28.47,18.95,2620800
2000-05-22,28.5,28.81,28.0,28.28,18.82,1882800
2000-05-23,28.28,28.69,27.84,27.97,18.62,3081200
2000-05-24,27.84,28.5,27.84,28.31,18.84,3518200
2000-05-25,28.0,28.25,27.81,28.0,18.64,3250000
2000-05-26,28.09,28.5,27.62,27.88,18.55,1628000
2000-05-30,28.06,28.12,26.91,27.06,18.01,2711000
2000-05-31,26.75,27.0,25.78,26.31,17.51,7400200
2000-06-01,27.06,27.47,26.25,26.66,17.74,5130000
2000-06-02,27.12,27.44,26.97,27.25,18.14,2571400
2000-06-05,27.31,27.31,26.53,26.53,17.66,2122400
2000-06-06,26.0,27.38,26.0,27.28,18.16,2427400
2000-06-07,27.5,29.06,27.47,28.5,18.97,4333200
2000-06-08,27.88,28.41,27.25,28.25,18.8,3807600
2000-06-09,28.44,28.78,28.38,28.44,18.93,1743600
2000-06-12,28.5,29.28,28.5,28.72,19.12,1842400
2000-06-13,28.72,28.75,27.38,27.78,18.49,3657600
2000-06-14,27.78,28.81,27.72,28.56,19.01,3620400
2000-06-15,28.66,29.41,28.66,29.25,19.47,3005000
2000-06-16,29.0,29.12,28.66,28.94,19.26,4297600
2000-06-19,28.88,29.12,28.59,28.81,19.18,1971600
2000-06-20,28.38,28.91,27.94,28.69,19.09,3100200
2000-06-21,28.62,28.78,27.78,28.5,18.97,2376000
2000-06-22,28.5,28.5,27.81,28.0,18.64,2824000
2000-06-23,28.0,28.03,27.5,27.78,18.49,2454400
2000-06-26,27.81,28.44,27.78,28.25,18.8,2509200
2000-06-27,28.25,28.72,28.12,28.47,18.95,3791000
2000-06-28,28.5,28.75,27.75,28.3,18.84,2480600
2000-06-29,28.28,28.72,28.03,28.38,18.89,3524000
2000-06-30,28.31,29.99,28.31,29.94,19.93,4368000
2000-07-03,29.81,30.0,29.31,29.94,19.93,1729000
2000-07-05,29.5,29.91,29.44,29.66,19.74,3221200
2000-07-06,29.94,30.12,29.38,29.41,19.57,2711800
2000-07-07,28.75,28.97,28.44,28.59,19.03,4249800
2000-07-10,28.62,28.94,27.75,27.84,18.53,2950800
2000-07-11,27.88,27.97,26.78,27.31,18.18,7081800
2000-07-12,27.31,27.31,26.34,26.5,17.64,7025200
2000-07-13,26.5,26.69,25.5,26.53,17.66,11218400
2000-07-14,26.59,27.31,26.19,27.12,18.05,6776400
2000-07-17,26.69,27.81,26.34,27.47,18.28,4697600
2000-07-18,27.75,27.75,27.34,27.47,18.28,3507200
2000-07-19,27.5,27.59,26.53,27.25,18.14,4077600
2000-07-20,27.56,28.0,27.0,27.69,18.43,4747800
2000-07-21,28.06,28.62,27.69,28.31,18.84,4007800
2000-07-24,28.28,28.47,27.81,28.0,18.69,2197000
2000-07-25,28.38,28.53,27.88,28.16,18.79,3403600
