Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,61.66,61.79,61.0,61.0,45.75,724100
2010-01-04,61.55,61.55,61.09,61.43,46.07,1014300
2010-01-05,61.27,62.79,60.73,62.1,46.57,3386900
2010-01-06,61.77,62.44,61.5,61.94,46.45,1187100
2010-01-07,61.71,61.71,61.03,61.35,46.01,1476600
2010-01-08,61.13,61.41,60.55,61.36,46.02,1241700
2010-01-11,61.24,61.4,60.45,61.34,46.0,1205600
2010-01-12,61.23,61.5,61.04,61.43,46.07,862100
2010-01-13,61.4,62.31,61.29,61.93,46.45,869000
2010-01-14,61.73,62.2,61.51,61.89,46.42,619500
2010-01-15,61.89,62.1,61.03,61.19,45.89,1334300
2010-01-19,61.26,62.19,61.11,61.48,46.11,1050400
2010-01-20,61.37,61.55,60.81,61.4,46.05,836500
2010-01-21,61.69,61.99,60.5,61.0,45.75,1321400
2010-01-22,61.0,61.27,60.06,60.12,45.09,1345100
2010-01-25,60.45,60.48,59.91,60.17,45.13,1398700
2010-01-26,59.62,59.62,59.03,59.26,44.82,1206200
2010-01-27,59.16,59.58,58.96,59.24,44.8,2148500
2010-01-28,59.47,60.22,59.21,59.29,44.84,1584200
2010-01-29,59.41,59.8,59.1,59.17,44.75,1227400
2010-02-01,59.32,59.58,59.01,59.48,44.98,650800
2010-02-02,59.61,60.41,59.25,60.26,45.57,1055700
2010-02-03,60.19,60.84,59.86,60.66,45.87,1279200
2010-02-04,61.0,61.57,60.08,60.35,45.64,2147400
2010-02-05,60.53,60.7,59.89,60.57,45.81,1363600
2010-02-08,60.63,61.15,60.05,60.27,45.58,1558300
2010-02-09,60.67,60.98,60.05,60.7,45.91,1163200
2010-02-10,60.78,60.78,60.0,60.24,45.56,1017700
2010-02-11,60.17,60.3,59.59,60.12,45.47,1012500
2010-02-12,59.97,60.0,59.07,59.36,44.89,1672900
2010-02-16,59.46,59.95,59.4,59.9,45.3,1132400
2010-02-17,60.05,60.48,59.97,60.38,45.66,1127100
2010-02-18,60.2,61.11,60.14,60.9,46.06,1065600
2010-02-19,60.91,61.1,60.43,61.01,46.14,1025200
2010-02-22,61.14,61.25,60.83,61.02,46.15,866700
2010-02-23,60.96,61.2,60.49,60.95,46.09,1021900
2010-02-24,61.17,61.2,60.69,61.0,46.13,841000
2010-02-25,60.57,61.26,60.31,61.17,46.26,940900
2010-02-26,61.31,61.55,60.96,61.31,46.37,973300
2010-03-01,61.33,61.62,61.08,61.56,46.56,899800
2010-03-02,61.69,61.7,61.37,61.6,46.59,1360600
2010-03-03,61.42,61.88,61.14,61.38,46.42,1014300
2010-03-04,61.53,61.76,61.31,61.59,46.58,931500
2010-03-05,61.67,61.81,61.17,61.5,46.51,1099000
2010-03-08,61.35,62.08,61.24,61.88,46.8,1307200
2010-03-09,61.82,62.23,61.73,62.01,46.9,795000
2010-03-10,61.99,62.36,61.66,62.35,47.15,1220000
2010-03-11,62.31,62.56,61.98,62.56,47.31,1196000
2010-03-12,62.61,62.97,62.46,62.89,47.56,1339600
2010-03-15,62.8,62.97,62.55,62.93,47.59,797100
2010-03-16,63.39,64.0,63.12,63.95,48.36,2284600
2010-03-17,64.02,64.9,63.98,64.64,48.88,2662400
2010-03-18,64.83,64.89,64.3,64.61,48.86,1192700
2010-03-19,64.43,64.85,64.04,64.43,48.73,1134500
2010-03-22,64.62,64.98,64.3,64.92,49.1,1087900
2010-03-23,65.0,65.18,64.6,65.11,49.24,851100
2010-03-24,64.89,65.09,64.68,64.85,49.04,1156400
2010-03-25,65.07,65.15,64.72,64.77,48.98,997100
2010-03-26,64.93,64.93,64.13,64.56,48.82,1023200
2010-03-29,64.72,65.12,64.41,64.99,49.15,756400
2010-03-30,65.09,65.09,64.31,64.73,48.95,873900
2010-03-31,64.64,64.64,63.91,64.14,48.51,1286200
2010-04-01,64.23,64.34,63.9,64.28,48.61,1178800
2010-04-05,64.49,64.49,63.66,63.97,48.38,1299000
2010-04-06,64.06,64.06,63.27,63.71,48.18,1297300
2010-04-07,63.54,63.66,63.2,63.37,47.92,867600
2010-04-08,63.23,63.36,63.02,63.32,47.89,969300
2010-04-09,63.62,63.7,63.02,63.52,48.04,887000
2010-04-12,63.61,63.64,63.2,63.46,47.99,701300
2010-04-13,63.49,63.99,63.25,63.85,48.29,1118900
