Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.62,46.69,46.44,46.69,26.7,130500.0
2000-01-03,46.25,46.25,44.56,45.0,25.73,1102400.0
2000-01-04,44.62,44.62,42.94,43.12,24.66,665700.0
2000-01-05,42.62,43.5,42.62,43.0,24.59,774000.0
2000-01-06,43.0,44.5,43.0,44.25,25.3,573100.0
2000-01-07,44.38,44.5,43.88,44.19,25.27,490800.0
2000-01-10,42.75,44.0,42.44,42.75,24.45,592100.0
2000-01-11,42.25,42.25,41.44,41.62,23.8,646700.0
2000-01-12,41.62,42.5,41.56,42.38,24.23,572700.0
2000-01-13,42.5,43.25,42.44,42.81,24.48,1152500.0
2000-01-14,43.75,44.38,43.56,44.06,25.2,698400.0
2000-01-18,44.0,44.0,42.5,43.06,24.62,462200.0
2000-01-19,43.25,44.12,43.12,43.19,24.7,986900.0
2000-01-20,43.19,43.19,41.31,41.31,23.62,734800.0
2000-01-21,41.31,41.38,40.56,40.81,23.34,646900.0
2000-01-24,41.06,41.31,40.06,40.44,23.12,491400.0
2000-01-25,40.19,41.0,40.06,40.38,23.09,513900.0
2000-01-26,40.0,42.38,39.94,42.19,24.12,501700.0
2000-01-27,42.31,43.0,42.12,42.88,24.52,454100.0
2000-01-28,42.88,43.06,42.12,42.5,24.3,1044000.0
2000-01-31,42.88,44.44,42.75,44.19,25.27,542400.0
2000-02-01,44.25,44.5,43.88,44.06,25.2,713300.0
2000-02-02,44.06,44.12,43.56,43.81,25.05,673800.0
2000-02-03,43.75,44.06,43.25,44.0,25.16,838100.0
2000-02-04,43.75,44.25,43.31,43.31,24.77,698000.0
2000-02-07,43.31,43.38,42.25,42.44,24.27,397800.0
2000-02-08,42.69,43.38,42.62,42.75,24.45,344100.0
2000-02-09,42.62,42.75,41.88,41.94,23.98,409300.0
2000-02-10,41.75,41.81,40.0,40.31,23.05,531800.0
2000-02-11,40.25,41.44,39.88,40.38,23.09,660500.0
2000-02-14,40.38,40.75,39.5,39.81,22.77,390800.0
2000-02-15,39.88,40.94,39.44,40.62,23.23,414700.0
2000-02-16,40.38,40.94,39.69,40.56,23.19,520100.0
2000-02-17,40.88,41.25,39.44,39.75,22.73,490800.0
2000-02-18,39.5,39.5,37.31,38.0,21.73,946500.0
2000-02-22,38.0,38.5,36.88,37.75,21.59,1064300.0
2000-02-23,37.12,37.25,36.44,37.06,21.19,799700.0
2000-02-24,37.19,37.19,35.75,36.75,21.01,801000.0
2000-02-25,36.5,37.75,35.0,35.31,20.19,1301200.0
2000-02-28,36.25,38.0,36.12,37.62,21.51,997700.0
2000-02-29,37.62,37.62,36.19,36.81,21.05,461200.0
2000-03-01,36.56,36.69,35.69,36.25,20.73,483600.0
2000-03-02,35.88,36.0,34.94,35.81,20.48,457200.0
2000-03-03,36.81,36.88,35.69,36.69,20.98,633700.0
2000-03-06,36.38,36.69,35.88,36.19,20.69,351700.0
2000-03-07,36.12,36.12,34.31,34.75,19.87,412500.0
2000-03-08,35.0,35.0,33.44,33.81,19.33,605000.0
2000-03-09,33.75,34.38,33.75,34.12,19.51,429500.0
2000-03-10,34.31,34.56,34.0,34.06,19.48,347300.0
2000-03-13,33.38,34.44,32.94,34.06,19.71,426100.0
2000-03-14,33.81,35.19,33.31,34.25,19.82,773800.0
2000-03-15,34.19,37.0,34.19,37.0,21.41,1151200.0
2000-03-16,39.75,43.0,39.38,41.44,23.98,1825200.0
2000-03-17,41.56,42.62,41.31,41.5,24.01,785500.0
2000-03-20,41.25,41.25,39.38,39.56,22.89,438400.0
2000-03-21,39.75,42.62,39.75,42.12,24.37,760700.0
2000-03-22,42.12,43.12,41.75,43.0,24.88,696300.0
2000-03-23,43.0,44.31,42.38,44.19,25.57,703000.0
2000-03-24,44.0,44.5,42.88,43.44,25.13,989700.0
2000-03-27,43.31,43.38,41.75,42.06,24.34,717400.0
2000-03-28,42.12,43.38,41.75,42.5,24.59,692800.0
2000-03-29,42.69,42.88,41.0,41.75,24.16,1366400.0
2000-03-30,41.81,41.81,40.5,40.88,23.65,873600.0
2000-03-31,40.69,42.25,40.0,41.88,24.23,805200.0
2000-04-03,42.12,44.12,42.12,43.88,25.39,687100.0
2000-04-04,42.75,45.12,42.12,43.31,25.06,703200.0
2000-04-05,43.81,44.69,43.0,43.19,24.99,638400.0
2000-04-06,43.38,43.38,42.62,42.81,24.77,482100.0
2000-04-07,43.06,43.31,41.81,42.5,24.59,585200.0
2000-04-10,42.12,43.69,41.62,42.94,24.84,588800.0
2000-04-11,43.19,43.81,43.0,43.56,25.21,485000.0
2000-04-12,44.0,46.75,44.0,44.94,26.0,902600.0
2000-04-13,45.38,45.38,44.12,44.88,25.97,645300.0
2000-04-14,43.88,43.88,40.62,41.0,23.72,797100.0
2000-04-17,41.12,42.5,41.0,42.06,24.34,996500.0
2000-04-18,41.94,43.38,41.69,42.94,24.84,527600.0
2000-04-19,42.5,42.62,40.75,41.94,24.27,538400.0
2000-04-20,42.5,42.56,41.5,42.38,24.52,415000.0
2000-04-24,42.25,44.12,42.12,43.75,25.31,669700.0
2000-04-25,43.75,46.5,43.75,45.56,26.36,748700.0
2000-04-26,45.38,45.38,44.5,44.69,25.86,618500.0
2000-04-27,44.06,44.06,42.38,43.0,24.88,694400.0
2000-04-28,42.62,42.81,41.0,42.38,24.52,675900.0
2000-05-01,41.88,43.69,41.5,43.12,24.95,679800.0
2000-05-02,42.5,42.81,42.0,42.62,24.66,516900.0
2000-05-03,42.69,43.12,41.19,41.44,23.98,375000.0
2000-05-04,41.44,41.44,40.44,40.69,23.54,478000.0
2000-05-05,40.06,40.5,39.88,40.5,23.43,361400.0
2000-05-08,40.5,42.19,40.25,42.12,24.37,411800.0
2000-05-09,42.0,43.31,41.44,42.19,24.41,263100.0
2000-05-10,42.06,42.81,41.69,42.0,24.3,373500.0
2000-05-11,42.62,44.5,42.62,43.31,25.06,526600.0
2000-05-12,43.31,45.06,43.06,44.69,25.86,730500.0
2000-05-15,44.69,45.81,44.62,45.38,26.25,685400.0
2000-05-16,45.31,45.81,44.56,44.88,25.97,629700.0
2000-05-17,44.25,44.81,43.75,44.56,25.78,360600.0
2000-05-18,44.69,46.12,44.62,45.75,26.47,424200.0
2000-05-19,46.75,46.75,44.0,44.12,25.53,598000.0
2000-05-22,44.38,46.5,44.31,45.75,26.47,475500.0
2000-05-23,45.81,47.31,45.81,46.25,26.76,486500.0
2000-05-24,46.62,49.5,46.56,48.88,28.28,1207700.0
2000-05-25,49.75,50.56,47.81,48.44,28.03,1439200.0
2000-05-26,48.31,50.0,48.31,49.44,28.61,379500.0
2000-05-30,49.38,51.12,49.38,50.75,29.36,766800.0
2000-05-31,50.69,51.56,49.88,50.62,29.29,426500.0
2000-06-01,50.62,54.38,50.62,52.25,30.23,1390400.0
2000-06-02,54.0,54.25,53.44,54.0,31.25,998500.0
2000-06-05,53.75,53.75,51.19,51.56,29.83,780100.0
2000-06-06,51.75,51.75,49.5,50.62,29.29,810500.0
2000-06-07,50.0,51.19,49.81,51.0,29.51,1013100.0
2000-06-08,50.94,50.94,48.56,49.94,28.89,635400.0
2000-06-09,49.94,50.38,48.69,49.38,28.57,430600.0
2000-06-12,49.38,50.62,49.31,50.56,29.26,690100.0
2000-06-13,49.75,49.94,48.88,49.69,28.98,479800.0
2000-06-14,49.81,50.5,49.56,50.06,29.2,472400.0
2000-06-15,51.12,51.12,46.5,47.19,27.52,1383800.0
2000-06-16,46.25,46.38,44.0,44.81,26.14,1049500.0
2000-06-19,44.94,46.44,44.94,46.06,26.87,603300.0
2000-06-20,46.06,46.06,45.25,46.06,26.87,447500.0
2000-06-21,45.88,45.94,44.44,45.36,26.45,392100.0
2000-06-22,45.44,45.94,44.69,45.56,26.57,355500.0
2000-06-23,45.94,46.5,45.62,46.0,26.83,271300.0
2000-06-26,45.75,46.94,45.62,46.5,27.12,573000.0
2000-06-27,46.69,47.31,46.62,46.94,27.38,376400.0
2000-06-28,46.94,48.44,46.94,47.36,27.62,730700.0
2000-06-29,47.31,47.31,46.31,46.5,27.12,533000.0
2000-06-30,46.25,46.31,44.0,44.88,26.17,678100.0
2000-07-03,45.0,46.69,45.0,46.44,27.08,531900.0
2000-07-05,47.25,48.0,46.81,46.94,27.38,368200.0
2000-07-06,47.19,48.12,46.12,48.0,28.0,398800.0
2000-07-07,48.62,49.88,48.5,49.44,28.83,645600.0
2000-07-10,49.75,50.31,49.62,49.81,29.05,523500.0
2000-07-11,49.62,49.75,48.81,49.75,29.02,385600.0
2000-07-12,49.75,50.44,48.94,49.19,28.69,447300.0
2000-07-13,49.44,49.44,47.62,48.31,28.18,753800.0
2000-07-14,48.75,50.25,48.75,49.81,29.05,493200.0
2000-07-17,50.0,50.12,48.94,49.62,28.94,415700.0
2000-07-18,49.25,49.62,48.19,49.56,28.91,581400.0
2000-07-19,50.12,51.19,49.88,50.69,29.56,806900.0
2000-07-20,50.75,52.31,50.75,51.75,30.18,455600.0
2000-07-21,51.38,52.5,50.69,51.5,30.04,626600.0
2000-07-24,51.38,52.69,51.19,51.69,30.15,344100.0
2000-07-25,51.94,52.88,51.69,52.88,30.84,469500.0
2000-07-26,53.0,53.0,51.56,51.94,30.29,682500.0
2000-07-27,52.0,53.06,51.25,51.62,30.11,392300.0
2000-07-28,51.69,51.94,50.62,51.06,29.78,242800.0
2000-07-31,51.06,52.19,50.62,51.0,29.74,601000.0
2000-08-01,50.88,51.44,50.5,51.31,29.93,298500.0
2000-08-02,52.0,52.38,51.38,51.5,30.04,390700.0
2000-08-03,51.5,53.5,51.31,53.31,31.09,667000.0
2000-08-04,55.0,55.94,54.75,55.62,32.44,983800.0
2000-08-07,55.94,55.94,54.25,55.5,32.37,479000.0
2000-08-08,55.62,55.69,54.62,55.62,32.44,277500.0
2000-08-09,55.5,56.38,53.88,56.06,32.7,763000.0
2000-08-10,56.31,57.12,55.25,56.44,32.92,450500.0
2000-08-11,56.44,56.94,56.06,56.38,32.88,377600.0
2000-08-14,56.31,56.5,55.38,56.19,32.77,683000.0
2000-08-15,56.19,56.19,55.19,55.69,32.48,382600.0
2000-08-16,55.5,56.31,54.88,55.0,32.08,305600.0
2000-08-17,55.25,55.75,55.06,55.44,32.33,281400.0
2000-08-18,54.88,55.0,54.38,54.5,31.79,367900.0
2000-08-21,54.38,55.5,54.06,54.88,32.0,414600.0
2000-08-22,54.88,55.94,54.75,55.69,32.48,316100.0
2000-08-23,55.69,56.44,55.5,56.25,32.81,649700.0
2000-08-24,56.38,56.75,55.31,55.69,32.48,289400.0
2000-08-25,55.19,55.75,55.06,55.25,32.22,254900.0
2000-08-28,55.25,55.94,54.94,55.0,32.08,447700.0
2000-08-29,54.94,55.0,54.06,54.56,31.82,197500.0
2000-08-30,54.94,56.06,54.69,55.31,32.26,402400.0
2000-08-31,55.56,57.38,55.56,56.33,32.85,487100.0
2000-09-01,56.69,57.0,55.75,55.88,32.59,273600.0
2000-09-05,55.75,57.31,55.69,56.19,32.77,522500.0
2000-09-06,56.44,57.81,56.44,56.88,33.17,329100.0
2000-09-07,56.75,57.12,56.5,56.94,33.21,529500.0
2000-09-08,57.19,58.19,57.12,57.94,33.79,665900.0
2000-09-11,57.94,58.44,57.81,58.31,34.01,824400.0
2000-09-12,58.19,58.31,57.06,58.06,33.86,497800.0
2000-09-13,57.88,58.81,57.19,57.5,33.77,333300.0
2000-09-14,57.75,58.0,57.0,57.25,33.62,323500.0
2000-09-15,57.44,57.44,56.0,56.25,33.03,590100.0
2000-09-18,56.25,56.25,54.12,54.38,31.93,431300.0
