Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.28,19.39,19.23,19.28,6.69,217500
2000-01-03,19.18,19.23,18.65,18.76,6.51,809300
2000-01-04,18.65,19.02,18.65,18.97,6.58,1492200
2000-01-05,18.91,20.13,18.91,19.76,6.85,926000
2000-01-06,20.02,20.23,19.86,19.86,6.89,1352900
2000-01-07,20.07,20.34,19.97,20.18,7.0,800200
2000-01-10,20.07,20.18,19.86,19.92,6.91,365200
2000-01-11,19.81,20.02,19.55,19.76,6.85,748500
2000-01-12,19.55,20.18,19.55,20.07,6.96,489200
2000-01-13,20.07,20.18,19.76,20.02,6.95,751700
2000-01-14,19.6,19.76,19.49,19.49,6.76,601100
2000-01-18,19.39,19.6,19.18,19.34,6.71,614500
2000-01-19,19.23,19.65,19.23,19.49,6.76,512000
2000-01-20,19.39,19.44,19.18,19.28,6.69,436000
2000-01-21,19.39,19.55,19.18,19.44,6.75,1038000
2000-01-24,19.44,19.49,18.86,18.91,6.56,786700
2000-01-25,19.13,19.28,17.86,18.07,6.27,948200
2000-01-26,18.18,18.91,18.02,18.81,6.53,1065000
2000-01-27,18.7,19.13,18.7,18.91,6.56,570600
2000-01-28,18.76,19.07,18.49,18.7,6.49,940600
2000-01-31,18.76,19.23,18.7,19.23,6.67,516300
2000-02-01,19.18,19.23,18.65,18.81,6.53,433600
2000-02-02,19.07,19.13,18.81,18.97,6.58,727400
2000-02-03,19.39,20.34,19.28,20.28,7.04,2008600
2000-02-04,20.28,20.28,19.39,19.65,6.82,1444400
2000-02-07,19.55,19.6,19.23,19.39,6.73,637900
2000-02-08,19.39,19.6,19.34,19.55,6.78,882600
2000-02-09,19.55,19.71,19.49,19.55,6.78,1160600
2000-02-10,19.6,19.92,19.34,19.44,6.75,1224900
2000-02-11,19.39,19.44,18.81,18.97,6.58,1438600
2000-02-14,18.81,19.07,18.76,18.81,6.64,2782000
2000-02-15,18.86,18.86,18.39,18.65,6.58,560400
2000-02-16,18.6,18.65,18.28,18.39,6.49,557200
2000-02-17,18.39,18.49,17.86,17.97,6.34,491400
2000-02-18,17.81,17.91,17.49,17.86,6.3,861800
2000-02-22,18.02,18.39,17.86,17.86,6.3,1671400
2000-02-23,17.91,18.02,17.7,17.91,6.32,882700
2000-02-24,17.86,18.07,16.91,17.28,6.1,1518300
2000-02-25,17.6,17.6,16.97,17.07,6.02,1239900
2000-02-28,17.18,17.6,16.97,17.49,6.17,1522500
2000-02-29,17.6,17.65,17.23,17.33,6.12,719900
2000-03-01,17.39,17.54,17.07,17.23,6.08,830800
2000-03-02,17.07,17.44,16.97,17.44,6.15,1196900
2000-03-03,17.49,17.91,17.44,17.76,6.26,1180400
2000-03-06,17.65,17.81,16.91,16.97,5.99,1994100
2000-03-07,16.97,17.23,16.65,16.75,5.91,2251300
2000-03-08,16.7,17.76,16.65,17.33,6.12,1966900
2000-03-09,17.28,17.81,17.28,17.81,6.28,1227600
2000-03-10,17.7,17.91,17.49,17.81,6.28,827100
2000-03-13,18.12,18.39,17.81,18.34,6.47,1085400
2000-03-14,18.18,18.18,17.86,17.91,6.32,829500
2000-03-15,17.81,19.28,17.81,19.13,6.75,803900
2000-03-16,19.13,20.76,18.86,20.55,7.25,1074900
2000-03-17,20.55,20.55,19.76,19.76,6.97,870600
2000-03-20,19.65,19.86,19.13,19.18,6.77,960200
2000-03-21,19.34,19.71,18.97,19.49,6.88,748300
2000-03-22,19.28,19.34,18.55,18.65,6.58,870200
2000-03-23,18.6,18.97,18.6,18.91,6.67,693700
2000-03-24,18.91,19.23,18.44,18.7,6.6,896900
2000-03-27,18.65,18.97,18.6,18.86,6.66,732100
2000-03-28,18.7,18.86,18.28,18.34,6.47,604200
2000-03-29,18.34,18.97,18.28,18.76,6.62,443100
2000-03-30,18.86,19.28,18.81,19.07,6.73,610000
2000-03-31,18.86,19.86,18.76,19.86,7.01,977100
2000-04-03,19.39,19.65,19.34,19.39,6.84,527500
2000-04-04,19.49,20.34,19.44,20.13,7.1,977800
2000-04-05,20.18,21.08,19.97,20.28,7.16,646000
2000-04-06,20.28,20.28,18.97,19.23,6.79,1215300
