Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.35,1.35,1.32,1.34,0.76,252800
2000-01-03,1.34,1.34,1.22,1.23,0.7,1306400
2000-01-04,1.22,1.22,1.19,1.2,0.68,334400
2000-01-05,1.19,1.22,1.19,1.22,0.69,363200
2000-01-06,1.21,1.27,1.21,1.24,0.71,538400
2000-01-07,1.24,1.3,1.24,1.3,0.74,388800
2000-01-10,1.31,1.32,1.25,1.25,0.71,766400
2000-01-11,1.24,1.24,1.2,1.2,0.68,723200
2000-01-12,1.2,1.2,1.18,1.18,0.67,547200
2000-01-13,1.19,1.19,1.17,1.19,0.67,1940000
2000-01-14,1.19,1.21,1.18,1.21,0.69,1100000
2000-01-18,1.21,1.29,1.21,1.27,0.72,1956800
2000-01-19,1.28,1.29,1.26,1.27,0.72,2683200
2000-01-20,1.26,1.27,1.25,1.27,0.72,1493600
2000-01-21,1.25,1.31,1.25,1.28,0.73,1320800
2000-01-24,1.28,1.28,1.23,1.23,0.7,886400
2000-01-25,1.23,1.24,1.22,1.23,0.7,454400
2000-01-26,1.24,1.39,1.24,1.31,0.75,1839200
2000-01-27,1.31,1.32,1.25,1.26,0.71,788000
2000-01-28,1.25,1.27,1.24,1.25,0.71,780000
2000-01-31,1.24,1.25,1.2,1.23,0.7,507200
2000-02-01,1.24,1.28,1.24,1.28,0.73,682400
2000-02-02,1.28,1.29,1.26,1.28,0.73,357600
2000-02-03,1.29,1.33,1.29,1.31,0.75,869600
2000-02-04,1.31,1.32,1.31,1.31,0.74,1332800
2000-02-07,1.31,1.32,1.29,1.31,0.74,320000
2000-02-08,1.29,1.31,1.28,1.28,0.73,602400
2000-02-09,1.27,1.29,1.27,1.27,0.74,281600
2000-02-10,1.27,1.3,1.24,1.3,0.76,1008800
2000-02-11,1.3,1.3,1.27,1.27,0.75,316800
2000-02-14,1.28,1.28,1.26,1.26,0.74,612800
2000-02-15,1.27,1.28,1.25,1.27,0.74,1841600
2000-02-16,1.27,1.27,1.25,1.27,0.74,1644800
2000-02-17,1.26,1.27,1.23,1.24,0.73,896000
2000-02-18,1.24,1.24,1.2,1.21,0.71,561600
2000-02-22,1.21,1.22,1.18,1.19,0.7,1360800
2000-02-23,1.19,1.19,1.17,1.18,0.69,384000
2000-02-24,1.18,1.23,1.18,1.2,0.71,360000
2000-02-25,1.19,1.24,1.18,1.23,0.72,1336800
2000-02-28,1.2,1.26,1.18,1.26,0.74,501600
2000-02-29,1.25,1.32,1.23,1.32,0.77,605600
2000-03-01,1.32,1.35,1.32,1.35,0.79,2980800
2000-03-02,1.36,1.41,1.36,1.4,0.82,1464000
2000-03-03,1.4,1.43,1.4,1.41,0.83,964800
2000-03-06,1.41,1.44,1.41,1.43,0.84,4927200
2000-03-07,1.44,1.52,1.42,1.49,0.87,1520000
2000-03-08,1.49,1.51,1.46,1.46,0.86,4411200
2000-03-09,1.46,1.46,1.42,1.44,0.84,1923200
2000-03-10,1.44,1.47,1.43,1.44,0.84,2873600
2000-03-13,1.43,1.48,1.43,1.45,0.85,902400
2000-03-14,1.45,1.48,1.44,1.46,0.86,768000
2000-03-15,1.45,1.46,1.42,1.42,0.83,525600
2000-03-16,1.44,1.45,1.42,1.43,0.84,1192800
2000-03-17,1.42,1.45,1.42,1.44,0.84,285600
2000-03-20,1.43,1.44,1.4,1.4,0.82,744800
2000-03-21,1.41,1.46,1.4,1.45,0.85,628800
2000-03-22,1.46,1.47,1.46,1.47,0.86,988800
2000-03-23,1.47,1.48,1.44,1.44,0.85,812000
2000-03-24,1.44,1.47,1.44,1.44,0.85,432000
2000-03-27,1.44,1.44,1.39,1.41,0.83,2011200
2000-03-28,1.4,1.4,1.38,1.39,0.82,1252800
2000-03-29,1.35,1.46,1.35,1.46,0.86,5056800
2000-03-30,1.47,1.5,1.44,1.5,0.88,1409600
2000-03-31,1.5,1.54,1.49,1.51,0.88,2131200
2000-04-03,1.51,1.52,1.5,1.51,0.89,753600
2000-04-04,1.52,1.52,1.4,1.4,0.82,1224000
2000-04-05,1.4,1.44,1.36,1.44,0.84,1375200
2000-04-06,1.45,1.48,1.45,1.46,0.86,816800
2000-04-07,1.46,1.46,1.41,1.43,0.84,684800
2000-04-10,1.44,1.44,1.41,1.41,0.83,492000
2000-04-11,1.42,1.44,1.4,1.43,0.84,727200
2000-04-12,1.5,1.5,1.44,1.49,0.87,2733600
2000-04-13,1.48,1.5,1.44,1.5,0.88,3048000
2000-04-14,1.5,1.5,1.38,1.46,0.86,1781600
2000-04-17,1.45,1.48,1.45,1.46,0.86,1113600
2000-04-18,1.47,1.52,1.47,1.49,0.87,804800
2000-04-19,1.48,1.48,1.43,1.46,0.86,1411200
2000-04-20,1.46,1.5,1.45,1.49,0.88,1901600
2000-04-24,1.5,1.51,1.47,1.5,0.88,1697600
2000-04-25,1.5,1.56,1.5,1.56,0.91,1540800
2000-04-26,1.56,1.56,1.52,1.53,0.9,1492800
2000-04-27,1.53,1.59,1.51,1.57,0.92,2009600
2000-04-28,1.58,1.58,1.54,1.55,0.91,1239200
2000-05-01,1.54,1.64,1.54,1.6,0.94,1340000
2000-05-02,1.58,1.6,1.55,1.57,0.92,1992000
2000-05-03,1.56,1.56,1.53,1.54,0.9,1157600
2000-05-04,1.53,1.54,1.51,1.51,0.89,1267200
2000-05-05,1.51,1.53,1.5,1.53,0.9,1816800
2000-05-08,1.54,1.58,1.53,1.57,0.92,2928800
2000-05-09,1.57,1.67,1.56,1.66,0.97,5824800
2000-05-10,1.65,1.66,1.61,1.64,0.96,2602400
2000-05-11,1.65,1.75,1.65,1.75,1.03,3058400
2000-05-12,1.77,1.78,1.7,1.73,1.01,2563200
2000-05-15,1.71,1.8,1.71,1.8,1.06,2604000
2000-05-16,1.83,1.9,1.75,1.81,1.06,4956800
2000-05-17,1.77,1.85,1.76,1.83,1.1,2565600
2000-05-18,1.92,1.93,1.79,1.89,1.13,48648000
2000-05-19,1.89,1.89,1.83,1.85,1.11,1431200
2000-05-22,1.85,1.85,1.79,1.83,1.1,2157600
2000-05-23,1.83,1.89,1.82,1.84,1.1,2640000
2000-05-24,1.84,1.85,1.83,1.85,1.11,1592000
2000-05-25,1.84,1.88,1.8,1.85,1.11,1613600
2000-05-26,1.85,1.92,1.85,1.92,1.15,19468800
2000-05-30,1.98,2.01,1.95,2.0,1.2,2688800
2000-05-31,2.02,2.09,2.02,2.08,1.25,3281600
2000-06-01,2.07,2.07,2.0,2.03,1.22,4222400
2000-06-02,1.92,1.92,1.75,1.77,1.06,3816000
2000-06-05,1.77,1.86,1.67,1.84,1.11,3981600
2000-06-06,1.84,1.96,1.84,1.89,1.13,3295200
2000-06-07,1.89,1.89,1.79,1.85,1.11,3499200
2000-06-08,1.83,1.89,1.81,1.89,1.13,3372800
2000-06-09,1.9,1.91,1.85,1.89,1.13,876000
2000-06-12,1.87,1.93,1.87,1.93,1.16,1148000
2000-06-13,1.94,1.97,1.92,1.94,1.16,3120800
2000-06-14,1.94,1.98,1.93,1.95,1.17,3360000
2000-06-15,1.95,1.95,1.89,1.93,1.16,2736800
2000-06-16,1.94,1.99,1.93,1.97,1.18,1992800
2000-06-19,1.97,1.97,1.9,1.92,1.15,764000
2000-06-20,1.92,1.92,1.83,1.87,1.12,3324000
2000-06-21,1.85,1.86,1.83,1.85,1.11,2536800
2000-06-22,1.86,1.88,1.79,1.79,1.07,681600
2000-06-23,1.75,1.81,1.75,1.81,1.09,1608000
2000-06-26,1.82,1.83,1.74,1.76,1.06,1572800
2000-06-27,1.77,1.77,1.72,1.72,1.03,5445600
2000-06-28,1.74,1.74,1.7,1.74,1.04,1179200
2000-06-29,1.72,1.78,1.72,1.78,1.07,950400
2000-06-30,1.78,1.78,1.73,1.76,1.06,3679200
2000-07-03,1.78,1.78,1.75,1.77,1.06,492000
2000-07-05,1.79,1.79,1.72,1.74,1.04,4041600
2000-07-06,1.73,1.74,1.66,1.66,0.99,2599200
2000-07-07,1.66,1.69,1.57,1.67,1.0,3451200
2000-07-10,1.66,1.66,1.65,1.66,1.0,855200
2000-07-11,1.66,1.68,1.65,1.66,0.99,2313600
2000-07-12,1.66,1.69,1.64,1.66,1.0,3468800
2000-07-13,1.66,1.66,1.57,1.6,0.96,1810400
2000-07-14,1.61,1.71,1.59,1.7,1.02,4632800
2000-07-17,1.68,1.68,1.64,1.65,0.99,1672800
2000-07-18,1.65,1.66,1.62,1.65,0.99,1373600
2000-07-19,1.66,1.67,1.65,1.66,1.0,1930400
2000-07-20,1.66,1.67,1.61,1.61,0.97,1592000
2000-07-21,1.61,1.65,1.53,1.53,0.92,984000
2000-07-24,1.54,1.57,1.51,1.51,0.9,1020000
2000-07-25,1.49,1.52,1.45,1.48,0.89,1548000
2000-07-26,1.45,1.48,1.41,1.45,0.87,3927200
2000-07-27,1.41,1.51,1.41,1.49,0.89,1779200
2000-07-28,1.5,1.56,1.5,1.55,0.93,3886400
2000-07-31,1.56,1.6,1.54,1.54,0.92,1428000
2000-08-01,1.54,1.54,1.52,1.53,0.92,1918400
2000-08-02,1.53,1.55,1.5,1.5,0.9,3135200
2000-08-03,1.49,1.49,1.45,1.47,0.88,2465600
2000-08-04,1.47,1.47,1.46,1.47,0.88,2525600
2000-08-07,1.48,1.5,1.47,1.49,0.89,2710400
2000-08-08,1.49,1.51,1.46,1.46,0.87,2777600
2000-08-09,1.45,1.49,1.45,1.46,0.9,2506400
2000-08-10,1.47,1.51,1.46,1.47,0.91,1356800
2000-08-11,1.47,1.49,1.43,1.47,0.91,1877600
2000-08-14,1.47,1.56,1.47,1.55,0.96,1601600
2000-08-15,1.56,1.6,1.56,1.56,0.96,2693600
2000-08-16,1.56,1.6,1.55,1.6,0.99,992000
2000-08-17,1.59,1.65,1.59,1.65,1.02,765600
2000-08-18,1.67,1.67,1.57,1.58,0.98,1772000
2000-08-21,1.58,1.61,1.57,1.61,1.0,1716000
2000-08-22,1.65,1.67,1.63,1.64,1.01,3014400
2000-08-23,1.65,1.72,1.65,1.71,1.05,1226400
2000-08-24,1.7,1.72,1.62,1.64,1.01,3957600
2000-08-25,1.64,1.68,1.6,1.67,1.03,778400
2000-08-28,1.67,1.67,1.61,1.63,1.01,2314400
2000-08-29,1.64,1.7,1.64,1.66,1.02,1666400
2000-08-30,1.66,1.67,1.62,1.64,1.01,1469600
2000-08-31,1.61,1.69,1.6,1.67,1.03,5384000
2000-09-01,1.68,1.73,1.68,1.73,1.07,2419200
2000-09-05,1.73,1.73,1.66,1.67,1.03,842400
2000-09-06,1.67,1.73,1.66,1.72,1.06,1155200
2000-09-07,1.71,1.75,1.7,1.71,1.05,890400
2000-09-08,1.71,1.78,1.67,1.71,1.05,2043200
2000-09-11,1.7,1.75,1.7,1.72,1.06,1193600
2000-09-12,1.72,1.76,1.7,1.71,1.06,3501600
2000-09-13,1.71,1.71,1.64,1.64,1.01,713600
2000-09-14,1.65,1.66,1.65,1.66,1.02,1298400
2000-09-15,1.65,1.75,1.65,1.75,1.08,2955200
2000-09-18,1.77,1.77,1.7,1.7,1.05,1262400
2000-09-19,1.71,1.71,1.67,1.68,1.04,1150400
2000-09-20,1.72,1.77,1.72,1.73,1.07,1101600
2000-09-21,1.72,1.72,1.64,1.65,1.02,1214400
2000-09-22,1.64,1.64,1.56,1.56,0.96,952800
2000-09-25,1.57,1.6,1.56,1.6,0.99,2359200
2000-09-26,1.6,1.64,1.6,1.64,1.01,2988000
2000-09-27,1.64,1.67,1.62,1.67,1.03,5679200
2000-09-28,1.67,1.67,1.65,1.67,1.03,1156800
2000-09-29,1.67,1.71,1.63,1.7,1.05,1858400
2000-10-02,1.71,1.76,1.71,1.73,1.07,3088800
2000-10-03,1.74,1.77,1.69,1.69,1.04,2420000
2000-10-04,1.7,1.7,1.64,1.64,1.01,2656800
2000-10-05,1.65,1.66,1.58,1.59,0.98,1684800
2000-10-06,1.58,1.62,1.56,1.58,0.98,2477600
2000-10-09,1.58,1.61,1.58,1.6,0.99,1164800
2000-10-10,1.59,1.69,1.59,1.67,1.03,5724000
2000-10-11,1.67,1.78,1.67,1.75,1.08,2707200
2000-10-12,1.77,1.85,1.77,1.85,1.14,2837600
2000-10-13,1.88,1.88,1.83,1.85,1.14,2602400
2000-10-16,1.85,1.85,1.78,1.78,1.1,1769600
2000-10-17,1.78,1.81,1.78,1.79,1.1,2049600
2000-10-18,1.79,1.79,1.71,1.71,1.06,1028000
2000-10-19,1.72,1.79,1.72,1.77,1.09,1145600
2000-10-20,1.76,1.79,1.75,1.79,1.11,444800
2000-10-23,1.77,1.79,1.76,1.78,1.1,453600
2000-10-24,1.78,1.81,1.73,1.73,1.07,1802400
2000-10-25,1.73,1.73,1.65,1.67,1.03,559200
2000-10-26,1.67,1.7,1.62,1.66,1.02,2216000
2000-10-27,1.65,1.66,1.64,1.64,1.01,286400
2000-10-30,1.64,1.66,1.64,1.64,1.01,645600
2000-10-31,1.64,1.65,1.63,1.64,1.01,1941600
2000-11-01,1.64,1.67,1.63,1.67,1.03,6778400
2000-11-02,1.67,1.67,1.61,1.66,1.02,1335200
2000-11-03,1.66,1.67,1.65,1.66,1.02,2957600
2000-11-06,1.66,1.66,1.65,1.65,1.02,173600
2000-11-07,1.66,1.66,1.64,1.64,1.01,886400
2000-11-08,1.64,1.66,1.62,1.64,1.03,945600
2000-11-09,1.64,1.66,1.62,1.62,1.03,1270400
2000-11-10,1.62,1.67,1.58,1.67,1.05,2038400
2000-11-13,1.74,1.75,1.66,1.73,1.1,2729600
2000-11-14,1.76,1.83,1.76,1.8,1.14,2072000
2000-11-15,1.82,1.88,1.82,1.88,1.19,1401600
2000-11-16,1.89,1.92,1.86,1.87,1.18,1260000
2000-11-17,1.88,1.88,1.85,1.85,1.17,1896000
2000-11-20,1.88,1.89,1.87,1.88,1.19,1853600
2000-11-21,1.88,1.91,1.88,1.91,1.21,1358400
2000-11-22,1.92,1.93,1.91,1.92,1.21,1956000
2000-11-24,1.92,1.94,1.92,1.92,1.22,859200
2000-11-27,1.92,1.92,1.85,1.87,1.18,2008800
2000-11-28,1.86,1.86,1.83,1.85,1.17,1610400
2000-11-29,1.84,1.84,1.79,1.8,1.14,1508000
2000-11-30,1.8,1.82,1.66,1.66,1.05,2157600
2000-12-01,1.68,1.83,1.68,1.82,1.15,1166400
2000-12-04,1.83,1.91,1.83,1.88,1.19,1048800
2000-12-05,1.89,1.94,1.89,1.89,1.19,1046400
2000-12-06,1.89,2.01,1.86,1.86,1.18,1744800
2000-12-07,1.86,2.0,1.86,1.94,1.23,1968800
2000-12-08,1.95,1.97,1.93,1.94,1.23,1000800
2000-12-11,1.95,2.02,1.94,1.95,1.23,2652800
2000-12-12,1.95,2.07,1.95,2.04,1.29,2421600
2000-12-13,2.04,2.07,2.03,2.04,1.29,1956800
2000-12-14,2.03,2.03,1.94,1.95,1.23,1204800
