Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,38.97,39.17,38.82,38.93,27.25,7838400
2010-01-04,39.47,40.16,39.28,40.08,28.06,13880800
2010-01-05,40.14,40.23,39.8,40.12,28.09,10084500
2010-01-06,40.15,40.46,39.89,40.41,28.29,11631900
2010-01-07,40.18,40.47,40.02,40.25,28.18,7648900
2010-01-08,40.11,40.62,39.97,40.6,28.42,7284200
2010-01-11,40.81,40.97,40.45,40.84,28.59,8968000
2010-01-12,40.4,40.41,39.85,39.97,27.98,11301000
2010-01-13,39.8,40.37,39.63,40.22,28.16,9470700
2010-01-14,40.14,40.52,40.02,40.39,28.27,8835600
2010-01-15,40.27,40.45,39.99,40.42,28.3,11596700
2010-01-19,39.98,41.01,39.98,40.94,28.66,11379200
2010-01-20,40.26,40.52,40.03,40.45,28.32,12374600
2010-01-21,40.43,40.61,39.69,39.82,27.88,20681800
2010-01-22,39.64,39.79,38.5,38.57,27.0,17651400
2010-01-25,38.85,39.32,38.61,38.69,27.08,11458200
2010-01-26,38.37,38.89,38.09,38.44,26.91,14525800
2010-01-27,38.44,38.91,37.35,37.97,26.58,15845200
2010-01-28,38.15,38.3,36.42,36.86,25.8,17975200
2010-01-29,37.09,37.25,36.42,36.59,25.62,22175000
2010-02-01,36.93,37.6,36.79,37.41,26.19,14723900
2010-02-02,37.63,38.3,37.35,38.23,26.76,16306700
2010-02-03,37.99,38.5,37.9,38.11,26.68,13534900
2010-02-04,37.8,37.81,36.52,36.71,25.7,17513700
2010-02-05,36.51,36.67,35.55,36.58,25.61,20077200
2010-02-08,36.52,36.78,36.06,36.11,25.28,10417300
2010-02-09,36.55,38.36,36.13,36.96,25.88,17508000
2010-02-10,36.98,37.09,36.44,36.79,25.75,11795600
2010-02-11,36.8,37.44,36.56,37.28,26.1,9869600
2010-02-12,36.87,37.22,36.55,37.1,25.97,13941000
2010-02-16,37.41,38.21,37.41,38.05,26.64,14967900
2010-02-17,38.05,38.31,37.35,37.58,26.31,15882300
2010-02-18,37.06,37.48,37.0,37.25,26.43,12565600
2010-02-19,37.12,37.52,36.94,37.28,26.45,12413600
2010-02-22,37.57,37.57,37.0,37.12,26.34,10961500
2010-02-23,36.92,37.09,36.26,36.48,25.88,13906100
2010-02-24,36.48,36.99,36.31,36.86,26.15,10245700
2010-02-25,36.29,36.87,35.94,36.82,26.12,11975400
