Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,38.81,38.81,38.19,38.69,21.95,199200
2000-01-03,39.62,39.62,36.94,37.25,21.14,982600
2000-01-04,37.0,37.31,35.69,35.88,20.36,1007000
2000-01-05,35.81,37.0,35.12,35.56,20.31,1016800
2000-01-06,35.12,36.5,35.06,36.31,20.74,743500
2000-01-07,36.62,37.19,36.38,37.0,21.13,526700
2000-01-10,36.75,37.5,35.56,35.81,20.45,562600
2000-01-11,35.62,37.0,35.62,36.19,20.67,902500
2000-01-12,36.19,36.62,35.31,35.75,20.42,693800
2000-01-13,35.94,36.94,35.88,36.38,20.77,709300
2000-01-14,34.38,36.0,34.38,35.31,20.17,801000
2000-01-18,33.56,35.38,33.44,35.12,20.06,861400
2000-01-19,33.62,34.44,33.12,33.5,19.13,772600
2000-01-20,33.38,33.75,32.06,32.19,18.38,1178000
2000-01-21,32.31,33.44,32.0,33.06,18.88,1127800
2000-01-24,32.88,33.19,30.38,31.25,17.85,800400
2000-01-25,31.19,31.62,30.06,30.44,17.38,771600
2000-01-26,30.75,31.75,30.5,31.0,17.7,718800
2000-01-27,31.5,31.5,29.94,30.62,17.49,602200
2000-01-28,30.5,30.56,29.25,29.56,16.88,648600
2000-01-31,29.88,32.25,29.56,31.44,17.95,912400
2000-02-01,30.88,31.06,29.12,29.44,16.81,1091100
2000-02-02,28.75,29.12,28.25,28.81,16.45,1250800
2000-02-03,28.81,29.69,28.69,29.31,16.74,927900
2000-02-04,29.06,29.06,27.75,28.19,16.1,705600
2000-02-07,28.19,28.25,27.5,27.81,15.88,710200
2000-02-08,27.75,28.62,27.69,28.38,16.2,582800
2000-02-09,28.31,28.31,27.62,27.69,15.81,669400
2000-02-10,27.0,27.62,26.25,26.31,15.03,1171500
2000-02-11,26.31,26.44,25.44,25.81,14.74,1239800
2000-02-14,25.81,26.5,25.81,25.94,14.81,576000
2000-02-15,25.94,27.56,25.88,27.44,15.67,887900
2000-02-16,29.56,29.56,27.0,27.44,15.67,1484900
2000-02-17,27.25,29.56,27.25,29.38,16.77,1227200
2000-02-18,29.31,29.81,28.88,29.25,16.7,1040500
2000-02-22,29.19,29.94,28.81,29.56,16.88,895300
2000-02-23,29.56,29.56,28.5,28.88,16.49,1198100
2000-02-24,28.0,28.0,27.31,27.75,15.85,1303600
2000-02-25,27.81,28.62,27.5,27.75,15.85,928500
2000-02-28,27.75,28.44,27.62,28.25,16.13,544800
2000-02-29,28.06,28.44,27.81,28.38,16.2,677300
2000-03-01,28.38,29.19,28.38,28.94,16.53,930400
2000-03-02,28.94,29.12,28.44,28.56,16.31,903000
2000-03-03,28.44,29.19,28.31,29.0,16.56,472100
2000-03-06,29.0,29.12,28.56,29.0,16.56,673300
2000-03-07,28.62,28.62,27.19,27.56,15.74,1116100
2000-03-08,27.31,30.44,27.06,30.31,17.31,1090600
2000-03-09,29.5,30.31,29.06,30.19,17.24,692100
2000-03-10,29.31,29.38,27.88,28.94,16.53,815300
2000-03-13,28.69,28.69,27.88,28.31,16.17,639300
2000-03-14,28.06,28.44,27.88,28.06,16.03,461900
2000-03-15,28.0,30.0,27.88,29.75,16.99,1107500
2000-03-16,29.94,34.12,29.69,34.0,19.42,1444000
2000-03-17,33.69,33.75,31.88,31.88,18.2,1383000
2000-03-20,31.62,35.38,30.88,33.81,19.31,1182300
2000-03-21,33.88,34.94,30.44,31.38,17.92,2726700
2000-03-22,30.25,30.5,29.0,29.69,16.95,1206700
2000-03-23,29.56,30.88,28.12,30.06,17.17,1614800
2000-03-24,29.81,31.0,29.56,30.5,17.42,795100
2000-03-27,29.44,29.94,29.06,29.19,16.67,729700
2000-03-28,28.94,29.75,28.94,29.0,16.56,531300
2000-03-29,29.06,30.06,29.0,29.94,17.1,611200
2000-03-30,30.19,31.38,30.19,31.12,17.77,725900
2000-03-31,31.12,31.12,30.19,30.75,17.56,578900
2000-04-03,30.81,30.94,29.94,30.69,17.52,569100
2000-04-04,32.5,33.88,31.12,31.81,18.17,1284600
2000-04-05,31.56,32.44,31.12,31.31,18.01,782000
2000-04-06,31.06,31.12,29.56,30.12,17.33,720000
2000-04-07,29.81,29.88,28.06,28.12,16.18,1612800
2000-04-10,28.12,29.0,27.56,29.0,16.68,998000
2000-04-11,28.69,28.75,28.12,28.56,16.43,781600
2000-04-12,28.56,30.38,28.56,29.5,16.97,967400
2000-04-13,29.75,31.62,29.69,30.94,17.79,1435100
2000-04-14,29.88,30.94,29.19,29.25,16.82,728700
2000-04-17,29.5,30.25,29.0,30.0,17.25,629600
2000-04-18,27.5,29.12,27.12,28.38,16.32,1437500
2000-04-19,28.0,28.31,27.75,28.06,16.14,777800
2000-04-20,28.0,28.25,27.75,28.06,16.14,565300
2000-04-24,28.06,28.5,27.5,28.12,16.18,597300
2000-04-25,28.19,29.44,27.25,29.0,16.68,601700
2000-04-26,29.0,29.25,27.06,27.44,15.78,1220200
2000-04-27,27.19,27.19,26.19,26.69,15.35,1376100
2000-04-28,26.69,26.69,25.62,26.0,14.95,1021100
2000-05-01,25.5,26.5,25.44,26.06,14.99,1194300
2000-05-02,26.06,26.75,26.0,26.5,15.24,649200
2000-05-03,28.62,30.5,27.81,29.56,17.0,2342500
2000-05-04,28.0,29.44,27.25,28.56,16.43,1158800
2000-05-05,29.31,29.5,28.25,28.38,16.32,503800
2000-05-08,29.19,29.88,28.81,29.5,16.97,689300
2000-05-09,28.88,29.19,28.5,29.06,16.71,376900
2000-05-10,28.94,29.19,28.62,28.75,16.53,486000
2000-05-11,29.0,29.62,28.88,29.25,16.82,356700
2000-05-12,29.0,29.31,28.5,29.12,16.75,443100
2000-05-15,29.25,30.31,29.0,29.88,17.18,671400
2000-05-16,30.94,30.94,29.94,30.44,17.51,789200
2000-05-17,29.0,30.25,28.25,29.25,16.82,1598500
2000-05-18,28.44,29.12,28.38,28.5,16.39,699700
2000-05-19,28.38,28.69,28.0,28.19,16.21,661700
2000-05-22,28.31,28.69,28.06,28.44,16.36,408800
2000-05-23,28.5,28.62,27.94,28.44,16.36,585400
2000-05-24,28.44,31.75,28.44,31.62,18.19,2106100
2000-05-25,31.0,31.06,30.38,31.0,17.83,1430800
2000-05-26,31.06,31.94,30.5,31.69,18.22,909200
2000-05-30,31.38,32.19,30.75,31.75,18.26,789500
2000-05-31,31.0,31.5,29.88,31.0,17.83,545400
2000-06-01,30.75,31.0,30.0,30.12,17.33,584700
2000-06-02,30.12,30.31,29.56,29.94,17.22,481900
2000-06-05,31.62,33.31,30.81,31.12,17.9,1719800
2000-06-06,31.0,31.0,28.81,29.56,17.0,1723900
2000-06-07,29.56,32.0,29.44,31.62,18.19,1506400
2000-06-08,31.0,31.69,30.56,31.56,18.15,814900
2000-06-09,31.5,31.69,30.75,31.06,17.86,628800
2000-06-12,31.06,31.12,30.38,30.56,17.58,482300
2000-06-13,31.0,31.44,30.81,31.06,17.86,449800
2000-06-14,31.0,31.31,30.75,31.25,17.97,294500
2000-06-15,31.12,31.62,30.94,30.94,17.79,567500
2000-06-16,30.06,31.44,30.06,30.56,17.58,1044700
2000-06-19,30.56,30.88,29.88,29.88,17.18,438400
2000-06-20,29.88,30.62,29.62,30.38,17.47,600200
2000-06-21,30.5,30.56,29.5,29.81,17.15,373400
2000-06-22,29.5,29.81,29.38,29.5,16.97,562200
2000-06-23,29.5,30.06,29.5,30.0,17.25,521600
2000-06-26,30.25,31.19,30.0,30.56,17.58,374800
2000-06-27,31.0,31.19,30.06,30.25,17.4,480800
2000-06-28,30.44,31.0,29.56,30.09,17.31,551300
2000-06-29,29.62,30.19,29.06,29.19,16.79,387400
2000-06-30,28.0,29.44,27.75,29.12,16.75,904300
2000-07-03,28.88,29.25,28.5,29.12,16.75,196200
2000-07-05,29.5,29.69,28.62,28.75,16.66,433900
2000-07-06,28.88,29.06,28.5,28.88,16.74,434700
2000-07-07,28.25,28.69,28.0,28.19,16.34,381300
2000-07-10,27.94,28.19,27.38,28.0,16.23,520000
2000-07-11,27.75,27.75,27.19,27.69,16.05,328300
2000-07-12,27.69,27.75,27.12,27.5,15.94,326100
2000-07-13,27.44,28.06,27.38,27.88,16.16,451400
2000-07-14,27.69,28.38,27.62,27.88,16.16,374000
2000-07-17,27.62,27.75,27.0,27.25,15.79,353400
2000-07-18,27.06,27.75,27.06,27.56,15.98,299800
2000-07-19,27.5,28.31,27.25,28.19,16.34,430200
2000-07-20,28.44,28.69,28.12,28.25,16.37,440200
2000-07-21,28.38,28.62,27.38,27.56,15.98,441700
2000-07-24,27.56,28.25,27.06,28.19,16.34,884800
2000-07-25,28.12,29.0,28.12,28.56,16.55,689800
2000-07-26,28.38,28.38,27.0,27.0,15.65,899300
2000-07-27,27.19,27.44,26.12,26.38,15.29,735200
2000-07-28,26.38,26.5,26.06,26.44,15.32,450500
2000-07-31,26.62,27.12,26.5,26.5,15.36,721700
2000-08-01,26.94,27.0,26.31,26.5,15.36,438100
2000-08-02,26.69,27.12,26.38,26.69,15.47,479800
2000-08-03,26.94,27.06,26.5,26.69,15.47,384100
2000-08-04,26.56,27.0,26.12,26.69,15.47,337600
