Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,53.34,53.59,52.97,53.56,42.08,10726400
2000-01-03,54.97,55.12,51.78,54.03,42.45,53076000
2000-01-04,52.75,53.5,50.88,51.0,40.07,50805600
2000-01-05,50.03,52.25,48.62,50.84,39.95,68524000
2000-01-06,50.41,50.94,49.31,50.0,39.29,48242600
2000-01-07,49.69,53.0,49.69,52.94,41.59,62260600
2000-01-10,54.25,55.0,53.06,54.91,43.14,50583000
2000-01-11,54.06,54.81,52.5,53.25,41.84,43210200
2000-01-12,53.44,53.75,51.75,51.91,40.78,40757800
2000-01-13,53.0,53.25,51.88,53.09,41.72,34494400
2000-01-14,54.12,54.62,52.5,53.78,42.26,43623000
2000-01-18,53.75,56.25,53.62,56.0,44.0,59568600
2000-01-19,55.84,56.5,54.53,56.16,44.12,45597000
2000-01-20,56.69,57.56,55.72,56.19,44.15,41731200
2000-01-21,57.44,57.69,56.22,57.62,45.28,44974600
2000-01-24,57.88,57.88,54.25,54.53,42.85,43787800
2000-01-25,54.25,56.44,53.53,56.06,44.05,55379800
2000-01-26,55.72,55.88,53.5,53.59,42.11,35308800
2000-01-27,54.41,55.31,51.88,53.31,41.89,47908600
2000-01-28,53.28,54.69,51.5,51.94,40.81,49564400
2000-01-31,51.47,54.81,50.0,54.75,43.02,66914600
2000-02-01,54.89,59.06,54.78,58.91,46.28,87263000
2000-02-02,58.06,58.88,56.5,56.94,44.74,68449200
2000-02-03,57.44,59.31,57.25,58.91,46.28,48675200
2000-02-04,59.78,61.25,59.31,60.56,47.58,52970000
2000-02-07,62.03,62.69,61.28,62.59,49.18,48933400
2000-02-08,63.94,64.0,61.84,62.91,49.43,72100800
2000-02-09,66.62,67.5,63.22,64.41,50.6,107807600
2000-02-10,65.31,68.12,64.28,67.97,53.4,64314000
2000-02-11,66.56,66.81,64.06,65.47,51.44,75471000
2000-02-14,66.47,66.47,63.47,65.25,51.27,49103800
2000-02-15,64.88,65.06,62.66,64.0,50.29,61367200
2000-02-16,63.94,64.75,63.38,63.59,49.96,46274000
2000-02-17,64.47,65.31,63.81,65.25,51.27,39656600
2000-02-18,65.34,65.41,62.78,62.91,49.43,41600000
2000-02-22,63.28,63.53,60.62,61.97,48.69,61144400
2000-02-23,63.5,69.5,63.16,69.31,54.46,105707800
2000-02-24,68.62,68.88,66.25,68.62,53.92,74976000
2000-02-25,68.31,68.62,65.53,66.38,52.15,46451200
2000-02-28,65.38,66.59,63.81,65.28,51.29,52048400
2000-02-29,66.18,66.97,64.63,66.09,51.93,41688600
2000-03-01,66.34,67.69,65.0,65.84,51.73,39469400
2000-03-02,65.56,66.75,64.97,66.38,52.15,31939200
2000-03-03,67.25,69.47,66.94,68.72,53.99,38053800
2000-03-06,68.59,69.0,67.22,68.06,53.48,33787600
2000-03-07,68.88,68.91,65.38,66.03,51.88,42309600
2000-03-08,66.62,67.5,65.0,66.19,52.0,48042400
2000-03-09,66.94,69.99,66.06,69.66,54.73,67248600
2000-03-10,69.56,70.94,68.03,68.19,53.58,48013600
2000-03-13,67.5,70.02,67.0,68.09,53.5,47557200
2000-03-14,68.47,69.06,65.84,65.88,51.76,58617400
2000-03-15,66.75,67.5,63.31,64.31,50.53,62863600
2000-03-16,64.88,66.69,62.16,65.84,51.73,75486200
2000-03-17,65.5,67.97,65.5,67.5,53.04,53047600
2000-03-20,67.5,68.38,66.28,67.06,52.69,39242200
2000-03-21,67.25,70.69,66.47,70.43,55.34,57357400
2000-03-22,70.81,73.38,69.44,72.19,56.72,59111600
2000-03-23,73.12,78.94,72.0,77.81,61.14,76967200
2000-03-24,80.12,81.31,78.25,79.38,62.37,64910400
2000-03-27,81.44,82.0,79.06,80.06,62.91,47360000
2000-03-28,79.56,80.5,77.5,77.88,61.19,42658000
2000-03-29,77.94,78.73,75.0,76.06,59.76,54776100
2000-03-30,74.88,76.75,70.75,73.62,57.85,67081600
2000-03-31,74.36,77.81,72.25,77.31,60.75,53212600
2000-04-03,76.88,77.0,72.0,72.94,57.31,61832400
2000-04-04,74.0,74.5,64.0,73.12,57.46,10846100
2000-04-05,70.25,74.88,70.12,72.12,56.67,64975400
2000-04-06,73.88,74.25,70.75,71.81,56.42,43823900
2000-04-07,73.0,75.0,71.62,74.94,58.88,44893800
2000-04-10,75.44,76.0,72.5,72.56,57.01,42264200
2000-04-11,72.12,73.69,68.5,70.0,55.0,58865900
2000-04-12,69.75,70.69,64.75,65.0,51.07,94231500
2000-04-13,66.11,66.5,61.12,61.12,48.03,104047300
2000-04-14,60.88,61.06,55.06,57.0,44.79,14575300
2000-04-17,56.94,66.62,56.67,66.5,52.25,12074800
2000-04-18,68.12,69.5,67.0,69.25,54.41,80723900
2000-04-19,69.75,70.0,65.88,66.12,51.96,51863900
2000-04-20,66.75,67.69,64.56,65.12,51.17,36551400
2000-04-24,61.56,63.75,59.25,63.44,49.84,58933700
2000-04-25,65.12,66.06,63.06,66.0,51.86,54357600
2000-04-26,66.31,69.0,65.88,66.75,52.45,51055200
2000-04-27,64.25,69.12,64.0,69.0,54.21,51540300
2000-04-28,69.38,70.0,68.06,69.33,54.47,34352200
2000-05-01,69.88,71.88,69.5,71.44,56.13,40694200
2000-05-02,71.0,71.69,67.62,68.0,53.43,31282300
2000-05-03,67.56,67.62,63.62,66.06,51.91,47312400
2000-05-04,65.44,66.5,63.5,63.62,49.99,40026500
2000-05-05,63.81,67.98,63.5,67.75,53.23,45085600
2000-05-08,64.06,64.62,62.12,62.75,49.3,67640000
2000-05-09,63.53,63.69,60.81,62.75,49.3,70498200
2000-05-10,60.5,61.5,58.12,58.5,45.96,91957600
2000-05-11,59.88,61.12,58.06,60.25,47.34,53912000
2000-05-12,60.12,63.0,58.75,59.94,47.09,43915500
2000-05-15,59.44,60.12,57.0,60.0,47.14,50519100
2000-05-16,61.12,62.27,58.75,60.56,47.58,50845600
2000-05-17,59.25,59.62,58.0,58.0,45.57,43334300
2000-05-18,58.0,58.31,55.12,55.38,43.51,75639200
2000-05-19,53.98,55.06,52.44,53.44,41.99,82841000
2000-05-22,53.19,55.5,50.0,55.25,43.41,92259800
2000-05-23,55.12,55.62,50.25,50.55,39.72,67684700
2000-05-24,50.5,55.5,50.19,55.12,43.31,97110300
2000-05-25,56.06,58.44,54.06,54.5,42.82,76771500
2000-05-26,54.62,55.94,52.62,54.94,43.17,36022200
2000-05-30,57.48,60.0,57.0,59.88,47.04,51328600
2000-05-31,58.94,60.25,56.38,56.94,44.74,49611300
2000-06-01,58.58,61.12,57.88,60.94,47.88,52127600
2000-06-02,64.56,65.75,63.44,64.38,50.58,61997000
2000-06-05,63.69,65.06,62.44,63.25,49.7,36758700
2000-06-06,62.75,63.81,61.12,61.31,48.17,30704100
2000-06-07,61.62,63.5,61.12,62.88,49.4,32483900
2000-06-08,63.81,65.0,62.75,63.69,50.04,36633200
2000-06-09,64.5,65.0,64.0,64.38,50.58,23956400
2000-06-12,64.5,64.75,62.12,62.12,48.81,22663400
2000-06-13,62.38,65.0,61.5,65.0,51.07,33430700
2000-06-14,64.81,66.5,64.12,65.19,51.22,33894400
2000-06-15,65.5,66.62,64.62,66.5,52.25,38430500
2000-06-16,66.75,67.94,65.8,67.81,53.28,49657300
2000-06-19,67.0,69.25,66.25,68.94,54.16,34616900
2000-06-20,68.69,69.56,66.62,67.12,52.74,34001500
2000-06-21,65.81,67.75,65.75,67.44,52.99,27600800
2000-06-22,67.06,67.12,64.44,64.56,50.73,27506900
2000-06-23,64.56,65.94,62.5,62.62,49.21,25132300
2000-06-26,63.08,63.62,61.06,62.81,49.35,40313100
2000-06-27,62.56,65.25,62.12,62.25,48.91,31635200
2000-06-28,62.81,64.44,62.12,63.56,49.94,29624000
2000-06-29,62.69,63.52,60.5,61.19,48.08,36168100
2000-06-30,60.81,63.69,60.12,63.56,49.94,34402600
2000-07-03,63.38,64.88,63.12,64.62,50.78,14879800
2000-07-05,63.81,64.75,61.44,61.88,48.62,27383000
2000-07-06,62.25,64.88,60.88,64.75,50.87,34561900
2000-07-07,64.62,65.94,63.62,65.38,51.37,30196900
2000-07-10,64.25,65.62,63.0,63.12,49.6,29138500
2000-07-11,63.0,64.56,61.62,62.12,48.81,33011500
2000-07-12,63.38,64.62,62.09,63.88,50.19,32863700
2000-07-13,64.06,67.11,63.88,65.25,51.27,58366200
2000-07-14,66.56,68.75,66.06,68.25,53.62,58353300
2000-07-17,67.62,69.75,67.38,69.62,54.71,41995400
2000-07-18,68.25,69.12,67.06,67.25,52.84,29673200
2000-07-19,67.12,67.94,66.25,66.81,52.5,24010200
2000-07-20,67.25,69.75,67.19,69.5,54.61,43828700
2000-07-21,68.62,69.62,67.73,68.12,53.53,29126500
2000-07-24,67.94,68.88,65.88,66.06,51.91,29325800
2000-07-25,66.62,68.88,65.94,68.12,53.53,32776100
2000-07-26,67.06,69.12,66.38,68.56,53.87,44805400
2000-07-27,67.86,69.0,66.75,68.0,53.43,34568500
2000-07-28,67.25,69.0,61.94,62.81,49.35,56395700
2000-07-31,62.89,66.0,62.56,65.44,51.41,51109200
2000-08-01,64.75,65.62,62.31,63.19,49.65,34942900
2000-08-02,63.25,64.5,60.75,60.94,47.88,45361900
2000-08-03,59.62,64.88,58.5,64.38,50.58,61286400
2000-08-04,65.53,66.88,64.56,65.56,51.51,41593000
2000-08-07,66.2,67.25,65.25,66.25,52.05,39458000
2000-08-08,66.0,66.94,64.88,65.5,51.46,46360200
2000-08-09,68.88,70.0,67.25,67.81,53.28,94337400
2000-08-10,66.62,66.62,63.12,63.38,49.79,59673700
2000-08-11,62.81,64.88,62.0,64.31,50.53,48999400
2000-08-14,64.0,64.56,62.38,64.5,50.68,29087500
2000-08-15,64.19,64.81,62.94,63.19,49.65,33757400
2000-08-16,63.5,64.25,62.31,63.06,49.55,35195300
2000-08-17,62.88,64.5,62.27,63.44,49.84,34739500
2000-08-18,63.56,64.31,63.0,63.5,49.89,41693400
2000-08-21,64.12,65.5,64.12,65.5,51.46,41781800
2000-08-22,65.56,66.44,64.5,64.81,50.92,40985800
2000-08-23,64.5,67.25,64.19,67.19,52.79,43615700
2000-08-24,67.31,67.5,65.62,66.5,52.25,26958500
2000-08-25,66.38,67.0,65.5,65.5,51.46,21182500
2000-08-28,65.75,67.03,65.62,66.06,51.91,25397800
2000-08-29,66.06,67.38,65.75,66.56,52.3,25801700
2000-08-30,66.38,66.94,66.19,66.56,52.3,24561800
2000-08-31,66.94,68.94,66.81,68.62,53.92,46835300
2000-09-01,68.88,69.62,68.12,68.56,53.87,33141800
2000-09-05,67.56,68.31,65.62,66.0,51.86,32365000
2000-09-06,66.38,66.94,63.5,64.25,50.48,37317100
2000-09-07,65.0,66.69,64.25,66.25,52.05,30302700
2000-09-08,65.75,65.94,63.31,63.88,50.19,35967700
2000-09-11,63.5,63.88,60.88,61.19,48.08,53535500
2000-09-12,61.52,62.88,58.12,58.88,46.26,76982100
2000-09-13,58.25,61.86,58.0,61.31,48.17,75426600
2000-09-14,62.62,63.31,60.55,61.25,48.12,48069600
2000-09-15,61.38,63.75,59.81,62.75,49.3,75803700
2000-09-18,61.56,62.56,58.5,60.06,47.19,59433800
2000-09-19,59.94,62.06,59.06,62.0,48.71,50635000
2000-09-20,61.31,63.62,61.0,63.12,49.6,61998200
2000-09-21,61.56,62.88,60.06,61.12,48.03,48728100
2000-09-22,58.5,60.5,58.44,60.31,47.39,55306500
2000-09-25,60.72,61.36,56.88,57.19,44.93,59634900
2000-09-26,58.19,59.19,55.12,55.19,43.36,72577600
2000-09-27,56.5,57.62,55.31,57.31,45.03,56557200
2000-09-28,56.38,59.75,54.62,59.44,46.7,90508900
2000-09-29,58.86,59.31,55.19,55.25,43.41,44248700
2000-10-02,57.38,58.97,54.59,55.5,43.61,76637400
2000-10-03,57.0,59.38,55.94,56.25,44.2,65208200
2000-10-04,56.56,59.06,55.25,58.56,46.01,56870600
2000-10-05,57.81,58.88,56.25,57.56,45.23,47457200
2000-10-06,57.31,58.25,54.62,56.19,44.15,54803700
2000-10-09,55.44,55.56,52.88,53.69,42.18,45976900
2000-10-10,53.0,54.38,50.69,51.12,40.17,61859800
2000-10-11,48.75,53.38,48.22,51.19,40.22,93499900
2000-10-12,52.62,53.62,49.25,49.81,39.14,78347800
2000-10-13,49.06,56.19,49.06,56.06,44.05,73929500
2000-10-16,55.19,55.75,53.88,54.5,42.82,51407200
2000-10-17,55.44,56.0,53.38,54.56,42.87,52349400
2000-10-18,52.75,54.77,50.0,52.25,41.05,66281300
2000-10-19,55.06,59.12,54.25,58.25,45.77,72023700
2000-10-20,57.62,59.44,56.75,57.31,45.03,51194000
2000-10-23,56.25,57.75,54.94,55.88,43.9,45486800
