Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.22,5.25,5.09,5.23,3.57,2184000
2000-01-03,5.23,5.32,5.04,5.16,3.52,3039600
2000-01-04,5.01,5.12,4.93,5.0,3.41,2536200
2000-01-05,5.03,5.15,4.96,5.1,3.48,3399000
2000-01-06,5.1,5.57,5.03,5.33,3.64,5304600
2000-01-07,5.33,5.34,5.27,5.33,3.64,3403200
2000-01-10,5.31,5.34,5.29,5.33,3.64,2851800
2000-01-11,5.33,5.45,5.33,5.33,3.64,3345600
2000-01-12,5.33,5.41,5.32,5.35,3.65,3196200
2000-01-13,5.33,5.51,5.31,5.43,3.7,3115200
2000-01-14,5.35,5.44,5.33,5.38,3.67,2815200
2000-01-18,5.33,5.39,5.29,5.29,3.61,2487600
2000-01-19,5.29,5.33,5.23,5.29,3.61,11016000
2000-01-20,5.24,5.27,5.0,5.05,3.45,5173200
2000-01-21,5.27,5.27,5.09,5.11,3.49,3034200
2000-01-24,5.22,5.22,5.02,5.09,3.48,2826000
2000-01-25,5.09,5.22,4.99,5.01,3.42,5508000
2000-01-26,5.1,5.12,4.94,4.99,3.4,14192400
2000-01-27,4.99,5.1,4.97,5.06,3.45,4808400
2000-01-28,5.0,5.0,4.76,4.85,3.31,5104200
2000-01-31,4.9,4.95,4.84,4.88,3.33,3303600
2000-02-01,4.88,4.89,4.8,4.82,3.29,1580400
2000-02-02,4.82,4.82,4.67,4.71,3.21,2608200
2000-02-03,4.73,4.76,4.62,4.65,3.17,2348400
2000-02-04,4.69,4.73,4.59,4.61,3.15,8008800
2000-02-07,4.61,4.65,4.35,4.35,2.97,3981000
2000-02-08,4.25,4.33,4.12,4.12,2.81,11040000
2000-02-09,4.24,4.3,4.12,4.17,2.84,9291000
2000-02-10,3.96,4.03,3.81,3.83,2.62,10611600
2000-02-11,3.83,3.84,3.52,3.6,2.46,6285000
2000-02-14,3.58,3.72,3.5,3.65,2.49,17692800
2000-02-15,3.71,3.77,3.65,3.67,2.5,5235000
2000-02-16,3.69,3.76,3.62,3.66,2.49,6755400
2000-02-17,3.67,3.79,3.57,3.75,2.56,6585600
2000-02-18,3.73,3.73,3.59,3.64,2.48,4262400
2000-02-22,3.59,3.79,3.59,3.74,2.55,4395600
2000-02-23,3.67,3.67,3.54,3.56,2.46,5307000
2000-02-24,3.55,3.61,3.38,3.61,2.5,7553400
2000-02-25,3.58,3.61,3.51,3.54,2.45,6822600
2000-02-28,3.54,3.7,3.51,3.62,2.51,4640400
2000-02-29,3.62,3.76,3.62,3.7,2.56,10687800
2000-03-01,3.7,3.81,3.64,3.75,2.59,5541600
2000-03-02,3.75,3.77,3.62,3.67,2.54,4014600
2000-03-03,3.71,3.91,3.69,3.81,2.64,3727800
2000-03-06,3.74,3.74,3.67,3.72,2.57,2813400
2000-03-07,3.69,3.69,3.53,3.54,2.45,3510600
2000-03-08,3.56,3.82,3.56,3.79,2.62,12570000
2000-03-09,3.75,3.75,3.62,3.69,2.55,2119200
2000-03-10,3.67,3.76,3.66,3.71,2.56,1803000
2000-03-13,3.72,3.72,3.59,3.65,2.52,2094000
2000-03-14,3.6,3.64,3.57,3.59,2.49,3678000
2000-03-15,3.59,3.9,3.58,3.9,2.69,3100200
2000-03-16,3.88,4.09,3.84,4.07,2.82,5694600
2000-03-17,4.17,4.24,4.09,4.22,2.92,6405000
2000-03-20,4.25,4.27,4.1,4.15,2.87,2631600
2000-03-21,4.19,4.25,4.08,4.19,2.9,4725600
2000-03-22,4.19,4.24,4.11,4.15,2.87,2983800
2000-03-23,4.15,4.21,4.06,4.14,2.86,2404800
2000-03-24,4.14,4.16,4.02,4.05,2.8,3758400
2000-03-27,4.08,4.11,4.0,4.03,2.79,4095600
2000-03-28,3.96,4.02,3.84,3.95,2.73,2797200
2000-03-29,3.94,3.99,3.92,3.97,2.74,2559600
2000-03-30,3.95,3.99,3.88,3.99,2.76,3409200
2000-03-31,3.88,4.06,3.85,3.92,2.71,5368200
2000-04-03,3.96,3.96,3.8,3.83,2.65,4395600
2000-04-04,3.83,3.88,3.76,3.84,2.66,5691000
2000-04-05,3.83,4.02,3.77,3.98,2.75,3804600
2000-04-06,3.98,4.09,3.92,3.95,2.73,4063200
2000-04-07,3.9,3.94,3.75,3.77,2.61,4859400
2000-04-10,3.77,3.82,3.7,3.72,2.57,4741800
2000-04-11,3.75,3.83,3.7,3.74,2.59,8786400
2000-04-12,3.67,3.78,3.57,3.64,2.51,7806000
2000-04-13,3.67,3.72,3.48,3.62,2.51,17148000
2000-04-14,3.67,3.67,3.48,3.55,2.46,6823800
2000-04-17,3.51,3.58,3.48,3.48,2.41,4546800
2000-04-18,3.44,3.55,3.43,3.51,2.43,3045600
2000-04-19,3.53,3.67,3.48,3.51,2.43,2505000
2000-04-20,3.49,3.53,3.43,3.44,2.38,4004400
2000-04-24,3.46,3.67,3.44,3.49,2.41,3634800
2000-04-25,3.47,3.69,3.46,3.62,2.51,4812600
