Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.5,47.75,46.5,47.38,17.88,162400
2000-01-03,47.12,47.31,44.75,45.25,17.08,298800
2000-01-04,44.75,44.88,43.0,43.44,16.4,479400
2000-01-05,43.94,45.56,43.38,43.75,16.51,509800
2000-01-06,43.38,43.62,42.44,43.25,16.33,479400
2000-01-07,44.75,45.0,42.69,42.88,16.18,706400
2000-01-10,43.38,44.12,42.62,44.12,16.66,501900
2000-01-11,43.75,44.88,42.75,43.81,16.54,515800
2000-01-12,43.81,44.62,43.75,44.19,16.68,339600
2000-01-13,43.94,45.5,43.69,44.25,16.7,334500
2000-01-14,44.0,45.06,43.75,44.62,16.84,267200
2000-01-18,44.38,45.88,44.25,45.38,17.13,493200
2000-01-19,45.44,45.5,43.5,44.19,16.68,505100
2000-01-20,44.44,44.62,43.12,43.75,16.51,359100
2000-01-21,44.0,44.0,43.31,43.62,16.47,563000
2000-01-24,44.12,44.12,42.5,42.94,16.21,373600
2000-01-25,42.69,42.94,41.56,41.88,15.81,369300
2000-01-26,42.12,42.31,41.31,41.81,15.78,539800
2000-01-27,42.31,42.56,39.25,39.94,15.08,914800
2000-01-28,39.94,39.94,36.06,37.69,14.23,1496900
2000-01-31,37.69,38.62,37.0,38.62,14.58,2163900
2000-02-01,38.38,38.75,38.0,38.62,14.58,1081600
2000-02-02,39.0,39.75,38.81,39.56,14.93,1488100
2000-02-03,39.5,40.12,39.25,39.69,14.98,1060700
2000-02-04,40.0,40.31,38.75,39.06,14.74,542200
2000-02-07,38.88,39.38,38.38,38.69,14.6,701500
2000-02-08,38.69,39.38,38.69,39.06,14.74,776100
2000-02-09,39.0,39.31,38.25,38.31,14.46,729000
2000-02-10,38.31,38.5,37.69,37.88,14.3,582700
2000-02-11,38.0,38.25,37.56,37.88,14.3,435200
2000-02-14,38.0,38.44,37.81,38.06,14.37,402600
2000-02-15,38.0,38.0,36.25,37.0,13.97,668500
2000-02-16,37.06,37.31,36.5,36.88,13.92,583800
2000-02-17,36.62,36.94,36.06,36.31,13.71,453200
2000-02-18,36.31,36.31,34.31,34.62,13.07,558600
2000-02-22,34.38,35.81,34.31,35.38,13.35,753500
2000-02-23,35.12,35.94,34.62,34.94,13.19,305300
2000-02-24,35.0,35.0,33.25,33.81,12.76,783500
2000-02-25,33.94,34.31,33.06,33.69,12.72,440600
2000-02-28,33.44,33.88,32.81,33.44,12.62,551500
2000-02-29,33.31,33.69,32.81,33.62,12.69,421000
2000-03-01,33.62,34.5,33.44,34.44,13.0,914100
2000-03-02,34.19,34.56,33.62,34.0,12.83,1176500
2000-03-03,34.25,35.38,33.81,35.19,13.3,652200
2000-03-06,35.19,35.44,33.69,33.94,12.83,534300
2000-03-07,34.19,34.5,32.31,32.5,12.28,622600
2000-03-08,32.75,33.44,32.56,33.25,12.57,479600
2000-03-09,33.62,33.69,32.5,33.0,12.47,480600
2000-03-10,34.0,35.0,33.31,33.31,12.59,736100
2000-03-13,33.19,34.12,33.0,34.12,12.9,520700
2000-03-14,34.12,35.0,34.12,34.69,13.11,750300
2000-03-15,34.81,34.81,33.62,33.88,12.8,432500
2000-03-16,34.25,34.31,32.75,33.0,12.47,822700
2000-03-17,33.75,36.81,33.56,36.5,13.8,1042900
2000-03-20,36.56,36.81,35.5,36.5,13.8,606600
2000-03-21,36.5,37.38,36.5,37.31,14.1,670500
2000-03-22,37.0,37.44,35.62,35.88,13.56,521100
2000-03-23,35.88,36.12,35.5,36.12,13.66,505900
2000-03-24,36.0,36.56,35.75,36.19,13.68,779800
2000-03-27,36.44,37.5,36.06,37.12,14.03,408900
2000-03-28,36.88,37.81,36.38,36.5,13.8,676000
2000-03-29,37.0,37.38,36.81,37.25,14.08,406900
2000-03-30,37.75,37.88,36.62,37.0,13.99,485200
2000-03-31,37.0,37.69,36.94,37.12,14.03,502600
2000-04-03,37.0,37.44,36.5,37.44,14.15,432700
2000-04-04,37.69,38.75,37.38,38.38,14.51,543800
2000-04-05,38.12,39.75,37.88,39.62,14.98,893000
2000-04-06,39.75,40.19,39.31,39.88,15.07,826500
2000-04-07,39.62,39.69,39.19,39.69,15.0,594200
2000-04-10,39.31,39.69,38.69,39.5,14.93,642600
2000-04-11,39.38,40.31,39.25,40.0,15.12,621000
2000-04-12,40.12,40.38,38.88,39.0,14.74,386300
2000-04-13,39.0,39.5,38.06,38.06,14.39,394000
2000-04-14,38.12,38.12,35.69,36.0,13.61,845800
2000-04-17,35.25,35.31,34.06,34.56,13.06,810200
2000-04-18,34.81,35.69,34.56,35.5,13.42,768700
2000-04-19,35.62,35.62,34.5,34.5,13.04,553700
2000-04-20,34.44,34.44,33.5,33.75,12.76,744200
2000-04-24,32.25,33.75,32.25,33.62,12.71,477800
2000-04-25,33.44,34.5,33.25,34.25,12.95,548100
2000-04-26,34.25,34.25,33.5,33.56,12.69,528900
2000-04-27,32.88,33.0,24.5,29.25,11.06,4977000
2000-04-28,26.0,26.75,24.5,24.5,9.26,5585300
2000-05-01,25.25,26.38,24.69,26.38,9.97,3502400
2000-05-02,25.75,25.81,24.44,24.81,9.38,2866900
2000-05-03,25.0,25.38,24.81,25.38,9.59,1344700
2000-05-04,25.38,25.88,25.12,25.56,9.66,1039600
2000-05-05,25.44,25.88,25.44,25.69,9.71,976300
2000-05-08,25.62,25.94,25.06,25.56,9.66,1387900
2000-05-09,25.5,26.31,25.31,25.81,9.76,1324300
2000-05-10,25.62,25.75,25.0,25.56,9.66,830300
2000-05-11,25.69,26.62,25.69,26.5,10.02,1269500
2000-05-12,26.5,27.75,26.5,27.19,10.28,1049700
2000-05-15,27.0,28.19,27.0,28.06,10.61,655900
2000-05-16,27.81,28.25,27.19,28.06,10.61,1056400
2000-05-17,28.31,28.62,27.88,28.62,10.82,1022100
2000-05-18,29.19,29.19,28.5,28.88,10.91,1248900
2000-05-19,28.5,28.56,27.44,27.94,10.56,1155000
2000-05-22,27.44,27.62,26.12,27.06,10.23,360400
