Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,29.75,32.0,28.5,29.0,28.87,44000
2019-05-28,29.25,30.5,28.51,28.76,28.64,61500
2019-05-29,29.9,29.9,27.66,28.5,28.37,207800
2019-05-30,28.99,29.16,28.22,28.8,28.67,666000
2019-05-31,28.5,28.59,26.97,26.97,26.85,853800
2019-06-03,26.54,27.0,24.37,24.81,24.7,19259600
2019-06-04,24.35,27.94,24.35,27.75,27.62,20135100
2019-06-05,27.54,28.22,26.46,28.01,27.88,10740200
2019-06-06,27.69,27.69,26.23,26.9,26.78,13986100
2019-06-07,26.17,26.93,25.72,26.31,26.19,10049100
2019-06-10,26.07,26.74,25.12,25.31,25.2,10247200
2019-06-11,25.01,25.36,24.53,24.95,24.84,11641200
2019-06-12,25.11,25.45,24.48,25.07,24.96,13392000
2019-06-13,25.06,25.19,24.7,24.97,24.86,9710800
2019-06-14,24.76,25.24,24.55,25.19,25.08,7036800
2019-06-17,25.53,26.9,25.45,25.95,25.83,13710100
2019-06-18,26.03,27.57,25.75,27.3,27.18,14485400
2019-06-19,27.48,27.48,26.87,27.15,27.03,10228800
2019-06-20,27.37,27.6,26.42,27.16,27.04,7728000
2019-06-21,26.87,27.71,26.87,27.21,27.09,12548900
2019-06-24,27.14,28.45,27.05,28.01,27.88,6494900
2019-06-25,28.02,28.09,27.48,27.67,27.55,6698600
2019-06-26,27.93,29.38,27.85,29.26,29.13,6735100
2019-06-27,29.38,30.33,29.26,29.57,29.44,5879600
2019-06-28,29.6,29.75,29.26,29.57,29.44,15517800
2019-07-01,29.58,30.75,28.95,29.68,29.55,5290400
2019-07-02,29.5,29.6,28.14,28.99,28.86,5438300
2019-07-03,28.78,28.9,28.2,28.8,28.67,2234900
2019-07-05,28.45,29.32,28.26,28.64,28.51,2888200
2019-07-08,28.39,28.39,27.64,27.77,27.64,3478600
2019-07-09,27.47,27.77,26.83,26.99,26.87,5285700
2019-07-10,26.81,27.0,26.44,26.5,26.38,5133700
2019-07-11,26.55,26.8,25.96,26.43,26.31,6066200
2019-07-12,26.42,27.73,26.26,27.6,27.48,5154500
2019-07-15,27.41,28.27,27.4,28.08,27.95,3443100
2019-07-16,27.93,28.5,27.72,27.86,27.73,3735900
2019-07-17,27.6,27.71,26.85,26.88,26.76,3999300
2019-07-18,26.58,26.98,26.41,26.65,26.53,3035200
2019-07-19,26.79,27.48,26.64,27.39,27.27,4694800
2019-07-22,27.34,27.85,27.21,27.76,27.63,2546100
2019-07-23,27.65,28.48,27.45,28.12,27.99,2921400
2019-07-24,27.77,28.52,27.63,28.32,28.19,2311800
2019-07-25,28.1,28.4,27.75,28.02,27.89,3532200
2019-07-26,27.72,28.52,27.65,28.48,28.35,3052700
2019-07-29,28.36,28.95,28.32,28.78,28.65,6245200
2019-07-30,28.0,29.29,27.8,29.13,29.13,7142300
2019-07-31,29.1,30.15,28.71,29.5,29.5,7662000
2019-08-01,29.5,32.78,29.31,31.25,31.25,11564200
2019-08-02,30.94,31.54,30.85,31.46,31.46,7296300
