Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,42.84,43.34,42.38,43.31,21.93,1118400
2000-01-03,42.94,42.94,41.28,41.81,21.17,4387600
2000-01-04,41.47,42.06,41.25,41.81,21.17,3702400
2000-01-05,41.53,43.28,41.53,42.56,21.55,5567600
2000-01-06,42.66,44.59,42.66,44.38,22.46,4353400
2000-01-07,45.0,45.44,44.5,45.16,22.86,4487400
2000-01-10,45.03,45.03,43.84,43.94,22.24,2104800
2000-01-11,43.94,44.44,43.47,43.53,22.04,2791200
2000-01-12,43.53,43.81,42.94,43.38,21.96,2992600
2000-01-13,43.25,44.62,43.06,43.78,22.16,3253400
2000-01-14,42.91,43.72,42.78,43.5,22.02,3673000
2000-01-18,43.75,44.75,43.47,44.66,22.61,4317400
2000-01-19,44.5,44.5,43.88,43.97,22.26,5027000
2000-01-20,44.09,44.09,43.41,43.75,22.15,3419800
2000-01-21,43.94,44.94,43.91,44.28,22.42,3947800
2000-01-24,44.75,45.19,43.97,44.41,22.48,3536600
2000-01-25,44.41,45.25,43.81,44.28,22.42,3854600
2000-01-26,44.62,44.88,43.25,43.88,22.21,2681000
2000-01-27,43.66,43.81,41.78,42.16,21.34,3550800
2000-01-28,41.78,41.84,40.94,41.28,20.9,4066000
2000-01-31,41.03,41.97,40.38,41.81,21.17,3660600
2000-02-01,41.69,42.22,41.25,41.59,21.06,2611600
2000-02-02,41.34,41.97,41.22,41.31,20.91,3418800
2000-02-03,41.06,41.25,40.31,40.72,20.61,3512800
2000-02-04,40.62,40.62,39.19,39.28,19.89,4224200
2000-02-07,39.56,40.0,39.22,39.53,20.01,3135600
2000-02-08,40.06,40.34,39.16,39.16,19.82,3567400
2000-02-09,39.22,39.34,37.47,37.5,18.98,4802400
2000-02-10,37.78,38.72,37.44,38.41,19.44,3832600
2000-02-11,38.69,38.81,36.09,37.0,18.73,5019800
2000-02-14,37.09,37.72,36.81,36.91,18.68,5039800
2000-02-15,37.22,38.84,37.22,38.75,19.62,6143400
2000-02-16,38.88,39.47,38.66,38.91,19.86,4749200
2000-02-17,39.06,39.09,38.28,38.88,19.85,3735800
2000-02-18,38.75,38.88,37.91,38.09,19.45,3570400
2000-02-22,37.53,38.09,37.12,37.84,19.32,3526400
2000-02-23,37.5,37.53,36.41,36.62,18.7,3770000
2000-02-24,36.66,36.78,35.69,35.72,18.23,5415600
2000-02-25,36.0,36.38,34.97,35.53,18.14,6453400
2000-02-28,35.53,37.47,35.44,37.28,19.03,5097800
2000-02-29,37.28,37.72,36.72,37.34,19.06,4296600
2000-03-01,37.28,37.81,36.31,37.62,19.21,4633400
2000-03-02,37.69,38.72,37.47,37.84,19.32,4050400
2000-03-03,37.28,37.69,36.78,37.28,19.03,4637600
2000-03-06,37.22,37.38,36.84,37.0,18.89,2814400
2000-03-07,37.28,41.0,37.25,40.5,20.68,5600000
2000-03-08,40.06,42.19,39.88,40.53,20.69,7262800
2000-03-09,40.16,42.0,39.88,41.62,21.25,4307200
2000-03-10,41.78,42.41,39.72,40.19,20.52,5384600
2000-03-13,40.47,41.88,39.88,39.91,20.37,4170800
2000-03-14,40.0,41.56,39.66,41.44,21.15,4209400
2000-03-15,41.44,42.0,40.44,41.97,21.43,3756200
2000-03-16,41.59,43.5,40.84,42.06,21.47,5194400
2000-03-17,41.97,42.0,41.16,41.66,21.27,4251000
2000-03-20,41.78,42.03,40.84,41.47,21.17,2280400
2000-03-21,41.5,43.25,41.5,43.0,21.95,3546000
2000-03-22,42.25,42.88,41.22,42.0,21.44,2794200
2000-03-23,41.5,42.91,41.12,42.31,21.6,4197800
2000-03-24,42.38,42.97,42.38,42.81,21.86,2815200
2000-03-27,42.09,42.94,41.22,42.28,21.58,3774200
2000-03-28,41.78,42.88,41.62,42.44,21.66,3260800
2000-03-29,42.41,44.5,42.34,44.25,22.59,5306200
2000-03-30,44.59,46.12,44.53,46.09,23.53,7823200
2000-03-31,46.12,47.12,45.94,46.22,23.59,6282000
2000-04-03,46.31,46.88,45.75,46.16,23.56,3577200
2000-04-04,46.28,46.62,44.69,44.91,22.92,7643400
2000-04-05,44.81,45.34,43.69,43.75,22.33,2959200
2000-04-06,44.0,44.91,43.66,44.47,22.7,2299000
2000-04-07,44.47,44.47,43.16,43.22,22.06,2876000
2000-04-10,42.72,43.72,42.56,43.03,21.97,2417600
2000-04-11,43.28,44.75,43.28,44.34,22.64,3443400
2000-04-12,44.66,45.22,44.22,44.5,22.72,2795400
2000-04-13,44.47,44.47,43.47,43.47,22.19,5013200
2000-04-14,43.5,43.53,42.72,42.84,21.87,3769400
2000-04-17,42.5,42.84,41.16,41.47,21.17,3983000
2000-04-18,41.38,42.47,41.16,42.28,21.58,3010400
2000-04-19,42.16,43.06,41.97,42.38,21.63,3027000
2000-04-20,41.56,43.16,41.56,43.16,22.03,2225200
2000-04-24,42.66,43.66,42.47,42.62,21.76,2998400
2000-04-25,42.69,43.09,42.03,42.41,21.65,3206000
2000-04-26,43.09,43.28,42.72,43.16,22.03,2055600
2000-04-27,43.16,44.5,43.16,44.22,22.57,2895600
2000-04-28,43.72,44.22,42.56,42.56,21.73,2810200
2000-05-01,42.75,44.25,42.75,43.16,22.03,2961200
2000-05-02,43.59,44.97,43.56,44.66,22.8,3557800
2000-05-03,44.72,44.72,43.66,43.66,22.29,2793800
2000-05-04,43.78,44.56,43.78,44.19,22.56,1928200
2000-05-05,44.31,45.38,44.03,45.38,23.16,2409600
2000-05-08,45.53,46.47,45.38,45.91,23.44,3292000
2000-05-09,45.84,45.88,44.44,45.06,23.0,1992000
2000-05-10,44.72,45.94,44.72,45.44,23.2,2675600
2000-05-11,45.44,46.72,45.44,46.69,23.83,3395000
2000-05-12,46.5,47.16,46.31,47.14,24.07,3320400
2000-05-15,46.91,47.38,46.72,47.0,23.99,3337600
2000-05-16,47.0,47.0,46.03,46.47,23.72,3079800
2000-05-17,45.38,45.84,45.03,45.66,23.47,3003200
2000-05-18,45.78,46.03,45.19,45.44,23.36,1768400
2000-05-19,45.5,46.97,45.34,46.66,23.99,2767800
2000-05-22,46.91,47.44,46.66,47.03,24.18,3359600
2000-05-23,46.84,46.84,45.78,46.62,23.97,2436200
2000-05-24,46.69,47.22,46.38,47.12,24.23,3430600
2000-05-25,46.94,46.94,45.72,46.59,23.95,2944800
2000-05-26,46.91,47.0,45.56,45.69,23.49,2299800
2000-05-30,45.72,45.84,45.28,45.66,23.47,2054400
2000-05-31,45.91,46.72,45.78,46.22,23.76,2577800
2000-06-01,46.22,46.22,44.72,45.5,23.39,2455200
2000-06-02,45.0,45.28,44.41,45.28,23.28,4548400
2000-06-05,45.38,45.62,45.12,45.22,23.25,2703200
2000-06-06,45.25,46.59,45.22,46.44,23.87,2582000
2000-06-07,46.94,46.97,45.84,46.19,23.75,3026200
2000-06-08,46.22,46.5,45.91,46.28,23.79,2089800
2000-06-09,46.5,46.59,45.75,46.0,23.65,3247800
2000-06-12,46.41,47.25,46.38,46.44,23.87,4403400
2000-06-13,46.0,46.16,45.72,45.88,23.58,3726600
2000-06-14,46.03,47.22,46.03,46.62,23.97,4136000
2000-06-15,46.53,46.97,46.0,46.56,23.94,2941800
2000-06-16,46.31,47.34,46.31,46.38,23.84,4890200
2000-06-19,46.66,46.72,45.22,45.69,23.49,3055400
2000-06-20,45.69,45.69,44.84,45.12,23.2,3538800
2000-06-21,45.06,45.94,44.75,45.63,23.46,3511400
2000-06-22,45.91,46.28,44.69,44.78,23.02,2522800
2000-06-23,44.78,45.25,44.72,44.88,23.07,2062600
2000-06-26,44.84,45.25,44.34,44.37,22.81,2193200
2000-06-27,44.44,44.44,44.12,44.22,22.73,3088800
2000-06-28,44.12,44.19,43.53,43.79,22.51,2898200
2000-06-29,43.44,43.97,43.25,43.32,22.27,2383200
2000-06-30,43.31,43.56,42.28,42.41,21.8,5210600
2000-07-03,42.5,43.31,42.44,42.96,22.09,1704400
2000-07-05,42.53,42.53,41.03,41.25,21.21,4520200
2000-07-06,41.41,42.69,41.41,41.78,21.48,3421600
2000-07-07,42.0,42.59,41.88,41.98,21.58,2845600
2000-07-10,42.03,42.59,42.0,42.0,21.59,1892200
2000-07-11,42.06,43.78,42.06,43.5,22.36,2678800
2000-07-12,43.53,43.53,42.84,42.84,22.02,3279400
2000-07-13,42.91,42.97,41.62,41.98,21.58,3753200
2000-07-14,41.84,41.88,41.34,41.88,21.53,2709000
2000-07-17,42.0,42.25,41.31,41.34,21.25,2861800
2000-07-18,41.03,41.72,40.47,40.72,20.93,3793600
2000-07-19,40.94,41.12,40.81,40.97,21.06,2491800
2000-07-20,41.0,41.0,40.0,40.0,20.56,2726600
2000-07-21,40.0,40.12,39.25,39.25,20.18,3367000
2000-07-24,39.34,39.47,38.66,38.69,19.89,4472000
2000-07-25,39.0,39.06,38.44,38.66,19.87,4068600
2000-07-26,39.25,39.5,38.66,38.66,19.87,5404200
2000-07-27,39.0,40.56,38.97,40.47,20.8,4901800
2000-07-28,40.62,41.19,40.12,40.29,20.71,2873200
2000-07-31,40.0,40.91,39.34,39.49,20.3,3118600
2000-08-01,39.25,40.09,39.25,39.44,20.27,2891600
2000-08-02,39.69,40.12,39.69,39.91,20.52,3739200
2000-08-03,40.12,40.5,39.44,40.0,20.56,3113800
2000-08-04,39.34,40.12,38.81,39.66,20.39,3283000
2000-08-07,39.84,40.78,39.81,40.35,20.74,2206600
2000-08-08,40.0,40.38,39.84,40.18,20.66,2108200
2000-08-09,40.75,41.62,40.53,41.3,21.23,4060600
2000-08-10,41.31,42.16,41.31,41.94,21.56,2548800
2000-08-11,41.91,42.28,41.56,42.0,21.59,3094600
2000-08-14,41.62,42.34,41.62,42.19,21.69,2507600
2000-08-15,42.25,42.62,41.75,41.75,21.46,2118000
2000-08-16,41.81,42.81,41.81,42.73,22.14,3550000
