Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.81,19.81,19.62,19.62,8.84,831600
2000-01-03,19.5,19.5,19.03,19.06,8.58,2073400
2000-01-04,19.06,19.56,18.88,19.53,8.79,3330800
2000-01-05,19.75,20.34,19.75,20.06,9.03,6406600
2000-01-06,20.31,20.56,20.16,20.28,9.13,4833600
2000-01-07,20.25,20.47,20.19,20.28,9.13,3335200
2000-01-10,20.5,20.5,20.25,20.28,9.13,2612400
2000-01-11,20.25,20.47,20.19,20.34,9.16,2376600
2000-01-12,20.34,20.81,20.34,20.5,9.23,3530000
2000-01-13,20.5,20.81,20.5,20.78,9.36,4820000
2000-01-14,20.84,20.88,20.69,20.81,9.37,3940800
2000-01-18,20.81,20.88,20.62,20.78,9.36,2310800
2000-01-19,20.97,21.25,20.88,21.12,9.51,3779800
2000-01-20,21.12,21.25,21.06,21.22,9.55,3099800
2000-01-21,21.22,21.31,21.12,21.16,9.52,4584200
2000-01-24,21.28,21.56,21.16,21.22,9.55,790000
2000-01-25,21.22,21.31,20.88,21.0,9.45,1290000
2000-01-26,21.31,21.34,21.12,21.34,9.61,1105600
2000-01-27,21.34,21.34,21.25,21.28,9.58,903000
2000-01-28,20.38,20.75,20.12,20.31,9.14,5532800
2000-01-31,20.44,20.88,20.34,20.88,9.4,3462000
2000-02-01,20.88,20.88,20.41,20.53,9.24,2273200
2000-02-02,20.56,20.75,20.44,20.69,9.31,1335600
2000-02-03,21.12,21.22,20.94,20.97,9.44,6594800
2000-02-04,21.03,21.12,20.59,20.59,9.27,3685800
2000-02-07,20.69,20.75,20.38,20.44,9.2,2388200
2000-02-08,20.38,20.66,20.34,20.41,9.19,2985000
2000-02-09,20.44,20.47,20.28,20.34,9.16,2141000
2000-02-10,20.69,20.69,20.34,20.41,9.19,1794200
2000-02-11,20.28,20.38,20.12,20.22,9.1,1465000
2000-02-14,20.12,20.47,20.03,20.16,9.07,1567600
2000-02-15,20.28,20.38,20.25,20.31,9.14,2450400
