Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.04,30.5,30.0,30.42,20.8,207700
2000-01-03,30.0,30.12,29.24,29.41,20.11,730200
2000-01-04,29.41,29.49,28.78,28.87,19.74,404200
2000-01-05,28.78,29.29,28.78,28.99,19.82,930800
2000-01-06,28.82,29.66,28.82,29.12,19.91,993400
2000-01-07,29.16,30.0,29.03,29.91,20.45,1742200
2000-01-10,30.0,30.71,30.0,30.54,20.88,878300
2000-01-11,30.46,31.21,30.25,30.67,20.97,663400
2000-01-12,30.67,31.17,30.5,30.96,21.17,418000
2000-01-13,30.96,31.13,30.63,30.63,20.94,471500
2000-01-14,30.46,30.79,30.25,30.37,20.77,970900
2000-01-18,30.46,30.92,30.33,30.67,20.97,1554800
2000-01-19,30.75,31.04,30.63,30.71,21.0,1537300
2000-01-20,31.17,31.51,29.96,30.0,20.51,1585200
2000-01-21,30.33,30.37,29.41,29.75,20.34,830000
2000-01-24,29.83,30.08,28.74,29.03,19.85,824000
2000-01-25,28.95,29.29,28.15,29.03,19.85,1058300
2000-01-26,29.12,29.24,28.32,28.74,19.65,820600
2000-01-27,28.91,28.95,28.03,28.2,19.28,615700
2000-01-28,28.24,28.28,27.4,27.48,18.79,889000
2000-01-31,27.48,27.48,26.73,27.02,18.48,1193100
2000-02-01,27.02,27.4,26.73,27.23,18.62,749700
2000-02-02,27.32,27.61,27.11,27.27,18.65,1002500
2000-02-03,27.23,27.4,26.94,27.27,18.65,674300
2000-02-04,27.19,27.65,26.9,27.27,18.65,2066800
2000-02-07,27.32,27.61,27.06,27.36,18.7,1081100
2000-02-08,27.36,27.36,26.81,26.86,18.36,1111600
2000-02-09,26.94,27.06,25.89,26.39,18.05,1330300
2000-02-10,26.39,26.39,26.14,26.27,17.96,653600
2000-02-11,26.27,26.27,25.47,25.77,17.62,923000
2000-02-14,26.14,26.39,25.81,25.89,17.7,602200
2000-02-15,26.02,26.27,25.64,26.1,17.85,884900
2000-02-16,26.14,26.44,25.72,26.1,17.85,547800
2000-02-17,26.14,26.23,25.68,25.98,17.76,649300
2000-02-18,25.47,25.64,25.18,25.43,17.39,803000
2000-02-22,25.47,26.27,25.47,25.81,17.64,508100
2000-02-23,25.68,26.27,25.31,25.77,17.62,686500
2000-02-24,25.6,25.6,24.51,25.47,17.42,940300
2000-02-25,25.35,25.64,24.55,24.89,17.07,1045700
2000-02-28,25.26,25.64,24.89,25.01,17.15,1071400
2000-02-29,24.84,25.85,24.17,25.85,17.73,1174900
2000-03-01,25.85,25.85,25.1,25.64,17.58,992900
2000-03-02,25.72,26.52,25.72,26.14,17.93,1390100
2000-03-03,26.48,28.24,26.48,27.99,19.19,1089000
2000-03-06,27.9,28.32,27.48,27.99,19.19,1008700
2000-03-07,27.99,28.45,26.98,27.32,18.73,1250000
2000-03-08,27.27,27.27,26.9,27.06,18.56,952000
2000-03-09,27.02,27.78,26.56,27.74,19.02,959900
2000-03-10,27.99,28.7,27.57,27.99,19.19,846600
2000-03-13,26.81,27.69,26.81,27.48,18.85,805800
2000-03-14,27.4,28.11,26.98,27.02,18.53,724300
2000-03-15,26.9,28.91,26.65,28.36,19.45,773900
2000-03-16,28.49,29.7,27.78,29.7,20.37,1375400
2000-03-17,30.33,31.42,29.87,30.08,20.63,1208500
2000-03-20,30.17,31.0,29.45,30.63,21.0,1276800
2000-03-21,30.54,31.42,30.37,31.04,21.29,605700
