Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.81,19.5,18.75,19.5,6.32,314400
2000-01-03,19.12,19.12,18.12,19.0,6.16,297800
2000-01-04,18.81,18.88,18.56,18.88,6.12,621800
2000-01-05,18.81,19.06,18.75,18.94,6.14,439900
2000-01-06,18.88,19.5,18.88,19.38,6.28,593400
2000-01-07,19.44,20.0,19.38,19.75,6.4,334800
2000-01-10,19.88,19.94,19.62,19.88,6.44,278200
2000-01-11,20.12,20.12,19.69,19.69,6.38,243100
2000-01-12,19.75,19.81,19.5,19.5,6.32,151100
2000-01-13,19.69,19.69,19.5,19.56,6.34,134700
2000-01-14,19.56,19.69,19.44,19.5,6.32,246200
2000-01-18,19.38,19.69,19.38,19.62,6.36,235600
2000-01-19,19.69,19.88,19.56,19.88,6.44,350100
2000-01-20,19.88,19.94,19.56,19.88,6.44,161400
2000-01-21,19.88,20.75,19.62,20.5,6.65,325700
2000-01-24,20.5,20.56,20.0,20.0,6.48,226200
2000-01-25,20.0,20.12,19.81,20.06,6.5,257700
2000-01-26,20.0,20.0,19.62,19.81,6.42,272900
2000-01-27,19.75,19.81,19.5,19.62,6.36,227100
2000-01-28,19.69,19.75,19.5,19.69,6.38,169000
2000-01-31,19.81,20.06,19.62,19.81,6.42,183000
2000-02-01,19.81,20.06,19.81,20.0,6.48,150100
2000-02-02,20.19,20.38,20.0,20.06,6.5,263100
2000-02-03,19.94,20.38,19.94,20.25,6.57,116700
2000-02-04,20.06,20.19,20.0,20.12,6.52,113500
2000-02-07,19.88,20.25,19.88,20.12,6.52,248900
2000-02-08,20.19,20.25,20.12,20.12,6.52,208100
2000-02-09,19.94,20.0,19.69,19.75,6.53,294600
2000-02-10,19.5,19.69,19.5,19.56,6.47,201600
2000-02-11,19.56,20.06,19.5,19.5,6.45,5817900
2000-02-14,18.5,19.38,18.5,19.12,6.32,336100
2000-02-15,19.31,19.38,18.75,18.94,6.26,431100
2000-02-16,19.12,19.5,19.0,19.19,6.34,140700
2000-02-17,19.25,19.81,19.12,19.31,6.39,212000
2000-02-18,19.25,19.31,19.0,19.12,6.32,196800
2000-02-22,18.88,19.19,18.69,18.81,6.22,209400
2000-02-23,18.69,18.94,18.69,18.81,6.22,153300
2000-02-24,18.69,18.88,18.62,18.75,6.2,149200
2000-02-25,18.75,18.75,18.5,18.56,6.14,118500
2000-02-28,18.06,18.62,18.06,18.38,6.08,267400
2000-02-29,18.38,18.44,18.19,18.38,6.08,373900
2000-03-01,18.38,18.62,18.31,18.56,6.14,350500
2000-03-02,18.5,18.62,18.19,18.5,6.12,193200
2000-03-03,18.31,18.56,18.19,18.25,6.03,444000
2000-03-06,18.31,18.44,18.12,18.31,6.05,119300
2000-03-07,18.12,18.25,17.88,18.0,5.95,613400
2000-03-08,18.0,18.31,17.88,17.94,5.93,227500
2000-03-09,17.94,18.12,17.88,18.0,5.95,126900
2000-03-10,18.06,18.12,17.88,18.0,5.95,107200
2000-03-13,17.94,18.0,17.75,17.94,5.93,174400
2000-03-14,18.0,18.12,17.75,17.88,5.91,215400
2000-03-15,17.88,18.0,17.75,18.0,5.95,317600
2000-03-16,18.0,18.5,17.88,18.25,6.03,537900
2000-03-17,18.38,18.5,17.94,17.94,5.93,446800
2000-03-20,18.06,18.5,18.0,18.19,6.01,232100
2000-03-21,18.06,18.62,18.0,18.44,6.1,504700
2000-03-22,18.56,18.75,18.31,18.5,6.12,370600
2000-03-23,18.5,18.69,18.25,18.56,6.14,259200
2000-03-24,18.38,18.62,18.31,18.56,6.14,280800
2000-03-27,18.44,18.69,18.12,18.25,6.03,393400
2000-03-28,18.25,18.5,18.06,18.12,5.99,384900
2000-03-29,18.38,18.5,18.12,18.44,6.1,261100
