Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,43.91,43.96,43.47,43.69,23.59,382000
2000-01-03,43.58,43.64,41.89,42.06,22.71,1302000
2000-01-04,42.0,43.15,41.62,42.71,23.06,1042900
2000-01-05,43.15,45.05,42.71,44.45,24.0,2237700
2000-01-06,45.11,45.87,44.89,45.65,24.65,1354700
2000-01-07,46.09,46.96,45.98,46.85,25.3,1819700
2000-01-10,46.91,46.96,46.58,46.8,25.27,1245500
2000-01-11,46.2,46.69,45.87,46.2,24.94,1090100
2000-01-12,46.14,47.07,46.14,46.74,25.24,861100
2000-01-13,46.8,47.56,46.47,47.12,25.44,989200
2000-01-14,47.12,47.72,46.85,47.45,25.62,1318500
2000-01-18,46.85,47.07,46.25,46.69,25.21,786000
2000-01-19,47.07,48.0,46.8,48.0,25.92,1162900
2000-01-20,48.21,48.7,47.83,48.65,26.27,1159900
2000-01-21,48.92,49.68,48.81,49.25,26.59,1229500
2000-01-24,49.47,50.23,49.19,49.9,26.94,1261100
2000-01-25,50.12,50.5,49.08,49.74,26.86,1289800
2000-01-26,49.79,50.5,49.58,49.96,26.97,916500
2000-01-27,49.9,50.45,49.41,50.45,27.24,1111200
2000-01-28,50.23,50.23,48.98,49.68,26.83,894300
2000-01-31,49.68,50.5,49.25,50.34,27.18,908800
2000-02-01,50.23,50.45,49.52,50.17,27.09,671300
2000-02-02,50.17,50.23,49.08,49.3,26.62,980800
2000-02-03,49.3,50.01,48.43,48.92,26.42,1958200
2000-02-04,48.38,48.49,46.74,46.91,25.33,1138100
2000-02-07,46.85,47.83,45.98,46.25,24.97,930800
2000-02-08,46.36,47.78,46.31,46.69,25.21,1698900
2000-02-09,45.43,46.09,45.16,45.27,24.74,1668500
2000-02-10,45.38,45.6,44.45,44.56,24.35,1515800
2000-02-11,44.89,45.11,44.24,44.62,24.38,928800
2000-02-14,45.27,45.27,44.56,44.89,24.53,945700
2000-02-15,44.67,45.16,44.18,44.29,24.2,789900
2000-02-16,44.4,44.56,44.02,44.56,24.35,812200
2000-02-17,45.11,45.22,44.56,45.0,24.59,1273400
2000-02-18,45.38,45.38,44.78,45.05,24.62,1643000
2000-02-22,44.89,45.16,44.07,44.13,24.11,1388000
2000-02-23,43.8,43.8,42.87,43.36,23.69,1418800
2000-02-24,43.15,43.15,41.62,42.17,23.04,1137100
2000-02-25,42.06,42.38,41.08,41.29,22.56,973300
2000-02-28,41.35,42.6,41.13,42.22,23.07,1027200
2000-02-29,42.28,42.49,41.89,42.28,23.1,908300
2000-03-01,42.82,42.93,41.19,41.89,22.89,1103900
2000-03-02,41.68,42.33,41.62,41.95,22.92,612900
2000-03-03,42.11,43.31,42.11,43.04,23.52,830000
2000-03-06,42.82,43.31,41.68,42.82,23.4,1789400
2000-03-07,42.82,43.75,41.46,41.78,22.83,1795100
2000-03-08,41.84,42.77,41.4,41.51,22.68,1297500
2000-03-09,41.51,41.78,40.64,41.35,22.59,1198700
2000-03-10,40.97,41.08,39.88,40.42,22.09,1536100
2000-03-13,39.99,40.97,39.99,40.53,22.15,1614000
2000-03-14,40.75,41.19,40.59,40.86,22.32,1675500
2000-03-15,40.86,43.15,40.86,43.09,23.55,1580700
2000-03-16,43.31,46.2,43.31,45.05,24.62,1431300
2000-03-17,45.11,45.16,43.64,43.8,23.93,1607000
2000-03-20,43.47,43.58,42.71,42.93,23.46,907400
2000-03-21,42.93,43.31,42.06,42.6,23.28,1396400
2000-03-22,42.06,42.49,41.35,42.22,23.07,1348900
2000-03-23,42.28,43.96,42.06,43.15,23.57,4335500
2000-03-24,43.47,44.02,42.93,43.58,23.81,1478100
2000-03-27,43.36,44.94,43.36,44.4,24.26,1309400
2000-03-28,44.45,44.62,43.69,43.69,23.87,1355400
2000-03-29,43.91,45.33,43.91,44.94,24.56,1762700
2000-03-30,44.89,45.27,44.78,45.11,24.65,2256600
2000-03-31,45.0,46.14,44.73,45.76,25.0,1435700
2000-04-03,45.76,47.07,45.71,47.07,25.72,1485800
2000-04-04,47.07,49.47,46.96,49.03,26.79,2905000
2000-04-05,49.03,49.41,46.74,46.96,25.66,1341400
2000-04-06,47.07,47.34,45.87,46.03,25.15,1296900
2000-04-07,45.82,46.52,45.22,45.6,24.91,1168000
2000-04-10,45.38,47.23,45.33,47.12,25.75,1131800
2000-04-11,47.23,48.43,47.23,48.1,26.28,1491100
2000-04-12,48.16,49.63,48.1,49.19,26.88,1879300
2000-04-13,48.98,50.45,48.65,50.01,27.33,1965200
2000-04-14,49.9,50.61,47.45,47.78,26.1,1691300
2000-04-17,47.83,49.14,47.56,48.43,26.46,1410700
2000-04-18,48.38,48.87,46.74,47.18,25.78,1269200
2000-04-19,47.4,47.89,46.36,47.89,26.16,1157100
2000-04-20,48.38,49.25,48.21,49.25,26.91,1645800
2000-04-24,49.25,50.56,49.25,50.34,27.5,1120200
2000-04-25,50.34,51.86,50.12,51.05,27.89,1398100
2000-04-26,51.59,52.46,51.21,51.92,28.37,2019900
2000-04-27,51.65,51.7,50.66,51.21,27.98,1349300
2000-04-28,50.77,50.77,49.47,50.12,27.38,1582800
2000-05-01,50.12,51.32,49.03,50.99,27.86,1835000
2000-05-02,50.99,51.26,49.25,49.47,27.03,1306100
2000-05-03,49.36,50.07,49.03,49.58,27.09,682100
2000-05-04,49.47,51.37,48.81,50.5,27.59,1101900
2000-05-05,50.56,50.77,49.3,50.39,27.53,911600
