Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.0,17.09,16.44,16.44,13.66,340600.0
2000-01-03,16.56,16.75,16.03,16.19,13.45,717600.0
2000-01-04,16.34,16.34,15.69,15.84,13.16,1480200.0
2000-01-05,15.94,16.12,15.75,16.12,13.4,854000.0
2000-01-06,15.94,17.25,15.88,16.94,14.07,521000.0
2000-01-07,17.0,17.62,16.88,17.03,14.15,545200.0
2000-01-10,17.06,17.12,16.47,16.81,13.97,381800.0
2000-01-11,16.81,17.09,16.69,17.06,14.18,540400.0
2000-01-12,17.0,17.0,16.75,16.81,13.97,370800.0
2000-01-13,16.91,17.28,16.88,17.19,14.28,807400.0
2000-01-14,17.19,17.38,16.75,17.28,14.36,714400.0
2000-01-18,17.28,18.69,17.28,18.69,15.53,964600.0
2000-01-19,18.69,19.25,18.69,19.19,15.94,1093800.0
2000-01-20,19.06,19.88,19.06,19.47,16.18,1191400.0
2000-01-21,19.75,20.88,19.75,20.66,17.16,1187200.0
2000-01-24,20.75,21.03,19.62,20.12,16.72,2022000.0
2000-01-25,20.0,20.03,19.56,19.62,16.31,595600.0
2000-01-26,19.66,20.16,19.12,19.12,15.89,668200.0
2000-01-27,19.19,19.75,18.47,18.78,15.6,737400.0
2000-01-28,18.75,19.06,18.5,18.78,15.6,587200.0
2000-01-31,18.75,18.75,17.56,17.56,14.59,954000.0
2000-02-01,17.56,18.22,17.56,18.03,14.98,934400.0
2000-02-02,18.16,18.41,17.81,17.81,14.8,556000.0
2000-02-03,18.12,18.16,17.81,17.97,14.93,409800.0
2000-02-04,17.97,18.38,17.81,18.0,14.96,466400.0
2000-02-07,17.88,18.5,17.88,18.0,14.96,535600.0
2000-02-08,18.0,18.06,17.56,18.0,14.96,266600.0
2000-02-09,18.0,18.31,17.62,17.66,14.67,1006800.0
2000-02-10,17.75,18.97,17.75,18.56,15.42,621400.0
2000-02-11,18.75,18.75,18.0,18.0,14.96,376800.0
2000-02-14,18.19,18.81,18.0,18.59,15.45,560000.0
2000-02-15,18.59,19.19,18.56,19.03,15.81,953200.0
2000-02-16,18.84,19.47,18.81,19.19,15.94,385800.0
2000-02-17,19.5,19.5,19.12,19.31,16.05,639800.0
2000-02-18,19.19,19.44,18.97,19.06,15.84,905000.0
2000-02-22,19.22,19.22,18.53,19.16,15.92,669200.0
2000-02-23,19.03,19.06,18.0,18.44,15.32,377800.0
2000-02-24,18.31,18.56,17.88,18.22,15.14,737000.0
2000-02-25,18.44,18.44,17.88,17.97,14.93,896800.0
2000-02-28,17.62,18.44,17.62,18.34,15.24,455000.0
2000-02-29,18.31,18.75,18.06,18.62,15.47,801600.0
2000-03-01,18.75,19.5,18.62,19.44,16.15,630600.0
2000-03-02,19.88,20.62,19.81,20.5,17.03,1324600.0
2000-03-03,20.44,20.47,19.56,19.97,16.59,783600.0
2000-03-06,20.06,20.38,19.62,20.31,16.88,310800.0
2000-03-07,20.19,22.62,20.12,22.62,18.8,1388200.0
2000-03-08,22.31,22.56,21.44,22.12,18.38,1530000.0
2000-03-09,22.0,22.19,21.38,22.16,18.41,574400.0
2000-03-10,22.09,22.41,21.62,22.03,18.3,966800.0
2000-03-13,21.38,22.16,21.25,22.12,18.4,403000.0
2000-03-14,22.0,22.41,21.78,22.19,18.46,785000.0
2000-03-15,22.06,22.19,21.28,21.47,17.86,630600.0
2000-03-16,21.25,22.12,21.19,22.03,18.33,549200.0
2000-03-17,21.5,21.94,21.28,21.69,18.04,441800.0
2000-03-20,21.5,21.5,20.88,21.12,17.57,258200.0
2000-03-21,21.0,21.88,20.94,21.59,17.96,397200.0
2000-03-22,21.5,21.69,21.34,21.47,17.86,543000.0
2000-03-23,21.53,21.53,21.03,21.31,17.73,336200.0
2000-03-24,21.25,21.72,20.81,21.25,17.68,368000.0
2000-03-27,21.16,21.47,20.75,20.91,17.39,473200.0
2000-03-28,20.78,22.0,20.75,21.25,17.68,623000.0
2000-03-29,21.38,22.5,21.38,22.31,18.56,989400.0
2000-03-30,22.41,23.75,22.41,23.62,19.65,2524400.0
2000-03-31,23.88,24.28,23.38,24.28,20.2,1070200.0
2000-04-03,24.19,24.91,24.12,24.53,20.4,824800.0
2000-04-04,24.5,24.5,22.88,23.75,19.75,1084400.0
2000-04-05,23.62,23.88,23.36,23.62,19.65,590400.0
2000-04-06,23.5,24.12,23.06,24.12,20.07,843400.0
2000-04-07,24.31,24.34,23.53,23.69,19.7,516600.0
2000-04-10,23.56,23.56,22.69,22.81,18.97,864200.0
2000-04-11,23.12,23.38,22.78,22.84,19.0,1254600.0
2000-04-12,22.84,23.44,22.81,23.12,19.23,971600.0
2000-04-13,23.31,24.0,23.25,23.88,19.86,628000.0
2000-04-14,23.69,23.84,23.12,23.44,19.49,690000.0
2000-04-17,23.06,23.12,21.94,22.16,18.43,903600.0
2000-04-18,22.09,22.34,21.88,22.22,18.48,620800.0
2000-04-19,22.25,23.03,22.19,22.97,19.1,1632600.0
2000-04-20,22.88,22.88,22.44,22.75,18.92,976800.0
2000-04-24,22.72,22.72,22.34,22.53,18.74,483000.0
2000-04-25,22.66,23.16,22.62,23.12,19.23,756200.0
2000-04-26,23.12,23.5,23.03,23.44,19.49,611400.0
2000-04-27,23.44,24.16,23.12,23.91,19.88,578600.0
2000-04-28,23.81,24.12,23.25,24.06,20.01,862000.0
2000-05-01,23.88,24.41,23.75,23.94,19.91,1408000.0
2000-05-02,23.81,24.0,23.56,23.56,19.6,751000.0
2000-05-03,23.81,23.88,23.19,23.31,19.39,581200.0
2000-05-04,23.12,24.81,23.12,24.5,20.38,1821000.0
2000-05-05,24.44,25.0,24.25,24.84,20.66,1309400.0
2000-05-08,24.97,26.12,24.53,25.47,21.18,1103600.0
2000-05-09,25.47,25.72,24.75,25.06,20.85,588000.0
2000-05-10,24.75,24.88,24.44,24.53,20.4,570200.0
2000-05-11,25.0,25.81,25.0,25.75,21.42,1174400.0
2000-05-12,25.75,26.62,25.44,26.34,21.91,1714400.0
2000-05-15,26.38,28.25,26.38,28.12,23.39,1903800.0
2000-05-16,28.12,28.12,26.88,27.94,23.24,1786200.0
2000-05-17,27.75,28.97,27.5,28.5,23.71,884400.0
2000-05-18,28.5,29.5,28.5,29.25,24.33,1007000.0
2000-05-19,29.25,29.47,28.88,28.94,24.07,590200.0
2000-05-22,28.88,29.25,28.69,28.94,24.07,761000.0
2000-05-23,28.94,29.19,28.69,28.91,24.04,1124200.0
2000-05-24,29.0,29.75,28.69,29.75,24.75,1297200.0
2000-05-25,29.25,29.34,28.56,29.34,24.41,1301600.0
2000-05-26,28.75,28.75,27.5,27.81,23.13,4393200.0
2000-05-30,28.25,28.5,27.88,28.31,23.55,2313400.0
2000-05-31,28.44,30.19,28.25,29.91,24.88,2285000.0
2000-06-01,29.94,30.25,29.69,30.0,24.95,1521800.0
2000-06-02,29.81,29.88,29.19,29.31,24.38,1136200.0
2000-06-05,29.31,29.56,28.62,28.78,23.94,839000.0
2000-06-06,28.75,29.31,28.69,29.06,24.17,1085200.0
2000-06-07,29.12,29.62,28.72,29.25,24.33,1379400.0
2000-06-08,29.12,29.81,28.81,29.5,24.54,954000.0
2000-06-09,29.69,29.69,29.12,29.31,24.38,747600.0
2000-06-12,29.25,30.03,29.19,29.59,24.62,962000.0
2000-06-13,29.62,30.0,29.5,29.88,24.87,532200.0
2000-06-14,29.97,30.47,29.91,30.06,25.03,1175400.0
2000-06-15,30.16,30.25,29.5,29.75,24.77,1360000.0
2000-06-16,29.84,30.16,29.75,30.0,24.97,729800.0
2000-06-19,29.94,29.94,29.31,29.62,24.66,1115000.0
2000-06-20,29.5,29.5,29.0,29.16,24.27,1373800.0
2000-06-21,29.28,29.56,28.56,28.78,23.96,5656400.0
2000-06-22,29.0,29.25,28.84,29.12,24.25,1407600.0
2000-06-23,29.31,29.5,29.19,29.34,24.43,1882200.0
2000-06-26,29.47,29.47,28.12,28.56,23.78,1146600.0
2000-06-27,28.53,28.53,27.62,28.16,23.44,820200.0
2000-06-28,28.19,28.19,27.38,27.56,22.95,1445400.0
2000-06-29,27.53,27.75,27.41,27.72,23.08,1664200.0
2000-06-30,27.75,28.09,27.16,28.0,23.31,2057200.0
2000-07-03,27.88,27.88,27.59,27.81,23.15,338800.0
2000-07-05,27.5,27.5,24.06,24.09,20.06,2613600.0
2000-07-06,24.5,25.25,24.38,24.88,20.71,3669400.0
2000-07-07,24.56,25.06,24.31,24.81,20.66,806400.0
2000-07-10,24.69,24.91,24.0,24.06,20.03,1059600.0
2000-07-11,24.06,26.47,24.0,26.16,21.77,1590200.0
2000-07-12,26.16,26.5,25.56,25.88,21.54,907000.0
2000-07-13,25.94,25.94,24.06,24.56,20.45,1750200.0
2000-07-14,24.72,24.72,24.25,24.66,20.53,442600.0
2000-07-17,24.94,25.0,24.22,24.22,20.16,416200.0
2000-07-18,24.12,24.69,23.75,23.81,19.82,1188400.0
2000-07-19,24.12,24.47,23.06,23.12,19.25,1416200.0
2000-07-20,23.25,24.0,23.25,23.53,19.59,1009600.0
2000-07-21,23.31,23.38,22.44,22.94,19.1,1528400.0
2000-07-24,22.5,22.75,21.75,22.0,18.31,2908400.0
2000-07-25,22.25,22.25,21.28,21.5,17.9,2362800.0
2000-07-26,21.62,22.12,21.5,22.09,18.39,1136000.0
2000-07-27,22.5,22.84,22.44,22.53,18.76,1754200.0
2000-07-28,22.75,22.84,22.44,22.69,18.89,841200.0
2000-07-31,22.88,23.28,22.75,22.88,19.04,998800.0
2000-08-01,23.03,23.03,22.56,23.0,19.15,1080400.0
2000-08-02,23.22,24.75,23.22,24.59,20.47,1539400.0
2000-08-03,25.06,25.44,24.06,24.08,20.04,1636600.0
2000-08-04,24.06,24.72,24.06,24.62,20.5,625600.0
2000-08-07,24.88,25.88,24.84,25.7,21.39,678000.0
2000-08-08,25.97,26.12,25.44,25.59,21.31,736200.0
2000-08-09,25.88,26.38,25.88,26.09,21.72,1388200.0
2000-08-10,26.06,26.22,25.94,25.97,21.62,1376200.0
2000-08-11,26.09,26.44,26.09,26.38,21.96,1000000.0
2000-08-14,26.38,27.62,26.38,27.5,22.89,1064400.0
2000-08-15,27.5,27.78,27.09,27.09,22.56,1160000.0
2000-08-16,27.09,27.94,27.06,27.62,23.0,919200.0
2000-08-17,27.75,28.88,27.75,28.47,23.7,1707400.0
2000-08-18,29.25,29.47,27.84,28.34,23.6,898800.0
2000-08-21,28.22,28.75,27.88,28.12,23.41,869400.0
2000-08-22,27.88,28.62,27.88,28.16,23.44,681000.0
2000-08-23,28.5,31.38,28.25,30.99,25.8,1923400.0
2000-08-24,30.5,30.5,29.12,29.69,24.71,3655400.0
2000-08-25,29.75,30.12,29.56,29.84,24.84,2165600.0
2000-08-28,30.09,30.47,29.5,30.16,25.1,1201400.0
2000-08-29,30.47,31.0,30.19,30.38,25.29,31008800.0
2000-08-30,30.19,30.5,29.88,30.47,25.36,3368000.0
2000-08-31,30.06,30.22,29.12,29.29,24.38,1835600.0
2000-09-01,29.75,30.38,29.75,29.94,24.92,1722000.0
2000-09-05,29.94,29.97,29.41,29.81,24.82,969200.0
2000-09-06,29.88,30.34,29.81,30.34,25.26,2468400.0
2000-09-07,30.38,30.38,29.72,30.03,25.0,1545000.0
2000-09-08,30.0,30.0,29.16,29.28,24.38,1164400.0
2000-09-11,29.16,30.19,28.88,30.03,25.0,1606200.0
2000-09-12,29.62,30.25,29.44,29.62,24.66,1350400.0
2000-09-13,29.59,29.62,28.5,29.09,24.24,1738600.0
2000-09-14,28.97,29.09,28.75,29.06,24.21,947600.0
2000-09-15,29.34,31.12,29.31,31.0,25.83,3739800.0
2000-09-18,31.19,31.28,30.25,30.51,25.42,1661200.0
2000-09-19,30.72,30.72,29.44,29.47,24.55,1731000.0
2000-09-20,29.69,30.22,29.47,29.75,24.79,1663200.0
2000-09-21,29.75,29.75,28.44,28.75,23.95,2652800.0
2000-09-22,28.69,28.88,28.03,28.22,23.51,1209200.0
2000-09-25,27.75,28.91,27.42,28.88,24.06,2437200.0
2000-09-26,29.75,29.75,29.2,29.5,24.58,1881600.0
2000-09-27,29.5,30.05,29.5,30.05,25.04,1839600.0
2000-09-28,30.1,30.27,29.73,29.95,24.95,1056200.0
2000-09-29,30.25,30.4,30.0,30.08,25.06,1702000.0
2000-10-02,30.08,30.5,30.08,30.35,25.29,1363400.0
2000-10-03,30.33,30.5,30.11,30.43,25.36,1130200.0
2000-10-04,30.05,30.06,29.5,29.5,24.58,1272400.0
2000-10-05,29.33,29.37,28.2,28.25,23.54,1943000.0
2000-10-06,28.25,29.2,27.93,28.25,23.53,1498400.0
2000-10-09,28.5,28.9,28.5,28.88,24.06,1011800.0
2000-10-10,29.3,30.56,29.25,30.23,25.18,1860200.0
2000-10-11,30.75,32.0,30.75,31.45,26.2,2204000.0
2000-10-12,31.62,32.37,31.59,32.0,26.66,2784400.0
2000-10-13,32.0,32.0,30.7,31.03,25.86,1801400.0
2000-10-16,30.62,30.83,30.12,30.25,25.2,1100400.0
2000-10-17,30.25,31.08,30.25,30.55,25.45,1482200.0
2000-10-18,30.75,30.91,30.5,30.5,25.41,1295000.0
2000-10-19,30.25,30.6,29.6,29.73,24.77,1094800.0
2000-10-20,29.5,30.12,29.4,30.05,25.04,1286000.0
2000-10-23,30.0,30.03,29.31,29.43,24.52,725000.0
2000-10-24,29.44,29.44,27.95,28.5,23.75,1851000.0
2000-10-25,28.75,28.81,26.23,26.27,21.89,2285400.0
2000-10-26,25.5,27.0,25.5,26.62,22.18,1736200.0
2000-10-27,26.75,26.75,24.72,25.2,21.0,2225600.0
2000-10-30,24.5,25.15,24.25,24.8,20.66,2013000.0
