Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,34.94,34.94,34.5,34.5,13.53,105000
2000-01-03,34.38,34.44,33.75,33.75,13.23,581900
2000-01-04,33.56,34.31,33.56,34.19,13.4,602400
2000-01-05,34.38,35.88,34.38,35.75,14.02,817800
2000-01-06,35.25,35.88,35.06,35.81,14.04,680900
2000-01-07,35.81,36.19,35.62,36.06,14.14,391100
2000-01-10,36.12,36.12,35.0,35.12,13.77,481700
2000-01-11,35.12,35.25,34.31,34.44,13.5,544600
2000-01-12,34.44,35.0,34.38,34.56,13.55,749000
2000-01-13,34.88,34.88,34.0,34.25,13.43,452600
2000-01-14,34.12,34.38,33.56,33.69,13.21,646700
2000-01-18,33.25,33.44,32.5,32.62,12.79,740500
2000-01-19,32.88,33.5,32.81,33.25,13.04,453700
2000-01-20,33.25,33.38,32.81,32.88,12.89,526300
2000-01-21,33.12,34.25,33.0,33.56,13.16,695400
2000-01-24,34.38,34.5,34.0,34.0,13.33,643500
2000-01-25,34.12,34.25,32.88,33.0,12.94,492000
2000-01-26,33.25,34.0,33.0,34.0,13.33,341600
2000-01-27,34.0,34.25,32.81,33.31,13.06,469300
2000-01-28,33.31,33.81,32.5,32.56,12.77,631600
2000-01-31,32.62,32.88,32.31,32.69,12.82,555800
2000-02-01,32.75,33.06,32.5,32.88,12.89,626500
2000-02-02,32.88,33.0,32.31,32.5,12.74,394000
2000-02-03,32.56,33.12,32.5,32.81,12.86,1015300
2000-02-04,32.81,32.88,31.62,32.25,12.64,864300
2000-02-07,32.31,32.38,31.56,31.56,12.37,467400
2000-02-08,31.38,31.62,31.19,31.5,12.35,578900
2000-02-09,31.44,31.69,31.31,31.44,12.33,845300
2000-02-10,31.44,32.06,31.44,31.81,12.47,690400
2000-02-11,31.94,32.12,31.88,32.12,12.6,1652100
2000-02-14,31.75,31.88,31.06,31.25,12.46,1234200
2000-02-15,31.25,31.38,31.0,31.06,12.39,389600
2000-02-16,30.94,30.94,30.44,30.81,12.29,349700
2000-02-17,30.81,30.81,29.12,29.25,11.67,1465300
2000-02-18,29.25,29.25,28.0,28.12,11.22,1251200
2000-02-22,28.25,28.25,27.81,27.88,11.12,961700
2000-02-23,27.94,27.94,27.5,27.5,10.97,1122900
2000-02-24,27.5,27.56,26.31,26.75,10.67,1128600
2000-02-25,26.75,27.25,26.19,26.19,10.44,854600
2000-02-28,26.75,27.81,26.5,27.38,10.92,1126000
2000-02-29,27.31,27.81,27.25,27.56,10.99,609200
2000-03-01,27.75,27.88,26.81,27.12,10.82,723200
2000-03-02,27.0,27.44,27.0,27.25,10.87,551900
2000-03-03,27.5,27.88,27.25,27.38,10.92,415500
2000-03-06,27.38,27.62,26.94,27.44,10.94,1350400
2000-03-07,27.5,27.94,27.44,27.62,11.02,628000
2000-03-08,27.5,27.94,27.38,27.5,10.97,864200
2000-03-09,27.62,27.69,27.25,27.5,10.97,404300
2000-03-10,27.5,27.56,27.38,27.44,10.94,395000
2000-03-13,27.25,27.69,27.25,27.69,11.04,512900
2000-03-14,27.5,27.81,27.38,27.62,11.02,473700
2000-03-15,27.5,29.12,27.5,29.12,11.62,790100
2000-03-16,31.0,31.25,30.06,31.0,12.36,1198300
2000-03-17,31.0,31.0,30.56,30.69,12.24,798100
2000-03-20,30.5,30.94,30.44,30.69,12.24,535200
2000-03-21,30.75,31.06,30.06,30.5,12.16,575300
2000-03-22,30.25,30.25,29.19,29.38,11.72,300100
2000-03-23,29.44,30.12,29.31,30.12,12.01,397300
2000-03-24,30.06,30.12,29.0,29.25,11.67,1796000
2000-03-27,28.75,29.31,28.75,29.06,11.59,636100
2000-03-28,29.0,29.12,28.44,28.62,11.42,761300
2000-03-29,28.75,29.25,28.69,29.0,11.57,603600
2000-03-30,29.12,29.56,28.81,29.12,11.62,491900
2000-03-31,29.38,29.38,28.75,29.12,11.62,553200
2000-04-03,29.12,29.44,28.88,29.0,11.57,798300
2000-04-04,29.06,30.19,29.0,30.19,12.04,1021600
2000-04-05,30.0,30.69,29.56,29.81,11.89,565800
2000-04-06,30.0,30.19,29.75,29.81,11.89,373800
2000-04-07,29.81,29.94,29.5,29.69,11.84,375000
2000-04-10,29.69,30.25,29.69,29.94,11.94,859600
2000-04-11,30.12,30.81,30.0,30.31,12.09,2577100
2000-04-12,30.56,31.31,30.5,30.62,12.21,452300
2000-04-13,30.62,32.38,30.62,31.94,12.74,409700
2000-04-14,31.75,32.19,31.19,31.31,12.49,615700
2000-04-17,31.12,32.12,30.81,31.94,12.74,750800
2000-04-18,31.88,32.44,31.81,32.25,12.86,672000
2000-04-19,32.19,32.75,31.88,32.5,12.96,590600
2000-04-20,32.5,33.06,32.38,33.06,13.19,448900
2000-04-24,33.12,34.75,33.12,34.75,13.86,526900
2000-04-25,34.75,35.94,34.31,35.62,14.21,642000
2000-04-26,35.69,36.81,35.56,36.69,14.63,700600
2000-04-27,36.31,36.75,36.12,36.44,14.53,813300
2000-04-28,36.44,36.62,35.0,35.19,14.03,856600
2000-05-01,35.06,35.12,34.0,34.5,13.76,836600
2000-05-02,34.38,34.88,33.62,33.69,13.44,310100
2000-05-03,33.62,33.69,33.25,33.62,13.41,312700
2000-05-04,33.44,34.88,32.94,34.31,13.69,622500
2000-05-05,34.12,34.12,33.5,34.0,13.56,174200
2000-05-08,33.88,35.69,33.69,34.5,13.76,420900
2000-05-09,34.25,34.44,33.75,34.25,13.66,538400
2000-05-10,34.25,34.75,34.06,34.62,13.81,683100
2000-05-11,34.56,35.19,34.38,35.06,13.98,385600
2000-05-12,34.94,35.06,34.44,34.56,13.78,1822500
2000-05-15,34.0,34.94,34.0,34.5,13.98,338100
2000-05-16,34.25,34.31,33.12,33.62,13.63,721400
2000-05-17,33.5,33.5,32.19,32.5,13.17,439400
2000-05-18,32.75,33.5,32.56,32.75,13.27,394800
2000-05-19,32.62,33.62,32.62,33.38,13.52,1057200
2000-05-22,33.38,34.06,33.31,33.81,13.7,565300
2000-05-23,33.81,33.81,32.81,33.25,13.47,415100
2000-05-24,33.5,34.06,33.0,33.31,13.5,439900
2000-05-25,33.06,33.06,32.0,32.25,13.07,828100
2000-05-26,32.25,33.0,32.19,32.5,13.17,437900
2000-05-30,32.62,32.62,31.62,32.12,13.02,335700
2000-05-31,32.12,32.94,32.12,32.62,13.22,393200
2000-06-01,32.69,32.81,32.12,32.62,13.22,320300
2000-06-02,32.56,32.62,32.0,32.25,13.07,383900
2000-06-05,32.06,32.12,31.25,31.38,12.71,476500
2000-06-06,31.5,32.25,31.25,31.81,12.89,486600
2000-06-07,31.94,32.25,31.81,32.0,12.97,489900
2000-06-08,32.0,32.94,31.38,32.12,13.02,732800
2000-06-09,32.12,32.81,32.12,32.44,13.14,368000
2000-06-12,32.62,33.06,32.56,32.97,13.36,509700
2000-06-13,33.0,33.94,32.75,33.12,13.42,481900
2000-06-14,33.06,33.06,31.88,31.94,12.94,459700
2000-06-15,32.06,33.31,32.06,33.12,13.42,744500
2000-06-16,33.0,33.5,32.12,32.44,13.14,951000
2000-06-19,32.44,32.88,32.25,32.38,13.12,460200
2000-06-20,32.5,32.5,31.81,31.81,12.89,655800
2000-06-21,31.88,32.38,31.88,32.0,12.97,643900
2000-06-22,32.06,32.12,31.25,31.56,12.79,820500
2000-06-23,31.56,31.88,31.44,31.56,12.79,441500
2000-06-26,31.81,32.0,31.44,31.69,12.84,515400
2000-06-27,31.5,31.62,30.31,30.56,12.38,491400
2000-06-28,30.44,31.75,30.0,31.28,12.68,811100
2000-06-29,31.25,32.38,30.75,30.75,12.46,596700
2000-06-30,30.75,31.75,29.61,29.62,12.0,971300
2000-07-03,29.81,31.0,29.81,30.31,12.28,330700
2000-07-05,30.75,31.38,30.69,30.88,12.51,1064500
2000-07-06,31.06,31.44,31.0,31.38,12.71,459700
2000-07-07,31.12,31.75,31.12,31.62,12.82,531900
2000-07-10,31.75,32.44,31.75,32.19,13.04,329200
2000-07-11,32.0,32.19,31.69,32.19,13.04,313400
2000-07-12,32.12,32.19,31.62,31.75,12.87,448200
2000-07-13,31.75,32.06,31.25,32.06,12.99,169700
2000-07-14,31.94,32.44,31.38,31.56,12.79,318500
2000-07-17,31.38,31.94,31.34,31.62,12.82,265500
2000-07-18,31.56,32.12,31.5,31.75,12.87,477400
2000-07-19,31.81,32.5,31.81,32.38,13.12,753700
2000-07-20,32.44,32.44,31.56,31.88,12.92,481000
2000-07-21,31.75,31.94,31.5,31.56,12.79,479200
2000-07-24,31.56,31.56,30.56,31.0,12.56,399000
2000-07-25,31.0,31.69,30.88,31.12,12.61,257600
2000-07-26,31.0,31.12,30.12,30.19,12.23,1068300
2000-07-27,30.38,30.75,30.31,30.5,12.36,346800
2000-07-28,30.5,30.62,30.25,30.38,12.31,188600
2000-07-31,30.81,30.81,30.19,30.31,12.28,407200
2000-08-01,30.31,31.0,30.31,30.88,12.51,426000
2000-08-02,30.88,31.38,30.81,30.94,12.54,782200
2000-08-03,31.19,31.94,31.19,31.77,12.87,659900
2000-08-04,31.56,32.38,31.0,32.38,13.12,988300
2000-08-07,32.25,33.08,32.06,33.06,13.4,799300
2000-08-08,33.88,33.88,33.06,33.62,13.63,721100
2000-08-09,33.44,33.62,33.25,33.42,13.54,754400
2000-08-10,33.38,33.5,33.12,33.2,13.45,712900
2000-08-11,33.25,33.88,33.19,33.7,13.66,2130700
2000-08-14,33.12,33.62,32.69,33.31,13.72,1090600
2000-08-15,33.06,33.5,32.75,33.0,13.59,460100
2000-08-16,32.5,32.69,32.25,32.27,13.29,1014300
2000-08-17,32.25,32.25,31.75,32.0,13.18,768100
2000-08-18,31.94,32.5,31.62,32.31,13.31,870600
2000-08-21,32.25,32.25,31.5,31.81,13.1,400700
2000-08-22,31.69,31.81,31.31,31.62,13.03,362600
2000-08-23,31.44,32.19,31.31,32.06,13.21,366000
2000-08-24,31.88,31.94,31.25,31.25,12.87,352000
2000-08-25,31.25,31.25,30.12,30.44,12.54,427700
2000-08-28,30.5,31.38,30.44,31.0,12.77,460900
2000-08-29,31.12,31.19,30.56,30.56,12.59,360700
2000-08-30,30.38,31.5,30.38,31.5,12.97,1300300
2000-08-31,31.31,31.75,31.25,31.31,12.9,581900
2000-09-01,31.38,31.44,31.19,31.2,12.85,398100
2000-09-05,31.19,32.06,31.19,31.94,13.15,323200
2000-09-06,31.94,32.88,31.94,32.75,13.49,575000
