Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.53,25.53,25.12,25.22,20.2,374800
2000-01-03,25.22,25.62,24.28,24.78,19.85,1619000
2000-01-04,24.62,24.62,24.25,24.34,19.5,966000
2000-01-05,24.06,24.31,23.25,23.52,18.84,952200
2000-01-06,23.5,24.28,23.47,24.22,19.4,925400
2000-01-07,24.34,25.09,24.25,25.06,20.08,763800
2000-01-10,25.62,25.94,25.31,25.88,20.73,757200
2000-01-11,25.5,25.59,24.56,25.22,20.2,1092200
2000-01-12,25.22,25.56,24.69,25.09,20.1,1190400
2000-01-13,25.09,25.47,24.88,25.19,20.18,866800
2000-01-14,25.19,26.34,25.19,26.34,21.1,1422600
2000-01-18,26.0,27.0,25.81,26.59,21.3,1564400
2000-01-19,26.59,27.0,26.06,26.84,21.5,893000
2000-01-20,26.88,27.06,26.53,26.84,21.5,1044200
2000-01-21,26.72,27.75,26.44,26.75,21.43,1159600
2000-01-24,27.06,27.94,26.78,27.0,21.63,1682600
2000-01-25,27.12,27.69,26.59,27.06,21.68,796400
2000-01-26,27.0,27.81,26.75,27.62,22.13,953600
2000-01-27,27.5,27.59,25.81,26.59,21.3,1138200
2000-01-28,26.53,26.56,25.72,25.97,20.8,1344200
2000-01-31,25.5,25.97,24.75,25.56,20.48,2393400
2000-02-01,25.88,25.97,25.38,25.88,20.73,1458800
2000-02-02,25.88,26.97,25.34,25.72,20.6,1098200
2000-02-03,25.75,26.56,25.72,25.91,20.75,669600
2000-02-04,25.94,26.09,25.38,25.41,20.35,261200
2000-02-07,25.44,25.44,24.59,25.19,20.18,815400
2000-02-08,25.0,25.03,24.5,25.0,20.03,1382000
2000-02-09,25.5,25.5,24.12,25.22,20.2,913400
2000-02-10,25.0,25.16,24.5,24.94,19.98,1710600
2000-02-11,25.0,25.06,24.53,24.88,19.93,1317600
2000-02-14,24.94,24.94,24.34,24.69,19.78,468200
2000-02-15,24.56,25.16,24.38,24.97,20.0,614800
2000-02-16,25.25,25.69,24.72,24.97,20.0,401800
2000-02-17,25.06,25.72,24.94,25.5,20.43,704800
2000-02-18,25.53,25.69,25.44,25.56,20.48,718200
2000-02-22,25.44,25.81,24.94,25.81,20.68,541000
2000-02-23,25.81,25.81,25.31,25.5,20.43,506600
2000-02-24,25.69,25.69,23.41,24.19,19.38,930800
2000-02-25,23.94,23.94,23.03,23.22,18.6,588800
2000-02-28,23.09,23.5,20.75,22.97,18.4,2444200
2000-02-29,23.12,23.28,21.28,21.69,17.37,1811000
2000-03-01,22.5,22.75,22.12,22.5,18.02,2103400
2000-03-02,22.38,23.0,22.16,22.28,17.85,1237800
2000-03-03,22.56,23.03,22.47,22.88,18.32,783000
2000-03-06,23.0,23.19,22.38,22.53,18.05,991000
2000-03-07,21.31,21.31,19.06,20.62,16.52,3292000
2000-03-08,20.88,21.12,20.0,21.06,16.87,2600600
2000-03-09,21.16,21.56,20.62,21.5,17.22,704600
2000-03-10,22.12,22.12,19.88,20.0,16.02,2179600
2000-03-13,19.75,20.5,19.56,20.12,16.12,1294800
