Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.84,23.84,23.66,23.84,12.64,287000.0
2000-01-03,23.97,24.16,23.19,23.22,12.3,502400.0
2000-01-04,23.22,23.53,22.59,22.66,12.01,412400.0
2000-01-05,22.94,23.88,22.91,23.78,12.6,598600.0
2000-01-06,23.78,25.38,23.75,25.28,13.4,506000.0
2000-01-07,25.28,25.31,24.88,25.22,13.36,830600.0
2000-01-10,25.09,25.09,24.28,24.44,12.95,511000.0
2000-01-11,24.56,24.78,24.12,24.16,12.8,451800.0
2000-01-12,24.19,25.06,24.19,24.94,13.22,450800.0
2000-01-13,24.94,24.94,24.66,24.66,13.07,265200.0
2000-01-14,24.59,24.59,24.22,24.25,12.85,279200.0
2000-01-18,24.28,24.28,23.59,23.66,12.54,475000.0
2000-01-19,23.56,23.59,22.31,22.88,12.12,901600.0
2000-01-20,23.0,23.09,22.03,22.44,11.89,883200.0
2000-01-21,22.12,22.28,21.69,21.84,11.58,973400.0
2000-01-24,21.88,22.12,21.75,21.81,11.56,767600.0
2000-01-25,21.88,21.88,20.12,20.53,10.88,976000.0
2000-01-26,20.78,21.25,20.72,21.19,11.23,856400.0
2000-01-27,20.5,21.72,20.5,21.41,11.34,1044400.0
2000-01-28,18.88,20.5,18.84,19.97,10.58,1261200.0
2000-01-31,20.0,20.0,19.16,19.94,10.57,1067200.0
2000-02-01,20.03,20.12,19.56,19.84,10.52,1595800.0
2000-02-02,19.84,19.94,19.75,19.88,10.53,700600.0
2000-02-03,19.88,20.25,19.81,20.06,10.63,588000.0
2000-02-04,20.09,20.09,19.94,20.03,10.62,546200.0
2000-02-07,19.91,20.09,19.91,19.94,10.57,564200.0
2000-02-08,19.88,20.09,19.88,19.97,10.58,630800.0
2000-02-09,20.0,20.25,19.97,20.0,10.6,896600.0
2000-02-10,20.0,20.0,19.22,19.47,10.32,625000.0
2000-02-11,19.47,19.56,19.06,19.28,10.22,655000.0
2000-02-14,19.25,19.47,19.06,19.38,10.27,524400.0
2000-02-15,19.34,20.03,19.34,19.75,10.47,595000.0
2000-02-16,19.69,19.91,19.44,19.56,10.37,474800.0
2000-02-17,19.56,19.56,19.31,19.31,10.23,451000.0
2000-02-18,19.12,19.25,18.53,18.66,9.89,511200.0
2000-02-22,18.5,20.0,18.5,19.81,10.5,685600.0
2000-02-23,19.88,20.12,19.19,19.19,10.17,661000.0
2000-02-24,19.22,19.22,17.81,18.25,9.67,811400.0
2000-02-25,18.22,18.22,17.72,17.91,9.49,842000.0
2000-02-28,18.06,19.25,17.94,18.75,9.94,662200.0
2000-02-29,18.75,18.78,17.84,17.97,9.52,880200.0
2000-03-01,17.97,17.97,16.81,17.34,9.19,1506400.0
2000-03-02,17.34,17.47,16.84,17.22,9.12,1033600.0
2000-03-03,17.19,18.5,17.16,18.38,9.74,864800.0
2000-03-06,18.31,18.47,17.97,18.0,9.54,453600.0
2000-03-07,18.0,18.0,17.09,17.09,9.06,687400.0
2000-03-08,17.09,17.78,17.09,17.62,9.34,568800.0
2000-03-09,17.56,17.75,17.16,17.31,9.17,767000.0
