Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,352.01,792500
2000-08-14,419.0,420.0,384.0,384.0,321.83,80200
2000-08-15,389.0,396.0,384.0,388.0,325.19,48400
2000-08-16,386.0,418.0,386.0,396.0,331.89,42100
2000-08-17,392.0,400.0,382.0,384.0,321.83,47200
2000-08-18,401.0,460.0,396.0,458.0,383.85,60400
2000-08-21,482.0,520.0,446.0,486.0,407.32,66500
2000-08-22,492.0,502.0,432.0,432.0,362.06,33800
2000-08-23,434.0,440.0,408.0,416.0,348.65,17900
2000-08-24,414.0,418.0,386.0,386.0,323.51,18400
2000-08-25,402.0,414.0,388.0,412.0,345.3,20100
2000-08-28,429.0,433.5,400.0,420.0,352.01,19400
2000-08-29,430.0,432.0,404.0,428.0,358.71,22700
2000-08-30,427.0,470.0,424.0,454.0,380.5,19800
2000-08-31,482.0,528.0,476.0,518.0,434.14,87300
2000-09-01,516.0,520.0,480.0,504.0,422.41,27700
2000-09-05,506.0,520.0,496.0,498.0,417.38,23000
2000-09-06,516.0,520.0,488.0,496.0,415.7,20500
2000-09-07,512.0,512.0,428.0,460.0,385.53,23900
2000-09-08,456.5,464.0,440.0,448.0,375.47,15900
2000-09-11,442.0,448.0,432.0,444.0,372.12,34500
2000-09-12,435.0,442.0,412.0,416.0,348.65,33800
2000-09-13,408.0,420.0,396.0,400.0,335.24,10300
2000-09-14,444.0,444.0,400.0,406.0,340.27,8100
2000-09-15,402.0,416.0,400.0,402.0,336.92,3600
2000-09-18,420.0,424.0,382.0,386.0,323.51,18600
2000-09-19,419.0,420.0,344.0,360.0,301.72,48000
2000-09-20,368.0,370.0,312.0,332.0,278.25,24100
2000-09-21,330.0,344.0,326.0,340.0,284.96,25200
2000-09-22,307.0,346.0,302.0,338.0,283.28,8400
2000-09-25,340.0,346.0,300.0,302.0,253.11,21000
2000-09-26,316.0,318.0,288.0,296.0,248.08,19600
2000-09-27,301.0,302.0,276.0,299.0,250.59,16700
2000-09-28,296.0,344.0,292.0,320.0,268.19,22000
2000-09-29,323.0,324.0,279.0,284.0,238.02,19100
2000-10-02,300.0,301.0,268.0,272.0,227.97,6800
2000-10-03,275.0,284.0,248.0,254.0,212.88,10100
2000-10-04,256.0,258.0,216.0,228.0,191.09,14600
2000-10-05,222.0,260.0,208.0,210.0,176.0,15100
2000-10-06,222.5,224.0,190.0,195.0,163.43,11400
2000-10-09,210.0,214.0,185.0,198.0,165.95,10600
2000-10-10,202.0,204.0,176.0,182.0,152.54,13200
2000-10-11,168.0,184.0,130.0,132.0,110.63,42400
2000-10-12,163.0,168.0,144.0,166.0,139.13,37200
2000-10-13,182.0,252.0,177.0,242.0,202.82,42800
2000-10-16,260.0,262.0,236.0,260.0,217.91,38500
2000-10-17,272.0,274.0,244.0,250.0,209.53,11000
2000-10-18,248.0,268.0,190.0,258.0,216.23,19300
2000-10-19,272.0,298.0,216.0,221.0,185.22,25900
2000-10-20,240.0,240.0,224.0,234.0,196.12,21700
2000-10-23,236.0,269.0,228.0,264.0,221.26,17800
2000-10-24,265.5,272.0,260.0,270.0,226.29,19700
2000-10-25,267.5,272.0,252.0,272.0,227.97,13200
2000-10-26,271.0,308.0,270.0,290.0,243.05,8700
2000-10-27,291.5,292.0,276.0,288.0,241.38,3300
2000-10-30,286.0,300.0,276.0,286.0,239.7,7600
2000-10-31,292.0,328.0,280.0,312.0,261.49,10400
2000-11-01,311.5,336.0,306.0,312.0,261.49,11500
2000-11-02,311.5,316.0,284.0,296.0,248.08,7800
2000-11-03,287.0,302.0,287.0,292.0,244.73,7700
2000-11-06,296.0,300.0,278.0,284.0,238.02,9700
2000-11-07,288.0,288.0,280.0,284.0,238.02,6600
2000-11-08,284.0,284.0,241.0,258.0,216.23,20900
2000-11-09,240.0,256.0,240.0,253.0,212.04,12600
2000-11-10,244.5,248.0,238.0,238.0,199.47,18100
2000-11-13,222.0,226.0,218.0,226.0,189.41,13700
2000-11-14,225.0,234.0,208.0,212.0,177.68,15700
2000-11-15,220.0,222.0,202.0,202.0,169.3,20400
2000-11-16,208.5,212.0,200.0,203.0,170.14,3900
2000-11-17,219.0,220.0,204.0,212.0,177.68,14100
2000-11-20,209.0,210.0,202.0,202.0,169.3,5400
2000-11-21,203.0,208.0,198.0,198.0,165.95,8200
2000-11-22,200.0,200.0,192.0,192.0,160.92,11400
2000-11-24,194.5,196.0,192.0,193.0,161.76,1800
2000-11-27,204.0,212.0,190.0,192.0,160.92,5200
2000-11-28,196.0,196.0,172.0,174.0,145.83,3900
2000-11-29,174.0,178.0,144.0,156.0,130.75,17000
2000-11-30,152.0,155.0,136.0,140.0,117.34,10600
2000-12-01,140.0,162.0,139.0,154.0,129.07,6800
2000-12-04,155.0,164.0,155.0,158.0,132.42,2400
2000-12-05,162.5,166.0,156.0,162.0,135.77,4700
2000-12-06,161.0,162.0,146.0,154.0,129.07,5100
2000-12-07,153.0,166.0,144.0,144.0,120.69,13600
2000-12-08,152.0,192.0,152.0,176.0,147.51,5700
2000-12-11,177.0,186.0,176.0,176.0,147.51,2500
2000-12-12,181.5,234.0,176.0,212.0,177.68,10000
2000-12-13,235.5,244.0,220.0,226.0,189.41,6600
2000-12-14,233.5,234.0,218.0,224.0,187.74,4900
2000-12-15,222.5,225.5,214.0,214.0,179.36,2500
2000-12-18,227.0,228.0,180.0,187.0,156.73,3100
2000-12-19,173.0,190.0,164.0,178.0,149.18,5000
2000-12-20,176.0,178.5,150.0,156.0,130.75,8200
2000-12-21,144.0,148.0,126.0,130.0,108.95,16700
2000-12-22,146.5,148.0,128.0,128.0,107.28,14100
2000-12-26,130.0,142.0,122.0,126.0,105.6,10900
2000-12-27,126.0,128.0,112.0,122.0,102.25,6900
2000-12-28,120.0,122.0,104.0,112.0,93.87,30800
2000-12-29,111.0,152.0,110.0,140.0,117.34,16700
2001-01-02,141.5,142.0,108.0,114.0,95.54,13500
