Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,263.75,268.75,260.0,261.25,234.09,385600
2000-01-03,268.75,282.5,260.0,280.62,251.45,728100
2000-01-04,280.0,298.75,272.5,273.12,244.73,710400
2000-01-05,271.88,272.5,252.5,261.25,234.09,690900
2000-01-06,265.0,277.5,260.0,263.75,236.33,513500
2000-01-07,261.25,269.38,260.0,266.88,239.13,377400
2000-01-10,274.38,285.0,266.88,280.62,251.45,499600
2000-01-11,280.62,280.62,265.0,266.88,239.13,505700
2000-01-12,266.25,273.75,256.88,260.62,233.53,807700
2000-01-13,260.0,283.75,252.5,280.62,251.45,781000
2000-01-14,285.62,290.0,272.5,287.5,257.61,683000
2000-01-18,283.75,296.25,275.0,279.38,250.33,592200
2000-01-19,292.03,292.5,260.62,261.88,234.65,1073900
2000-01-20,267.5,267.5,250.0,250.62,224.57,846100
2000-01-21,251.25,252.03,228.75,235.62,211.13,861200
2000-01-24,238.12,244.38,232.5,233.12,208.89,727900
2000-01-25,235.62,236.25,220.62,225.62,202.17,992400
2000-01-26,225.0,246.25,220.62,242.81,217.57,981200
2000-01-27,246.88,248.75,223.12,233.75,209.45,531800
2000-01-28,230.0,233.75,224.38,226.25,202.73,500800
2000-01-31,228.12,228.75,209.38,210.62,188.73,991800
2000-02-01,211.25,212.5,193.75,199.38,178.65,1794900
2000-02-02,196.25,212.5,191.88,202.5,181.45,2183800
2000-02-03,208.12,223.12,206.25,220.0,197.13,1553800
2000-02-04,223.75,236.25,215.0,218.12,195.45,966900
2000-02-07,231.25,235.0,226.88,227.5,203.85,817300
2000-02-08,235.0,236.88,228.12,230.0,206.09,701300
2000-02-09,231.25,232.5,217.5,218.75,196.01,590900
2000-02-10,225.0,225.0,215.0,220.0,197.13,414500
2000-02-11,216.88,220.0,211.88,213.75,191.53,343200
2000-02-14,219.38,219.38,210.0,215.0,192.65,392900
2000-02-15,215.0,227.5,210.0,224.38,201.05,652900
2000-02-16,223.12,223.75,211.25,213.75,191.53,474400
2000-02-17,212.5,221.25,211.88,214.38,192.09,360400
2000-02-18,213.12,221.25,205.0,205.0,183.69,379700
2000-02-22,203.75,212.5,200.0,200.0,179.21,565800
2000-02-23,201.88,222.5,200.62,221.25,198.25,989300
2000-02-24,223.75,227.5,211.88,216.25,193.77,734100
2000-02-25,216.88,225.62,215.0,222.5,199.37,566200
2000-02-28,232.5,237.66,226.25,228.75,204.97,881100
2000-02-29,241.88,253.12,240.0,246.25,220.65,1779800
2000-03-01,258.75,270.62,255.62,261.88,234.65,1658400
2000-03-02,270.0,272.5,243.75,250.0,224.01,783600
2000-03-03,258.75,260.0,252.5,255.62,229.05,448400
2000-03-06,258.75,270.62,253.12,265.62,238.01,863100
2000-03-07,270.0,272.5,248.75,248.75,222.89,636700
2000-03-08,250.62,258.75,230.62,246.25,220.65,539400
2000-03-09,249.38,260.62,236.25,256.88,230.17,533600
2000-03-10,250.0,271.25,248.75,265.0,237.45,805400
2000-03-13,248.75,265.0,245.0,257.5,230.73,530900
2000-03-14,269.38,279.38,249.38,250.62,224.57,996600
2000-03-15,253.75,260.0,247.5,258.75,231.85,581200
2000-03-16,259.38,265.0,249.38,261.88,234.65,494200
2000-03-17,263.75,295.0,257.5,292.5,262.09,1947300
2000-03-20,298.75,301.25,280.0,284.38,254.81,1030700
2000-03-21,283.75,285.0,265.0,276.25,247.53,583100
2000-03-22,281.25,289.69,276.88,286.25,257.02,637200
2000-03-23,283.12,291.25,277.5,278.75,250.28,647800
2000-03-24,285.62,326.25,285.0,320.0,287.32,2206100
2000-03-27,326.25,342.5,318.75,326.25,293.45,1074400
2000-03-28,325.62,330.0,305.0,306.88,276.02,546100
2000-03-29,310.0,318.12,290.0,295.0,265.34,728200
2000-03-30,282.5,298.75,277.5,288.12,259.16,652300
2000-03-31,296.25,301.25,269.38,301.25,270.96,626700
2000-04-03,306.25,311.88,271.88,274.38,246.79,839400
2000-04-04,275.0,276.25,203.75,243.75,219.24,2164900
2000-04-05,231.88,248.12,225.0,235.0,211.37,1234400
2000-04-06,242.5,249.38,230.62,243.75,219.24,635500
2000-04-07,251.88,258.12,236.25,245.62,220.93,664900
2000-04-10,252.5,256.88,242.5,243.75,219.24,586900
2000-04-11,238.12,244.38,227.5,234.38,210.81,751200
2000-04-12,250.0,252.5,225.62,227.5,204.63,1185300
2000-04-13,238.12,245.62,220.0,221.25,199.0,826400
2000-04-14,214.38,217.5,188.75,191.88,172.58,1268100
2000-04-17,178.75,195.62,160.62,181.88,163.59,1338800
2000-04-18,191.25,219.38,182.5,215.0,193.38,1218100
2000-04-19,216.25,217.5,204.38,205.62,184.95,677800
2000-04-20,210.0,213.75,196.88,201.25,181.02,485800
2000-04-24,190.62,201.88,184.38,200.62,180.45,521000
2000-04-25,204.38,211.88,200.62,208.75,187.76,608700
2000-04-26,211.88,212.5,200.0,200.0,179.89,343600
2000-04-27,192.5,219.38,190.0,218.75,196.76,780400
2000-04-28,220.62,226.25,213.75,215.0,193.38,433100
2000-05-01,218.75,218.75,207.5,208.12,187.2,442800
2000-05-02,203.12,204.38,196.25,196.25,176.52,403400
2000-05-03,194.38,195.0,188.12,193.12,173.71,402400
2000-05-04,195.62,203.12,193.12,200.0,179.89,472600
2000-05-05,199.38,203.75,195.0,198.12,178.2,444100
2000-05-08,198.12,210.0,197.5,209.38,188.32,451700
2000-05-09,208.12,215.0,203.12,207.5,186.64,633700
2000-05-10,202.19,203.12,191.25,199.38,179.33,739800
2000-05-11,202.5,206.25,191.25,193.12,173.71,369000
2000-05-12,197.5,201.25,196.88,198.12,178.2,320500
2000-05-15,200.62,207.5,193.12,206.25,185.51,368900
2000-05-16,208.75,212.5,200.62,205.62,184.95,624300
2000-05-17,200.62,203.75,196.88,198.75,178.77,323300
2000-05-18,200.0,202.5,194.38,200.62,180.45,696500
2000-05-19,196.25,198.75,192.5,193.75,174.27,333700
2000-05-22,193.12,193.12,153.12,165.0,148.41,2067000
2000-05-23,166.25,169.38,156.25,157.5,141.66,772800
2000-05-24,156.25,157.5,131.25,139.38,125.36,2380400
2000-05-25,146.25,157.5,145.62,151.25,136.04,1009000
2000-05-26,151.88,154.38,145.0,148.75,133.79,381500
2000-05-30,151.25,160.0,149.38,159.38,143.35,390000
2000-05-31,158.12,166.25,153.12,155.62,139.98,524300
2000-06-01,155.62,166.25,151.88,163.75,147.29,483400
2000-06-02,178.75,188.12,178.75,183.75,165.27,679300
2000-06-05,182.5,190.0,175.62,179.38,161.34,315300
2000-06-06,179.38,181.25,168.75,168.75,151.78,312000
2000-06-07,182.5,192.5,175.0,192.5,173.15,800900
2000-06-08,193.12,194.38,177.5,179.38,161.34,419700
2000-06-09,184.38,187.5,178.75,181.88,163.59,183600
2000-06-12,181.88,183.12,175.0,175.62,157.97,299600
2000-06-13,175.0,178.12,167.5,171.88,154.59,409700
2000-06-14,172.5,173.12,163.75,166.25,149.53,481700
2000-06-15,167.5,175.0,163.75,171.25,154.03,390100
2000-06-16,174.38,176.25,170.0,176.25,158.53,433400
2000-06-19,174.38,180.0,170.62,178.75,160.78,308800
2000-06-20,180.62,185.0,178.12,182.5,164.15,300300
2000-06-21,181.25,186.88,175.0,178.75,160.78,308600
2000-06-22,180.62,181.25,173.12,173.12,155.72,188600
2000-06-23,175.62,175.62,170.0,170.62,153.47,248200
2000-06-26,170.62,171.25,163.12,166.25,149.53,288900
2000-06-27,165.62,167.5,160.0,160.0,143.91,281400
2000-06-28,161.25,170.0,160.0,170.0,152.91,594900
2000-06-29,166.25,176.88,164.38,170.0,152.91,267900
2000-06-30,169.38,171.88,161.88,165.0,148.41,217500
2000-07-03,165.0,165.62,162.5,165.62,148.97,60900
2000-07-05,161.88,168.75,161.25,163.12,146.72,168900
2000-07-06,163.75,165.0,158.75,160.0,143.91,238200
2000-07-07,160.62,163.12,156.25,158.12,142.23,207900
2000-07-10,158.12,160.0,155.62,156.88,141.1,189200
2000-07-11,158.12,160.62,155.62,156.88,141.1,260300
2000-07-12,161.88,170.0,160.0,165.0,148.41,358300
2000-07-13,167.5,184.84,164.38,183.12,164.71,739400
2000-07-14,183.75,198.75,178.75,197.5,177.64,870900
2000-07-17,198.75,199.38,188.75,191.25,172.02,529200
2000-07-18,188.12,188.12,177.5,179.38,161.34,466200
2000-07-19,190.0,197.5,176.25,177.5,159.65,892300
2000-07-20,179.38,183.12,177.5,179.38,161.34,360500
2000-07-21,179.38,179.38,173.12,174.38,156.84,257100
2000-07-24,174.38,174.38,163.12,163.28,146.86,343500
2000-07-25,166.25,171.88,160.62,171.25,154.03,367100
2000-07-26,168.75,170.0,159.38,161.25,145.04,476800
2000-07-27,160.62,161.25,152.5,154.38,138.85,343100
2000-07-28,155.0,157.5,143.75,145.62,130.98,515400
2000-07-31,146.88,151.25,143.75,150.0,134.92,503900
2000-08-01,151.25,151.88,143.12,143.75,129.3,371800
2000-08-02,143.12,143.75,138.75,139.38,125.36,496200
2000-08-03,137.5,151.25,131.88,150.0,134.92,825900
2000-08-04,150.62,153.12,144.38,146.25,131.55,428900
2000-08-07,147.34,151.25,145.62,150.62,135.48,252800
2000-08-08,148.12,148.75,141.25,143.12,128.73,330800
2000-08-09,146.25,158.12,142.5,154.38,138.85,577400
2000-08-10,153.75,155.0,148.12,154.38,138.85,439300
2000-08-11,152.5,154.38,150.62,153.75,138.29,413900
