Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.75,25.94,25.56,25.75,12.02,137900
2000-01-03,25.75,25.75,25.0,25.25,11.79,784700
2000-01-04,25.19,25.62,25.0,25.31,11.82,454900
2000-01-05,25.5,26.75,25.44,26.38,12.31,1252600
2000-01-06,26.31,26.31,25.81,25.88,12.08,638600
2000-01-07,25.94,26.12,25.81,25.88,12.08,1220300
2000-01-10,26.06,26.25,25.69,25.75,12.02,609400
2000-01-11,25.69,26.12,25.69,25.94,12.11,507600
2000-01-12,25.81,26.12,25.69,25.81,12.05,575300
2000-01-13,25.69,25.88,25.31,25.31,11.82,769100
2000-01-14,25.5,25.62,25.19,25.25,11.79,780300
2000-01-18,25.0,25.0,24.5,24.56,11.47,600900
2000-01-19,24.38,24.56,24.12,24.25,11.32,2150500
2000-01-20,24.5,24.5,23.75,23.94,11.17,956100
2000-01-21,24.0,24.38,23.94,24.19,11.29,922400
2000-01-24,24.12,24.44,23.0,23.0,10.74,1222900
2000-01-25,23.0,23.12,22.25,22.25,10.39,1263100
2000-01-26,22.31,22.5,22.12,22.19,10.36,749800
2000-01-27,22.25,23.0,22.19,23.0,10.74,1089500
2000-01-28,22.75,24.0,22.69,23.62,11.03,1337600
2000-01-31,23.62,25.0,23.62,24.94,11.64,1183800
2000-02-01,25.0,25.75,25.0,25.5,11.9,1118500
2000-02-02,25.31,25.5,24.75,24.94,11.64,849100
2000-02-03,25.06,25.69,25.0,25.44,11.87,584600
2000-02-04,25.56,25.56,24.88,24.94,11.64,621900
2000-02-07,24.94,25.12,24.62,24.62,11.49,537500
2000-02-08,24.62,25.0,24.62,24.62,11.49,431200
2000-02-09,24.62,24.69,23.81,23.88,11.14,787600
2000-02-10,23.88,24.25,23.38,23.38,10.91,800700
2000-02-11,23.12,23.38,23.0,23.12,10.93,2214600
2000-02-14,23.0,23.81,23.0,23.5,11.11,531100
2000-02-15,23.38,23.44,22.75,22.81,10.79,899600
2000-02-16,22.75,22.81,22.25,22.38,10.58,765900
2000-02-17,22.38,22.69,21.94,21.94,10.37,593300
2000-02-18,22.19,22.19,21.38,21.44,10.14,1356100
2000-02-22,21.62,22.0,21.56,21.62,10.23,1026700
2000-02-23,21.5,21.69,21.25,21.31,10.08,985700
2000-02-24,21.19,21.31,20.0,20.38,9.63,951100
2000-02-25,20.5,20.94,20.25,20.25,9.58,695800
2000-02-28,19.75,20.94,19.75,20.88,9.87,756600
2000-02-29,20.75,20.88,20.03,20.25,9.58,986900
2000-03-01,20.44,20.44,20.06,20.38,9.63,1107500
2000-03-02,20.44,20.5,20.31,20.44,9.66,597900
2000-03-03,20.5,20.56,20.31,20.38,9.63,601200
2000-03-06,19.38,19.5,15.94,16.69,7.89,1874800
2000-03-07,17.25,18.25,17.25,17.31,8.19,3353000
2000-03-08,17.31,17.44,16.81,17.31,8.19,2388000
2000-03-09,17.25,18.0,17.12,17.81,8.42,1177100
2000-03-10,17.81,18.31,17.81,17.94,8.48,753400
2000-03-13,18.0,18.38,18.0,18.25,8.63,731600
2000-03-14,18.06,18.19,17.12,17.56,8.3,522800
2000-03-15,17.5,18.88,17.5,18.38,8.69,1231000
2000-03-16,18.75,19.56,18.75,19.38,9.16,1175400
2000-03-17,19.38,19.56,19.12,19.5,9.22,1186500
2000-03-20,19.31,20.19,19.31,19.94,9.43,1144700
2000-03-21,19.88,19.94,19.5,19.88,9.4,689400
2000-03-22,19.62,19.62,19.12,19.25,9.1,794800
2000-03-23,19.25,19.69,18.81,19.69,9.31,605500
2000-03-24,19.44,19.88,19.38,19.88,9.4,469100
2000-03-27,19.81,20.31,19.81,20.0,9.46,465100
2000-03-28,19.75,20.12,19.69,20.0,9.46,960100
2000-03-29,20.0,20.62,20.0,20.38,9.63,750700
2000-03-30,20.12,20.44,19.69,19.69,9.31,984400
2000-03-31,19.69,20.38,19.38,20.19,9.55,791700
2000-04-03,20.25,20.62,19.94,20.12,9.52,506800
2000-04-04,20.25,21.0,20.25,20.69,9.78,580300
