Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.12,17.12,16.81,16.94,6.66,484000
2000-01-03,16.62,16.81,16.12,16.5,6.49,419600
2000-01-04,16.56,17.12,16.25,17.06,6.71,623100
2000-01-05,17.0,17.94,17.0,17.94,7.06,310400
2000-01-06,17.94,17.94,17.62,17.81,7.01,283700
2000-01-07,17.88,17.94,17.31,17.62,6.93,225100
2000-01-10,17.62,17.88,17.0,17.31,6.81,373200
2000-01-11,17.56,17.56,17.06,17.44,6.86,202200
2000-01-12,17.25,17.31,17.06,17.31,6.81,222800
2000-01-13,17.25,17.44,16.88,17.12,6.74,258700
2000-01-14,16.94,16.94,16.25,16.56,6.52,253700
2000-01-18,16.56,16.56,16.0,16.06,6.32,278000
2000-01-19,16.06,16.94,16.0,16.75,6.59,221800
2000-01-20,16.62,16.69,16.31,16.38,6.44,160700
2000-01-21,16.44,16.69,16.25,16.62,6.54,214100
2000-01-24,16.5,17.31,16.5,16.56,6.52,197900
2000-01-25,16.56,16.69,16.0,16.12,6.34,267200
2000-01-26,16.0,16.19,15.31,15.31,6.02,657500
2000-01-27,15.38,16.0,15.38,15.88,6.24,262900
2000-01-28,16.0,16.12,15.5,15.88,6.24,195200
2000-01-31,16.0,16.06,15.88,16.0,6.29,140400
2000-02-01,15.94,16.0,15.5,15.56,6.12,138500
2000-02-02,15.5,15.81,15.5,15.75,6.2,109700
2000-02-03,16.06,17.19,16.06,16.62,6.54,463200
2000-02-04,16.75,16.88,16.0,16.5,6.49,190000
2000-02-07,16.5,16.88,16.5,16.62,6.54,239000
2000-02-08,16.56,16.81,16.56,16.69,6.56,234000
2000-02-09,16.56,16.62,16.19,16.62,6.54,205800
2000-02-10,16.44,16.44,16.0,16.0,6.29,259300
2000-02-11,16.06,16.25,15.94,16.0,6.29,171000
2000-02-14,16.19,16.19,15.75,15.81,6.22,247800
2000-02-15,15.62,15.94,15.62,15.75,6.2,208600
2000-02-16,15.81,15.88,15.69,15.75,6.2,161700
2000-02-17,15.69,15.94,15.62,15.81,6.22,180900
2000-02-18,15.75,15.81,15.62,15.81,6.22,130900
2000-02-22,15.94,16.12,15.81,16.0,6.29,215900
2000-02-23,15.94,16.0,15.75,15.81,6.22,120500
2000-02-24,15.88,15.94,15.5,15.56,6.12,165800
