Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,12.5,12.53,12.5,12.5,6.57,188800
2004-08-17,12.5,12.54,12.5,12.51,6.58,153600
2004-08-18,12.5,12.65,12.5,12.51,6.58,149800
2004-08-19,12.5,12.55,12.5,12.53,6.59,126900
2004-08-20,12.53,12.59,12.5,12.55,6.6,144900
2004-08-23,12.55,12.59,12.5,12.55,6.6,64400
2004-08-24,12.55,12.99,12.55,12.98,6.83,382900
2004-08-25,12.75,13.09,12.75,13.0,6.84,500200
2004-08-26,13.05,13.45,12.95,13.38,7.04,435200
2004-08-27,13.4,13.63,13.21,13.45,7.07,694300
2004-08-30,13.45,13.59,13.35,13.48,7.09,119100
2004-08-31,13.54,13.8,13.0,13.8,7.26,261900
2004-09-01,14.3,14.38,13.42,13.65,7.18,170900
2004-09-02,13.65,13.88,13.1,13.79,7.25,149200
2004-09-03,13.55,13.84,13.5,13.65,7.18,88600
2004-09-07,13.55,13.85,13.46,13.8,7.26,101100
2004-09-08,13.8,13.83,13.61,13.65,7.18,93800
2004-09-09,13.65,13.71,13.41,13.49,7.1,113900
2004-09-10,13.4,13.73,13.25,13.6,7.15,139900
2004-09-13,13.1,13.75,12.94,13.71,7.27,223700
2004-09-14,13.65,13.65,13.3,13.51,7.16,130000
2004-09-15,13.3,13.55,13.09,13.35,7.08,138800
2004-09-16,13.35,13.48,13.1,13.33,7.07,126300
2004-09-17,12.55,13.64,12.55,13.64,7.23,400200
2004-09-20,13.54,13.64,13.13,13.35,7.08,112300
2004-09-21,13.3,13.6,13.28,13.47,7.14,243700
2004-09-22,13.2,13.62,13.05,13.5,7.16,455800
2004-09-23,13.4,13.65,13.22,13.29,7.05,211000
2004-09-24,13.3,13.55,13.25,13.5,7.16,67500
2004-09-27,13.55,13.55,12.93,13.05,6.92,182200
2004-09-28,13.06,13.14,12.63,12.91,6.85,202900
2004-09-29,13.11,13.12,12.6,12.88,6.83,159900
2004-09-30,12.85,12.85,12.3,12.75,6.76,1156500
2004-10-01,12.76,13.06,12.6,13.0,6.89,217900
2004-10-04,13.01,13.05,12.9,12.94,6.86,122500
2004-10-05,12.9,13.03,12.82,12.86,6.82,128300
2004-10-06,12.86,13.15,12.86,13.1,6.95,447600
2004-10-07,13.0,13.39,12.96,13.02,6.9,160200
2004-10-08,13.05,13.22,13.0,13.22,7.01,118000
2004-10-11,13.22,13.25,13.0,13.1,6.95,90300
2004-10-12,13.1,13.25,12.97,13.1,6.95,69000
2004-10-13,13.15,13.3,12.95,12.96,6.87,75500
2004-10-14,12.96,13.06,12.93,13.06,6.93,44100
2004-10-15,13.04,13.17,12.87,12.98,6.88,73600
2004-10-18,13.05,13.4,12.91,13.12,6.96,52000
2004-10-19,13.1,13.5,13.05,13.05,6.92,56200
2004-10-20,12.95,13.1,12.85,13.1,6.95,57400
2004-10-21,13.05,13.4,12.9,13.38,7.1,49500
2004-10-22,13.38,13.5,13.29,13.3,7.05,75200
2004-10-25,13.27,13.49,13.2,13.3,7.05,99500
2004-10-26,13.25,13.7,13.2,13.55,7.19,137200
2004-10-27,13.5,14.0,13.4,13.9,7.37,173800
2004-10-28,14.0,14.26,13.8,13.92,7.38,107400
2004-10-29,13.95,13.96,13.5,13.86,7.35,233700
2004-11-01,13.76,13.96,13.59,13.74,7.29,60200
2004-11-02,13.84,14.1,13.8,13.86,7.35,93500
2004-11-03,13.9,14.05,13.6,13.9,7.37,84400
2004-11-04,13.9,14.24,13.8,14.0,7.42,47500
2004-11-05,14.0,14.15,13.8,14.05,7.45,55700
2004-11-08,14.1,14.18,13.95,14.05,7.45,63500
2004-11-09,14.05,14.24,13.8,14.08,7.47,129100
2004-11-10,14.07,14.47,13.7,14.13,7.49,59300
2004-11-11,14.13,14.2,14.0,14.15,7.5,44800
2004-11-12,14.15,14.21,14.04,14.1,7.48,39100
2004-11-15,14.1,14.55,13.85,14.35,7.61,133400
2004-11-16,14.2,14.2,13.65,14.1,7.48,74900
2004-11-17,14.15,14.39,14.1,14.2,7.53,120700
2004-11-18,14.1,14.25,13.83,14.05,7.45,43800
2004-11-19,14.06,14.15,13.91,14.05,7.45,22100
2004-11-22,14.05,14.18,13.8,14.18,7.52,71600
2004-11-23,14.4,14.4,13.7,14.14,7.5,108600
2004-11-24,14.14,14.2,13.9,13.98,7.41,80900
2004-11-26,13.98,14.0,13.86,13.9,7.37,25400
2004-11-29,13.95,14.1,13.85,14.0,7.42,115500
2004-11-30,14.1,14.1,13.71,13.9,7.37,83400
2004-12-01,13.85,14.11,13.71,14.0,7.42,145900
2004-12-02,14.05,14.25,14.05,14.2,7.53,46500
2004-12-03,14.2,14.4,14.2,14.35,7.61,75400
2004-12-06,14.45,14.45,14.0,14.15,7.5,94800
2004-12-07,14.15,14.2,13.89,14.0,7.42,326800
2004-12-08,14.01,14.15,14.0,14.05,7.45,621000
2004-12-09,13.85,13.86,13.65,13.75,7.41,84700
2004-12-10,13.75,13.79,13.58,13.68,7.37,83300
2004-12-13,13.75,13.88,13.27,13.69,7.38,98600
2004-12-14,13.58,13.7,13.45,13.51,7.28,139100
2004-12-15,13.51,13.68,13.35,13.36,7.2,75000
2004-12-16,13.36,13.6,13.26,13.39,7.22,192700
2004-12-17,13.47,13.47,13.22,13.29,7.16,134800
2004-12-20,13.2,13.4,13.19,13.28,7.16,63600
2004-12-21,13.3,13.37,13.25,13.36,7.2,112300
2004-12-22,13.36,13.6,13.26,13.56,7.31,71200
2004-12-23,13.65,13.79,13.5,13.55,7.3,44100
2004-12-27,13.55,13.67,13.32,13.43,7.24,31500
2004-12-28,13.43,13.67,13.35,13.6,7.33,50400
2004-12-29,13.65,13.66,13.2,13.35,7.2,58800
2004-12-30,13.4,13.63,13.33,13.4,7.22,98600
2004-12-31,13.5,13.5,13.26,13.33,7.19,43700
2005-01-03,13.35,13.48,12.82,13.29,7.16,157500
2005-01-04,13.4,13.8,13.4,13.42,7.23,74700
2005-01-05,13.5,13.5,12.96,13.0,7.01,77800
2005-01-06,13.1,13.58,13.0,13.45,7.25,60800
2005-01-07,13.5,13.95,13.28,13.76,7.42,68600
2005-01-10,13.66,13.72,13.4,13.41,7.23,123200
2005-01-11,13.4,13.49,13.1,13.46,7.26,41800
2005-01-12,13.55,13.57,13.11,13.5,7.28,120200
2005-01-13,13.4,13.43,13.0,13.05,7.03,281100
2005-01-14,13.25,13.86,13.19,13.86,7.47,525800
2005-01-18,13.45,13.45,12.95,13.25,7.14,790700
2005-01-19,13.2,13.44,12.8,13.3,7.17,1628200
2005-01-20,13.4,13.4,13.1,13.15,7.09,229000
2005-01-21,13.18,13.2,13.07,13.18,7.1,64500
2005-01-24,13.17,13.25,13.13,13.23,7.13,161900
2005-01-25,13.23,13.3,12.95,13.11,7.07,246300
2005-01-26,13.2,13.2,12.8,12.95,6.98,94400
2005-01-27,12.95,13.06,12.94,13.0,7.01,61500
2005-01-28,13.1,13.1,12.8,12.94,6.98,114800
2005-01-31,12.98,13.06,12.75,12.97,6.99,208200
2005-02-01,12.97,13.09,12.95,13.05,7.03,283000
2005-02-02,13.07,13.19,12.81,12.96,6.99,162300
2005-02-03,13.08,13.17,12.88,13.0,7.01,76800
2005-02-04,12.9,13.31,12.88,13.2,7.12,175800
2005-02-07,13.29,13.37,13.22,13.27,7.15,65300
