Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.44,22.75,22.38,22.69,9.38,162400
2000-01-03,22.44,22.5,21.88,22.06,9.12,532500
2000-01-04,22.0,22.38,21.88,22.06,9.12,887800
2000-01-05,22.12,23.0,22.12,22.88,9.45,532000
2000-01-06,22.88,23.06,22.81,22.94,9.48,359000
2000-01-07,22.94,23.19,22.88,23.06,9.53,378100
2000-01-10,23.06,23.38,22.94,23.12,9.56,407000
2000-01-11,23.0,23.44,23.0,23.38,9.66,479900
2000-01-12,23.12,23.5,23.12,23.44,9.69,935600
2000-01-13,23.56,23.56,23.38,23.38,9.66,581400
2000-01-14,23.56,23.56,23.19,23.25,9.61,835800
2000-01-18,23.12,23.25,22.81,22.88,9.45,561300
2000-01-19,22.81,23.0,22.5,22.81,9.43,638200
2000-01-20,22.75,22.88,22.56,22.75,9.4,410400
2000-01-21,22.75,23.0,22.56,23.0,9.51,819800
2000-01-24,23.0,23.38,22.94,23.12,9.56,556700
2000-01-25,23.06,23.31,22.69,22.81,9.43,673400
2000-01-26,22.81,23.31,22.81,23.12,9.56,1349700
2000-01-27,23.12,23.25,23.0,23.12,9.56,808900
2000-01-28,23.12,23.19,22.5,22.69,9.38,909000
2000-01-31,22.75,23.06,22.69,22.75,9.4,523000
2000-02-01,22.81,23.12,22.75,22.94,9.48,289500
2000-02-02,22.88,23.12,22.81,22.88,9.45,3666600
2000-02-03,22.75,23.12,22.69,22.88,9.61,618100
2000-02-04,22.94,22.94,22.19,22.31,9.37,688000
2000-02-07,22.12,22.25,22.0,22.0,9.24,311400
2000-02-08,22.0,22.31,22.0,22.12,9.3,202500
2000-02-09,22.12,22.38,22.12,22.31,9.37,523800
2000-02-10,22.31,22.38,21.88,22.0,9.24,439900
2000-02-11,22.0,22.19,21.56,21.69,9.11,940600
2000-02-14,21.69,21.75,21.5,21.62,9.09,625700
2000-02-15,21.62,21.94,21.56,21.62,9.09,392500
2000-02-16,21.62,21.88,21.44,21.62,9.09,460400
2000-02-17,21.56,21.62,21.0,21.0,8.82,910200
2000-02-18,20.88,20.94,20.44,20.44,8.59,1194200
2000-02-22,20.44,20.5,19.88,20.06,8.43,714900
2000-02-23,20.0,20.31,20.0,20.12,8.46,503600
2000-02-24,20.12,20.12,19.38,19.56,8.22,398500
2000-02-25,19.25,19.5,18.88,19.0,7.98,1887500
2000-02-28,19.0,19.31,18.94,19.19,8.06,877100
2000-02-29,19.12,19.31,18.5,18.5,7.77,822800
2000-03-01,19.75,19.75,18.88,19.0,7.98,880200
2000-03-02,19.19,19.25,18.81,18.94,7.96,534300
2000-03-03,18.88,19.5,18.88,19.19,8.06,820100
2000-03-06,19.06,19.31,18.38,18.5,7.77,1076700
2000-03-07,18.5,18.5,18.12,18.19,7.64,712500
2000-03-08,18.0,18.38,18.0,18.19,7.64,605300
2000-03-09,18.19,18.5,18.0,18.5,7.77,392100
2000-03-10,18.5,18.5,18.19,18.31,7.69,264600
2000-03-13,18.19,18.38,18.0,18.19,7.64,384900
2000-03-14,18.19,18.5,18.12,18.38,7.72,535700
2000-03-15,18.31,19.38,18.31,19.06,8.01,614400
2000-03-16,18.94,20.31,18.94,20.12,8.46,491300
2000-03-17,20.12,20.12,19.5,19.5,8.19,812400
2000-03-20,19.56,19.75,19.38,19.56,8.22,575300
2000-03-21,19.56,20.12,19.56,19.81,8.32,543800
2000-03-22,19.75,19.81,19.25,19.5,8.19,797400
2000-03-23,19.31,19.88,19.19,19.5,8.19,524400
2000-03-24,19.5,20.0,19.44,19.94,8.38,546000
2000-03-27,20.0,20.25,19.94,20.06,8.43,319300
2000-03-28,19.81,20.06,19.62,19.81,8.32,495200
2000-03-29,19.75,20.25,19.69,20.12,8.46,499700
2000-03-30,20.38,20.69,20.25,20.56,8.64,449000
2000-03-31,20.38,20.88,20.19,20.62,8.67,563100
2000-04-03,20.62,21.06,20.56,21.06,8.85,676400
2000-04-04,21.0,21.69,21.0,21.44,9.01,495500
2000-04-05,21.56,22.19,21.44,22.0,9.24,765000
2000-04-06,22.06,22.19,21.62,21.88,9.19,809900
2000-04-07,21.88,21.94,21.5,21.62,9.09,568600
2000-04-10,21.62,22.06,21.56,21.81,9.16,974500
2000-04-11,21.69,22.25,21.69,22.25,9.35,750800
2000-04-12,22.5,23.25,22.38,23.0,9.66,750700
2000-04-13,23.12,24.5,23.0,24.38,10.24,761000
2000-04-14,24.12,25.0,24.0,24.19,10.16,1194700
2000-04-17,24.0,24.88,23.88,24.81,10.43,1449800
2000-04-18,25.0,25.62,25.0,25.19,10.58,705800
2000-04-19,25.19,25.19,24.12,24.69,10.37,391400
2000-04-20,24.75,24.81,24.19,24.44,10.27,568900
2000-04-24,24.5,25.75,24.38,25.75,10.82,939500
2000-04-25,25.75,26.31,25.56,26.19,11.0,867900
2000-04-26,25.88,26.88,25.88,26.75,11.24,427400
2000-04-27,26.56,26.56,25.62,25.81,10.85,727800
2000-04-28,25.94,25.94,25.19,25.44,10.69,455900
2000-05-01,25.5,25.69,25.19,25.25,10.61,503300
2000-05-02,25.06,25.12,24.5,25.06,10.53,1164100
2000-05-03,24.44,24.75,24.12,24.5,10.45,1272700
2000-05-04,24.5,24.81,23.75,24.38,10.4,988300
2000-05-05,24.31,24.31,23.81,23.94,10.21,409600
2000-05-08,24.06,25.0,23.75,24.44,10.42,693500
2000-05-09,24.38,24.56,24.19,24.38,10.4,444700
2000-05-10,24.44,24.81,24.19,24.38,10.4,346000
2000-05-11,24.0,24.56,24.0,24.56,10.48,431700
2000-05-12,24.5,24.56,24.0,24.12,10.29,639400
2000-05-15,24.19,24.81,24.12,24.69,10.53,908300
2000-05-16,24.94,24.94,24.25,24.56,10.48,823600
2000-05-17,24.5,24.5,23.31,23.75,10.13,338900
2000-05-18,23.94,24.62,23.94,24.44,10.42,342700
2000-05-19,24.25,24.81,24.12,24.75,10.56,788800
2000-05-22,24.62,25.31,24.62,25.12,10.72,448500
2000-05-23,24.94,25.19,24.62,24.88,10.61,460600
2000-05-24,25.06,25.62,24.81,25.06,10.69,516500
2000-05-25,24.94,25.0,24.69,25.0,10.66,424600
2000-05-26,25.25,25.38,25.06,25.31,10.8,464500
2000-05-30,25.31,25.31,24.56,25.06,10.69,815000
2000-05-31,25.12,25.5,24.94,25.12,10.72,496300
2000-06-01,25.38,25.38,24.81,25.12,10.72,478900
2000-06-02,25.75,25.75,24.56,24.69,10.53,347200
2000-06-05,24.5,24.5,23.69,23.81,10.16,390800
2000-06-06,23.88,24.5,23.81,24.31,10.37,379200
2000-06-07,24.5,24.69,24.38,24.5,10.45,234300
2000-06-08,24.56,24.56,23.88,24.5,10.45,306100
2000-06-09,24.5,24.88,24.38,24.75,10.56,339300
2000-06-12,24.75,25.0,24.69,24.94,10.64,311700
2000-06-13,24.94,25.5,24.94,25.25,10.77,244100
2000-06-14,25.06,25.12,24.62,24.69,10.53,387400
2000-06-15,24.44,25.38,24.44,25.25,10.77,437700
2000-06-16,25.25,25.5,25.25,25.31,10.8,611400
2000-06-19,25.31,25.5,25.0,25.0,10.66,666800
2000-06-20,25.0,25.06,24.62,24.88,10.61,309400
2000-06-21,24.94,25.44,24.75,24.75,10.56,439000
2000-06-22,24.69,24.75,24.19,24.62,10.5,449300
2000-06-23,24.38,24.75,24.06,24.44,10.42,584500
2000-06-26,24.38,25.38,24.31,25.0,10.66,678700
2000-06-27,25.06,25.12,24.12,24.38,10.4,504900
2000-06-28,24.25,25.12,23.62,25.06,10.69,399800
2000-06-29,24.94,25.19,24.12,24.25,10.34,434100
2000-06-30,24.06,25.12,23.25,23.38,9.97,890000
2000-07-03,23.56,24.19,23.56,24.06,10.26,250400
2000-07-05,24.25,24.81,23.62,23.88,10.18,292500
2000-07-06,23.94,24.25,23.75,24.0,10.24,269300
2000-07-07,23.88,24.38,23.88,24.31,10.37,175300
2000-07-10,24.06,24.69,24.06,24.44,10.42,628300
2000-07-11,24.44,24.81,24.06,24.81,10.58,415800
2000-07-12,24.38,24.75,24.25,24.56,10.48,283400
2000-07-13,24.44,24.5,24.19,24.31,10.37,491300
2000-07-14,24.38,24.5,24.0,24.12,10.29,414300
2000-07-17,24.06,24.5,24.0,24.31,10.37,192400
2000-07-18,24.31,24.75,24.19,24.56,10.48,273000
2000-07-19,24.81,25.62,24.81,25.44,10.85,601900
2000-07-20,25.5,25.69,25.25,25.31,10.8,383100
2000-07-21,25.44,25.44,25.25,25.25,10.77,265800
2000-07-24,25.19,25.19,24.94,25.06,10.69,178300
2000-07-25,24.94,25.31,24.94,25.19,10.74,297900
2000-07-26,25.06,25.38,24.75,24.88,10.61,767500
2000-07-27,25.06,25.38,24.94,25.19,10.74,466600
2000-07-28,25.19,25.31,25.06,25.12,10.72,302800
2000-07-31,25.25,25.75,25.19,25.5,10.88,1341900
2000-08-01,25.56,26.88,25.56,26.88,11.46,792700
2000-08-02,26.88,27.12,26.56,26.88,11.46,2607900
2000-08-03,26.75,27.19,26.62,26.95,11.66,2042700
2000-08-04,26.69,27.19,26.19,26.94,11.65,496400
2000-08-07,24.5,25.44,24.38,25.39,10.98,3627300
2000-08-08,25.25,25.38,24.56,25.31,10.95,1825000
2000-08-09,25.5,25.56,24.94,25.23,10.92,1849400
2000-08-10,25.44,25.5,25.0,25.14,10.88,314900
2000-08-11,25.12,25.58,25.12,25.58,11.06,449000
2000-08-14,25.69,25.69,24.94,25.44,11.0,340100
2000-08-15,25.44,25.62,25.25,25.56,11.06,540400
2000-08-16,25.31,25.38,25.06,25.2,10.9,242200
2000-08-17,25.19,25.25,24.62,24.88,10.76,430600
2000-08-18,24.69,24.81,24.38,24.5,10.6,654200
2000-08-21,24.5,24.5,23.81,23.94,10.35,575000
2000-08-22,23.94,24.19,23.75,23.75,10.27,527900
2000-08-23,23.69,23.88,23.56,23.88,10.33,521100
2000-08-24,23.69,23.81,23.44,23.44,10.14,447900
2000-08-25,23.25,23.31,22.94,22.94,9.92,385600
2000-08-28,23.19,24.0,23.19,23.69,10.25,445200
2000-08-29,23.69,23.94,23.44,23.75,10.27,678500
2000-08-30,23.31,24.06,23.31,23.94,10.35,702300
2000-08-31,24.0,24.77,23.88,24.77,10.71,1373100
2000-09-01,24.75,25.0,24.56,24.95,10.79,547600
2000-09-05,24.94,25.5,24.81,25.5,11.03,712600
2000-09-06,25.5,26.0,25.44,25.62,11.08,1103000
2000-09-07,25.5,25.75,25.5,25.69,11.11,448700
2000-09-08,25.69,26.5,25.69,26.47,11.45,646800
2000-09-11,26.44,27.5,26.31,26.83,11.61,757000
2000-09-12,26.62,27.31,26.62,26.81,11.6,458600
