Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,11.32,11.43,11.13,11.14,8.72,1433500
2010-01-04,11.29,11.43,11.14,11.16,8.74,1873800
2010-01-05,11.1,11.53,11.1,11.47,8.98,2914300
2010-01-06,11.53,11.97,11.41,11.91,9.33,4886500
2010-01-07,11.94,12.1,11.76,11.82,9.26,2090900
2010-01-08,11.82,12.29,11.65,12.25,9.59,4125400
2010-01-11,12.42,12.54,12.1,12.35,9.67,3797300
2010-01-12,12.26,12.55,12.23,12.39,9.7,2880200
2010-01-13,12.42,12.44,12.16,12.41,9.84,2501900
2010-01-14,12.37,12.55,12.31,12.43,9.85,2198000
2010-01-15,12.46,12.54,12.17,12.18,9.66,2434900
2010-01-19,12.21,12.24,11.9,11.94,9.47,2786000
2010-01-20,11.85,12.0,11.75,11.8,9.35,1726500
2010-01-21,11.79,12.01,11.71,11.9,9.43,4224500
2010-01-22,11.84,12.05,11.7,11.75,9.31,3196800
2010-01-25,11.91,12.05,11.78,11.82,9.37,2552900
2010-01-26,11.69,11.97,11.69,11.73,9.3,1359500
2010-01-27,11.75,11.88,11.51,11.74,9.31,2700700
2010-01-28,11.74,11.8,11.41,11.49,9.11,2469100
2010-01-29,11.51,11.73,11.28,11.29,8.95,1814700
2010-02-01,11.36,11.71,11.3,11.69,9.27,2405800
2010-02-02,11.74,11.97,11.7,11.94,9.47,1864500
2010-02-03,11.91,12.02,11.7,11.96,9.48,3140900
2010-02-04,11.78,12.01,11.64,11.65,9.24,3124500
2010-02-05,11.68,11.73,11.34,11.61,9.2,3173000
2010-02-08,11.64,11.78,11.51,11.64,9.23,1751500
2010-02-09,11.83,11.86,11.61,11.67,9.25,2767100
2010-02-10,11.62,11.72,11.5,11.61,9.2,1147200
2010-02-11,11.61,11.82,11.51,11.82,9.37,1016900
2010-02-12,11.67,11.76,11.59,11.74,9.31,1499200
2010-02-16,11.8,12.06,11.77,12.06,9.56,1022400
2010-02-17,12.01,12.7,12.01,12.52,9.93,3028000
2010-02-18,12.54,12.82,12.52,12.73,10.09,2306000
2010-02-19,12.75,12.97,12.67,12.82,10.16,1923600
2010-02-22,12.85,13.13,12.84,13.04,10.34,2167800
2010-02-23,13.04,13.17,12.72,13.05,10.35,2417900
2010-02-24,13.05,13.05,12.5,12.88,10.21,4131400
2010-02-25,12.72,12.81,12.59,12.77,10.12,3469000
2010-02-26,12.8,13.05,12.75,12.97,10.28,2905500
2010-03-01,13.03,13.46,12.83,13.45,10.66,2818000
2010-03-02,13.49,13.51,13.15,13.21,10.47,3810500
2010-03-03,13.25,13.3,12.85,13.01,10.31,3404300
2010-03-04,13.47,14.56,13.3,13.68,10.84,11219100
2010-03-05,13.76,14.34,13.65,14.24,11.29,4304100
2010-03-08,14.24,14.37,13.89,13.95,11.06,4254200
2010-03-09,13.83,14.06,13.54,13.54,10.73,4030700
2010-03-10,13.56,13.7,13.47,13.49,10.69,4497700
2010-03-11,13.45,13.98,13.21,13.95,11.06,3952700
2010-03-12,14.02,14.58,13.95,14.55,11.53,4623200
2010-03-15,14.53,14.79,14.26,14.45,11.46,4348100
2010-03-16,14.43,14.77,14.38,14.7,11.65,2336200
2010-03-17,14.79,14.94,14.63,14.67,11.63,2121400
2010-03-18,14.69,14.81,14.51,14.59,11.57,1685700
2010-03-19,14.59,14.79,14.34,14.59,11.57,3910600
2010-03-22,14.46,15.11,14.4,14.99,11.88,2417100
2010-03-23,15.02,15.13,14.74,15.1,11.97,2040200
2010-03-24,15.07,15.07,14.71,14.87,11.79,1892600
2010-03-25,14.94,14.98,14.67,14.71,11.66,2181800
2010-03-26,15.07,15.45,14.95,15.06,11.94,4479500
2010-03-29,15.14,15.39,15.11,15.14,12.0,2528100
2010-03-30,15.24,15.39,15.03,15.04,11.92,3118400
2010-03-31,15.0,15.16,14.97,15.04,11.92,2384400
2010-04-01,15.5,15.72,15.33,15.41,12.22,4521100
2010-04-05,15.49,15.6,15.34,15.5,12.29,2832700
2010-04-06,15.34,15.61,15.26,15.56,12.34,2724000
2010-04-07,15.46,15.63,15.21,15.3,12.13,2427700
2010-04-08,15.25,15.31,15.0,15.26,12.1,2563500
2010-04-09,15.33,15.38,14.99,15.3,12.13,2542400
2010-04-12,15.3,15.31,15.04,15.25,12.09,2032000
2010-04-13,15.22,15.47,15.1,15.43,12.23,1881800
2010-04-14,15.45,15.72,15.22,15.67,12.54,3235200
2010-04-15,15.95,16.07,15.76,15.97,12.78,3023200
2010-04-16,15.88,16.0,15.63,15.78,12.63,3395400
2010-04-19,15.66,15.83,15.31,15.54,12.44,3014400
2010-04-20,15.64,15.82,15.55,15.73,12.59,1530600
2010-04-21,15.71,16.03,15.53,15.93,12.75,1810900
2010-04-22,15.82,16.54,15.75,16.5,13.21,2654400
2010-04-23,16.49,16.59,16.27,16.48,13.19,1716700
2010-04-26,16.35,16.76,16.35,16.75,13.41,2113500
2010-04-27,16.68,16.73,15.89,15.92,12.74,2788000
2010-04-28,16.08,16.24,15.69,15.93,12.75,2138800
2010-04-29,16.1,16.4,15.99,16.32,13.06,1569200
2010-04-30,16.39,16.45,15.32,15.35,12.29,2768300
2010-05-03,15.45,15.79,15.39,15.63,12.51,2445000
2010-05-04,15.39,15.39,14.78,14.86,11.9,4266300
2010-05-05,14.69,15.14,14.36,14.87,11.9,4548900
2010-05-06,14.76,14.76,13.06,14.17,11.34,5546200
2010-05-07,14.11,14.46,13.57,13.94,11.16,4497400
2010-05-10,14.5,14.87,14.46,14.8,11.85,3610200
2010-05-11,14.6,15.12,14.59,14.9,11.93,2238500
2010-05-12,14.9,15.33,14.81,15.23,12.19,1595400
2010-05-13,15.13,15.21,14.29,14.36,11.5,2759900
2010-05-14,14.31,14.41,14.01,14.15,11.33,2897800
2010-05-17,14.18,14.43,13.88,14.39,11.52,2880200
2010-05-18,14.6,14.72,13.96,13.98,11.19,2377300
2010-05-19,13.88,14.12,13.43,13.66,10.94,3866300
2010-05-20,13.4,14.01,13.08,13.44,10.76,5112800
2010-05-21,13.55,14.09,13.18,13.98,11.19,6344500
2010-05-24,13.91,14.14,13.79,13.84,11.08,1855600
2010-05-25,13.46,14.09,13.23,14.04,11.24,3077700
2010-05-26,14.06,14.55,14.05,14.13,11.31,3552700
2010-05-27,14.51,15.04,14.31,15.02,12.02,3027300
2010-05-28,15.03,15.47,14.77,14.91,11.94,2644800
2010-06-01,14.81,15.14,14.43,14.45,11.57,1946200
2010-06-02,14.47,14.71,14.26,14.71,11.78,1421900
2010-06-03,14.65,15.08,14.44,14.72,11.78,1696200
2010-06-04,14.42,14.47,13.71,13.88,11.11,2955400
2010-06-07,13.78,13.92,13.22,13.24,10.6,2805300
2010-06-08,13.24,13.45,13.0,13.42,10.74,2196500
2010-06-09,13.58,13.78,13.25,13.32,10.66,2111300
2010-06-10,13.62,14.08,13.6,14.02,11.22,2505300
2010-06-11,13.84,14.35,13.76,14.31,11.46,2854200
2010-06-14,14.55,14.82,14.4,14.58,11.67,2562300
2010-06-15,14.74,14.94,14.52,14.94,11.96,2196400
2010-06-16,14.79,14.84,14.52,14.67,11.74,2432400
2010-06-17,14.68,14.76,14.19,14.45,11.57,2315500
2010-06-18,14.47,14.65,14.27,14.36,11.5,1900300
2010-06-21,14.65,14.65,13.78,13.9,11.13,2074100
2010-06-22,13.96,14.26,13.61,13.67,10.94,1988600
2010-06-23,13.7,14.13,13.54,13.88,11.11,3775700
2010-06-24,13.75,13.76,13.27,13.48,10.79,3519300
2010-06-25,13.43,13.54,12.87,13.32,10.66,5195000
2010-06-28,13.47,13.52,13.18,13.26,10.62,2211800
2010-06-29,12.99,13.06,12.53,12.85,10.29,3217600
2010-06-30,12.87,13.22,12.6,12.62,10.1,3181500
2010-07-01,12.69,13.01,12.28,12.88,10.31,4264500
2010-07-02,12.94,13.07,12.6,12.62,10.1,2336300
2010-07-06,12.8,13.07,12.27,12.43,9.95,3127000
2010-07-07,12.45,12.99,12.45,12.95,10.37,2430100
2010-07-08,13.08,13.23,12.83,12.97,10.38,2175100
2010-07-09,12.98,13.33,12.85,13.29,10.64,2332500
2010-07-12,13.25,13.46,13.08,13.28,10.63,2083100
2010-07-13,13.44,13.64,13.34,13.56,10.86,2520000
2010-07-14,13.47,13.54,13.22,13.45,10.89,3026000
2010-07-15,13.46,13.52,13.1,13.49,10.92,1931000
2010-07-16,13.39,13.41,12.78,12.84,10.39,2496800
2010-07-19,12.94,13.21,12.91,13.12,10.62,1795400
2010-07-20,12.9,13.61,12.87,13.6,11.01,2276600
2010-07-21,13.68,13.71,13.19,13.22,10.7,2253800
2010-07-22,13.44,13.74,13.33,13.65,11.05,2036500
2010-07-23,13.56,14.19,13.51,14.12,11.43,2185500
2010-07-26,14.13,14.36,13.86,14.33,11.6,2011400
2010-07-27,14.43,14.47,13.86,14.17,11.47,3131700
2010-07-28,14.18,14.4,14.08,14.14,11.45,3331900
2010-07-29,14.21,14.43,13.27,13.52,10.94,5115100
2010-07-30,13.38,13.62,13.24,13.59,11.0,3047500
2010-08-02,13.81,14.2,13.65,14.11,11.42,4524700
2010-08-03,14.02,14.08,13.44,13.52,10.94,2538100
2010-08-04,13.55,13.77,13.46,13.53,10.95,2356900
2010-08-05,13.36,13.45,13.13,13.39,10.84,2179100
2010-08-06,13.25,13.39,13.0,13.25,10.73,1398100
2010-08-09,13.37,13.79,13.37,13.59,11.0,3204700
2010-08-10,13.4,13.41,12.72,12.74,10.31,3665300
2010-08-11,12.45,12.59,12.28,12.53,10.14,2432300
2010-08-12,12.27,12.52,12.14,12.52,10.13,2947700
2010-08-13,12.49,12.75,12.42,12.51,10.13,2428600
2010-08-16,12.41,12.8,12.31,12.58,10.18,1729200
2010-08-17,12.74,13.14,12.65,12.93,10.47,2690500
2010-08-18,12.94,13.29,12.85,13.14,10.64,2040200
2010-08-19,13.09,13.32,12.82,12.99,10.52,3464300
2010-08-20,12.98,13.22,12.27,12.39,10.03,6450300
2010-08-23,12.44,12.71,12.08,12.09,9.79,3648500
2010-08-24,11.92,12.04,11.67,11.8,9.55,3816500
2010-08-25,11.67,12.12,11.59,12.03,9.74,4398200
2010-08-26,12.19,12.37,11.91,12.09,9.79,3504900
2010-08-27,12.22,12.39,11.91,12.22,9.89,2357000
2010-08-30,12.19,12.23,11.88,11.88,9.62,1334500
