Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,5.45,5.62,5.44,5.46,3.88,4937600
2001-06-18,5.46,5.5,5.36,5.38,3.81,3216800
2001-06-19,5.41,5.41,5.2,5.21,3.7,4008400
2001-06-20,5.19,5.2,4.95,5.2,3.69,5226800
2001-06-21,5.18,5.18,5.0,5.0,3.55,4319200
2001-06-22,5.0,5.03,5.0,5.0,3.55,1360000
2001-06-25,5.0,5.0,5.0,5.0,3.55,130800
2001-06-26,5.0,5.01,5.0,5.0,3.55,728800
2001-06-27,5.0,5.0,4.9,4.95,3.51,4140800
2001-06-28,4.95,5.0,4.93,4.93,3.49,2248800
2001-06-29,4.93,5.16,4.93,5.16,3.66,780800
2001-07-02,5.16,5.16,4.93,4.95,3.51,380400
2001-07-03,4.94,4.94,4.75,4.78,3.39,919200
2001-07-05,4.81,4.88,4.81,4.88,3.46,673200
2001-07-06,4.86,4.88,4.85,4.86,3.45,391600
2001-07-09,4.87,4.94,4.79,4.79,3.4,2055200
2001-07-10,4.79,4.79,4.49,4.5,3.19,3034400
2001-07-11,4.52,4.6,4.49,4.53,3.21,2623600
2001-07-12,4.53,4.53,4.49,4.53,3.21,1444000
2001-07-13,4.55,4.72,4.55,4.67,3.32,1692800
2001-07-16,4.63,4.63,4.46,4.49,3.18,695600
2001-07-17,4.46,4.52,4.35,4.4,3.12,1402800
2001-07-18,4.37,4.51,4.37,4.46,3.16,549600
2001-07-19,4.49,4.64,4.47,4.54,3.22,695200
2001-07-20,4.53,4.54,4.47,4.52,3.21,1542800
2001-07-23,4.52,4.53,4.47,4.5,3.19,308000
2001-07-24,4.47,4.72,4.46,4.5,3.19,851200
2001-07-25,4.51,4.85,4.44,4.8,3.41,1179600
2001-07-26,4.78,4.8,4.72,4.78,3.39,384400
2001-07-27,4.74,4.74,4.61,4.62,3.28,343600
2001-07-30,4.63,4.64,4.55,4.62,3.28,106800
2001-07-31,4.64,4.66,4.44,4.52,3.21,1671200
2001-08-01,4.54,4.57,4.5,4.5,3.19,490800
2001-08-02,4.5,4.56,4.5,4.55,3.23,692000
2001-08-03,4.56,4.56,4.49,4.49,3.18,274400
2001-08-06,4.46,4.47,4.39,4.4,3.12,196400
2001-08-07,4.4,4.4,4.31,4.31,3.06,111200
2001-08-08,4.31,4.38,4.25,4.25,3.01,737600
2001-08-09,4.25,4.25,4.05,4.06,2.88,1316800
2001-08-10,4.03,4.06,4.0,4.06,2.88,368000
2001-08-13,4.07,4.07,4.0,4.0,2.84,34800
2001-08-14,4.0,4.04,3.95,4.04,2.87,56800
2001-08-15,4.07,4.26,4.07,4.22,3.0,946800
2001-08-16,4.23,4.24,4.19,4.19,2.97,934400
2001-08-17,4.19,4.2,4.16,4.16,2.95,149600
2001-08-20,4.18,4.22,4.18,4.22,2.99,324400
2001-08-21,4.24,4.24,4.17,4.18,2.96,94400
2001-08-22,4.18,4.24,4.15,4.16,2.95,95200
2001-08-23,4.15,4.16,4.11,4.12,2.92,319200
2001-08-24,4.11,4.11,4.05,4.05,2.88,358400
2001-08-27,4.04,4.25,4.04,4.12,2.93,305200
2001-08-28,4.11,4.11,4.07,4.11,2.92,302400
2001-08-29,4.09,4.12,4.06,4.11,2.91,546800
2001-08-30,4.09,4.09,3.95,4.0,2.84,674000
2001-08-31,4.01,4.07,4.01,4.07,2.89,286400
2001-09-04,4.07,4.24,4.07,4.18,2.97,666000
2001-09-05,4.17,4.18,4.07,4.12,2.93,330000
2001-09-06,4.12,4.12,4.02,4.03,2.86,1445600
2001-09-07,4.0,4.0,3.95,3.96,2.81,220000
2001-09-10,3.94,3.99,3.88,3.89,2.76,461200
2001-09-17,3.87,3.87,3.4,3.47,2.47,1533200
2001-09-18,3.45,3.6,3.45,3.56,2.53,1156800
2001-09-19,3.55,3.55,3.46,3.5,2.48,420000
2001-09-20,3.47,3.59,3.46,3.56,2.53,887200
2001-09-21,3.54,3.59,3.47,3.5,2.48,906800
2001-09-24,3.55,3.55,3.47,3.5,2.48,279200
