Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.09,26.62,26.03,26.38,17.66,640400
2000-01-03,26.06,26.06,24.5,24.53,16.43,1925600
2000-01-04,25.5,25.91,25.19,25.56,17.12,2649600
2000-01-05,26.0,28.19,25.94,27.31,18.29,3474800
2000-01-06,27.31,27.78,27.0,27.41,18.35,2897000
2000-01-07,27.62,28.78,27.59,28.12,18.83,2273400
2000-01-10,28.31,28.62,27.62,27.88,18.67,2437600
2000-01-11,27.75,27.78,27.31,27.5,18.42,798400
2000-01-12,27.19,27.28,26.38,26.5,17.82,2704800
2000-01-13,27.0,27.19,26.06,26.5,17.82,1233000
2000-01-14,26.75,27.19,26.03,26.69,17.95,1270200
2000-01-18,25.81,26.59,25.75,25.91,17.42,1846000
2000-01-19,25.62,25.81,25.06,25.38,17.07,1348800
2000-01-20,25.25,25.28,24.34,24.66,16.59,1827200
2000-01-21,24.81,24.88,24.62,24.69,16.61,1740400
2000-01-24,24.81,25.0,22.88,23.22,15.62,1681600
2000-01-25,23.22,23.69,22.69,23.53,15.83,2450000
2000-01-26,23.66,23.91,22.84,23.47,15.79,2838600
2000-01-27,24.47,24.5,23.41,23.5,15.81,2105400
2000-01-28,23.62,24.0,23.31,23.62,15.89,2294600
2000-01-31,23.56,23.66,23.0,23.56,15.85,808800
2000-02-01,23.62,24.22,23.22,24.16,16.25,1133600
2000-02-02,24.56,24.72,23.66,23.75,15.97,1519800
2000-02-03,24.12,24.19,22.94,23.12,15.55,1770400
2000-02-04,23.31,23.62,22.75,22.78,15.32,2248000
2000-02-07,23.03,23.06,21.12,22.25,14.97,5385800
2000-02-08,22.06,22.31,21.34,21.5,14.46,4143400
2000-02-09,21.25,21.25,20.47,20.88,14.04,3313800
2000-02-10,20.91,21.62,20.84,21.09,14.19,1207200
2000-02-11,21.06,21.09,20.72,20.72,13.94,1554000
2000-02-14,21.0,21.03,20.5,20.78,13.98,1143000
2000-02-15,20.78,21.0,20.44,20.66,13.89,2330000
2000-02-16,21.0,21.16,20.62,20.78,13.98,1300200
2000-02-17,20.81,21.69,20.72,21.56,14.5,2013000
2000-02-18,21.62,21.66,20.72,20.94,14.08,1899800
2000-02-22,21.0,21.75,20.94,21.5,14.46,1008000
2000-02-23,21.62,21.75,21.28,21.56,14.5,1118400
2000-02-24,21.5,21.53,20.78,21.12,14.21,2636400
2000-02-25,21.09,21.72,21.06,21.47,14.44,991600
2000-02-28,21.59,21.72,21.19,21.53,14.48,735400
2000-02-29,21.5,21.97,21.38,21.62,14.55,1157800
2000-03-01,21.62,21.62,21.09,21.19,14.25,1504800
2000-03-02,21.12,21.16,20.41,20.56,13.83,1727200
2000-03-03,20.56,20.56,19.38,19.44,13.07,3978600
2000-03-06,19.5,19.88,18.88,18.91,12.72,2772400
2000-03-07,18.5,18.78,18.12,18.5,12.44,1778600
2000-03-08,18.81,19.84,18.69,18.75,12.61,4481200
2000-03-09,18.53,20.06,18.38,19.91,13.39,2275800
2000-03-10,19.94,20.0,18.62,19.66,13.22,2295600
2000-03-13,19.25,19.59,19.12,19.53,13.14,1523200
