Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,40.88,43.02,40.88,42.98,33.52,1133700
2000-01-03,43.04,43.31,39.6,40.6,31.67,4650300
2000-01-04,39.77,39.83,36.35,36.67,28.6,6012000
2000-01-05,36.67,36.88,34.42,35.83,27.95,9397200
2000-01-06,35.58,36.08,34.81,35.0,27.3,7239000
2000-01-07,35.33,38.96,35.29,38.96,30.38,11066100
2000-01-10,40.25,40.31,38.71,39.33,30.68,5444400
2000-01-11,38.0,38.21,35.71,35.81,27.93,5808300
2000-01-12,36.17,36.21,34.33,34.58,26.97,5897100
2000-01-13,35.0,39.17,34.5,38.92,30.35,8186100
2000-01-14,39.33,39.42,37.12,37.33,29.12,5630100
2000-01-18,37.4,43.04,37.33,41.83,32.63,10886700
2000-01-19,41.9,46.67,41.54,44.56,34.75,13847700
2000-01-20,46.33,52.62,46.17,51.92,40.49,18881700
2000-01-21,52.31,54.42,50.0,54.0,42.11,13561200
2000-01-24,54.0,58.5,51.33,51.67,40.29,13180200
2000-01-25,50.92,51.67,49.15,50.42,39.32,12115500
2000-01-26,51.0,53.25,50.83,52.0,40.55,19947900
2000-01-27,52.92,58.83,52.81,54.0,42.11,14714100
2000-01-28,53.83,55.5,48.5,49.0,38.21,11951700
2000-01-31,49.02,52.83,48.25,51.42,40.1,9003600
2000-02-01,50.0,50.58,48.35,49.08,38.28,9310800
2000-02-02,49.12,49.98,48.75,49.42,38.54,7194900
2000-02-03,50.0,51.42,48.42,51.42,40.1,9299700
2000-02-04,52.67,55.96,52.33,54.96,42.86,9867000
2000-02-07,54.88,55.21,52.67,55.21,43.06,5970600
2000-02-08,56.0,56.75,53.42,56.6,44.14,6993900
2000-02-09,56.54,56.56,54.4,55.0,42.89,4882500
2000-02-10,54.67,59.92,53.46,57.17,44.58,8509800
2000-02-11,57.29,57.62,54.58,55.25,43.09,4733700
2000-02-14,55.33,60.17,54.19,60.0,46.79,12053100
2000-02-15,59.62,60.29,58.17,58.58,45.69,10077300
2000-02-16,58.58,59.75,57.77,59.33,46.27,6396000
2000-02-17,59.75,64.17,59.54,63.69,49.67,10393800
2000-02-18,63.69,64.98,63.33,64.44,50.25,8012700
2000-02-22,65.33,66.02,61.46,63.33,49.39,7691400
2000-02-23,63.67,63.75,62.12,62.75,48.94,7914900
2000-02-24,63.21,64.75,62.25,64.08,49.98,5943300
2000-02-25,64.42,64.5,61.5,62.6,48.82,4480800
2000-02-28,62.38,62.54,56.17,59.92,46.73,10691100
2000-02-29,60.5,62.83,60.29,62.67,48.87,8165700
2000-03-01,63.33,67.67,63.31,67.67,52.77,9393600
2000-03-02,66.67,69.08,64.0,68.62,53.66,8546400
2000-03-03,68.96,69.31,66.71,68.42,53.5,8631600
2000-03-06,69.08,70.81,67.29,69.88,54.64,7219800
2000-03-07,71.33,72.29,64.83,65.67,51.35,9945900
2000-03-08,66.96,68.04,60.75,62.96,49.23,11710500
2000-03-09,63.88,66.29,61.48,63.76,49.85,8166900
2000-03-10,65.25,67.0,62.33,63.83,49.92,6098400
2000-03-13,61.0,62.52,60.33,61.52,48.11,7131600
2000-03-14,62.0,62.62,59.0,59.5,46.53,7701000
2000-03-15,58.75,58.77,56.0,56.75,44.38,11393400
2000-03-16,60.33,60.33,55.67,58.12,45.45,14791500
2000-03-17,59.92,65.17,59.35,63.12,49.36,14571000
2000-03-20,64.0,66.62,63.21,65.67,51.35,8073000
2000-03-21,65.08,65.31,62.62,64.0,50.05,7923300
2000-03-22,66.25,68.17,65.33,68.0,53.17,10652700
2000-03-23,68.17,75.33,67.67,73.31,57.33,12723900
2000-03-24,73.33,75.48,70.5,71.46,55.88,6896100
2000-03-27,71.44,71.48,69.25,69.67,54.48,5853900
2000-03-28,69.6,69.6,68.0,68.27,53.39,6826500
2000-03-29,68.27,68.62,64.0,65.83,51.48,8520000
2000-03-30,64.5,66.04,60.02,62.67,49.0,9981000
2000-03-31,62.67,65.73,60.02,64.67,50.57,9521700
2000-04-03,65.33,65.33,59.98,60.31,47.16,8222100
2000-04-04,61.17,61.67,47.0,56.0,43.79,20235300
2000-04-05,54.67,58.17,52.67,55.33,43.27,14773800
2000-04-06,55.75,58.62,55.5,58.54,45.78,8310300
2000-04-07,59.33,66.0,59.33,65.33,51.09,8077200
2000-04-10,65.19,65.42,62.67,63.06,49.31,7559400
2000-04-11,59.33,60.08,55.0,56.75,44.38,11293200
2000-04-12,56.25,56.75,50.67,51.33,40.14,14435400
2000-04-13,51.08,56.25,49.42,51.01,39.88,14305500
2000-04-14,49.5,52.33,44.33,48.0,37.53,16483500
2000-04-17,47.08,50.67,42.83,49.5,38.71,17205000
2000-04-18,49.33,53.67,48.38,52.42,40.99,12952800
2000-04-19,53.5,54.62,51.33,53.33,41.7,9607500
2000-04-20,53.33,53.5,50.5,50.71,39.65,6183300
2000-04-24,49.33,51.54,48.81,50.33,39.36,6937800
2000-04-25,56.0,60.0,55.83,59.0,46.14,14083200
2000-04-26,60.0,61.75,59.67,60.25,47.11,8816700
2000-04-27,59.67,65.0,58.81,63.31,49.51,9407700
2000-04-28,64.92,67.0,64.23,65.83,51.48,7642200
2000-05-01,65.33,66.92,65.33,66.5,52.0,5603400
2000-05-02,66.0,66.58,63.67,63.94,50.0,6157500
2000-05-03,63.98,64.25,58.0,60.33,47.18,10080000
2000-05-04,60.0,61.31,59.17,60.54,47.34,5294700
2000-05-05,60.83,63.6,60.21,63.02,49.28,5195100
2000-05-08,62.17,62.27,61.0,61.12,47.8,4237800
2000-05-09,61.79,62.0,58.75,59.42,46.46,4848300
2000-05-10,58.33,58.5,54.73,57.58,45.03,8834100
2000-05-11,57.83,61.75,56.35,60.5,47.31,7548600
2000-05-12,60.83,64.98,60.83,62.57,48.93,7761300
2000-05-15,62.0,62.25,59.75,59.75,46.72,5015100
2000-05-16,60.17,65.08,60.17,64.58,50.5,11115000
2000-05-17,63.33,66.65,62.75,65.17,50.96,7578300
2000-05-18,65.83,66.5,63.75,65.44,51.17,5811900
2000-05-19,62.92,63.71,60.0,60.81,47.55,5823600
2000-05-22,60.85,61.17,56.58,59.0,46.14,8140200
2000-05-23,58.0,58.67,54.67,54.67,42.75,6895800
