Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,7.91,11.44,7.56,10.0,5.82,17149800
2000-12-11,11.34,11.38,9.94,10.59,6.17,2919200
2000-12-12,10.61,10.62,9.69,9.94,5.79,1077400
2000-12-13,10.38,10.44,9.88,9.94,5.79,422400
2000-12-14,9.99,10.12,9.94,10.06,5.86,265400
2000-12-15,10.12,10.12,9.0,10.06,5.86,950200
2000-12-18,10.25,10.25,9.72,10.03,5.84,483600
2000-12-19,10.02,10.03,9.62,9.81,5.71,457400
2000-12-20,9.69,9.81,9.0,9.12,5.31,1228800
2000-12-21,9.03,9.25,8.88,9.09,5.29,1017400
2000-12-22,9.31,9.69,9.25,9.62,5.6,416000
2000-12-26,9.66,9.69,9.44,9.5,5.53,754000
2000-12-27,9.45,9.56,9.12,9.28,5.4,361400
2000-12-28,9.31,9.69,9.16,9.31,5.42,1048600
2000-12-29,9.5,10.06,9.38,9.88,5.75,232800
2001-01-02,10.09,10.12,9.34,9.62,5.6,330400
2001-01-03,9.39,9.69,8.75,8.81,5.13,545400
2001-01-04,8.97,9.5,8.81,9.03,5.26,287600
2001-01-05,9.05,9.25,8.88,9.06,5.28,962000
2001-01-08,9.0,9.09,8.75,8.75,5.09,631000
2001-01-09,8.95,9.0,8.5,8.62,5.02,821800
2001-01-10,8.59,8.62,8.38,8.5,4.95,976800
2001-01-11,8.52,9.25,8.5,9.09,5.29,1357000
2001-01-12,9.3,9.62,9.25,9.56,5.57,566200
2001-01-16,9.81,10.25,9.44,9.5,5.53,663200
2001-01-17,9.55,9.94,9.44,9.69,5.64,486000
2001-01-18,9.74,9.75,9.25,9.5,5.53,292800
2001-01-19,9.53,9.62,9.12,9.19,5.35,254200
2001-01-22,9.31,9.31,8.81,8.94,5.2,764600
2001-01-23,9.12,9.19,8.94,8.94,5.2,442600
2001-01-24,8.95,9.0,8.47,8.5,4.95,1197200
2001-01-25,8.62,9.0,8.12,8.94,5.2,985800
2001-01-26,8.75,9.69,8.69,9.31,5.42,249000
2001-01-29,9.49,10.0,9.31,9.97,5.8,206600
2001-01-30,9.97,10.03,9.47,10.03,5.84,188800
2001-01-31,9.88,10.03,9.69,9.72,5.66,84200
2001-02-01,9.69,10.03,9.69,9.94,5.79,100600
2001-02-02,10.03,10.88,10.0,10.81,6.3,477200
2001-02-05,11.03,12.19,10.88,11.94,6.95,562400
2001-02-06,12.12,12.84,11.94,12.38,7.2,585600
2001-02-07,12.06,12.5,11.94,12.19,7.1,189400
2001-02-08,12.13,12.69,12.12,12.56,7.31,451400
2001-02-09,12.53,12.59,12.0,12.0,6.99,730200
2001-02-12,12.12,12.19,11.75,11.75,6.84,2362200
2001-02-13,11.91,12.31,11.69,12.19,7.1,228600
2001-02-14,12.25,12.31,10.69,11.12,6.48,1363600
2001-02-15,11.38,11.5,10.38,10.62,6.19,359400
2001-02-16,10.59,11.19,10.06,10.69,6.22,264200
2001-02-20,11.0,11.0,9.56,9.81,5.71,391400
2001-02-21,9.63,10.06,9.44,9.81,5.71,196800
2001-02-22,9.8,9.81,9.28,9.28,5.4,197400
2001-02-23,9.25,10.28,9.19,10.25,5.97,122800
2001-02-26,10.25,10.75,10.23,10.61,6.18,118600
