Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,91.94,94.81,91.5,94.19,76.37,383500
2000-01-03,94.19,94.38,87.75,88.31,71.61,1822600
2000-01-04,87.0,87.5,82.25,82.75,67.1,1647700
2000-01-05,80.88,81.88,78.38,78.88,63.96,1516600
2000-01-06,78.62,84.5,78.62,82.25,66.69,1845100
2000-01-07,83.06,83.19,79.88,82.56,66.95,1127400
2000-01-10,81.75,84.88,81.75,84.38,68.42,803100
2000-01-11,85.0,86.25,84.56,84.81,68.77,808600
2000-01-12,84.12,86.0,83.38,84.38,68.42,916100
2000-01-13,85.12,85.12,82.88,84.5,68.52,711000
2000-01-14,85.5,86.94,85.31,85.62,69.43,607000
2000-01-18,85.0,89.12,84.75,86.88,70.44,1095700
2000-01-19,86.88,89.38,86.75,87.56,71.0,636900
2000-01-20,87.0,87.94,84.88,85.94,69.78,621800
2000-01-21,86.19,86.19,84.56,85.69,69.58,542500
2000-01-24,87.5,87.5,81.5,81.75,66.38,712900
2000-01-25,83.0,84.19,82.38,83.88,68.1,749300
2000-01-26,84.12,88.5,84.12,88.25,71.66,1086600
2000-01-27,88.25,89.94,87.62,89.0,72.27,702000
2000-01-28,87.5,88.0,86.12,87.0,70.64,776800
2000-01-31,87.0,91.69,86.5,91.62,74.4,801800
2000-02-01,92.88,93.0,90.5,91.25,74.09,813100
2000-02-02,90.75,91.62,88.62,91.12,73.99,964700
2000-02-03,90.0,91.12,84.81,85.38,69.32,2213300
2000-02-04,87.25,87.25,83.56,84.69,68.76,1451700
2000-02-07,84.44,86.5,83.5,85.75,69.63,929800
2000-02-08,85.75,89.62,85.75,89.44,72.62,1024800
2000-02-09,89.44,89.44,86.56,86.75,70.44,397100
2000-02-10,86.75,87.31,85.5,86.62,70.34,503200
2000-02-11,86.44,88.75,85.0,85.12,69.12,856900
2000-02-14,85.12,86.88,84.62,86.5,70.24,627800
2000-02-15,86.25,86.62,85.12,86.5,70.24,542400
2000-02-16,86.75,87.31,82.88,82.94,67.34,720300
2000-02-17,84.75,84.75,81.12,82.12,66.68,895500
2000-02-18,84.5,84.5,80.75,80.81,65.62,925500
2000-02-22,81.25,82.38,80.69,81.56,66.23,720100
2000-02-23,81.31,87.0,81.06,85.75,69.63,702900
2000-02-24,85.81,89.94,85.5,89.62,72.77,1199800
2000-02-25,89.44,94.0,88.25,89.25,72.47,1333000
2000-02-28,89.25,89.25,87.0,88.0,71.45,518000
2000-02-29,88.75,92.5,88.0,92.5,75.11,1381200
2000-03-01,93.25,96.75,93.19,94.75,76.93,1488900
2000-03-02,95.25,97.88,94.12,96.25,78.15,1819200
2000-03-03,97.0,102.5,96.75,102.5,83.23,2295900
2000-03-06,102.75,105.25,102.38,103.69,84.19,1421000
2000-03-07,103.94,105.75,102.44,104.88,85.16,1041300
2000-03-08,105.0,105.38,99.69,101.75,82.62,1041100
2000-03-09,101.75,108.19,101.25,107.19,87.03,535500
2000-03-10,109.75,119.0,108.5,112.25,91.14,2034400
2000-03-13,107.5,115.5,106.5,110.38,89.62,1454200
2000-03-14,111.5,112.88,103.5,104.75,85.05,653100
2000-03-15,102.5,105.5,101.38,103.56,84.09,700300
