Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.75,48.0,46.88,47.81,33.89,129000
2000-01-03,47.62,47.69,45.19,45.94,32.56,334100
2000-01-04,45.75,46.0,44.56,44.62,31.63,216500
2000-01-05,44.38,45.25,44.38,45.25,32.08,277100
2000-01-06,45.0,45.12,44.75,45.06,31.94,206300
2000-01-07,42.5,45.75,41.25,44.38,31.46,1686300
2000-01-10,44.62,46.31,43.56,46.31,32.83,562100
2000-01-11,46.06,48.88,45.62,48.5,34.38,942300
2000-01-12,48.44,50.75,48.44,50.12,35.53,1412800
2000-01-13,50.5,52.0,50.25,52.0,36.86,892200
2000-01-14,52.75,56.25,52.75,55.62,39.43,1107900
2000-01-18,55.62,55.69,53.62,54.62,38.72,582300
2000-01-19,53.88,54.88,53.69,54.88,38.9,305500
2000-01-20,55.0,55.25,53.88,54.62,38.72,534900
2000-01-21,53.38,54.25,53.38,54.06,38.32,537000
2000-01-24,54.06,54.5,54.0,54.19,38.41,890100
2000-01-25,54.19,54.25,49.5,51.44,36.46,796300
2000-01-26,50.44,51.38,49.88,50.38,35.71,617500
2000-01-27,50.44,52.0,49.25,50.25,35.62,426300
2000-01-28,50.0,50.06,48.12,48.12,34.11,374800
2000-01-31,48.25,49.44,47.06,47.94,33.98,595600
2000-02-01,48.0,48.0,46.62,46.94,33.27,541300
2000-02-02,47.0,47.81,47.0,47.44,33.63,479100
2000-02-03,47.0,48.88,45.88,47.5,33.78,695900
2000-02-04,47.38,48.31,47.0,48.0,34.14,301400
2000-02-07,47.75,48.25,47.62,48.0,34.14,204400
2000-02-08,48.0,48.25,47.81,48.0,34.14,318100
2000-02-09,48.38,49.0,47.62,48.75,34.67,664300
2000-02-10,48.62,50.12,48.44,50.12,35.65,683400
2000-02-11,50.0,51.69,48.88,51.56,36.67,628700
2000-02-14,51.62,53.06,51.38,52.81,37.56,718000
2000-02-15,52.81,52.81,50.75,51.0,36.27,433700
2000-02-16,51.0,51.0,49.69,50.56,35.96,490900
2000-02-17,50.62,50.62,49.81,49.94,35.52,371500
2000-02-18,49.25,49.5,47.0,47.62,33.87,260000
2000-02-22,47.75,47.75,45.5,46.75,33.25,345300
2000-02-23,47.0,47.5,46.0,47.12,33.52,217500
2000-02-24,46.5,46.62,45.06,45.75,32.54,340800
2000-02-25,45.69,45.69,42.25,43.31,30.81,646100
2000-02-28,43.44,43.81,41.75,43.5,30.94,510800
2000-02-29,43.62,44.06,42.62,42.81,30.45,453700
2000-03-01,42.38,42.38,40.81,42.0,29.87,422500
2000-03-02,41.75,41.75,39.69,39.69,28.23,376000
2000-03-03,39.69,41.25,39.44,40.56,28.85,429900
2000-03-06,41.0,41.0,39.81,40.44,28.76,479300
2000-03-07,40.88,41.0,38.81,38.88,27.65,415300
2000-03-08,38.25,38.25,37.25,37.75,26.85,707200
2000-03-09,37.62,40.44,37.25,40.44,28.76,656800
2000-03-10,40.44,40.44,38.5,39.62,28.18,460900
2000-03-13,39.62,39.75,38.0,38.81,27.61,245100
2000-03-14,40.5,45.81,40.38,45.5,32.36,1053400
2000-03-15,45.5,49.12,44.38,46.94,33.38,1258500
