Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.44,20.34,19.41,20.12,14.88,1611800.0
2000-01-03,20.22,20.22,18.91,19.16,14.16,3490800.0
2000-01-04,18.78,19.5,18.78,19.25,14.23,4968200.0
2000-01-05,18.75,18.97,18.28,18.41,13.61,7524600.0
2000-01-06,18.41,19.25,18.41,19.16,14.16,8868600.0
2000-01-07,19.62,20.44,19.28,20.34,15.04,8737400.0
2000-01-10,20.66,20.66,19.16,19.53,14.44,5440000.0
2000-01-11,19.72,20.25,19.38,20.25,14.97,5752000.0
2000-01-12,20.0,20.25,18.84,18.88,13.95,5840600.0
2000-01-13,19.16,19.62,19.0,19.12,14.14,7705200.0
2000-01-14,19.25,19.59,18.72,19.28,14.25,7083000.0
2000-01-18,19.16,21.12,19.12,20.84,15.41,12708400.0
2000-01-19,20.84,21.25,20.53,21.09,15.59,7712000.0
2000-01-20,21.09,21.09,20.41,20.41,15.08,9798000.0
2000-01-21,20.75,21.75,20.66,21.19,15.66,6455600.0
2000-01-24,21.19,21.75,19.66,19.94,14.74,6052200.0
2000-01-25,19.97,20.72,19.56,20.0,14.78,5748000.0
2000-01-26,20.5,20.94,19.22,19.34,14.3,8223000.0
2000-01-27,19.5,19.97,18.31,18.75,13.86,6704000.0
2000-01-28,18.38,18.81,17.62,17.91,13.24,7333400.0
2000-01-31,17.94,18.25,17.75,18.06,13.35,5969400.0
2000-02-01,18.16,18.44,17.78,18.19,13.44,5991200.0
2000-02-02,18.62,18.69,18.12,18.56,13.72,6113400.0
2000-02-03,18.69,18.78,18.28,18.69,13.81,4271800.0
2000-02-04,18.44,18.66,18.16,18.41,13.61,4684200.0
2000-02-07,18.41,19.12,18.28,18.69,13.81,3883400.0
2000-02-08,19.19,19.19,18.22,18.44,13.63,4559600.0
2000-02-09,18.31,18.69,17.31,17.75,13.12,6528800.0
2000-02-10,17.53,18.0,17.47,17.72,13.1,7606400.0
2000-02-11,17.94,17.97,17.0,17.12,12.66,6207200.0
2000-02-14,17.38,18.12,16.84,17.97,13.28,6191200.0
2000-02-15,18.0,19.28,17.97,19.25,14.23,7978600.0
2000-02-16,19.5,19.88,19.31,19.56,14.46,7648400.0
2000-02-17,19.25,19.69,18.59,19.25,14.23,5403000.0
2000-02-18,19.0,19.19,18.28,18.34,13.56,3593800.0
2000-02-22,18.31,18.38,17.62,17.75,13.12,3786200.0
