Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.59,21.82,21.42,21.7,11.29,275100.0
2000-01-03,21.53,21.82,19.55,20.4,10.61,1184000.0
2000-01-04,20.23,20.45,19.6,19.77,10.29,1327800.0
2000-01-05,19.66,19.77,19.26,19.26,10.02,838200.0
2000-01-06,19.55,20.23,19.38,19.94,10.38,401900.0
2000-01-07,20.11,20.23,19.94,20.11,10.47,449500.0
2000-01-10,20.23,20.23,19.2,19.26,10.02,489000.0
2000-01-11,19.26,19.43,18.81,19.38,10.08,405300.0
2000-01-12,19.15,19.89,19.15,19.38,10.08,455400.0
2000-01-13,20.0,20.21,19.32,19.6,10.2,1044100.0
2000-01-14,19.77,20.11,19.6,19.94,10.38,800200.0
2000-01-18,19.94,20.0,19.03,19.26,10.02,892100.0
2000-01-19,19.15,19.72,19.15,19.32,10.05,1050900.0
2000-01-20,19.38,19.43,18.92,18.98,9.88,886200.0
2000-01-21,19.03,19.32,18.52,18.64,9.7,818200.0
2000-01-24,18.64,19.03,18.18,18.32,9.54,453700.0
2000-01-25,18.3,18.81,18.07,18.64,9.7,878200.0
2000-01-26,18.64,18.86,18.64,18.86,9.82,1316400.0
2000-01-27,18.92,19.38,18.47,18.69,9.73,720900.0
2000-01-28,18.69,19.09,17.84,17.9,9.31,733400.0
2000-01-31,18.07,20.0,17.95,19.6,10.2,1338900.0
2000-02-01,19.26,19.38,18.81,19.32,10.05,475800.0
2000-02-02,19.38,19.66,18.86,19.2,9.99,1185900.0
2000-02-03,19.2,20.0,18.98,19.94,10.38,1627100.0
2000-02-04,19.91,20.0,18.86,19.32,10.05,946000.0
2000-02-07,19.03,19.03,18.41,18.98,9.88,536200.0
2000-02-08,18.98,19.15,18.41,18.58,9.67,574600.0
2000-02-09,18.81,19.09,18.75,18.86,9.82,1131100.0
2000-02-10,18.98,19.55,18.86,19.49,10.14,1503800.0
2000-02-11,19.26,19.49,19.2,19.43,10.11,2200300.0
2000-02-14,19.38,19.55,19.09,19.19,9.99,1235800.0
2000-02-15,19.26,20.0,19.15,19.6,10.2,470200.0
2000-02-16,19.66,19.66,19.03,19.49,10.14,374000.0
2000-02-17,19.66,19.77,19.2,19.2,9.99,852200.0
2000-02-18,18.86,19.18,18.75,18.75,9.76,1771800.0
2000-02-22,18.64,19.55,18.64,19.01,9.89,791100.0
2000-02-23,18.98,19.32,18.64,18.92,9.85,808900.0
2000-02-24,18.92,19.15,18.52,19.09,9.93,1901900.0
2000-02-25,18.98,19.26,18.75,18.86,9.82,2401300.0
2000-02-28,18.92,19.77,18.81,19.32,10.05,614400.0
2000-02-29,19.32,19.32,18.18,18.98,9.88,664500.0
2000-03-01,18.92,18.98,18.12,18.35,9.55,474700.0
2000-03-02,18.81,18.81,17.95,18.07,9.4,502200.0
2000-03-03,18.12,18.24,17.5,17.98,9.36,506100.0
2000-03-06,17.95,18.01,17.44,17.78,9.25,520900.0
2000-03-07,17.76,17.9,16.53,16.82,8.75,562900.0
2000-03-08,16.93,16.93,16.14,16.19,8.43,625100.0
2000-03-09,16.42,17.16,16.14,16.93,8.81,601900.0
2000-03-10,16.88,16.99,16.48,16.88,8.78,413100.0
2000-03-13,16.56,16.93,16.14,16.88,8.78,515300.0
2000-03-14,16.79,16.82,16.25,16.42,8.64,519600.0
2000-03-15,16.59,18.07,16.31,17.84,9.38,1106700.0
2000-03-16,18.07,20.0,17.84,19.7,10.36,1272400.0
2000-03-17,19.77,20.11,19.09,19.43,10.22,1043500.0
2000-03-20,19.46,19.49,18.12,18.47,9.71,525000.0
2000-03-21,18.35,19.49,18.3,19.2,10.1,540700.0
2000-03-22,19.09,19.32,18.64,19.09,10.04,492800.0
2000-03-23,18.98,19.77,18.64,19.72,10.37,500200.0
2000-03-24,19.2,20.23,19.15,19.2,10.1,552600.0
2000-03-27,19.18,19.43,18.64,18.75,9.86,1000400.0
2000-03-28,18.75,19.32,18.52,19.26,10.13,447500.0
2000-03-29,19.89,20.11,19.55,19.89,10.46,901300.0
2000-03-30,19.43,19.55,19.2,19.2,10.1,495600.0
2000-03-31,19.32,20.68,19.2,20.34,10.7,678900.0
2000-04-03,20.45,21.02,20.28,20.8,10.94,582100.0
2000-04-04,20.88,21.31,20.11,20.62,10.85,896500.0
2000-04-05,20.0,20.91,19.83,20.17,10.61,399400.0
2000-04-06,19.94,20.67,19.77,20.0,10.52,206200.0
2000-04-07,20.06,20.11,19.2,19.26,10.13,224800.0
2000-04-10,19.38,19.83,18.81,19.6,10.31,433600.0
2000-04-11,19.43,19.77,18.98,19.66,10.34,252400.0
2000-04-12,19.77,20.91,19.66,20.8,10.94,660700.0
2000-04-13,20.68,20.85,19.55,19.55,10.28,571100.0
2000-04-14,19.55,20.0,17.86,18.52,9.74,806600.0
2000-04-17,18.24,18.81,17.67,17.84,9.38,1204200.0
