Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.47,28.69,27.79,27.81,16.01,2934500
2010-01-04,28.26,28.33,27.34,27.39,15.77,4278600
2010-01-05,27.48,27.6,26.89,27.31,15.72,4180600
2010-01-06,27.19,27.54,27.05,27.15,15.63,2963700
2010-01-07,27.17,27.62,26.89,27.52,15.84,3924800
2010-01-08,27.45,27.75,27.41,27.7,15.95,3059700
2010-01-11,27.83,28.1,27.72,28.01,16.13,2572600
2010-01-12,27.8,28.01,27.34,27.54,15.85,3143400
2010-01-13,27.6,27.85,27.41,27.75,15.98,4628700
2010-01-14,27.62,27.75,27.35,27.67,15.93,2974200
2010-01-15,27.61,27.75,27.46,27.64,15.91,3852600
2010-01-19,27.6,28.54,27.59,28.5,16.41,4474800
2010-01-20,28.33,28.33,27.71,27.98,16.11,3440500
2010-01-21,28.02,28.14,27.09,27.15,15.63,4652700
2010-01-22,27.1,27.5,26.63,26.73,15.39,4995500
2010-01-25,27.06,27.06,26.35,26.74,15.39,3107500
2010-01-26,26.53,26.55,25.87,25.94,14.93,4624800
2010-01-27,25.95,26.17,25.49,26.16,15.06,5059200
2010-01-28,26.42,26.42,25.75,26.02,14.98,4295100
2010-01-29,26.14,26.3,25.65,25.82,14.86,5562500
2010-02-01,25.96,26.51,25.94,26.35,15.17,3151000
2010-02-02,26.38,27.04,26.12,26.96,15.52,4240600
2010-02-03,26.87,26.9,26.4,26.62,15.33,2955200
2010-02-04,26.45,26.46,25.27,25.29,14.56,8205900
2010-02-05,25.43,25.72,24.83,25.53,14.7,7692600
2010-02-08,25.59,25.66,24.75,24.85,14.3,4526100
2010-02-09,24.64,24.85,24.32,24.64,14.46,4926200
2010-02-10,24.59,25.36,24.44,25.12,14.74,4662300
2010-02-11,25.05,25.6,24.88,25.54,14.98,3974300
2010-02-12,25.06,25.27,24.78,25.08,14.71,5211200
2010-02-16,25.49,26.42,25.34,26.36,15.46,4711500
2010-02-17,26.5,26.86,26.48,26.68,15.65,3515600
2010-02-18,26.57,27.27,26.45,27.1,15.9,3599400
2010-02-19,26.94,27.38,26.75,27.21,15.96,3493600
2010-02-22,27.27,27.3,26.82,26.93,15.8,3809200
2010-02-23,26.89,27.09,26.38,26.41,15.49,4647300
2010-02-24,26.47,26.76,26.41,26.76,15.7,3585000
2010-02-25,26.48,26.52,26.17,26.42,15.5,4774200
2010-02-26,26.38,26.54,26.21,26.21,15.38,5626000
2010-03-01,26.37,26.57,26.21,26.45,15.52,3511900
2010-03-02,26.56,26.76,26.45,26.64,15.63,5368400
2010-03-03,26.66,26.76,26.41,26.63,15.62,2778900
2010-03-04,26.74,27.01,26.6,26.95,15.81,2750900
2010-03-05,27.14,27.72,26.89,27.69,16.24,3752100
2010-03-08,27.66,28.06,27.55,27.81,16.32,2787600
2010-03-09,27.63,28.05,27.6,27.84,16.33,2929100
2010-03-10,27.92,28.4,27.7,28.32,16.62,3277900
2010-03-11,28.18,28.88,28.05,28.84,16.92,3984200
2010-03-12,28.89,29.3,28.83,29.26,17.17,3654300
2010-03-15,28.53,29.37,28.25,29.26,17.17,4544400
