Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,0.81,0.84,0.81,0.83,0.44,65600
2000-01-03,0.84,0.86,0.84,0.85,0.45,40000
2000-01-04,0.85,0.88,0.85,0.86,0.45,361600
2000-01-05,0.85,0.88,0.85,0.87,0.46,108800
2000-01-06,0.88,0.9,0.85,0.86,0.45,320000
2000-01-07,0.86,0.87,0.86,0.86,0.45,67200
2000-01-10,0.87,0.87,0.86,0.86,0.45,52800
2000-01-11,0.86,0.88,0.86,0.87,0.46,92800
2000-01-12,0.88,0.88,0.86,0.86,0.45,300800
2000-01-13,0.87,0.87,0.86,0.86,0.45,184000
2000-01-14,0.86,0.86,0.84,0.84,0.44,198400
2000-01-18,0.84,0.85,0.84,0.85,0.44,97600
2000-01-19,0.85,0.85,0.84,0.84,0.44,580800
2000-01-20,0.84,0.84,0.84,0.84,0.44,33600
2000-01-21,0.85,0.88,0.85,0.86,0.45,369600
2000-01-24,0.86,0.87,0.86,0.86,0.45,630400
2000-01-25,0.87,0.87,0.86,0.86,0.45,203200
2000-01-26,0.86,0.86,0.86,0.86,0.45,160000
2000-01-27,0.87,0.87,0.86,0.86,0.45,88000
2000-01-28,0.86,0.87,0.85,0.86,0.45,131200
2000-01-31,0.85,0.86,0.84,0.84,0.44,220800
2000-02-01,0.85,0.85,0.83,0.85,0.45,105600
2000-02-02,0.84,0.84,0.84,0.84,0.44,113600
2000-02-03,0.84,0.86,0.84,0.86,0.45,278400
2000-02-04,0.86,0.86,0.85,0.86,0.45,64000
2000-02-07,0.85,0.86,0.85,0.86,0.45,30400
2000-02-08,0.85,0.86,0.85,0.86,0.45,49600
2000-02-09,0.86,0.86,0.84,0.86,0.45,123200
2000-02-10,0.87,0.88,0.86,0.87,0.46,120000
2000-02-11,0.87,0.88,0.86,0.86,0.45,446400
2000-02-14,0.85,0.86,0.85,0.85,0.45,35200
2000-02-15,0.86,0.86,0.84,0.84,0.44,128000
2000-02-16,0.84,0.84,0.83,0.83,0.43,979200
2000-02-17,0.83,0.84,0.82,0.82,0.43,244800
2000-02-18,0.83,0.83,0.81,0.81,0.43,22400
2000-02-22,0.82,0.82,0.81,0.81,0.42,49600
2000-02-23,0.8,0.81,0.8,0.8,0.42,48000
2000-02-24,0.79,0.82,0.79,0.82,0.43,67200
2000-02-25,0.82,0.83,0.79,0.83,0.43,128000
2000-02-28,0.82,0.83,0.82,0.83,0.43,28800
2000-02-29,0.82,0.83,0.82,0.83,0.43,8000
2000-03-01,0.84,0.85,0.83,0.84,0.44,92800
2000-03-02,0.84,0.85,0.84,0.85,0.45,51200
2000-03-03,0.84,0.86,0.84,0.84,0.44,172800
2000-03-06,0.83,0.84,0.82,0.84,0.44,48000
2000-03-07,0.84,0.84,0.84,0.84,0.44,48000
2000-03-08,0.83,0.83,0.83,0.83,0.43,16000
2000-03-09,0.84,0.84,0.83,0.83,0.43,20800
2000-03-10,0.81,0.81,0.79,0.8,0.42,156800
2000-03-13,0.8,0.8,0.77,0.77,0.41,102400
2000-03-14,0.77,0.77,0.76,0.76,0.4,131200
2000-03-15,0.75,0.76,0.75,0.76,0.4,65600
2000-03-16,0.76,0.76,0.76,0.76,0.4,14400
2000-03-17,0.77,0.77,0.76,0.76,0.4,54400
2000-03-20,0.77,0.77,0.77,0.77,0.41,64000
2000-03-21,0.77,0.77,0.77,0.77,0.41,11200
2000-03-22,0.78,0.78,0.78,0.78,0.42,19200
2000-03-23,0.79,0.79,0.78,0.78,0.42,64000
2000-03-24,0.77,0.78,0.77,0.77,0.41,97600
2000-03-27,0.78,0.78,0.78,0.78,0.42,30400
2000-03-28,0.78,0.79,0.77,0.77,0.41,81600
2000-03-29,0.79,0.8,0.78,0.78,0.42,22400
2000-03-30,0.77,0.77,0.71,0.73,0.39,222400
2000-03-31,0.73,0.73,0.72,0.72,0.38,43200
2000-04-03,0.71,0.73,0.69,0.69,0.37,68800
2000-04-04,0.72,0.73,0.7,0.7,0.37,104000
2000-04-05,0.71,0.71,0.66,0.66,0.35,294400
2000-04-06,0.65,0.66,0.62,0.62,0.33,252800
2000-04-07,0.63,0.66,0.63,0.64,0.34,211200
2000-04-10,0.64,0.66,0.64,0.66,0.35,230400
2000-04-11,0.66,0.72,0.66,0.71,0.38,246400
2000-04-12,0.7,0.7,0.67,0.67,0.36,139200
2000-04-13,0.68,0.69,0.65,0.69,0.37,227200
2000-04-14,0.68,0.68,0.66,0.66,0.35,43200
2000-04-17,0.67,0.67,0.63,0.64,0.34,155200
2000-04-18,0.65,0.65,0.64,0.65,0.35,11268800
2000-04-19,0.65,0.69,0.65,0.66,0.35,536000
2000-04-20,0.67,0.67,0.66,0.66,0.35,182400
2000-04-24,0.67,0.67,0.67,0.67,0.36,43200
2000-04-25,0.68,0.68,0.67,0.67,0.36,123200
2000-04-26,0.67,0.67,0.64,0.64,0.34,144000
2000-04-27,0.65,0.66,0.65,0.65,0.35,44800
2000-04-28,0.65,0.66,0.65,0.65,0.35,123200
2000-05-01,0.66,0.66,0.65,0.65,0.35,11200
2000-05-02,0.63,0.63,0.62,0.62,0.33,144000
2000-05-03,0.62,0.62,0.62,0.62,0.33,70400
2000-05-04,0.62,0.62,0.62,0.62,0.33,166400
2000-05-05,0.62,0.64,0.62,0.64,0.34,59200
2000-05-08,0.63,0.63,0.63,0.63,0.34,25600
2000-05-09,0.62,0.64,0.62,0.62,0.33,321600
2000-05-10,0.62,0.62,0.61,0.62,0.33,180800
2000-05-11,0.62,0.62,0.62,0.62,0.33,590400
2000-05-12,0.62,0.62,0.62,0.62,0.33,129600
2000-05-15,0.62,0.62,0.58,0.6,0.32,192000
2000-05-16,0.59,0.6,0.59,0.59,0.32,2075200
2000-05-17,0.59,0.6,0.58,0.59,0.31,550400
2000-05-18,0.59,0.63,0.59,0.63,0.34,544000
2000-05-19,0.63,0.63,0.63,0.63,0.34,49600
2000-05-22,0.63,0.63,0.62,0.62,0.33,60800
2000-05-23,0.63,0.63,0.61,0.62,0.33,217600
2000-05-24,0.61,0.61,0.6,0.6,0.32,28800
2000-05-25,0.61,0.61,0.61,0.61,0.33,19200
2000-05-26,0.62,0.62,0.62,0.62,0.33,48000
2000-05-30,0.62,0.65,0.62,0.65,0.35,208000
2000-05-31,0.64,0.64,0.62,0.62,0.33,28800
2000-06-01,0.62,0.63,0.62,0.62,0.33,92800
2000-06-02,0.62,0.62,0.62,0.62,0.33,500800
2000-06-05,0.62,0.63,0.62,0.62,0.33,67200
2000-06-06,0.62,0.62,0.61,0.62,0.33,392000
2000-06-07,0.61,0.61,0.61,0.61,0.32,80000
2000-06-08,0.62,0.63,0.61,0.63,0.34,49600
2000-06-09,0.63,0.7,0.63,0.7,0.37,435200
2000-06-12,0.71,0.73,0.7,0.73,0.39,152000
2000-06-13,0.74,0.77,0.73,0.74,0.4,296000
2000-06-14,0.79,0.84,0.79,0.83,0.45,1196800
2000-06-15,0.83,0.83,0.79,0.81,0.44,347200
2000-06-16,0.8,0.8,0.78,0.78,0.42,120000
2000-06-19,0.78,0.79,0.74,0.75,0.41,208000
2000-06-20,0.76,0.78,0.76,0.77,0.41,40000
2000-06-21,0.76,0.77,0.76,0.77,0.41,72000
2000-06-22,0.77,0.77,0.77,0.77,0.41,14400
2000-06-23,0.77,0.77,0.77,0.77,0.42,163200
2000-06-26,0.78,0.78,0.77,0.78,0.42,134400
2000-06-27,0.79,0.79,0.79,0.79,0.43,22400
2000-06-28,0.79,0.79,0.77,0.77,0.42,43200
2000-06-29,0.76,0.76,0.75,0.76,0.41,86400
2000-06-30,0.75,0.76,0.73,0.74,0.4,54400
2000-07-03,0.75,0.75,0.74,0.74,0.4,12800
2000-07-05,0.75,0.76,0.75,0.76,0.41,16000
2000-07-06,0.75,0.75,0.75,0.75,0.41,3200
2000-07-07,0.76,0.77,0.75,0.75,0.41,60800
2000-07-10,0.75,0.76,0.75,0.76,0.41,54400
2000-07-11,0.77,0.77,0.76,0.76,0.41,16000
2000-07-12,0.77,0.79,0.77,0.77,0.41,51200
2000-07-13,0.77,0.78,0.77,0.78,0.42,33600
2000-07-14,0.79,0.79,0.79,0.79,0.42,67200
2000-07-17,0.78,0.79,0.78,0.79,0.43,121600
2000-07-18,0.79,0.82,0.79,0.82,0.44,62400
2000-07-19,0.81,0.81,0.8,0.8,0.43,54400
2000-07-20,0.8,0.8,0.8,0.8,0.43,8000
2000-07-21,0.8,0.8,0.78,0.78,0.42,24000
2000-07-24,0.77,0.77,0.76,0.77,0.41,75200
