Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,31.0,32.03,30.91,32.03,22.77,862000.0
2000-01-03,31.75,31.81,31.03,31.22,22.19,815400.0
2000-01-04,30.81,31.0,30.5,30.59,21.74,728000.0
2000-01-05,30.59,30.59,30.12,30.38,21.59,556400.0
2000-01-06,30.41,30.41,30.0,30.28,21.52,590400.0
2000-01-07,30.22,30.25,29.81,30.12,21.41,816000.0
2000-01-10,30.12,30.34,30.06,30.28,21.52,1099000.0
2000-01-11,30.25,30.91,30.19,30.59,21.74,966600.0
2000-01-12,30.25,30.44,29.53,29.62,21.06,857000.0
2000-01-13,29.75,30.06,29.62,29.75,21.14,456400.0
2000-01-14,30.0,30.38,29.97,30.34,21.57,2087000.0
2000-01-18,30.22,31.25,30.0,31.16,22.14,1931000.0
2000-01-19,33.25,35.0,33.0,34.69,24.65,4421200.0
2000-01-20,34.69,36.44,34.0,36.25,25.76,2339600.0
2000-01-21,36.12,36.12,35.19,35.69,25.37,2595000.0
2000-01-24,35.72,36.03,35.56,35.69,25.37,1283200.0
2000-01-25,38.5,38.75,37.0,37.84,26.9,5017000.0
2000-01-26,37.88,38.25,37.0,37.44,26.61,3005400.0
2000-01-27,37.53,37.75,37.22,37.47,26.63,3135000.0
2000-01-28,37.47,37.59,35.19,35.5,25.23,21130400.0
2000-01-31,35.12,35.78,34.53,35.09,24.94,3028000.0
2000-02-01,35.09,35.97,35.0,35.66,25.34,1882000.0
2000-02-02,35.94,35.94,35.38,35.72,25.39,2016800.0
2000-02-03,35.59,36.0,35.31,36.0,25.59,1431000.0
2000-02-04,35.88,35.91,35.25,35.47,25.21,753000.0
2000-02-07,35.06,35.47,34.97,35.38,25.14,1264400.0
2000-02-08,35.0,36.0,34.97,35.69,25.37,1374000.0
2000-02-09,35.5,35.94,35.12,35.12,24.97,1080000.0
2000-02-10,34.91,35.31,34.91,35.06,24.92,1158000.0
2000-02-11,35.03,35.03,34.75,35.0,24.88,941000.0
2000-02-14,35.12,35.12,34.31,34.66,24.63,1137400.0
2000-02-15,34.88,35.06,34.03,35.06,24.92,865600.0
2000-02-16,34.84,34.88,33.94,34.0,24.17,1008000.0
2000-02-17,34.12,34.12,33.06,33.44,23.77,959600.0
2000-02-18,34.0,34.75,33.34,33.44,23.77,1838200.0
2000-02-22,34.0,34.03,33.31,33.81,24.03,1032600.0
2000-02-23,33.5,33.72,32.94,33.19,23.59,747600.0
2000-02-24,33.31,33.38,32.12,32.41,23.03,832200.0
2000-02-25,32.75,34.75,32.31,34.47,24.5,2004600.0
2000-02-28,34.88,35.0,34.34,34.53,24.54,956800.0
2000-02-29,34.53,34.53,33.69,34.06,24.21,842400.0
2000-03-01,34.19,34.75,34.0,34.28,24.37,676000.0
2000-03-02,35.0,35.62,34.28,35.22,25.03,1161000.0
2000-03-03,35.22,37.25,35.19,36.94,26.25,1087200.0
2000-03-06,36.81,36.81,35.5,35.59,25.3,838400.0
2000-03-07,35.56,35.56,34.06,34.25,24.34,956600.0
2000-03-08,34.28,34.5,33.75,34.5,24.52,631800.0
2000-03-09,34.5,34.56,34.12,34.47,24.5,691800.0
2000-03-10,34.5,35.0,34.38,34.81,24.74,1158800.0
2000-03-13,34.38,35.94,34.38,35.69,25.38,1260800.0
2000-03-14,35.56,35.97,35.31,35.5,25.25,1048600.0
2000-03-15,35.38,36.75,35.38,36.75,26.14,965200.0
2000-03-16,37.5,40.5,37.47,40.5,28.8,1838600.0
2000-03-17,40.5,42.66,40.28,40.91,29.09,2796000.0
2000-03-20,40.88,40.91,38.38,38.75,27.56,1441600.0
2000-03-21,38.88,39.0,37.94,38.5,27.38,1344000.0
2000-03-22,38.5,39.5,38.31,39.19,27.87,1403000.0
2000-03-23,38.5,38.81,38.22,38.56,27.43,1186400.0
